gene_id	TCGA-BH-A0DO-01B-11R-A12D-07	gene_id	TCGA-BH-A0DO-11A-22R-A12D-07
ADCY7|113	175.3104	ADCY7|113	392.2842
ADCY9|115	1270.2703	ADCY9|115	852.1772
lowly_expressed	lowly_expressed	ADCYAP1R1|117	80.9778
ADCYAP1|116	15.3397	lowly_expressed	lowly_expressed
ADC|113451	196.1286	ADC|113451	205.8824
ADD1|118	5351.3514	ADD1|118	6287.6241
ADD2|119	25.2009	ADD2|119	72.9565
ADD3|120	2965.6684	ADD3|120	2809.0145
ADH1A|124	7.6698	ADH1A|124	18.3346
ADH1B|125	1078.5245	ADH1B|125	4464.0947
ADH1C|126	21.9138	ADH1C|126	192.5134
lowly_expressed	lowly_expressed	ADH4|127	13.369
ADH5|128	1844.412	ADH5|128	3081.7418
lowly_expressed	lowly_expressed	ADH6|130	6.1115
ADHFE1|137872	108.8386	ADHFE1|137872	138.2735
ADI1|55256	1671.6581	ADI1|55256	1514.8969
ADIPOQ|9370	1115.7779	ADIPOQ|9370	3695.9511
ADIPOR1|51094	4216.5814	ADIPOR1|51094	2337.2804
ADIPOR2|79602	2285.2447	ADIPOR2|79602	2298.3193
ADK|132	350.9861	ADK|132	420.932
ADM2|79924	282.3229	ADM2|79924	88.9992
ADM|133	118.6998	ADM|133	381.207
ADNP2|22850	916.7275	ADNP2|22850	885.7907
ADNP|23394	3567.9328	ADNP|23394	3427.8075
ADORA1|134	82.542	ADORA1|134	810.5424
ADORA2A|135	75.2374	ADORA2A|135	75.9931
ADORA2B|136	39.0796	ADORA2B|136	69.1367
ADORA3|140	73.7765	ADORA3|140	77.5401
ADO|84890	558.802	ADO|84890	784.9503
ADPGK|83440	915.1717	ADPGK|83440	829.4614
ADPRHL1|113622	95.3251	ADPRHL1|113622	125.6684
ADPRHL2|54936	678.2323	ADPRHL2|54936	595.4927
ADPRH|141	223.5208	ADPRH|141	393.8121
lowly_expressed	lowly_expressed	ADRA1A|148	18.3346
ADRA1B|147	5.1132	ADRA1B|147	9.1673
ADRA2A|150	893.718	ADRA2A|150	643.6211
ADRA2B|151	20.4529	ADRA2B|151	44.3086
ADRA2C|152	28.8532	ADRA2C|152	44.6906
ADRB1|153	210.7378	ADRB1|153	19.0985
ADRB2|154	66.4719	ADRB2|154	242.5516
ADRBK1|156	1897.3703	ADRBK1|156	1535.1413
ADRBK2|157	1068.6633	ADRBK2|157	1158.136
ADRM1|11047	928.7801	ADRM1|11047	834.2246
ADSL|158	546.3842	ADSL|158	812.0703
ADSSL1|122622	97.8817	ADSSL1|122622	99.6944
ADSS|159	2443.7546	ADSS|159	1511.0772
AEBP1|165	6890.0657	AEBP1|165	3553.094
AEBP2|121536	639.5179	AEBP2|121536	978.2277
AEN|64782	299.4887	AEN|64782	360.1986
AES|166	7562.0891	AES|166	6509.1673
AFAP1L1|134265	191.7458	AFAP1L1|134265	304.4309
AFAP1L2|84632	510.2264	AFAP1L2|84632	923.6058
AFAP1|60312	1249.4412	AFAP1|60312	1422.7884
AFF1|4299	3250.5478	AFF1|4299	2650.8785
AFF2|2334	29.2184	AFF2|2334	59.5875
AFF3|3899	1403.5793	AFF3|3899	1519.4805
AFF4|27125	5142.805	AFF4|27125	4443.4683
AFG3L1|172	229.3645	AFG3L1|172	266.6157
AFG3L2|10939	1420.5844	AFG3L2|10939	1595.7983
AFMID|125061	693.2067	AFMID|125061	502.2918
AFP|174	253.1045	AFP|174	92.055
AFTPH|54812	3175.3104	AFTPH|54812	1927.4255
AG2|387763	245.0694	AG2|387763	161.1917
AGAP11|119385	74.1454	AGAP11|119385	146.3866
