gene_id	TCGA-E2-A158-01A-11R-A12D-07	gene_id	TCGA-E2-A158-11A-22R-A12D-07
ADAM15|8751	6222.9458	ADAM15|8751	3529.1432
ADAM17|6868	1963.842	ADAM17|6868	627.8924
ADAM19|8728	175.4777	ADAM19|8728	468.4178
lowly_expressed	lowly_expressed	ADAM21|8747	5.0031
ADAM22|53616	64.0905	ADAM22|53616	141.9637
ADAM23|8745	5.4837	ADAM23|8745	49.4059
ADAM28|10863	10.6246	ADAM28|10863	46.9043
ADAM32|203102	170.3367	ADAM32|203102	15.6348
lowly_expressed	lowly_expressed	ADAM33|80332	786.9106
ADAM6|8755	6820.3136	ADAM6|8755	3767.7173
ADAM8|101	64.7759	ADAM8|101	66.2914
ADAM9|8754	888.6985	ADAM9|8754	2412.758
ADAMDEC1|27299	61.6914	lowly_expressed	lowly_expressed
ADAMTS10|81794	69.9169	ADAMTS10|81794	317.0732
ADAMTS12|81792	50.0386	ADAMTS12|81792	393.3709
ADAMTS13|11093	57.9213	ADAMTS13|11093	50.0313
ADAMTS14|140766	11.9955	ADAMTS14|140766	23.1395
lowly_expressed	lowly_expressed	ADAMTS15|170689	687.3046
lowly_expressed	lowly_expressed	ADAMTS16|170690	279.5497
ADAMTS17|170691	500.3856	ADAMTS17|170691	95.0594
lowly_expressed	lowly_expressed	ADAMTS18|170692	91.3071
ADAMTS1|9510	262.8738	ADAMTS1|9510	9711.0694
ADAMTS2|9509	68.8887	ADAMTS2|9509	996.873
lowly_expressed	lowly_expressed	ADAMTS3|9508	82.5516
ADAMTS4|9507	2453.2602	ADAMTS4|9507	531.5822
ADAMTS5|11096	100.4198	ADAMTS5|11096	2819.262
ADAMTS6|11174	11.9955	ADAMTS6|11174	57.536
ADAMTS7|11173	26.0475	ADAMTS7|11173	177.611
lowly_expressed	lowly_expressed	ADAMTS8|11095	41.2758
ADAMTS9|56999	140.5192	ADAMTS9|56999	940.5879
ADAMTSL1|92949	29.4748	ADAMTSL1|92949	808.005
ADAMTSL2|9719	28.1038	ADAMTSL2|9719	187.6173
ADAMTSL3|57188	20.9065	ADAMTSL3|57188	1246.404
ADAMTSL4|54507	87.0534	ADAMTSL4|54507	2426.5166
lowly_expressed	lowly_expressed	ADAMTSL5|339366	61.9137
ADAP1|11033	118.0636	ADAP1|11033	113.1957
ADAP2|55803	51.4095	ADAP2|55803	283.3021
ADARB1|104	429.0978	ADARB1|104	2888.6804
ADARB2|105	22.9629	lowly_expressed	lowly_expressed
ADAR|103	9808.2427	ADAR|103	6457.1607
ADAT1|23536	189.8723	ADAT1|23536	253.9087
ADAT2|134637	258.4183	ADAT2|134637	97.561
ADAT3|113179	30.8457	ADAT3|113179	15.0094
ADA|100	57.9213	ADA|100	217.636
ADCK1|57143	104.8753	ADCK1|57143	163.227
ADCK2|90956	880.4832	ADCK2|90956	596.6229
ADCK4|79934	450.347	ADCK4|79934	414.0088
ADCK5|203054	187.4732	ADCK5|203054	78.1739
ADCY10|55811	11.6528	lowly_expressed	lowly_expressed
ADCY1|107	356.0963	ADCY1|107	515.9475
ADCY2|108	164.1676	ADCY2|108	117.5735
ADCY3|109	2534.59	ADCY3|109	2116.454
ADCY4|196883	49.0104	ADCY4|196883	906.1914
lowly_expressed	lowly_expressed	ADCY5|111	1607.8799
ADCY6|112	1521.7205	ADCY6|112	4098.1864
ADCY7|113	2908.4054	ADCY7|113	1132.5829
ADCY9|115	482.5636	ADCY9|115	1398.374
lowly_expressed	lowly_expressed	ADCYAP1R1|117	56.2852
lowly_expressed	lowly_expressed	ADCYAP1|116	9.3809
ADC|113451	240.9391	ADC|113451	104.4403
ADD1|118	2810.7274	ADD1|118	9121.9512
ADD2|119	666.2668	ADD2|119	104.4403
ADD3|120	993.9165	ADD3|120	4200.7505
lowly_expressed	lowly_expressed	ADH1A|124	654.7842
lowly_expressed	lowly_expressed	ADH1B|125	71195.122
lowly_expressed	lowly_expressed	ADH1C|126	252.6579
lowly_expressed	lowly_expressed	ADH4|127	5.0031
ADH5|128	2664.3818	ADH5|128	4547.217
lowly_expressed	lowly_expressed	ADH6|130	5.6285
ADHFE1|137872	151.4866	ADHFE1|137872	663.5397
ADI1|55256	2343.2439	ADI1|55256	2016.2602
lowly_expressed	lowly_expressed	ADIPOQ|9370	67100.0625
ADIPOR1|51094	3297.7466	ADIPOR1|51094	2198.2489
ADIPOR2|79602	2437.4946	ADIPOR2|79602	3368.9806
ADK|132	275.5548	ADK|132	278.2989
ADM2|79924	171.7077	ADM2|79924	16.2602
ADM|133	65.1187	ADM|133	488.4303
ADNP2|22850	1105.9892	ADNP2|22850	656.6604
ADNP|23394	5608.0884	ADNP|23394	2315.8224
ADORA1|134	9.2537	ADORA1|134	343.965
ADORA2A|135	54.494	ADORA2A|135	81.3008
lowly_expressed	lowly_expressed	ADORA2B|136	27.5172
ADORA3|140	38.043	ADORA3|140	84.4278
ADO|84890	1034.0159	ADO|84890	465.9162
