gene_id	TCGA-BH-A18J-01A-11R-A12D-07	gene_id	TCGA-BH-A18J-11A-31R-A12D-07
ACP5|54	581.5076	ACP5|54	753.5651
ACP6|51205	112.1778	ACP6|51205	167.1123
ACPL2|92370	562.986	ACPL2|92370	363.6364
ACPP|55	104.4896	ACPP|55	32.0856
ACRBP|84519	8.7366	ACRBP|84519	25.4011
ACRC|93953	12.2312	ACRC|93953	29.4118
lowly_expressed	lowly_expressed	ACSBG1|23205	16.0428
lowly_expressed	lowly_expressed	ACSBG2|81616	8.0214
ACSF2|80221	454.6523	ACSF2|80221	1253.5651
ACSF3|197322	84.2208	ACSF3|197322	358.7344
ACSL1|2180	1129.8162	ACSL1|2180	7666.6667
ACSL3|2181	3126.6518	ACSL3|2181	2621.2121
ACSL4|2182	456.0501	ACSL4|2182	1438.9483
ACSL5|51703	262.0978	ACSL5|51703	1253.5651
ACSM1|116285	7.3387	ACSM1|116285	164.8841
ACSM3|6296	9.9912	ACSM3|6296	185.664
ACSM5|54988	9.785	ACSM5|54988	371.6578
ACSS1|84532	1592.8556	ACSS1|84532	1267.3797
ACSS2|55902	623.7927	ACSS2|55902	1936.7201
ACSS3|79611	152.7156	ACSS3|79611	569.5187
ACTA1|58	19.2205	ACTA1|58	95.8111
ACTA2|59	11833.152	ACTA2|59	27753.9617
lowly_expressed	lowly_expressed	ACTBL2|345651	7.1301
ACTB|60	133848.4428	ACTB|60	74687.1658
ACTG1|71	107893.4241	ACTG1|71	52471.4795
ACTG2|72	199.8932	ACTG2|72	7794.5633
ACTL6A|86	1388.7688	ACTL6A|86	733.9572
ACTN1|87	7661.9917	ACTN1|87	10972.3708
ACTN4|81	11323.3684	ACTN4|81	13234.697
ACTR10|55860	1274.4941	ACTR10|55860	957.2193
ACTR1A|10121	4143.9406	ACTR1A|10121	2191.1765
ACTR1B|10120	985.4876	ACTR1B|10120	1402.4064
ACTR2|10097	5961.8508	ACTR2|10097	4201.8717
ACTR3B|57180	220.1621	ACTR3B|57180	220.5882
ACTR3C|653857	27.6076	ACTR3C|653857	20.9447
ACTR3|10096	4533.5926	ACTR3|10096	2681.8182
ACTR5|79913	245.3235	ACTR5|79913	202.3173
ACTR6|64431	586.4001	ACTR6|64431	458.5561
ACTR8|93973	341.426	ACTR8|93973	464.795
ACVR1B|91	1437.6937	ACVR1B|91	1315.0624
ACVR1C|130399	20.6184	ACVR1C|130399	761.5865
ACVR1|90	1599.8448	ACVR1|90	971.9251
ACVR2A|92	295.6463	ACVR2A|92	456.328
ACVR2B|93	212.4739	ACVR2B|93	362.2995
ACVRL1|94	495.1901	ACVRL1|94	884.1355
ACY1|95	286.7979	ACY1|95	595.8111
ACY3|91703	19.57	ACY3|91703	49.9109
ACYP1|97	50.3228	ACYP1|97	54.8128
ACYP2|98	143.979	ACYP2|98	151.0695
lowly_expressed	lowly_expressed	ADAD2|161931	7.2326
ADAL|161823	81.425	ADAL|161823	163.1016
ADAM10|102	1334.9514	ADAM10|102	1678.6988
lowly_expressed	lowly_expressed	ADAM11|4185	12.0321
ADAM12|8038	1648.4203	ADAM12|8038	232.1747
ADAM15|8751	9575.5396	ADAM15|8751	3087.8654
ADAM17|6868	821.5892	ADAM17|6868	779.8574
ADAM19|8728	435.7812	ADAM19|8728	53.0303
ADAM21|8747	23.4141	ADAM21|8747	9.3583
ADAM22|53616	43.683	ADAM22|53616	12.9234
ADAM23|8745	7.6882	ADAM23|8745	12.0321
ADAM28|10863	61.8551	ADAM28|10863	101.6043
ADAM32|203102	8.0377	ADAM32|203102	122.1034
ADAM33|80332	59.7583	ADAM33|80332	674.9554
ADAM6|8755	3869.5522	ADAM6|8755	26642.3396
ADAM8|101	420.0554	ADAM8|101	57.041
ADAM9|8754	1954.201	ADAM9|8754	1333.779
ADAMDEC1|27299	5.9409	ADAMDEC1|27299	8.0214
ADAMTS10|81794	153.4146	ADAMTS10|81794	161.7647
ADAMTS12|81792	429.1414	ADAMTS12|81792	109.18
ADAMTS13|11093	46.8281	ADAMTS13|11093	80.6595
ADAMTS14|140766	99.2477	lowly_expressed	lowly_expressed
ADAMTS15|170689	597.9324	ADAMTS15|170689	517.8253
ADAMTS16|170690	74.4358	ADAMTS16|170690	29.4118
ADAMTS17|170691	55.5647	ADAMTS17|170691	134.1355
lowly_expressed	lowly_expressed	ADAMTS18|170692	133.6898
ADAMTS19|171019	48.226	ADAMTS19|171019	5.3476
ADAMTS1|9510	377.7703	ADAMTS1|9510	6880.5704
ADAMTS2|9509	693.336	ADAMTS2|9509	426.9162
ADAMTS3|9508	29.7044	ADAMTS3|9508	64.6168
ADAMTS4|9507	1658.2053	ADAMTS4|9507	1351.1586
ADAMTS5|11096	123.0112	ADAMTS5|11096	2149.287
ADAMTS6|11174	53.1185	ADAMTS6|11174	19.6078
ADAMTS7|11173	432.6361	ADAMTS7|11173	57.041
lowly_expressed	lowly_expressed	ADAMTS8|11095	121.2121
