gene_id	TCGA-BH-A1FR-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FR-11B-42R-A13Q-07
ADAMTS8|11095	38.6686	ADAMTS8|11095	26.7812
ADAMTS9|56999	183.5536	ADAMTS9|56999	933.2996
ADAMTSL1|92949	79.2952	ADAMTSL1|92949	293.5826
ADAMTSL2|9719	228.0959	ADAMTSL2|9719	79.8383
ADAMTSL3|57188	22.0264	ADAMTSL3|57188	169.2774
ADAMTSL4|54507	43.0739	ADAMTSL4|54507	596.766
ADAMTSL5|339366	42.095	ADAMTSL5|339366	48.004
ADAP1|11033	164.1165	ADAP1|11033	87.4836
ADAP2|55803	358.2966	ADAP2|55803	439.1107
ADARB1|104	301.5174	ADARB1|104	728.6508
ADAR|103	8143.4165	ADAR|103	6893.3805
ADAT1|23536	452.7655	ADAT1|23536	373.9262
ADAT2|134637	44.0529	ADAT2|134637	177.8676
ADAT3|113179	66.5688	ADAT3|113179	14.1486
ADA|100	53.3529	ADA|100	175.8464
ADCK1|57143	204.6011	ADCK1|57143	190.5003
ADCK2|90956	1130.6902	ADCK2|90956	631.1268
ADCK4|79934	655.8982	ADCK4|79934	393.6331
ADCK5|203054	153.6955	ADCK5|203054	81.3542
lowly_expressed	lowly_expressed	ADCY10|55811	38.4032
ADCY1|107	258.9329	ADCY1|107	587.6705
lowly_expressed	lowly_expressed	ADCY2|108	113.1885
ADCY3|109	890.2643	ADCY3|109	1525.0632
ADCY4|196883	136.5639	ADCY4|196883	580.5963
ADCY5|111	23.0054	ADCY5|111	204.6488
ADCY6|112	2492.9026	ADCY6|112	2084.3861
ADCY7|113	426.8233	ADCY7|113	801.9202
ADCY8|114	446.4023	lowly_expressed	lowly_expressed
ADCY9|115	593.7347	ADCY9|115	833.2491
lowly_expressed	lowly_expressed	ADCYAP1R1|117	31.329
ADCYAP1|116	1109.6427	ADCYAP1|116	53.0571
ADC|113451	293.1963	ADC|113451	186.9631
ADD1|118	6453.255	ADD1|118	5594.2395
ADD2|119	37.6897	ADD2|119	70.7428
ADD3|120	717.0827	ADD3|120	6120.7681
lowly_expressed	lowly_expressed	ADH1A|124	60.9752
ADH1B|125	171.8062	ADH1B|125	6848.4083
ADH1C|126	8.8106	ADH1C|126	385.5483
