gene_id	TCGA-E9-A1RC-01A-11R-A157-07	gene_id	TCGA-E9-A1RC-11A-33R-A157-07
ACOX2|8309	1410.2183	ACOX2|8309	608.2321
ACOX3|8310	653.5218	ACOX3|8310	465.9617
ACP1|52	1680.8036	ACP1|52	1058.1141
ACP2|53	638.1448	ACP2|53	1053.9194
ACP5|54	663.4425	ACP5|54	298.1736
ACP6|51205	493.7996	ACP6|51205	199.2484
ACPL2|92370	308.0357	ACPL2|92370	214.9786
ACPP|55	12.4008	ACPP|55	8.0398
ACRBP|84519	33.4821	ACRBP|84519	37.0532
ACRC|93953	7.4405	ACRC|93953	33.2081
lowly_expressed	lowly_expressed	ACR|49	7.3407
lowly_expressed	lowly_expressed	ACSBG1|23205	12.2346
ACSF2|80221	671.875	ACSF2|80221	1215.066
ACSF3|197322	357.6389	ACSF3|197322	273.7044
ACSL1|2180	642.1131	ACSL1|2180	39093.9439
ACSL3|2181	1886.1607	ACSL3|2181	1856.5062
ACSL4|2182	324.6528	ACSL4|2182	2869.8768
ACSL5|51703	643.3532	ACSL5|51703	1134.3179
ACSL6|23305	156.746	lowly_expressed	lowly_expressed
ACSM1|116285	36.4583	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACSM2A|123876	11.1859
lowly_expressed	lowly_expressed	ACSM2B|348158	5.2434
ACSM3|6296	7.3065	ACSM3|6296	6.3305
ACSM5|54988	7.1925	ACSM5|54988	2048.7634
ACSS1|84532	254.9603	ACSS1|84532	370.8818
ACSS2|55902	612.5992	ACSS2|55902	6957.2665
ACSS3|79611	212.0536	ACSS3|79611	2015.9049
ACTA1|58	81.3492	lowly_expressed	lowly_expressed
ACTA2|59	4043.7103	ACTA2|59	5757.9726
ACTB|60	73929.5635	ACTB|60	58416.4992
lowly_expressed	lowly_expressed	ACTC1|70	24.4691
ACTG1|71	54397.3214	ACTG1|71	24393.2535
ACTG2|72	375.496	ACTG2|72	444.6386
ACTL6A|86	1493.3036	ACTL6A|86	572.9267
ACTL8|81569	10.6647	lowly_expressed	lowly_expressed
ACTN1|87	5178.5714	ACTN1|87	5194.442
ACTN2|88	13.3929	lowly_expressed	lowly_expressed
ACTN4|81	8240.8705	ACTN4|81	9293.7202
ACTR10|55860	1110.119	ACTR10|55860	1256.6635
ACTR1A|10121	1419.3948	ACTR1A|10121	3603.95
ACTR1B|10120	1106.1508	ACTR1B|10120	1305.9512
ACTR2|10097	6384.1766	ACTR2|10097	6047.7148
ACTR3B|57180	147.3214	ACTR3B|57180	96.1286
ACTR3C|653857	29.7619	ACTR3C|653857	19.5753
ACTR3|10096	3654.5139	ACTR3|10096	2814.297
ACTR5|79913	273.3135	ACTR5|79913	149.6111
ACTR6|64431	874.0079	ACTR6|64431	460.0192
ACTR8|93973	429.0675	ACTR8|93973	473.3025
ACVR1B|91	1421.131	ACVR1B|91	953.2465
ACVR1C|130399	10.1687	ACVR1C|130399	4942.0606
ACVR1|90	1042.1627	ACVR1|90	1031.1981
