gene_id	TCGA-E9-A1N4-01A-11R-A14M-07	gene_id	TCGA-E9-A1N4-11A-33R-A14M-07
ADCY7|113	708.0952	ADCY7|113	465.731
ADCY9|115	1072.7518	ADCY9|115	713.4477
lowly_expressed	lowly_expressed	ADCYAP1R1|117	6.5345
ADCYAP1|116	21.4649	ADCYAP1|116	9.5047
ADC|113451	88.5736	ADC|113451	174.3521
ADD1|118	2755.8965	ADD1|118	4817.1085
ADD2|119	38.2421	ADD2|119	75.7407
ADD3|120	948.8969	ADD3|120	2786.6637
lowly_expressed	lowly_expressed	ADH1A|124	13.9808
ADH1B|125	608.6658	ADH1B|125	2101.4331
ADH1C|126	19.7378	ADH1C|126	120.8881
lowly_expressed	lowly_expressed	ADH4|127	19.3065
ADH5|128	1813.1677	ADH5|128	2683.894
ADHFE1|137872	92.5211	ADHFE1|137872	208.5097
ADI1|55256	1407.3083	ADI1|55256	1419.1728
ADIPOQ|9370	139.6452	ADIPOQ|9370	240.5881
ADIPOR1|51094	3151.6403	ADIPOR1|51094	2232.123
ADIPOR2|79602	1981.1861	ADIPOR2|79602	1772.0353
ADK|132	571.4106	ADK|132	351.6745
ADM2|79924	188.003	ADM2|79924	71.8794
ADM|133	72.7833	ADM|133	198.708
ADNP2|22850	601.7575	ADNP2|22850	775.8224
ADNP|23394	2829.42	ADNP|23394	3325.4622
ADORA1|134	22.9452	ADORA1|134	706.6162
ADORA2A|135	298.7792	ADORA2A|135	86.4335
ADORA2B|136	9.8689	ADORA2B|136	45.1474
ADORA3|140	177.1472	ADORA3|140	134.5511
ADO|84890	640.4931	ADO|84890	721.7643
ADPGK|83440	1408.5024	ADPGK|83440	998.904
ADPRHL1|113622	106.8311	ADPRHL1|113622	100.9876
ADPRHL2|54936	579.059	ADPRHL2|54936	601.1732
ADPRH|141	297.3013	ADPRH|141	312.1705
ADRA1B|147	7.8951	ADRA1B|147	5.0494
lowly_expressed	lowly_expressed	ADRA1D|146	6.2375
ADRA2A|150	1316.0208	ADRA2A|150	646.6177
lowly_expressed	lowly_expressed	ADRA2B|151	14.8511
ADRA2C|152	8.882	ADRA2C|152	27.029
ADRB1|153	205.0269	ADRB1|153	60.2955
ADRB2|154	51.8118	ADRB2|154	143.1648
ADRBK1|156	1910.3766	ADRBK1|156	1528.18
ADRBK2|157	890.6702	ADRBK2|157	731.269
ADRM1|11047	954.8182	ADRM1|11047	668.5973
ADSL|158	969.1282	ADSL|158	880.9683
ADSSL1|122622	28.3732	ADSSL1|122622	73.6615
ADSS|159	2780.8156	ADSS|159	1743.2242
AEBP1|165	8400.1799	AEBP1|165	2073.8101
AEBP2|121536	792.4745	AEBP2|121536	1215.4155
AEN|64782	435.2195	AEN|64782	388.2082
AES|166	3124.0073	AES|166	4142.2737
AFAP1L1|134265	281.2643	AFAP1L1|134265	233.1625
AFAP1L2|84632	228.4655	AFAP1L2|84632	793.6437
AFAP1|60312	1158.6583	AFAP1|60312	1595.5684
AFF1|4299	4762.0017	AFF1|4299	3154.0803
AFF2|2334	19.2444	AFF2|2334	31.1873
AFF3|3899	1434.9413	AFF3|3899	1472.6368
AFF4|27125	5514.0136	AFF4|27125	5526.1008
AFG3L1|172	134.4641	AFG3L1|172	316.0318
AFG3L2|10939	1722.7191	AFG3L2|10939	1739.6213
AFMID|125061	816.1599	AFMID|125061	641.5683
lowly_expressed	lowly_expressed	AFP|174	7.1285
AFTPH|54812	1404.5944	AFTPH|54812	2208.6582
AG2|387763	176.1603	AG2|387763	74.5526
AGAP11|119385	29.36	AGAP11|119385	147.632
AGAP1|116987	433.4924	AGAP1|116987	934.7293
AGAP2|116986	128.9424	AGAP2|116986	78.907
AGAP3|116988	2526.1974	AGAP3|116988	1336.0065
AGAP4|119016	123.855	AGAP4|119016	282.1712
AGAP5|729092	51.3677	AGAP5|729092	129.8998
AGAP6|414189	73.2767	AGAP6|414189	171.9759
lowly_expressed	lowly_expressed	AGAP7|653268	9.8017
AGAP8|728404	17.2706	AGAP8|728404	29.4052
AGA|175	520.8324	AGA|175	460.0876
AGBL2|79841	16.7772	AGBL2|79841	22.2767
lowly_expressed	lowly_expressed	AGBL4|84871	7.4256
AGBL5|60509	244.7542	AGBL5|60509	724.4494
AGER|177	12.3362	AGER|177	25.8409
AGFG1|3267	1282.7132	AGFG1|3267	1947.2785
AGFG2|3268	336.2835	AGFG2|3268	548.8973
AGGF1|55109	1172.1812	AGGF1|55109	1054.7264
AGK|55750	681.4491	AGK|55750	617.8065
AGL|178	1457.1464	AGL|178	1332.4423
AGMAT|79814	35.2814	AGMAT|79814	14.2571
AGPAT1|10554	1285.2544	AGPAT1|10554	1264.5073
AGPAT2|10555	426.0907	AGPAT2|10555	368.3077
AGPAT3|56894	2899.9828	AGPAT3|56894	1480.6564
AGPAT4|56895	265.474	AGPAT4|56895	209.1037
AGPAT5|55326	976.7766	AGPAT5|55326	679.2901
AGPAT6|137964	2104.5477	AGPAT6|137964	1924.7048
AGPAT9|84803	42.9298	AGPAT9|84803	73.3645
AGPHD1|123688	39.7224	AGPHD1|123688	74.2556
AGPS|8540	2138.5954	AGPS|8540	1377.5897
AGR2|10551	7186.3024	AGR2|10551	2340.5361
AGR3|155465	1847.4622	AGR3|155465	597.0149
AGRN|375790	2452.6739	AGRN|375790	3399.4208
AGTPBP1|23287	343.9319	AGTPBP1|23287	466.3251
AGTR1|185	25.4125	AGTR1|185	107.8191
AGTRAP|57085	641.2332	AGTRAP|57085	475.5328
AGT|183	179.3677	AGT|183	67.1271
AGXT2L2|85007	407.3003	AGXT2L2|85007	451.275
AHCTF1|25909	1720.6466	AHCTF1|25909	2115.6902
AHCYL1|10768	4061.5549	AHCYL1|10768	3930.4968
AHCYL2|23382	707.1083	AHCYL2|23382	752.3576
AHCY|191	4565.6101	AHCY|191	3438.6278
AHDC1|27245	405.6127	AHDC1|27245	1314.3239
AHI1|54806	321.7269	AHI1|54806	498.1065
AHNAK2|113146	2313.5221	AHNAK2|113146	717.012
AHNAK|79026	47805.3059	AHNAK|79026	82750.1299
AHRR|57491	5.6746	AHRR|57491	17.2273
AHR|196	2535.5728	AHR|196	5621.445
AHSA1|10598	1359.444	AHSA1|10598	1351.4517
AHSA2|130872	175.4201	AHSA2|130872	713.1507
AIDA|64853	1008.4928	AIDA|64853	804.3989
AIF1L|83543	163.0839	AIF1L|83543	2953.8873
AIF1|199	472.4747	AIF1|199	373.6541
AIFM1|9131	1529.9297	AIFM1|9131	708.6953
AIFM2|84883	267.4478	AIFM2|84883	343.6549
AIFM3|150209	12.2671	AIFM3|150209	12.9769
AIG1|51390	429.7916	AIG1|51390	601.7673
AIM1L|55057	5.4279	lowly_expressed	lowly_expressed
AIM1|202	1394.9722	AIM1|202	3912.6754
AIM2|9447	23.9321	AIM2|9447	5.6434
AIMP1|9255	1254.34	AIMP1|9255	1652.0383
AIMP2|7965	440.8102	AIMP2|7965	268.2825
AIP|9049	594.8493	AIP|9049	575.9263
lowly_expressed	lowly_expressed	AJAP1|55966	18.7124
AK1|203	517.3782	AK1|203	284.2504
AK2|204	2078.395	AK2|204	2014.4056
AK3L1|205	679.4753	AK3L1|205	591.3715
AK3|50808	1445.3037	AK3|50808	1600.0594
AK5|26289	2484.5012	AK5|26289	1772.0353
AK7|122481	6.4148	AK7|122481	30.5933
AKAP10|11216	799.3827	AKAP10|11216	788.8914
AKAP11|11215	2832.8741	AKAP11|11215	2699.6361
AKAP12|9590	885.7358	AKAP12|9590	1003.9355
AKAP13|11214	3856.0346	AKAP13|11214	6870.127
AKAP1|8165	1766.5371	AKAP1|8165	4296.4283
AKAP2|11217	659.1231	AKAP2|11217	881.197
AKAP3|10566	25.6592	AKAP3|10566	43.6623
AKAP5|9495	382.4207	AKAP5|9495	100.0965
AKAP6|9472	3888.3554	AKAP6|9472	416.1283
AKAP7|9465	98.9359	AKAP7|9465	305.933
AKAP8L|26993	806.2909	AKAP8L|26993	835.2269
AKAP8|10270	780.1383	AKAP8|10270	1116.507
AKAP9|10142	5766.4112	AKAP9|10142	4890.77
AKD1|221264	91.5343	AKD1|221264	210.2918
AKIRIN1|79647	947.6633	AKIRIN1|79647	902.0569
AKIRIN2|55122	416.2218	AKIRIN2|55122	646.6177
AKNA|80709	859.5831	AKNA|80709	740.1797
