gene_id	TCGA-BH-A1EW-01A-11R-A137-07	gene_id	TCGA-BH-A1EW-11B-33R-A137-07
ACTN2|88	109.9928	ACTN2|88	19.0961
ACTN4|81	10270.4637	ACTN4|81	6672.7689
ACTR10|55860	707.7642	ACTR10|55860	1138.5529
ACTR1A|10121	2362.6887	ACTR1A|10121	1987.9058
ACTR1B|10120	809.4896	ACTR1B|10120	709.1025
ACTR2|10097	7743.3501	ACTR2|10097	6335.4551
ACTR3B|57180	262.4012	ACTR3B|57180	237.8527
ACTR3C|653857	41.6966	ACTR3C|653857	27.5833
ACTR3|10096	4760.6039	ACTR3|10096	2775.0902
ACTR5|79913	227.1747	ACTR5|79913	201.5701
ACTR6|64431	457.9439	ACTR6|64431	580.3098
ACTR8|93973	455.7872	ACTR8|93973	611.0757
ACVR1B|91	1752.6959	ACVR1B|91	1517.0804
ACVR1C|130399	26.959	ACVR1C|130399	440.0594
ACVR1|90	909.4177	ACVR1|90	944.6213
ACVR2A|92	381.7398	ACVR2A|92	687.0359
ACVR2B|93	527.3185	ACVR2B|93	481.01
ACVRL1|94	592.3796	ACVRL1|94	429.4505
ACY1|95	345.7944	ACY1|95	383.4309
lowly_expressed	lowly_expressed	ACY3|91703	10.1846
ACYP1|97	30.913	ACYP1|97	58.3492
ACYP2|98	48.1668	ACYP2|98	123.9126
ADAL|161823	134.4357	ADAL|161823	258.6463
ADAM10|102	2254.8526	ADAM10|102	2194.1439
ADAM11|4185	5.3918	ADAM11|4185	23.5519
ADAM12|8038	1063.2638	ADAM12|8038	889.8791
ADAM15|8751	3437.0956	ADAM15|8751	1886.7218
ADAM17|6868	1038.1021	ADAM17|6868	954.5937
ADAM19|8728	469.4464	ADAM19|8728	222.3637
lowly_expressed	lowly_expressed	ADAM21|8747	7.4263
ADAM22|53616	103.8821	ADAM22|53616	148.9497
ADAM23|8745	51.0424	ADAM23|8745	29.0685
ADAM28|10863	102.8037	ADAM28|10863	172.9259
lowly_expressed	lowly_expressed	ADAM29|11086	189.9003
ADAM32|203102	36.6643	ADAM32|203102	78.5063
ADAM33|80332	113.9468	ADAM33|80332	370.5411
ADAM6|8755	12341.348	ADAM6|8755	82065.6906
ADAM8|101	272.1064	ADAM8|101	95.6928
ADAM9|8754	3121.4953	ADAM9|8754	2854.6573
ADAMDEC1|27299	90.9418	ADAMDEC1|27299	15.4891
ADAMTS10|81794	103.1632	ADAMTS10|81794	80.8402
ADAMTS12|81792	139.8275	ADAMTS12|81792	180.3522
ADAMTS13|11093	61.4666	ADAMTS13|11093	82.5377
ADAMTS14|140766	43.4939	lowly_expressed	lowly_expressed
ADAMTS15|170689	543.1344	ADAMTS15|170689	417.5684
lowly_expressed	lowly_expressed	ADAMTS16|170690	63.6537
ADAMTS17|170691	8.6269	ADAMTS17|170691	46.6794
ADAMTS18|170692	97.0525	ADAMTS18|170692	156.376
lowly_expressed	lowly_expressed	ADAMTS19|171019	10.8211
ADAMTS1|9510	3200.9346	ADAMTS1|9510	5444.9395
ADAMTS2|9509	263.1201	ADAMTS2|9509	240.1867
ADAMTS3|9508	86.2689	ADAMTS3|9508	120.9421
ADAMTS4|9507	1768.1524	ADAMTS4|9507	339.0622
ADAMTS5|11096	123.2926	ADAMTS5|11096	1793.1254
ADAMTS6|11174	42.4155	ADAMTS6|11174	34.7974
ADAMTS7|11173	99.9281	ADAMTS7|11173	59.198
ADAMTS8|11095	109.6334	ADAMTS8|11095	97.8146
ADAMTS9|56999	2832.4946	ADAMTS9|56999	950.3501
ADAMTSL1|92949	148.0949	ADAMTSL1|92949	101.6338
ADAMTSL2|9719	38.1021	ADAMTSL2|9719	19.0961
ADAMTSL3|57188	115.0252	ADAMTSL3|57188	287.7148
