gene_id	TCGA-E9-A1ND-01A-11R-A144-07	gene_id	TCGA-E9-A1ND-11A-43R-A144-07
ACTR1A|10121	3255.356	ACTR1A|10121	3579.5688
ACTR1B|10120	971.0096	ACTR1B|10120	1772.6052
ACTR2|10097	9028.9404	ACTR2|10097	4311.2584
ACTR3B|57180	85.9566	ACTR3B|57180	214.8612
ACTR3C|653857	56.4715	ACTR3C|653857	13.5498
ACTR3|10096	6879.5258	ACTR3|10096	3177.4299
ACTR5|79913	254.8713	ACTR5|79913	196.4722
ACTR6|64431	588.203	ACTR6|64431	430.6903
ACTR8|93973	438.7784	ACTR8|93973	366.3287
ACVR1B|91	688.6522	ACVR1B|91	824.6026
ACVR1C|130399	17.4912	ACVR1C|130399	370.684
ACVR1|90	1043.473	ACVR1|90	1068.4991
ACVR2A|92	255.8708	ACVR2A|92	432.1421
ACVR2B|93	241.8779	ACVR2B|93	178.0832
ACVRL1|94	421.787	ACVRL1|94	2074.5723
ACY1|95	535.7295	ACY1|95	875.8499
ACY3|91703	41.9788	ACY3|91703	17.9051
ACYP1|97	52.4735	ACYP1|97	66.2973
ACYP2|98	129.9344	ACYP2|98	211.4738
lowly_expressed	lowly_expressed	ADAD2|161931	22.7153
ADAL|161823	97.9505	ADAL|161823	179.051
ADAM10|102	1463.7608	ADAM10|102	806.6975
lowly_expressed	lowly_expressed	ADAM11|4185	16.4533
ADAM12|8038	1123.9324	ADAM12|8038	512.4731
ADAM15|8751	4340.8079	ADAM15|8751	4120.2933
ADAM17|6868	1717.6326	ADAM17|6868	486.3413
ADAM19|8728	1135.4266	ADAM19|8728	174.6957
lowly_expressed	lowly_expressed	ADAM22|53616	22.2604
ADAM23|8745	9.995	ADAM23|8745	33.8745
ADAM28|10863	195.4013	ADAM28|10863	69.2008
ADAM32|203102	15.4922	ADAM32|203102	39.1977
ADAM33|80332	23.9879	ADAM33|80332	1595.6737
ADAM6|8755	74156.6959	ADAM6|8755	69989.5279
ADAM8|101	1048.4705	ADAM8|101	139.8534
ADAM9|8754	1854.5634	ADAM9|8754	2306.3708
