gene_id	TCGA-BH-A0AU-01A-11R-A12P-07	gene_id	TCGA-BH-A0AU-11A-11R-A12P-07
ACOX3|8310	731.0469	ACOX3|8310	527.326
ACP1|52	1132.6715	ACP1|52	1374.6843
ACP2|53	1221.1191	ACP2|53	682.8973
ACP5|54	2899.8195	ACP5|54	454.9955
ACP6|51205	385.8303	ACP6|51205	419.8404
ACPL2|92370	592.9603	ACPL2|92370	441.6608
ACPP|55	10.8303	ACPP|55	40.4081
ACRBP|84519	32.9422	ACRBP|84519	23.4367
ACRC|93953	14.8917	ACRC|93953	34.751
lowly_expressed	lowly_expressed	ACSBG1|23205	17.3755
lowly_expressed	lowly_expressed	ACSBG2|81616	7.6775
ACSF2|80221	675.0903	ACSF2|80221	1012.2639
ACSF3|197322	233.3032	ACSF3|197322	421.8608
ACSL1|2180	7145.3069	ACSL1|2180	2178.8059
ACSL3|2181	3693.1408	ACSL3|2181	3747.8533
ACSL4|2182	899.3682	ACSL4|2182	828.3665
ACSL5|51703	250.4513	ACSL5|51703	912.4154
ACSL6|23305	35.6498	ACSL6|23305	10.102
ACSM1|116285	5.4152	ACSM1|116285	33.1347
ACSM3|6296	26.6606	ACSM3|6296	212.377
ACSM5|54988	17.148	ACSM5|54988	89.3019
ACSS1|84532	1171.4801	ACSS1|84532	1113.2438
ACSS2|55902	1589.3502	ACSS2|55902	1520.5576
ACSS3|79611	121.8412	ACSS3|79611	235.9834
ACTA2|59	6484.6977	ACTA2|59	19043.8994
lowly_expressed	lowly_expressed	ACTBL2|345651	5.2531
ACTB|60	64695.8484	ACTB|60	44903.9297
ACTG1|71	44228.7906	ACTG1|71	49538.3372
ACTG2|72	217.509	ACTG2|72	2638.2463
ACTL6A|86	946.2996	ACTL6A|86	920.497
ACTN1|87	4884.9278	ACTN1|87	6897.2623
ACTN4|81	11290.0181	ACTN4|81	10818.4706
ACTR10|55860	733.3032	ACTR10|55860	915.648
ACTR1A|10121	3072.6534	ACTR1A|10121	1671.684
ACTR1B|10120	675.0903	ACTR1B|10120	1510.8597
ACTR2|10097	5777.0758	ACTR2|10097	3726.0329
ACTR3B|57180	234.2058	ACTR3B|57180	350.3384
ACTR3C|653857	18.5018	ACTR3C|653857	28.2857
ACTR3|10096	3617.3285	ACTR3|10096	2345.6915
ACTR5|79913	341.1552	ACTR5|79913	252.1467
ACTR6|64431	782.491	ACTR6|64431	647.3381
ACTR8|93973	457.13	ACTR8|93973	576.2198
ACVR1B|91	1375	ACVR1B|91	1461.5618
ACVR1C|130399	37.4549	ACVR1C|130399	193.5549
ACVR1|90	985.1083	ACVR1|90	1005.3541
ACVR2A|92	231.4982	ACVR2A|92	670.7748
ACVR2B|93	243.231	ACVR2B|93	837.6604
ACVRL1|94	288.8087	ACVRL1|94	419.0322
ACY1|95	467.9603	ACY1|95	606.93
lowly_expressed	lowly_expressed	ACY3|91703	25.053
ACYP1|97	39.2599	ACYP1|97	76.3714
ACYP2|98	73.556	ACYP2|98	150.3182
ADAL|161823	180.0542	ADAL|161823	174.5631
ADAM10|102	1432.7617	ADAM10|102	1689.4636
ADAM11|4185	20.3069	ADAM11|4185	36.3673
ADAM12|8038	4440.4332	ADAM12|8038	505.9097
ADAM15|8751	3002.2563	ADAM15|8751	2483.5882
ADAM17|6868	869.1336	ADAM17|6868	787.1502
ADAM19|8728	637.6354	ADAM19|8728	77.1795
lowly_expressed	lowly_expressed	ADAM21|8747	8.4857
ADAM22|53616	86.6426	ADAM22|53616	50.1061
ADAM23|8745	68.1408	ADAM23|8745	17.7796
ADAM28|10863	111.0108	ADAM28|10863	122.4366
lowly_expressed	lowly_expressed	ADAM29|11086	56.1673
ADAM32|203102	9.9278	ADAM32|203102	58.5918
ADAM33|80332	80.3249	ADAM33|80332	411.0557
ADAM6|8755	16553.0325	ADAM6|8755	52047.8594
ADAM8|101	216.1552	ADAM8|101	101.4244
ADAM9|8754	2018.5018	ADAM9|8754	1270.0273
ADAMDEC1|27299	103.3394	lowly_expressed	lowly_expressed
ADAMTS10|81794	73.556	ADAMTS10|81794	143.0448
ADAMTS12|81792	696.2996	ADAMTS12|81792	69.502
ADAMTS13|11093	56.4079	ADAMTS13|11093	140.6203
ADAMTS14|140766	175.9928	ADAMTS14|140766	8.0816
ADAMTS15|170689	33.3935	ADAMTS15|170689	275.5834
ADAMTS16|170690	205.3249	ADAMTS16|170690	23.4367
ADAMTS17|170691	36.5523	ADAMTS17|170691	43.2367
ADAMTS18|170692	29.3321	ADAMTS18|170692	94.9591
ADAMTS1|9510	481.9495	ADAMTS1|9510	1481.7658
ADAMTS20|80070	24.8195	lowly_expressed	lowly_expressed
ADAMTS2|9509	954.4224	ADAMTS2|9509	174.9672
ADAMTS3|9508	15.7942	ADAMTS3|9508	39.6
ADAMTS4|9507	595.6679	ADAMTS4|9507	58.5918
ADAMTS5|11096	179.6029	ADAMTS5|11096	1838.9736
ADAMTS6|11174	80.3249	ADAMTS6|11174	10.9102
ADAMTS7|11173	159.7473	ADAMTS7|11173	36.7714
ADAMTS8|11095	9.4765	ADAMTS8|11095	49.2979
ADAMTS9|56999	257.6715	ADAMTS9|56999	372.967
ADAMTSL1|92949	81.6787	ADAMTSL1|92949	115.1631
ADAMTSL2|9719	68.1408	ADAMTSL2|9719	35.1551
ADAMTSL3|57188	84.8375	ADAMTSL3|57188	85.2611
ADAMTSL4|54507	92.509	ADAMTSL4|54507	351.1466
ADAMTSL5|339366	68.1408	ADAMTSL5|339366	33.1347
ADAP1|11033	331.7554	ADAP1|11033	108.9282
ADAP2|55803	268.5018	ADAP2|55803	113.1427
ADARB1|104	351.083	ADARB1|104	793.2114
ADAR|103	18528.8809	ADAR|103	6931.2052
ADAT1|23536	251.8051	ADAT1|23536	284.0691
ADAT2|134637	68.5921	ADAT2|134637	267.5018
ADAT3|113179	6.769	ADAT3|113179	22.2245
ADA|100	150.722	ADA|100	57.3795
ADCK1|57143	125	ADCK1|57143	175.7753
ADCK2|90956	1259.4765	ADCK2|90956	820.2849
ADCK4|79934	840.2527	ADCK4|79934	569.3504
ADCK5|203054	110.1083	ADCK5|203054	107.8897
ADCY10|55811	22.1119	lowly_expressed	lowly_expressed
ADCY1|107	739.1697	ADCY1|107	4018.1837
ADCY2|108	41.9675	ADCY2|108	92.1305
ADCY3|109	1662.9648	ADCY3|109	1028.415
ADCY4|196883	74.4585	ADCY4|196883	399.6363
ADCY5|111	16.2455	ADCY5|111	261.0365
ADCY6|112	2259.0253	ADCY6|112	2758.2584
ADCY7|113	674.639	ADCY7|113	405.2935
ADCY9|115	1348.8267	ADCY9|115	943.1256
lowly_expressed	lowly_expressed	ADCYAP1R1|117	20.6081
ADCYAP1|116	30.6859	ADCYAP1|116	5.6571
ADC|113451	244.1336	ADC|113451	222.6488
ADD1|118	7341.6065	ADD1|118	6114.9611
ADD2|119	30.6859	ADD2|119	60.6122
ADD3|120	3689.9819	ADD3|120	3006.3643
lowly_expressed	lowly_expressed	ADH1A|124	25.053
ADH1B|125	618.6823	ADH1B|125	3733.3064
lowly_expressed	lowly_expressed	ADH1C|126	106.6774
ADH5|128	1743.6823	ADH5|128	3119.9111
ADH7|131	7.2202	lowly_expressed	lowly_expressed
ADHFE1|137872	49.1877	ADHFE1|137872	213.759
ADI1|55256	391.2455	ADI1|55256	1363.7741
ADIPOQ|9370	615.9747	ADIPOQ|9370	3334.8823
ADIPOR1|51094	4396.2094	ADIPOR1|51094	2491.1607
ADIPOR2|79602	2967.0578	ADIPOR2|79602	2121.8305
ADK|132	471.5704	ADK|132	274.7752
ADM2|79924	395.7581	ADM2|79924	151.5305
ADM|133	120.0361	ADM|133	223.861
ADNP2|22850	689.0794	ADNP2|22850	750.7829
ADNP|23394	6873.6462	ADNP|23394	3486.4128
ADORA1|134	164.2599	ADORA1|134	667.1381
ADORA2A|135	156.5884	ADORA2A|135	90.5142
ADORA2B|136	46.0289	ADORA2B|136	112.7387
ADORA3|140	144.4043	ADORA3|140	72.7346
ADO|84890	464.3502	ADO|84890	677.6442
ADPGK|83440	897.4323	ADPGK|83440	921.8588
ADPRHL1|113622	140.343	ADPRHL1|113622	138.1958
ADPRHL2|54936	998.6462	ADPRHL2|54936	575.4117
ADPRH|141	217.509	ADPRH|141	343.065
lowly_expressed	lowly_expressed	ADRA1A|148	24.2449
lowly_expressed	lowly_expressed	ADRA1B|147	11.7184
ADRA2A|150	476.9856	ADRA2A|150	737.8523
ADRA2B|151	6.3177	ADRA2B|151	23.0326
ADRA2C|152	24.8195	ADRA2C|152	35.1551
ADRB1|153	90.2527	ADRB1|153	72.3305
ADRB2|154	27.5271	ADRB2|154	219.012
ADRBK1|156	1911.1011	ADRBK1|156	1889.0797
ADRBK2|157	458.935	ADRBK2|157	1314.4762
ADRM1|11047	1256.3177	ADRM1|11047	830.791
ADSL|158	549.639	ADSL|158	905.546
ADSSL1|122622	37.9061	ADSSL1|122622	107.4856
ADSS|159	1150.2708	ADSS|159	1312.4558
AEBP1|165	21263.0866	AEBP1|165	2791.3931
AEBP2|121536	768.9531	AEBP2|121536	741.8931
AEN|64782	771.2094	AEN|64782	452.1669
AES|166	3722.0217	AES|166	5201.7375
AFAP1L1|134265	130.4152	AFAP1L1|134265	256.1875
AFAP1L2|84632	536.5523	AFAP1L2|84632	983.9378
AFAP1|60312	1211.6381	AFAP1|60312	1617.1169
AFF1|4299	2906.1372	AFF1|4299	2840.2869
AFF2|2334	26.1733	AFF2|2334	50.5102
AFF3|3899	8528.4296	AFF3|3899	1826.043
AFF4|27125	3650.722	AFF4|27125	4032.7306
AFG3L1|172	118.6823	AFG3L1|172	328.518
AFG3L2|10939	1356.6426	AFG3L2|10939	1327.0633
AFMID|125061	264.4404	AFMID|125061	599.6565
lowly_expressed	lowly_expressed	AFP|174	8.0816
AFTPH|54812	2052.3466	AFTPH|54812	2085.8673
AG2|387763	79.8736	AG2|387763	87.2815
AGAP11|119385	101.1011	AGAP11|119385	183.4731
AGAP1|116987	470.6679	AGAP1|116987	574.1994
AGAP2|116986	94.4675	AGAP2|116986	102.5316
AGAP3|116988	1335.2888	AGAP3|116988	1674.5126
AGAP4|119016	78.0686	AGAP4|119016	341.0445
AGAP5|729092	58.3123	AGAP5|729092	88.914
AGAP6|414189	72.6534	AGAP6|414189	192.3427
AGAP7|653268	11.7329	AGAP7|653268	12.5265
AGAP8|728404	16.6968	AGAP8|728404	99.404
AGA|175	216.1552	AGA|175	227.0936
AGBL2|79841	75.8123	AGBL2|79841	26.2653
AGBL3|340351	7.2202	lowly_expressed	lowly_expressed
AGBL4|84871	11.7329	AGBL4|84871	11.3143
AGBL5|60509	1161.5569	AGBL5|60509	875.6561
AGER|177	6.769	AGER|177	88.8979
AGFG1|3267	1758.574	AGFG1|3267	1583.9984
AGFG2|3268	379.5126	AGFG2|3268	473.9873
AGGF1|55109	935.0181	AGGF1|55109	963.3296
AGK|55750	836.6426	AGK|55750	559.2484
AGL|178	3165.1625	AGL|178	996.8684
AGMAT|79814	74.0072	AGMAT|79814	16.1632
AGPAT1|10554	1241.0153	AGPAT1|10554	1730.7162
AGPAT2|10555	252.7076	AGPAT2|10555	749.5707
AGPAT3|56894	2106.4982	AGPAT3|56894	1708.4554
AGPAT4|56895	142.5993	AGPAT4|56895	256.1875
AGPAT5|55326	976.5343	AGPAT5|55326	598.0402
AGPAT6|137964	1653.8809	AGPAT6|137964	2072.9367
AGPAT9|84803	32.9422	AGPAT9|84803	94.555
AGPHD1|123688	46.0289	AGPHD1|123688	54.1469
AGPS|8540	568.5921	AGPS|8540	800.889
AGR2|10551	16152.5271	AGR2|10551	3375.2904
AGR3|155465	719.3141	AGR3|155465	663.5014
AGRN|375790	4101.9856	AGRN|375790	4269.9263
AGTPBP1|23287	272.1119	AGTPBP1|23287	385.4935
AGTR1|185	55.5054	AGTR1|185	253.763
AGTRAP|57085	906.1372	AGTRAP|57085	622.2851
AGT|183	409.296	AGT|183	73.9469
AGXT2L1|64850	23.0144	lowly_expressed	lowly_expressed
AGXT2L2|85007	305.9341	AGXT2L2|85007	437.9796
AHCTF1|25909	2265.7942	AHCTF1|25909	1530.6597
AHCYL1|10768	7206.2274	AHCYL1|10768	4179.4121
AHCYL2|23382	814.9819	AHCYL2|23382	624.3055
AHCY|191	2481.4982	AHCY|191	3543.3882
AHDC1|27245	689.0794	AHDC1|27245	1514.0923
AHI1|54806	218.4116	AHI1|54806	667.9463
AHNAK2|113146	1263.9892	AHNAK2|113146	730.9829
AHNAK|79026	63918.3213	AHNAK|79026	87365.1884
AHRR|57491	82.13	AHRR|57491	21.0122
AHR|196	1968.8628	AHR|196	3133.6499
AHSA1|10598	1517.5993	AHSA1|10598	1493.8883
AHSA2|130872	277.9783	AHSA2|130872	997.6765
AIDA|64853	1523.0144	AIDA|64853	692.2113
AIF1L|83543	244.1336	AIF1L|83543	2540.8627
AIF1|199	223.8267	AIF1|199	222.6488
AIFM1|9131	1702.6173	AIFM1|9131	624.3055
AIFM2|84883	268.5018	AIFM2|84883	479.6444
AIFM3|150209	90.6814	AIFM3|150209	8.8898
AIG1|51390	513.9892	AIG1|51390	593.9994
AIM1L|55057	8.1227	lowly_expressed	lowly_expressed
AIM1|202	1399.3682	AIM1|202	2632.1851
AIM2|9447	10.3791	AIM2|9447	6.8694
AIMP1|9255	1527.3285	AIMP1|9255	1154.4035
AIMP2|7965	340.6227	AIMP2|7965	181.9174
AIP|9049	810.9206	AIP|9049	800.889
lowly_expressed	lowly_expressed	AJAP1|55966	23.8408
AK1|203	260.8303	AK1|203	271.5426
AK2|204	1757.2202	AK2|204	2006.2633
AK3L1|205	61.3718	AK3L1|205	404.8894
AK3|50808	1015.7942	AK3|50808	1615.5167
AK5|26289	28.4296	AK5|26289	1025.1541
AK7|122481	16.6968	AK7|122481	39.1959
AKAP10|11216	954.4224	AKAP10|11216	575.4117
AKAP11|11215	1917.87	AKAP11|11215	2279.0181
AKAP12|9590	1081.6787	AKAP12|9590	1118.4968
AKAP13|11214	3328.9711	AKAP13|11214	5142.3376
AKAP1|8165	1296.4801	AKAP1|8165	3028.5887
AKAP2|11217	506.9043	AKAP2|11217	1030.8354
AKAP3|10566	32.491	AKAP3|10566	65.4612
AKAP5|9495	113.7184	AKAP5|9495	84.0489
AKAP6|9472	43.3213	AKAP6|9472	311.9507
AKAP7|9465	84.8375	AKAP7|9465	200.0202
AKAP8L|26993	1146.6606	AKAP8L|26993	883.3215
AKAP8|10270	620.9386	AKAP8|10270	746.338
AKAP9|10142	2462.5451	AKAP9|10142	4263.461
AKD1|221264	52.7978	AKD1|221264	187.0896
AKIRIN1|79647	1202.6173	AKIRIN1|79647	863.9256
AKIRIN2|55122	348.8267	AKIRIN2|55122	643.2973
AKNA|80709	519.8556	AKNA|80709	941.5092
AKR1A1|10327	1679.6029	AKR1A1|10327	1726.235
AKR1B1|231	477.8881	AKR1B1|231	778.2604
AKR1C1|1645	118.23100000000001	AKR1C1|1645	565.7137
AKR1C2|1646	67.2383	AKR1C2|1646	381.8568
AKR1C3|8644	202.6173	AKR1C3|8644	470.3505
lowly_expressed	lowly_expressed	AKR1E2|83592	56.9755
AKR7A2|8574	980.1444	AKR7A2|8574	991.6153
AKR7A3|22977	299.639	AKR7A3|22977	65.0571
AKR7L|246181	23.916999999999998	AKR7L|246181	20.6081
AKT1S1|84335	1351.5343	AKT1S1|84335	664.3095
AKT1|207	3167.87	AKT1|207	3015.6581
AKT2|208	3659.296	AKT2|208	2430.1445
AKT3|10000	1288.3574	AKT3|10000	995.252
AKTIP|64400	1455.4332	AKTIP|64400	586.039
ALAD|210	898.0144	ALAD|210	1664.4105
ALAS1|211	759.9278	ALAS1|211	762.0972
ALB|213	71.7509	ALB|213	103.0407
ALCAM|214	3506.7690000000002	ALCAM|214	2875.442
ALDH16A1|126133	712.5451	ALDH16A1|126133	509.1423
ALDH18A1|5832	3217.509	ALDH18A1|5832	1626.0228
ALDH1A1|216	440.4332	ALDH1A1|216	1044.954
ALDH1A2|8854	80.7762	ALDH1A2|8854	237.5998
ALDH1A3|220	268.6913	ALDH1A3|220	1550.3829
ALDH1B1|219	1204.8736	ALDH1B1|219	428.3261
ALDH1L1|10840	12.1841	ALDH1L1|10840	209.3141
ALDH1L2|160428	498.1949	ALDH1L2|160428	194.3631
ALDH2|217	2919.6751	ALDH2|217	2921.9113
lowly_expressed	lowly_expressed	ALDH3A1|218	52.9346
ALDH3A2|224	2407.491	ALDH3A2|224	2538.0341
ALDH3B1|221	214.8014	ALDH3B1|221	163.2488
ALDH3B2|222	791.9675	ALDH3B2|222	721.285
ALDH4A1|8659	1036.5523	ALDH4A1|8659	609.3545
ALDH5A1|7915	1162.0036	ALDH5A1|7915	691.7869999999999
ALDH6A1|4329	569.4314	ALDH6A1|4329	578.4382
ALDH7A1|501	1386.7329	ALDH7A1|501	3087.1805
ALDH8A1|64577	11.2816	ALDH8A1|64577	37.9836
ALDH9A1|223	4090.704	ALDH9A1|223	4377.8159
ALDOA|226	49855.5957	ALDOA|226	10968.3806
ALDOB|229	8.574	lowly_expressed	lowly_expressed
ALDOC|230	353.7906	ALDOC|230	649.7626
ALG10B|144245	348.3755	ALG10B|144245	477.624
ALG10|84920	111.0108	ALG10|84920	151.5305
ALG11|440138	41.5162	ALG11|440138	11.3143
ALG12|79087	847.9242	ALG12|79087	558.4402
ALG13|79868	594.7653	ALG13|79868	628.7504
ALG14|199857	129.5126	ALG14|199857	140.2162
ALG1L|200810	93.8809	ALG1L|200810	11.6779
ALG1|56052	940.9883	ALG1|56052	403.6771
ALG2|85365	880.8664	ALG2|85365	912.4154
ALG3|10195	938.6282	ALG3|10195	502.273
ALG5|29880	375.0	ALG5|29880	519.2444
ALG6|29929	277.5271	ALG6|29929	302.2528
ALG8|79053	646.6606	ALG8|79053	793.6155
ALG9|79796	453.0686	ALG9|79796	585.1096
ALKBH1|8846	180.0542	ALKBH1|8846	262.6528
ALKBH2|121642	250.0	ALKBH2|121642	391.1506
ALKBH3|221120	497.2924	ALKBH3|221120	360.4404
ALKBH4|54784	301.0379	ALKBH4|54784	275.2763
ALKBH5|54890	3965.6679	ALKBH5|54890	1925.3258
ALKBH6|84964	113.2671	ALKBH6|84964	63.0367
ALKBH7|84266	169.6751	ALKBH7|84266	480.0485
ALKBH8|91801	226.9856	ALKBH8|91801	299.8283
lowly_expressed	lowly_expressed	ALK|238	10.9102
lowly_expressed	lowly_expressed	ALMS1P|200420	12.9306
ALMS1|7840	709.8375	ALMS1|7840	961.7133
lowly_expressed	lowly_expressed	ALOX12P2|245	56.1673
lowly_expressed	lowly_expressed	ALOX12|239	8.9342
ALOX15B|247	185.0181	ALOX15B|247	135.7713
ALOX15|246	48.2852	ALOX15|246	94.9591
ALOX5AP|241	180.9567	ALOX5AP|241	165.2692
ALOX5|240	269.8556	ALOX5|240	264.2691
ALOXE3|59344	28.8809	ALOXE3|59344	16.9714
ALPK1|80216	434.5668	ALPK1|80216	968.1786
ALPK2|115701	42.4188	ALPK2|115701	5.6571
ALPK3|57538	93.4116	ALPK3|57538	162.4407
ALPL|249	174.1877	ALPL|249	763.7135
