gene_id	TCGA-BH-A1F6-01A-11R-A13Q-07	gene_id	TCGA-BH-A1F6-11B-94R-A13Q-07
ACVR1|90	627.5342	ACVR1|90	1487.9836
ACVR2A|92	245.6388	ACVR2A|92	907.9719
ACVR2B|93	379.0665	ACVR2B|93	249.7069
ACVRL1|94	451.6737	ACVRL1|94	994.7245
ACY1|95	780.7638	ACY1|95	384.8183
ACYP1|97	47.1476	ACYP1|97	53.3411
ACYP2|98	252.711	ACYP2|98	219.5193
ADAL|161823	84.8656	ADAL|161823	291.3247
ADAM10|102	1479.9623	ADAM10|102	2706.9168
ADAM11|4185	9.4295	lowly_expressed	lowly_expressed
ADAM12|8038	1902.876	ADAM12|8038	1100.2345
ADAM15|8751	6598.3357	ADAM15|8751	2104.3376
ADAM17|6868	1459.6888	ADAM17|6868	1029.6014
ADAM19|8728	1058.9345	ADAM19|8728	156.2134
lowly_expressed	lowly_expressed	ADAM21|8747	9.0856
ADAM22|53616	8.0151	ADAM22|53616	177.6084
ADAM23|8745	39.1325	ADAM23|8745	119.578
ADAM28|10863	88.166	ADAM28|10863	58.6166
ADAM32|203102	50.4479	ADAM32|203102	36.9285
ADAM33|80332	27.8171	ADAM33|80332	620.1641
ADAM6|8755	91072.3149	ADAM6|8755	16453.4613
ADAM8|101	425.2711	ADAM8|101	36.3423
ADAM9|8754	4227.7228	ADAM9|8754	3244.1383
ADAMDEC1|27299	594.5309	lowly_expressed	lowly_expressed
ADAMTS10|81794	21.2164	ADAMTS10|81794	113.7163
ADAMTS12|81792	202.2631	ADAMTS12|81792	336.1665
ADAMTS13|11093	136.2565	ADAMTS13|11093	21.6882
ADAMTS14|140766	57.9915	ADAMTS14|140766	7.3271
ADAMTS15|170689	8.958	ADAMTS15|170689	280.4807
ADAMTS16|170690	20.7449	ADAMTS16|170690	261.7233
ADAMTS17|170691	54.2197	ADAMTS17|170691	49.5311
ADAMTS18|170692	11.3154	ADAMTS18|170692	299.5311
lowly_expressed	lowly_expressed	ADAMTS19|171019	14.9472
ADAMTS1|9510	589.8161	ADAMTS1|9510	7985.932
ADAMTS2|9509	364.9222	ADAMTS2|9509	652.6964
ADAMTS3|9508	16.9731	ADAMTS3|9508	250.2931
ADAMTS4|9507	611.504	ADAMTS4|9507	934.9355
ADAMTS5|11096	155.1155	ADAMTS5|11096	5259.6717
ADAMTS6|11174	33.4748	ADAMTS6|11174	72.0985
ADAMTS7|11173	98.0669	ADAMTS7|11173	82.0633
ADAMTS8|11095	67.8925	ADAMTS8|11095	56.5651
ADAMTS9|56999	853.3711	ADAMTS9|56999	1148.007
ADAMTSL1|92949	156.5299	ADAMTSL1|92949	235.6389
ADAMTSL2|9719	11.7869	ADAMTSL2|9719	22.2743
ADAMTSL3|57188	211.2211	ADAMTSL3|57188	479.4842
ADAMTSL4|54507	688.3545	ADAMTSL4|54507	1250
ADAMTSL5|339366	40.0754	ADAMTSL5|339366	51.8757
ADAP1|11033	306.3036	ADAP1|11033	58.3265
ADAP2|55803	417.256	ADAP2|55803	447.5381
ADARB1|104	401.2258	ADARB1|104	944.3142
ADAR|103	10442.2442	ADAR|103	7002.6377
ADAT1|23536	260.2546	ADAT1|23536	354.0445
ADAT2|134637	223.008	ADAT2|134637	261.7233
ADAT3|113179	88.6374	ADAT3|113179	9.6717
ADA|100	193.305	ADA|100	155.3341
ADCK1|57143	127.2984	ADCK1|57143	188.4525
ADCK2|90956	1513.9085	ADCK2|90956	440.5041
ADCK4|79934	767.091	ADCK4|79934	252.0516
ADCK5|203054	229.1372	ADCK5|203054	17.585
ADCY1|107	17.9161	ADCY1|107	500
ADCY2|108	64.1207	ADCY2|108	124.8535
ADCY3|109	1526.9307	ADCY3|109	1354.49
ADCY4|196883	63.6492	ADCY4|196883	597.8898
ADCY5|111	8.0151	ADCY5|111	569.4607
ADCY6|112	1082.9797	ADCY6|112	2472.7433
ADCY7|113	1906.6478	ADCY7|113	858.1477
lowly_expressed	lowly_expressed	ADCY8|114	25.7913
ADCY9|115	599.2456	ADCY9|115	869.2849
lowly_expressed	lowly_expressed	ADCYAP1R1|117	38.1008
ADCYAP1|116	32.5318	ADCYAP1|116	48.0657
ADC|113451	100.8958	ADC|113451	64.1852
ADD1|118	2866.1009	ADD1|118	6048.3587
ADD2|119	35.3607	ADD2|119	78.5463
ADD3|120	800.0943	ADD3|120	5230.0703
lowly_expressed	lowly_expressed	ADH1A|124	154.1618
ADH1B|125	186.2329	ADH1B|125	21882.4736
lowly_expressed	lowly_expressed	ADH1C|126	196.9519
lowly_expressed	lowly_expressed	ADH4|127	22.8605
ADH5|128	1364.4507	ADH5|128	4302.4619
ADHFE1|137872	40.0754	ADHFE1|137872	427.6084
ADI1|55256	1608.2037	ADI1|55256	1716.5885
ADIPOQ|9370	387.0816	ADIPOQ|9370	44203.3998
ADIPOR1|51094	3719.0005	ADIPOR1|51094	2319.7538
ADIPOR2|79602	1763.3192	ADIPOR2|79602	3542.204
ADK|132	423.3852	ADK|132	424.0914
ADM2|79924	216.4074	ADM2|79924	41.9109
ADM|133	115.5116	ADM|133	601.1137
ADNP2|22850	684.5827	ADNP2|22850	870.1641
ADNP|23394	2721.3579	ADNP|23394	3026.3775
ADORA1|134	398.397	ADORA1|134	159.4373
ADORA2A|135	131.5323	ADORA2A|135	36.6354
ADORA2B|136	151.3437	ADORA2B|136	238.8628
ADORA3|140	161.7162	ADORA3|140	150.6448
ADO|84890	921.735	ADO|84890	810.6682
ADPGK|83440	1482.2112	ADPGK|83440	959.6483
ADPRHL1|113622	88.166	ADPRHL1|113622	59.789
ADPRHL2|54936	1182.4611	ADPRHL2|54936	331.7702
ADPRH|141	406.4121	ADPRH|141	632.7667
lowly_expressed	lowly_expressed	ADRA1A|148	49.8242
ADRA1B|147	35.3607	ADRA1B|147	43.9625
ADRA1D|146	5.1862	ADRA1D|146	12.3095
ADRA2A|150	135.785	ADRA2A|150	1850.8206
ADRA2B|151	9.901	ADRA2B|151	14.9472
ADRA2C|152	49.505	ADRA2C|152	54.8066
ADRB1|153	12.7298	ADRB1|153	55.9789
ADRB2|154	23.5738	ADRB2|154	516.1196
lowly_expressed	lowly_expressed	ADRB3|155	14.3611
ADRBK1|156	2051.8623	ADRBK1|156	842.3212
ADRBK2|157	371.9943	ADRBK2|157	3218.0539
ADRM1|11047	1965.1108	ADRM1|11047	447.245
ADSL|158	1039.604	ADSL|158	706.3306
ADSSL1|122622	32.0603	ADSSL1|122622	81.7702
ADSS|159	1820.8392	ADSS|159	1411.1958
AEBP1|165	8632.7204	AEBP1|165	4975.0879
AEBP2|121536	507.3079	AEBP2|121536	1191.9695
AEN|64782	917.0203	AEN|64782	495.8968
AES|166	6400.7544	AES|166	5037.8077
AFAP1L1|134265	99.9529	AFAP1L1|134265	588.8042
AFAP1L2|84632	75.4361	AFAP1L2|84632	946.9519
AFAP1|60312	1378.1188	AFAP1|60312	1559.7773
AFF1|4299	546.9118	AFF1|4299	4481.5358
AFF2|2334	96.181	AFF2|2334	398.3001
AFF3|3899	45.7331	AFF3|3899	1625.4396
AFF4|27125	1846.7704	AFF4|27125	5626.0258
