gene_id	TCGA-BH-A0E0-01A-11R-A056-07	gene_id	TCGA-BH-A0E0-11A-13R-A089-07
ADAM11|4185	5.4845	ADAM11|4185	11.5299
ADAM12|8038	671.5417	ADAM12|8038	655.4324
ADAM15|8751	13727.4893	ADAM15|8751	3119.3392
ADAM17|6868	1446.6789	ADAM17|6868	658.98
ADAM19|8728	189.5186	ADAM19|8728	162.7494
lowly_expressed	lowly_expressed	ADAM22|53616	17.2949
lowly_expressed	lowly_expressed	ADAM23|8745	6.6519
ADAM28|10863	12.7971	ADAM28|10863	84.2572
ADAM32|203102	187.6904	ADAM32|203102	33.2594
lowly_expressed	lowly_expressed	ADAM33|80332	185.8093
ADAM6|8755	2548.7812	ADAM6|8755	21026.3681
ADAM8|101	86.5326	ADAM8|101	45.6763
ADAM9|8754	764.1682	ADAM9|8754	2329.0466
ADAMDEC1|27299	7.3126	lowly_expressed	lowly_expressed
ADAMTS10|81794	26.8129	ADAMTS10|81794	54.102
ADAMTS12|81792	136.5021	ADAMTS12|81792	124.612
ADAMTS13|11093	28.6411	ADAMTS13|11093	52.3282
ADAMTS14|140766	21.3285	lowly_expressed	lowly_expressed
ADAMTS15|170689	6.7032	ADAMTS15|170689	247.8936
lowly_expressed	lowly_expressed	ADAMTS16|170690	25.2772
ADAMTS17|170691	5.4845	ADAMTS17|170691	22.1729
lowly_expressed	lowly_expressed	ADAMTS18|170692	59.867
ADAMTS1|9510	273.0043	ADAMTS1|9510	1584.0355
ADAMTS20|80070	8.5314	lowly_expressed	lowly_expressed
ADAMTS2|9509	91.4077	ADAMTS2|9509	338.3592
ADAMTS3|9508	16.4534	ADAMTS3|9508	25.2772
ADAMTS4|9507	175.5027	ADAMTS4|9507	75.8315
ADAMTS5|11096	42.0475	ADAMTS5|11096	957.8714
lowly_expressed	lowly_expressed	ADAMTS6|11174	5.765
ADAMTS7|11173	251.0664	ADAMTS7|11173	86.918
ADAMTS8|11095	13.4065	ADAMTS8|11095	545.4545
ADAMTS9|56999	118.2206	ADAMTS9|56999	237.694
ADAMTSL1|92949	58.5009	ADAMTSL1|92949	35.4767
ADAMTSL2|9719	97.5015	ADAMTSL2|9719	22.6164
ADAMTSL3|57188	22.5472	ADAMTSL3|57188	67.8492
ADAMTSL4|54507	276.0512	ADAMTSL4|54507	188.4701
ADAMTSL5|339366	22.5472	ADAMTSL5|339366	68.7361
ADAP1|11033	25.3626	ADAP1|11033	193.051
ADAP2|55803	158.44	ADAP2|55803	82.4834
ADARB1|104	519.805	ADARB1|104	510.4213
ADAR|103	14760.5119	ADAR|103	5121.9512
ADAT1|23536	125.5332	ADAT1|23536	193.7916
ADAT2|134637	149.9086	ADAT2|134637	89.1353
ADAT3|113179	111.5174	ADAT3|113179	66.0754
ADA|100	253.504	ADA|100	94.9002
ADCK1|57143	175.5027	ADCK1|57143	168.5144
