gene_id	TCGA-BH-A1EU-01A-11R-A137-07	gene_id	TCGA-BH-A1EU-11A-23R-A137-07
ACSS3|79611	385.2586	ACSS3|79611	405.9041
ACTA2|59	4329.4952	ACTA2|59	25377.2571
lowly_expressed	lowly_expressed	ACTBL2|345651	21.5252
ACTB|60	51338.5651	ACTB|60	65532.5953
ACTG1|71	25496.4385	ACTG1|71	44673.4317
ACTG2|72	244.6578	ACTG2|72	5709.7171
ACTL6A|86	1074.4296	ACTL6A|86	889.2989
ACTN1|87	3700.8362	ACTN1|87	8729.3973
ACTN4|81	4957.5183	ACTN4|81	9198.8192
ACTR10|55860	1039.1246	ACTR10|55860	1230.0123
ACTR1A|10121	1813.5646	ACTR1A|10121	2158.0566
ACTR1B|10120	739.3414	ACTR1B|10120	1067.0357
ACTR2|10097	8863.6317	ACTR2|10097	6108.2411
ACTR3B|57180	141.8396	ACTR3B|57180	148.2165
ACTR3C|653857	26.0142	ACTR3C|653857	36.9004
ACTR3|10096	3783.834	ACTR3|10096	3997.54
ACTR5|79913	211.8303	ACTR5|79913	217.7122
ACTR6|64431	857.2313	ACTR6|64431	590.4059
ACTR8|93973	838.4433	ACTR8|93973	626.6913
ACVR1B|91	1917.0022	ACVR1B|91	1183.8868
ACVR1C|130399	210.3851	ACVR1C|130399	627.9213
ACVR1|90	1120.4707	ACVR1|90	1375.1538
ACVR2A|92	434.1902	ACVR2A|92	733.7023
ACVR2B|93	573.3457	ACVR2B|93	648.2165
ACVRL1|94	619.7997	ACVRL1|94	571.3407
ACY1|95	427.9137	ACY1|95	342.3616
ACY3|91703	10.1167	ACY3|91703	30.1353
ACYP1|97	49.138	ACYP1|97	83.6408
ACYP2|98	87.9529	ACYP2|98	150.0615
ADAL|161823	239.4962	ADAL|161823	220.1722
ADAM10|102	2283.8856	ADAM10|102	2484.0098
ADAM11|4185	5.7809	ADAM11|4185	19.0652
ADAM12|8038	4018.1687	ADAM12|8038	375.7688
ADAM15|8751	2135.6457	ADAM15|8751	1934.8093
ADAM17|6868	799.4219	ADAM17|6868	935.4244
ADAM19|8728	565.0872	ADAM19|8728	132.2263
ADAM22|53616	157.1178	ADAM22|53616	91.6359
ADAM23|8745	71.8489	ADAM23|8745	20.2952
ADAM28|10863	473.6244	ADAM28|10863	207.8721
ADAM32|203102	23.1238	ADAM32|203102	23.3702
ADAM33|80332	200.0619	ADAM33|80332	645.1415
ADAM6|8755	16687.3356	ADAM6|8755	12112.9459
ADAM8|101	203.3653	ADAM8|101	34.4403
ADAM9|8754	4109.6315	ADAM9|8754	3287.2079
ADAMDEC1|27299	264.2717	ADAMDEC1|27299	23.3702
ADAMTS10|81794	70.1972	ADAMTS10|81794	65.8057
ADAMTS12|81792	493.4448	ADAMTS12|81792	116.8512
ADAMTS13|11093	73.5006	ADAMTS13|11093	57.8106
ADAMTS14|140766	90.224	lowly_expressed	lowly_expressed
ADAMTS15|170689	448.436	ADAMTS15|170689	174.0467
ADAMTS16|170690	216.3725	ADAMTS16|170690	164.8216
ADAMTS17|170691	20.2333	ADAMTS17|170691	27.6753
ADAMTS18|170692	48.7251	ADAMTS18|170692	15.3752
ADAMTS19|171019	175.4929	lowly_expressed	lowly_expressed
ADAMTS1|9510	977.8053	ADAMTS1|9510	4532.5953
ADAMTS2|9509	675.9575	ADAMTS2|9509	416.3592
ADAMTS3|9508	87.9529	ADAMTS3|9508	278.5978
ADAMTS4|9507	210.798	ADAMTS4|9507	68.8807
ADAMTS5|11096	996.1804	ADAMTS5|11096	4258.3026
ADAMTS6|11174	128.2131	ADAMTS6|11174	21.5252
ADAMTS7|11173	90.6369	ADAMTS7|11173	30.1353
ADAMTS8|11095	17.5493	ADAMTS8|11095	36.2854
ADAMTS9|56999	422.0089	ADAMTS9|56999	418.8192
ADAMTSL1|92949	330.1332	ADAMTSL1|92949	140.8364
ADAMTSL2|9719	49.3445	ADAMTSL2|9719	31.9803
ADAMTSL3|57188	142.2525	ADAMTSL3|57188	294.5879
ADAMTSL4|54507	335.7076	ADAMTSL4|54507	869.6187
ADAMTSL5|339366	27.4595	ADAMTSL5|339366	35.0554
ADAP1|11033	131.0024	ADAP1|11033	70.984
ADAP2|55803	559.5127	ADAP2|55803	274.9077
ADARB1|104	514.7104	ADARB1|104	722.0172
ADARB2|105	8.2585	lowly_expressed	lowly_expressed
ADAR|103	14595.2307	ADAR|103	7461.8696
ADAT1|23536	430.0609	ADAT1|23536	314.2681
ADAT2|134637	135.0263	ADAT2|134637	247.2325
