gene_id	TCGA-E2-A15K-06A-11R-A12P-07	gene_id	TCGA-E2-A15K-11A-13R-A12P-07
LPIN2|9663	1362.4116	LPIN2|9663	757.8238
LPIN3|64900	389.1647	LPIN3|64900	408.2427
LPL|4023	109.8013	LPL|4023	6818.4882
lowly_expressed	lowly_expressed	LPPR1|54886	21.1844
LPPR2|64748	945.773	LPPR2|64748	922.4844
LPPR3|79948	14.8198	LPPR3|79948	20.2215
LPPR4|9890	34.0182	LPPR4|9890	103.9961
LPP|4026	384.6413	LPP|4026	117.9586
LPXN|9404	194.0047	LPXN|9404	324.025
LQK1|642946	38.7336	LQK1|642946	54.4054
LRAT|9227	26.6083	LRAT|9227	43.3317
LRBA|987	5283.934	LRBA|987	901.7814
LRCH1|23143	119.5689	LRCH1|23143	752.5277
lowly_expressed	lowly_expressed	LRCH2|57631	84.2561
LRCH3|84859	255.3048	LRCH3|84859	205.585
LRCH4|4034	972.7181	LRCH4|4034	949.4463
LRDD|55367	537.8915	LRDD|55367	307.6553
LRFN1|57622	59.2792	LRFN1|57622	118.4401
LRFN2|57497	22.9033	lowly_expressed	lowly_expressed
LRFN3|79414	182.8899	LRFN3|79414	408.2812
LRFN4|78999	809.7002	LRFN4|78999	564.7569
lowly_expressed	lowly_expressed	LRFN5|145581	63.5532
LRG1|116844	2029.3028	LRG1|116844	246.0279
LRGUK|136332	50.8589	LRGUK|136332	7.222
LRIG1|26018	6404.4358	LRIG1|26018	2902.5181
LRIG2|9860	152.9134	LRIG2|9860	96.7742
LRIG3|121227	12.7989	LRIG3|121227	816.0809
LRIT3|345193	19.872	lowly_expressed	lowly_expressed
LRMP|4033	30.3132	LRMP|4033	210.8811
LRP10|26020	4216.907999999999	LRP10|26020	6753.4906
LRP11|84918	860.8892	LRP11|84918	991.3337
LRP12|29967	24.2506	LRP12|29967	182.9562
LRP1B|53353	12.4621	LRP1B|53353	20.7029
LRP1|4035	1446.9518	LRP1|4035	27647.5686
LRP2BP|55805	52.5429	LRP2BP|55805	59.22
LRP2|4036	7137.42	LRP2|4036	340.3948
LRP3|4037	293.7016	LRP3|4037	2570.8329
LRP4|4038	19.872	LRP4|4038	182.9562
LRP5L|91355	157.6288	LRP5L|91355	94.8483
LRP5|4041	2063.9946	LRP5|4041	4014.4439
LRP6|4040	2079.1512	LRP6|4040	754.935
LRP8|7804	52.2061	LRP8|7804	52.4795
LRPAP1|4043	2063.9946	LRPAP1|4043	3600.3852
LRPPRC|10128	3504.8838	LRPPRC|10128	2087.6264
LRRC10B|390205	43.1122	LRRC10B|390205	50.5537
LRRC14|9684	776.7026	LRRC14|9684	672.0414
LRRC15|131578	7.4099	LRRC15|131578	95.8113
LRRC16A|55604	780.0606	LRRC16A|55604	447.2797
LRRC16B|90668	21.2193	LRRC16B|90668	13.9624
LRRC17|10234	22.2297	LRRC17|10234	235.4357
LRRC1|55227	964.6346	LRRC1|55227	367.8382
LRRC20|55222	398.4507	LRRC20|55222	270.5826
LRRC23|10233	410.9128	LRRC23|10233	267.6938
LRRC24|441381	11.7784	LRRC24|441381	20.3033
LRRC25|126364	67.6996	LRRC25|126364	268.6567
LRRC26|389816	45.133	LRRC26|389816	67.8864
LRRC27|80313	326.5409	LRRC27|80313	210.3996
LRRC28|123355	55.5743	LRRC28|123355	218.5845
LRRC29|26231	42.1017	LRRC29|26231	125.1805
LRRC2|79442	9.094	LRRC2|79442	102.5518
LRRC31|79782	219.9394	lowly_expressed	lowly_expressed
LRRC32|2615	186.25799999999998	LRRC32|2615	3212.3255
LRRC33|375387	78.8144	LRRC33|375387	468.4641
LRRC34|151827	30.9869	LRRC34|151827	43.8132
LRRC36|55282	25.9347	lowly_expressed	lowly_expressed
LRRC37A2|474170	109.5857	LRRC37A2|474170	142.3447
LRRC37A3|374819	176.8272	LRRC37A3|374819	77.9971
LRRC37A4|55073	77.1303	LRRC37A4|55073	102.5518
LRRC37A|9884	424.0485	LRRC37A|9884	311.507
LRRC37B2|147172	297.7433	LRRC37B2|147172	287.9153
LRRC37B|114659	49.5116	LRRC37B|114659	111.6996
lowly_expressed	lowly_expressed	LRRC3B|116135	43.3317
lowly_expressed	lowly_expressed	LRRC3|81543	44.7761
LRRC40|55631	312.5632	LRRC40|55631	164.1791
LRRC41|10489	2278.2082	LRRC41|10489	1786.7116
LRRC42|115353	623.1054	LRRC42|115353	450.1685
lowly_expressed	lowly_expressed	LRRC43|254050	8.1849
LRRC45|201255	576.2883	LRRC45|201255	486.7597
LRRC46|90506	336.1401	LRRC46|90506	14.4439
LRRC47|57470	1178.8481	LRRC47|57470	1532.9803
LRRC48|83450	532.5025	LRRC48|83450	44.7761
LRRC49|54839	85.5507	LRRC49|54839	105.4405
LRRC4B|94030	7.7467	LRRC4B|94030	74.1454
LRRC4C|57689	90.9397	LRRC4C|57689	181.0303
LRRC4|64101	51.8693	LRRC4|64101	69.8122
LRRC50|123872	142.1354	LRRC50|123872	5.7776
lowly_expressed	lowly_expressed	LRRC55|219527	6.7405
LRRC56|115399	365.1061	LRRC56|115399	54.8869
LRRC57|255252	279.2186	LRRC57|255252	258.0645
LRRC58|116064	1084.8771	LRRC58|116064	442.9466
LRRC59|55379	3823.1122	LRRC59|55379	1840.2167
LRRC61|65999	380.9363	LRRC61|65999	225.325
lowly_expressed	lowly_expressed	LRRC66|339977	17.3327
LRRC69|100130742	6.0626	lowly_expressed	lowly_expressed
LRRC6|23639	1185.5844	LRRC6|23639	43.8132
LRRC70|100130733	19.0872	LRRC70|100130733	177.5542
LRRC8A|56262	1372.8528	LRRC8A|56262	2403.948
LRRC8B|23507	408.5551	LRRC8B|23507	341.3577
LRRC8C|84230	117.2112	LRRC8C|84230	881.0785
LRRC8D|55144	609.6329	LRRC8D|55144	484.3524
LRRC8E|80131	901.9872	LRRC8E|80131	251.8055
LRRCC1|85444	751.7683	LRRCC1|85444	168.0308
LRRFIP1|9208	5152.9134	LRRFIP1|9208	2462.6866
LRRFIP2|9209	2068.71	LRRFIP2|9209	1029.3693
LRRIQ3|127255	22.5665	lowly_expressed	lowly_expressed
LRRK1|79705	32.6709	LRRK1|79705	390.467
LRRK2|120892	23.2401	LRRK2|120892	159.8459
lowly_expressed	lowly_expressed	LRRN1|57633	338.4689
LRRN2|10446	2298.7538	LRRN2|10446	331.24699999999996
lowly_expressed	lowly_expressed	LRRN3|54674	121.3288
lowly_expressed	lowly_expressed	LRRN4CL|221091	1075.1083
lowly_expressed	lowly_expressed	LRRTM2|26045	48.1464
LRSAM1|90678	1014.8198	LRSAM1|90678	663.4569
LRTOMT|220074	332.5497	LRTOMT|220074	241.9596
LRWD1|222229	319.6362	LRWD1|222229	316.3216
lowly_expressed	lowly_expressed	LSAMP|4045	31.7766
LSG1|55341	910.7444	LSG1|55341	697.1594
LSM10|84967	494.1058	LSM10|84967	701.9739999999999
LSM11|134353	111.1485	LSM11|134353	164.6606
LSM12|124801	1155.2711	LSM12|124801	830.0433
LSM14A|26065	3007.0731	LSM14A|26065	2834.8579999999997
LSM14B|149986	1575.6147	LSM14B|149986	1139.6245
LSM1|27257	274.1664	LSM1|27257	563.3125
LSM2|57819	724.1495	LSM2|57819	987.9634
LSM3|27258	874.7053	LSM3|27258	778.0453
LSM4|25804	1588.7504	LSM4|25804	1609.533
LSM5|23658	571.9097	LSM5|23658	584.0154
LSM6|11157	142.809	LSM6|11157	300.9148
LSM7|51690	317.9522	LSM7|51690	826.1916
LSMD1|84316	681.711	LSMD1|84316	1075.9027
LSP1|4046	388.0094	LSP1|4046	4754.935
LSR|51599	3068.71	LSR|51599	2199.8074
LSS|4047	791.5123	LSS|4047	1226.2879
LST1|7940	68.0364	LST1|7940	279.7304
LTA4H|4048	1922.1960000000001	LTA4H|4048	2027.4434
lowly_expressed	lowly_expressed	LTA|4049	7.222
LTB4R2|56413	100.0101	LTB4R2|56413	43.4039
LTB4R|1241	282.8427	LTB4R|1241	216.3072
LTBP1|4052	199.7305	LTBP1|4052	1236.8801
LTBP2|4053	598.1812	LTBP2|4053	11305.248
LTBP3|4054	2970.4783	LTBP3|4054	5593.9191
LTBP4|8425	592.7922	LTBP4|8425	10591.7188
LTBR|4055	1833.9508	LTBR|4055	3085.7005
LTB|4050	8.4203	LTB|4050	233.5099
LTC4S|4056	9.4005	LTC4S|4056	148.9986
LTF|4057	157657.4604	LTF|4057	60142.9947
lowly_expressed	lowly_expressed	LTK|4058	10.5922
LTV1|84946	367.12699999999995	LTV1|84946	407.3182
LUC7L2|51631	2259.3466	LUC7L2|51631	1864.5209
LUC7L3|51747	2656.45	LUC7L3|51747	1697.6408
LUC7L|55692	1228.6965	LUC7L|55692	953.298
LUM|4060	562.1421	LUM|4060	16069.8122
LUZP1|7798	520.3772	LUZP1|7798	1075.1083
lowly_expressed	lowly_expressed	LUZP2|338645	23.1103
LUZP6|767558	2746.7161	LUZP6|767558	2616.7549
LXN|56925	248.9054	LXN|56925	498.3149
lowly_expressed	lowly_expressed	LY6D|8581	60.183
LY6E|4061	1135.0623	LY6E|4061	13382.7636
LY6G5B|58496	26.9451	LY6G5B|58496	55.3683
LY6G5C|80741	72.0781	LY6G5C|80741	68.3678
LY6G6C|80740	93.971	LY6G6C|80740	28.4064
lowly_expressed	lowly_expressed	LY6H|4062	8.6663
LY6K|54742	38.3968	LY6K|54742	91.9596
LY75|4065	305.3351	LY75|4065	408.7626
LY86|9450	88.2452	LY86|9450	146.3649
LY96|23643	21.8929	LY96|23643	225.325
lowly_expressed	lowly_expressed	LY9|4063	73.1825
LYAR|55646	205.7932	LYAR|55646	311.0255
lowly_expressed	lowly_expressed	LYG1|129530	18.2956
LYL1|4066	31.3237	LYL1|4066	446.7983
LYNX1|66004	195.6888	LYNX1|66004	1600.3852
LYN|4067	190.2998	LYN|4067	820.8955
lowly_expressed	lowly_expressed	LYPD1|116372	47.7227
LYPD3|27076	1942.4049	LYPD3|27076	630.7174
LYPD5|284348	88.58200000000001	LYPD5|284348	56.3312
LYPD6B|130576	651.3978	LYPD6B|130576	251.324
LYPD6|130574	726.8441	LYPD6|130574	142.9947
LYPLA1|10434	4170.4278	LYPLA1|10434	402.0221
LYPLA2P1|653639	60.6265	LYPLA2P1|653639	92.9225
LYPLA2|11313	1192.3206	LYPLA2|11313	1627.8286
LYPLAL1|127018	340.5187	LYPLAL1|127018	272.5084
LYRM1|57149	733.2435	LYRM1|57149	681.7525
LYRM2|57226	858.3563	LYRM2|57226	564.1791
LYRM4|57128	181.5426	LYRM4|57128	717.3808
LYRM5|144363	277.1977	LYRM5|144363	308.1367
LYRM7|90624	321.9939	LYRM7|90624	249.3982
LYSMD1|388695	369.1479	LYSMD1|388695	236.8801
LYSMD2|256586	38.7336	LYSMD2|256586	217.1401
LYSMD3|116068	598.518	LYSMD3|116068	280.2118
LYSMD4|145748	36.1536	LYSMD4|145748	431.5022
LYST|1130	1207.4773	LYST|1130	724.6028
LYVE1|10894	8.7572	LYVE1|10894	1422.7251
LYZ|4069	1142.809	LYZ|4069	4004.8146
LZIC|84328	450.6568	LZIC|84328	206.5479
LZTFL1|54585	1437.5211	LZTFL1|54585	385.6524
LZTR1|8216	1038.3227	LZTR1|8216	1391.9114
LZTS1|11178	47.1539	LZTS1|11178	438.1319
LZTS2|84445	1444.931	LZTS2|84445	3977.3712
M6PR|4074	2780.2929999999997	M6PR|4074	2534.5691
MAB21L1|4081	62.6474	MAB21L1|4081	204.1406
MACC1|346389	1415.965	MACC1|346389	336.5431
MACF1|23499	10668.5753	MACF1|23499	4411.6514
MACROD1|28992	339.5083	MACROD1|28992	478.0934
MACROD2|140733	543.6174	MACROD2|140733	61.1459
MAD1L1|8379	277.8713	MAD1L1|8379	676.9379
MAD2L1BP|9587	556.4163	MAD2L1BP|9587	427.0583
MAD2L1|4085	275.5136	MAD2L1|4085	70.7752
MAD2L2|10459	333.4456	MAD2L2|10459	763.1199
MADD|8567	1615.3587	MADD|8567	1606.1627
MAEA|10296	1121.5898	MAEA|10296	1472.3158
MAEL|84944	46.4803	lowly_expressed	lowly_expressed
MAF1|84232	1783.092	MAF1|84232	4300.9148
MAFB|9935	275.8505	MAFB|9935	1656.7164
MAFF|23764	138.4304	MAFF|23764	1459.7978
MAFG|4097	360.0539	MAFG|4097	945.5946
MAFK|7975	302.8865	MAFK|7975	1503.3847
MAF|4094	253.9576	MAF|4094	1604.2369
MAGEA12|4111	19.872	lowly_expressed	lowly_expressed
MAGEB16|139604	6.7363	lowly_expressed	lowly_expressed
MAGEB1|4112	8.0835	lowly_expressed	lowly_expressed
MAGEC2|51438	364.0957	lowly_expressed	lowly_expressed
MAGED1|9500	6530.8185	MAGED1|9500	3451.6129
MAGED2|10916	17122.6002	MAGED2|10916	5341.3577
lowly_expressed	lowly_expressed	MAGED4B|81557	405.7535
lowly_expressed	lowly_expressed	MAGED4|728239	230.26
MAGEE1|57692	91.2765	MAGEE1|57692	170.4381
MAGEF1|64110	1066.6891	MAGEF1|64110	911.8922
MAGEH1|28986	65.6787	MAGEH1|28986	822.8214
lowly_expressed	lowly_expressed	MAGEL2|54551	10.5922
MAGI1|9223	771.3035	lowly_expressed	lowly_expressed
MAGI2|9863	57.931999999999995	MAGI2|9863	197.4001
MAGI3|260425	889.8619	MAGI3|260425	363.5051
MAGIX|79917	110.4749	MAGIX|79917	70.7752
MAGOHB|55110	235.09599999999998	MAGOHB|55110	183.9191
MAGOH|4116	441.5628	MAGOH|4116	591.2374
MAGT1|84061	2351.9704	MAGT1|84061	1469.9085
MAG|4099	15.8302	lowly_expressed	lowly_expressed
MAK16|84549	157.1741	MAK16|84549	339.5859
MAK|4117	37.7231	lowly_expressed	lowly_expressed
MAL2|114569	3268.7774	MAL2|114569	987.0005
MALAT1|378938	1913.8599	MALAT1|378938	2219.3934
MALL|7851	63.6578	MALL|7851	1393.3558
MALT1|10892	190.6366	MALT1|10892	366.3938
lowly_expressed	lowly_expressed	MAL|4118	51.0351
MAMDC2|256691	8.0835	MAMDC2|256691	956.5479
MAMDC4|158056	165.3755	MAMDC4|158056	41.8873
MAML1|9794	1554.4257	MAML1|9794	1118.2138
MAML2|84441	34.355	MAML2|84441	348.5797
MAML3|55534	541.9333	MAML3|55534	310.5441
MAMLD1|10046	13.4725	MAMLD1|10046	153.5869
MAMSTR|284358	48.1644	MAMSTR|284358	52.4795
MAN1A1|4121	731.8963	MAN1A1|4121	850.2648
MAN1A2|10905	585.3823	MAN1A2|10905	244.1021
MAN1B1|11253	1655.7764	MAN1B1|11253	2465.0939
MAN1C1|57134	422.0276	MAN1C1|57134	536.3505
MAN2A1|4124	661.1654	MAN2A1|4124	128.5508
MAN2A2|4122	1474.5706	MAN2A2|4122	1425.6139
MAN2B1|4125	1548.3328	MAN2B1|4125	3304.7665
MAN2B2|23324	2173.1223	MAN2B2|23324	1609.533
MAN2C1|4123	910.4075	MAN2C1|4123	1348.0982
MANBAL|63905	923.8801	MANBAL|63905	1700.0481
MANBA|4126	1434.4897	MANBA|4126	792.9706
MANEAL|149175	31.9973	MANEAL|149175	161.2903
MANEA|79694	1706.2984	MANEA|79694	153.5869
MANF|7873	865.9481	MANF|7873	1130.4766
MANSC1|54682	2545.9751	MANSC1|54682	887.3375
MAOA|4128	7658.1341	MAOA|4128	2075.1083
MAOB|4129	241.4955	MAOB|4129	4202.2147
MAP1A|4130	155.6079	MAP1A|4130	1324.9879999999998
MAP1B|4131	122.6002	MAP1B|4131	1803.0814
MAP1D|254042	64.3314	MAP1D|254042	50.5537
MAP1LC3A|84557	74.09899999999999	MAP1LC3A|84557	847.3760000000001
MAP1LC3B2|643246	111.8222	MAP1LC3B2|643246	233.9913
MAP1LC3B|81631	866.9586	MAP1LC3B|81631	2369.2826
lowly_expressed	lowly_expressed	MAP1LC3C|440738	63.0717
MAP1S|55201	589.0872	MAP1S|55201	1236.8801
MAP2K1|5604	715.1735	MAP2K1|5604	1051.637
MAP2K2|5605	1006.7363	MAP2K2|5605	3385.1709
MAP2K3|5606	629.5049	MAP2K3|5606	1585.4598
MAP2K4|6416	2821.4887	MAP2K4|6416	616.2735
MAP2K5|5607	278.8818	MAP2K5|5607	496.389
MAP2K6|5608	79.8249	MAP2K6|5608	95.8113
MAP2K7|5609	557.7636	MAP2K7|5609	1234.9543
MAP2|4133	21.8929	MAP2|4133	344.2465
MAP3K10|4294	188.6157	MAP3K10|4294	318.2475
MAP3K11|4296	1301.7851	MAP3K11|4296	3855.5609
MAP3K12|7786	375.8168	MAP3K12|7786	271.2422
MAP3K13|9175	35.7764	MAP3K13|9175	18.8012
MAP3K14|9020	437.8579	MAP3K14|9020	773.2306
lowly_expressed	lowly_expressed	MAP3K15|389840	5.2768
MAP3K1|4214	2164.3651	MAP3K1|4214	792.9706
MAP3K2|10746	571.5729	MAP3K2|10746	140.5874
MAP3K3|4215	578.1913	MAP3K3|4215	1785.0169
MAP3K4|4216	532.1657	MAP3K4|4216	779.4896
MAP3K5|4217	331.7615	MAP3K5|4217	480.9822
MAP3K6|9064	744.3584	MAP3K6|9064	1773.7121
MAP3K7|6885	604.5807	MAP3K7|6885	377.4675
MAP3K8|1326	90.2661	MAP3K8|1326	460.2792
MAP3K9|4293	119.5689	MAP3K9|4293	23.1103
MAP4K1|11184	29.6396	MAP4K1|11184	123.7362
MAP4K2|5871	306.8373	MAP4K2|5871	375.5416
MAP4K3|8491	1113.1694	MAP4K3|8491	440.0578
MAP4K4|9448	239.4746	MAP4K4|9448	2201.7333
MAP4K5|11183	745.0319999999999	MAP4K5|11183	725.0843
MAP4|4134	3916.1334	MAP4|4134	9394.3187
MAP6D1|79929	29.3028	MAP6D1|79929	49.5908
MAP6|4135	7.4099	MAP6|4135	179.1045
MAP7D1|55700	865.2745	MAP7D1|55700	4483.871
lowly_expressed	lowly_expressed	MAP7D2|256714	15.4068
MAP7D3|79649	8.7572	MAP7D3|79649	356.2831
MAP7|9053	3492.7585	MAP7|9053	400.5778
MAP9|79884	669.2489	MAP9|79884	97.7371
lowly_expressed	lowly_expressed	MAPK10|5602	267.6938
MAPK11|5600	121.2529	MAPK11|5600	899.3741
MAPK12|6300	57.0664	MAPK12|6300	207.636
MAPK13|5603	1616.7060000000001	MAPK13|5603	412.6143
MAPK14|1432	908.0498	MAPK14|1432	1454.5017
MAPK15|225689	184.9107	MAPK15|225689	44.7761
MAPK1IP1L|93487	1439.8787	MAPK1IP1L|93487	1494.4632
MAPK1|5594	2696.1940000000004	MAPK1|5594	2269.6196
MAPK3|5595	3749.0738	MAPK3|5595	3225.1902
lowly_expressed	lowly_expressed	MAPK4|5596	70.7752
MAPK6|5597	1247.2213	MAPK6|5597	467.5012
MAPK7|5598	249.8181	MAPK7|5598	551.7573
MAPK8IP1|9479	185.9212	MAPK8IP1|9479	473.7602
MAPK8IP2|23542	605.9279	MAPK8IP2|23542	195.4742
MAPK8IP3|23162	1410.9128	MAPK8IP3|23162	766.9716
MAPK8|5599	307.1741	MAPK8|5599	120.8474
MAPK9|5601	1256.6521	MAPK9|5601	749.1574
MAPKAP1|79109	1478.2755	MAPKAP1|79109	1817.5253
MAPKAPK2|9261	12763.8936	MAPKAPK2|9261	3310.0626
MAPKAPK3|7867	792.1859	MAPKAPK3|7867	848.3389999999999
MAPKAPK5|8550	509.1613	MAPKAPK5|8550	382.5132
MAPKBP1|23005	455.709	MAPKBP1|23005	856.5238
MAPKSP1|8649	1343.55	MAPKSP1|8649	763.1199
MAPRE1|22919	1988.5483	MAPRE1|22919	2279.7304
MAPRE2|10982	115.8639	MAPRE2|10982	714.4921
MAPRE3|22924	158.3025	MAPRE3|22924	681.2711
MAPT|4137	2726.5072	MAPT|4137	410.207
MARCH10|162333	38.3631	lowly_expressed	lowly_expressed
MARCH1|55016	103.7386	MARCH1|55016	27.4434
MARCH2|51257	590.7713	MARCH2|51257	1468.4641
MARCH3|115123	335.4665	MARCH3|115123	163.2162
MARCH5|54708	1104.4123	MARCH5|54708	727.0101
MARCH6|10299	1730.2122	MARCH6|10299	783.3414
MARCH7|64844	1746.7161	MARCH7|64844	993.7410000000001
MARCH8|220972	303.4692	MARCH8|220972	141.5503
MARCH9|92979	443.2469	MARCH9|92979	499.2778
MARCKSL1|65108	2870.3267	MARCKSL1|65108	3997.1112
MARCKS|4082	602.5598	MARCKS|4082	4360.6163
lowly_expressed	lowly_expressed	MARCO|8685	1099.663
MARK1|4139	6.3995	MARK1|4139	268.6567
MARK2|2011	1711.0138	MARK2|2011	1634.5691
MARK3|4140	1231.391	MARK3|4140	1116.5142
MARK4|57787	630.5153	MARK4|57787	920.5585
MARS2|92935	135.7359	MARS2|92935	87.1449
MARS|4141	1141.9367	MARS|4141	1169.3548
MARVELD1|83742	495.2779	MARVELD1|83742	1577.6793
MARVELD2|153562	759.8518	MARVELD2|153562	146.3649
MARVELD3|91862	490.2728	MARVELD3|91862	206.4275
lowly_expressed	lowly_expressed	MASP1|5648	270.1011
MASP2|10747	25.261	MASP2|10747	6.7405
MAST1|22983	10.4412	MAST1|22983	22.1473
MAST2|23139	2936.679	MAST2|23139	1221.4733
MAST3|23031	420.3436	MAST3|23031	480.9822
MAST4|375449	1703.9407	MAST4|375449	288.8782
MASTL|84930	397.1034	MASTL|84930	172.8455
lowly_expressed	lowly_expressed	MAT1A|4143	12.5181
MAT2A|4144	6837.9926	MAT2A|4144	3042.3688
MAT2B|27430	1097.3392	MAT2B|27430	1424.1695
lowly_expressed	lowly_expressed	MATK|4145	201.7333
MATN2|4147	30.3132	MATN2|4147	3469.9085
MATN3|4148	118.5584	MATN3|4148	53.9239
lowly_expressed	lowly_expressed	MATN4|8785	69.8122
MATR3|9782	8906.3658	MATR3|9782	4120.8474
MAVS|57506	3268.1037	MAVS|57506	2790.0818
MAX|4149	1556.0795	MAX|4149	1844.4872
MAZ|4150	8679.4914	lowly_expressed	lowly_expressed
MBD1|4152	840.0135	lowly_expressed	lowly_expressed
MBD2|8932	1729.8754	MBD2|8932	1671.1603
MBD3|53615	1159.3129	MBD3|53615	3581.6081
MBD4|8930	774.6716	MBD4|8930	637.4579
MBD5|55777	266.4197	MBD5|55777	200.2889
MBD6|114785	3294.0384	MBD6|114785	1601.3481
MBIP|51562	274.84	MBIP|51562	297.5445
lowly_expressed	lowly_expressed	MBL1P|8512	8.6663
MBLAC1|255374	23.576999999999998	MBLAC1|255374	51.0351
MBLAC2|153364	102.0546	MBLAC2|153364	154.0684
MBNL1|4154	1510.5726	MBNL1|4154	3454.6365
MBNL2|10150	1416.3018	MBNL2|10150	1656.7164
lowly_expressed	lowly_expressed	MBNL3|55796	11.0737
MBOAT1|154141	1329.067	MBOAT1|154141	489.6485
MBOAT2|129642	1670.5962	MBOAT2|129642	190.1781
MBOAT7|79143	2706.2984	MBOAT7|79143	1428.9841
MBP|4155	77.1303	MBP|4155	1019.2585
MBTD1|54799	574.6042	MBTD1|54799	334.1358
MBTPS1|8720	3170.4278	MBTPS1|8720	3428.5026
MBTPS2|51360	515.2543	MBTPS2|51360	261.4348
MB|4151	617.0428	MB|4151	158.4015
MC1R|4157	72.415	MC1R|4157	129.4271
MCAM|4162	614.3483	MCAM|4162	8375.0602
MCART1|92014	201.0778	MCART1|92014	188.7338
MCART2|147407	5.7258	MCART2|147407	12.0366
lowly_expressed	lowly_expressed	MCART6|401612	10.1107
MCAT|27349	367.4638	MCAT|27349	414.5402
MCCC1|56922	510.9464	MCCC1|56922	437.6505
MCCC2|64087	4767.5985	MCCC2|64087	1145.402
MCC|4163	1952.1724	MCC|4163	685.6042
MCEE|84693	284.6076	MCEE|84693	137.6986
lowly_expressed	lowly_expressed	MCF2L2|23101	5.2961
MCF2L|23263	1934.7794	MCF2L|23263	1584.4969
MCFD2|90411	1917.4806	MCFD2|90411	2158.4015
MCHR1|2847	23.9138	MCHR1|2847	9.2056
MCL1|4170	6449.6463	MCL1|4170	9070.7752
MCM10|55388	181.8794	MCM10|55388	25.0361
MCM2|4171	1361.0643	MCM2|4171	425.1324
MCM3APAS|114044	12.9774	MCM3APAS|114044	10.3467
MCM3AP|8888	2962.4352	MCM3AP|8888	1827.8816
MCM3|4172	2756.8205	MCM3|4172	1958.1127
MCM4|4173	1087.2348	MCM4|4173	409.7256
MCM5|4174	1294.712	MCM5|4174	1083.2932
MCM6|4175	1536.8811	MCM6|4175	704.3813
MCM7|4176	2363.8329	MCM7|4176	2103.0284
MCM8|84515	296.3961	MCM8|84515	83.7747
MCM9|254394	82.8562	MCM9|254394	29.8507
MCOLN1|57192	299.4274	MCOLN1|57192	789.6004
MCOLN2|255231	27.6187	MCOLN2|255231	27.4434
lowly_expressed	lowly_expressed	MCOLN3|55283	96.2927
MCPH1|79648	203.6578	MCPH1|79648	328.156
MCRS1|10445	904.3449	MCRS1|10445	1175.7342
MCTP1|79772	13.8094	MCTP1|79772	245.065
lowly_expressed	lowly_expressed	MCTP2|55784	141.5503
MCTS1|28985	610.3065	MCTS1|28985	840.6355
MDC1|9656	1451.3304	MDC1|9656	669.7159
MDFIC|29969	388.6831	MDFIC|29969	921.5214
MDFI|4188	470.8656	MDFI|4188	719.3067
MDGA1|266727	10.4412	MDGA1|266727	195.4742
MDH1B|130752	25.9347	MDH1B|130752	15.8883
MDH1|4190	2403.8397	MDH1|4190	3329.8026
MDH2|4191	3309.5318	MDH2|4191	3119.403
MDK|4192	1549.0064	MDK|4192	3071.2566
MDM1|56890	422.7012	MDM1|56890	145.40200000000002
MDM2|4193	2010.4412	MDM2|4193	1003.8517
MDM4|4194	1946.7834	MDM4|4194	688.9745
MDN1|23195	783.7656	MDN1|23195	569.09
MDP1|145553	133.9003	MDP1|145553	304.6558
ME1|4199	80.8353	ME1|4199	361.0977
ME2|4200	255.9784	ME2|4200	431.8729
ME3|10873	149.5453	ME3|10873	443.42800000000005
MEA1|4201	1181.5426	MEA1|4201	1677.9008
MEAF6|64769	2279.2186	MEAF6|64769	1310.0626
MECOM|2122	69.0468	MECOM|2122	571.4974
MECP2|4204	1052.8798	MECP2|4204	1589.3115
MECR|51102	320.9835	MECR|51102	644.6798
MED10|84246	243.1795	MED10|84246	523.351
MED11|400569	316.9417	MED11|400569	376.0231
MED12L|116931	70.0573	lowly_expressed	lowly_expressed
MED12|9968	1586.3927	MED12|9968	1229.1767
MED13L|23389	7259.6834	MED13L|23389	1437.6505
MED13|9969	1821.1519	MED13|9969	902.2629
MED14|9282	1179.1849	MED14|9282	590.7559
MED15|51586	1371.8424	MED15|51586	2579.2008
MED16|10025	1229.7069999999999	MED16|10025	1761.194
MED17|9440	296.3961	MED17|9440	527.2027
MED18|54797	386.3254	MED18|54797	318.7289
MED19|219541	160.3233	MED19|219541	343.765
MED1|5469	1556.4163	MED1|5469	809.8219
MED20|9477	538.5652	MED20|9477	408.7626
MED21|9412	472.5497	MED21|9412	428.5026
MED22|6837	457.0562	MED22|6837	1203.1777
MED23|9439	1276.5241	MED23|9439	427.0583
MED24|9862	2081.5089	MED24|9862	1690.4189
MED25|81857	1138.4304	MED25|81857	1079.0467
MED26|9441	260.357	MED26|9441	279.2489
MED27|9442	153.5871	MED27|9442	373.1343
MED28|80306	473.2233	MED28|80306	453.5388
MED29|55588	1869.3163	MED29|55588	1624.9398
MED30|90390	112.8326	MED30|90390	201.7333
MED31|51003	132.7652	MED31|51003	129.2248
MED4|29079	1057.932	MED4|29079	1102.0703
MED6|10001	301.1115	MED6|10001	357.7275
MED7|9443	173.4591	MED7|9443	218.5845
MED8|112950	626.4736	MED8|112950	691.3818
MED9|55090	400.8084	MED9|55090	515.1661
MEF2A|4205	534.0721	MEF2A|4205	1166.9571
MEF2B|100271849	10.8218	MEF2B|100271849	57.0679
MEF2C|4208	304.4796	MEF2C|4208	1087.6264
MEF2D|4209	2155.9448	MEF2D|4209	1844.0058
