gene_id	TCGA-BH-A0H7-01A-13R-A056-07	gene_id	TCGA-BH-A0H7-11A-13R-A089-07
ADAMTS1|9510	373.2764	ADAMTS1|9510	1619.8763
ADAMTS2|9509	1776.7564	ADAMTS2|9509	273.0085
ADAMTS3|9508	21.3395	ADAMTS3|9508	39.4432
ADAMTS4|9507	653.9724	ADAMTS4|9507	25.1353
ADAMTS5|11096	97.8332	ADAMTS5|11096	987.6257
ADAMTS6|11174	70.5844	ADAMTS6|11174	13.9211
ADAMTS7|11173	319.7636	ADAMTS7|11173	44.8569
ADAMTS8|11095	5.2528	ADAMTS8|11095	66.512
ADAMTS9|56999	177.61	ADAMTS9|56999	306.6512
ADAMTSL1|92949	56.7958	ADAMTSL1|92949	76.9528
ADAMTSL2|9719	109.652	ADAMTSL2|9719	35.9629
ADAMTSL3|57188	91.9238	ADAMTSL3|57188	115.2359
ADAMTSL4|54507	108.6671	ADAMTSL4|54507	290.7966
ADAMTSL5|339366	46.9468	ADAMTSL5|339366	49.1106
ADAP1|11033	269.1431	ADAP1|11033	170.6999
ADAP2|55803	198.9494	ADAP2|55803	141.918
ADARB1|104	359.1596	ADARB1|104	558.3913
lowly_expressed	lowly_expressed	ADARB2|105	5.4138
ADAR|103	12173.3421	ADAR|103	6664.7332
ADAT1|23536	375.2462	ADAT1|23536	305.1044
ADAT2|134637	44.3204	ADAT2|134637	87.7804
ADAT3|113179	13.132	ADAT3|113179	28.6156
ADA|100	134.2745	ADA|100	80.0464
ADCK1|57143	251.8056	ADCK1|57143	161.2529
ADCK2|90956	1000.3283	ADCK2|90956	931.5545
ADCK4|79934	725.87	ADCK4|79934	569.6056
ADCK5|203054	454.3664	ADCK5|203054	255.2204
ADCY1|107	4870.9783	ADCY1|107	3417.6334
ADCY2|108	73.8674	ADCY2|108	158.546
ADCY3|109	633.6671	ADCY3|109	1086.0673
ADCY4|196883	67.3014	ADCY4|196883	258.314
ADCY5|111	125.7387	ADCY5|111	337.9737
ADCY6|112	3455.3513	ADCY6|112	2559.5514
ADCY7|113	518.0565	ADCY7|113	203.4029
ADCY9|115	1864.084	ADCY9|115	1078.1129
lowly_expressed	lowly_expressed	ADCYAP1R1|117	8.894
ADC|113451	187.1307	ADC|113451	136.891
ADD1|118	4754.432	ADD1|118	6097.8345
ADD2|119	20.6829	ADD2|119	37.5097
ADD3|120	1481.6152	ADD3|120	1967.5174
lowly_expressed	lowly_expressed	ADH1A|124	78.4996
ADH1B|125	17.3999	ADH1B|125	8726.9915
lowly_expressed	lowly_expressed	ADH1C|126	257.1539
lowly_expressed	lowly_expressed	ADH4|127	19.3349
ADH5|128	2394.6159	ADH5|128	2956.6899
lowly_expressed	lowly_expressed	ADH7|131	70.379
ADHFE1|137872	207.4852	ADHFE1|137872	226.2181
ADI1|55256	567.6297	ADI1|55256	1650.0387
ADIPOQ|9370	17.3999	ADIPOQ|9370	7551.8175
ADIPOR1|51094	4982.2718	ADIPOR1|51094	3607.5019
ADIPOR2|79602	3402.4951	ADIPOR2|79602	2099.3813
ADK|132	483.2567	ADK|132	348.8012
ADM2|79924	461.9173	ADM2|79924	145.3983
ADM|133	245.568	ADM|133	549.4973
ADNP2|22850	602.1011	ADNP2|22850	652.7456
ADNP|23394	4487.8529	ADNP|23394	3378.577
ADORA1|134	355.8766	ADORA1|134	1090.8739
ADORA2A|135	102.1011	ADORA2A|135	59.1647
ADORA2B|136	17.3999	ADORA2B|136	54.1377
ADORA3|140	199.2777	ADORA3|140	74.6326
ADO|84890	596.52	ADO|84890	569.9923
ADPGK|83440	709.4189	ADPGK|83440	809.3581
ADPRHL1|113622	67.6297	ADPRHL1|113622	92.8074
ADPRHL2|54936	920.5515	ADPRHL2|54936	704.563
ADPRH|141	224.5568	ADPRH|141	309.3581
lowly_expressed	lowly_expressed	ADRA1A|148	16.2413
lowly_expressed	lowly_expressed	ADRA1B|147	43.3101
ADRA1D|146	43.9921	ADRA1D|146	8.1206
ADRA2A|150	1089.6257	ADRA2A|150	904.4857
ADRA2B|151	13.7886	ADRA2B|151	125.29
ADRA2C|152	194.025	ADRA2C|152	218.8708
lowly_expressed	lowly_expressed	ADRB1|153	12.761
ADRB2|154	11.1622	ADRB2|154	220.8043
ADRBK1|156	2138.2141	ADRBK1|156	1857.3086
ADRBK2|157	337.4918	ADRBK2|157	785.7695
ADRM1|11047	2754.1037	ADRM1|11047	1723.5112
ADSL|158	1173.6704	ADSL|158	1059.1647
ADSSL1|122622	185.4892	ADSSL1|122622	144.6249
ADSS|159	1966.5135	ADSS|159	1467.5174
AEBP1|165	30840.4465	AEBP1|165	5935.0348
AEBP2|121536	430.0722	AEBP2|121536	554.1377
AEN|64782	394.6159	AEN|64782	346.0944
AES|166	4005.2528	AES|166	7192.5754
AFAP1L1|134265	182.8628	AFAP1L1|134265	278.809
AFAP1L2|84632	323.7032	AFAP1L2|84632	801.2374
AFAP1|60312	1247.1996	AFAP1|60312	1205.7231
AFF1|4299	1190.4137	AFF1|4299	1321.3457
AFF2|2334	28.2337	AFF2|2334	22.8152
AFF3|3899	1570.5844	AFF3|3899	1119.8763
AFF4|27125	4170.7157	AFF4|27125	2610.2088
AFG3L1|172	350.6238	AFG3L1|172	324.4393
AFG3L2|10939	2044.5469	AFG3L2|10939	2056.7788
AFMID|125061	319.4353	AFMID|125061	530.5491
lowly_expressed	lowly_expressed	AFP|174	39.4432
AFTPH|54812	1147.0781	AFTPH|54812	1430.3944
AG2|387763	107.0256	AG2|387763	81.2065
AGAP11|119385	7.5509	AGAP11|119385	60.3248
AGAP1|116987	624.7538	AGAP1|116987	861.5623
AGAP2|116986	138.5391	AGAP2|116986	94.1106
AGAP3|116988	899.2121	AGAP3|116988	1263.7278
AGAP4|119016	55.8109	AGAP4|119016	163.9598
AGAP5|729092	9.8555	AGAP5|729092	31.5159
AGAP6|414189	23.9659	AGAP6|414189	52.2042
AGAP7|653268	7.2226	lowly_expressed	lowly_expressed
AGAP8|728404	6.566	AGAP8|728404	17.7881
AGA|175	964.2154	AGA|175	745.9397
AGBL2|79841	16.0867	AGBL2|79841	19.3349
AGBL4|84871	11.4905	AGBL4|84871	15.0812
AGBL5|60509	1163.5095	AGBL5|60509	1206.1678
lowly_expressed	lowly_expressed	AGER|177	17.4014
AGFG1|3267	992.7774	AGFG1|3267	1032.8693
AGFG2|3268	306.6316	AGFG2|3268	594.7409
AGGF1|55109	1153.6441	AGGF1|55109	1042.15
AGK|55750	561.392	AGK|55750	590.1005
AGL|178	1093.8936	AGL|178	636.891
AGMAT|79814	9.5207	AGMAT|79814	19.7216
AGPAT1|10554	2163.8313	AGPAT1|10554	1892.5406
AGPAT2|10555	1159.8818	AGPAT2|10555	2230.8585
AGPAT3|56894	1435.9816	AGPAT3|56894	1738.5924
AGPAT4|56895	168.4176	AGPAT4|56895	183.6814
AGPAT5|55326	272.1602	AGPAT5|55326	356.9219
AGPAT6|137964	3533.1582	AGPAT6|137964	2546.7904
AGPAT9|84803	43.6638	AGPAT9|84803	215.7773
AGPHD1|123688	50.2298	AGPHD1|123688	83.14
AGPS|8540	790.2167	AGPS|8540	770.6883
AGR2|10551	6279.7111	AGR2|10551	6726.6048
AGR3|155465	4505.5811	AGR3|155465	1111.7556
AGRN|375790	5519.0414	AGRN|375790	4154.2923
AGTPBP1|23287	398.8838	AGTPBP1|23287	315.1585
AGTR1|185	83.388	AGTR1|185	201.8561
AGTRAP|57085	1962.5739	AGTRAP|57085	821.7324
AGT|183	38.7393	AGT|183	22.8152
AGXT2L2|85007	293.6573	AGXT2L2|85007	395.8275
lowly_expressed	lowly_expressed	AGXT|189	10.8275
AHCTF1|25909	1405.1215	AHCTF1|25909	1387.471
AHCYL1|10768	3056.4675	AHCYL1|10768	3533.256
AHCYL2|23382	560.4071	AHCYL2|23382	497.6798
AHCY|191	5233.0926	AHCY|191	4014.3078
AHDC1|27245	678.5949	AHDC1|27245	1153.5189
AHI1|54806	112.6067	AHI1|54806	162.0263
AHNAK2|113146	2070.9127	AHNAK2|113146	1033.6427
AHNAK|79026	34515.7584	AHNAK|79026	54945.0889
AHRR|57491	117.8595	AHRR|57491	16.2413
AHR|196	978.9888	AHR|196	1360.4022
AHSA1|10598	1388.7065	AHSA1|10598	1731.6319
AHSA2|130872	99.803	AHSA2|130872	203.7896
AIDA|64853	1147.1307	AIDA|64853	912.2699
AIF1L|83543	1959.9475	AIF1L|83543	2947.4091
AIF1|199	189.1005	AIF1|199	271.075
AIFM1|9131	1213.7229	AIFM1|9131	898.6852
AIFM2|84883	264.281	AIFM2|84883	597.0611
lowly_expressed	lowly_expressed	AIFM3|150209	12.761
AIG1|51390	519.3697	AIG1|51390	653.5189
AIM1L|55057	15.4301	lowly_expressed	lowly_expressed
AIM1|202	1298.4242	AIM1|202	2359.2421
AIMP1|9255	1033.9035	AIMP1|9255	1244.536
AIMP2|7965	491.1589	AIMP2|7965	386.8213
AIP|9049	946.4872	AIP|9049	1066.8987
AJAP1|55966	9.849	AJAP1|55966	13.5344
AK1|203	630.0066	AK1|203	579.6597
AK2|204	2145.1083	AK2|204	2350.348
AK3L1|205	320.4202	AK3L1|205	418.0201
AK3|50808	665.1346	AK3|50808	1455.5298
AK5|26289	246.5529	AK5|26289	1599.3813
AK7|122481	39.3959	AK7|122481	37.123
AKAP10|11216	433.3552	AKAP10|11216	370.4563
AKAP11|11215	1223.5719	AKAP11|11215	1009.6674
AKAP12|9590	804.3336	AKAP12|9590	1240.9126
AKAP13|11214	2031.845	AKAP13|11214	2850.348
AKAP1|8165	1096.1917	AKAP1|8165	3033.6427
AKAP2|11217	289.002	AKAP2|11217	736.8407
AKAP3|10566	6.2377	AKAP3|10566	45.2436
AKAP5|9495	25.9357	AKAP5|9495	35.9629
AKAP6|9472	95.5351	AKAP6|9472	237.4323
AKAP7|9465	79.4485	AKAP7|9465	187.1616
AKAP8L|26993	549.5732	AKAP8L|26993	801.2374
AKAP8|10270	479.3171	AKAP8|10270	715.0039
AKAP9|10142	1090.2823	AKAP9|10142	1637.2776
AKD1|221264	161.5233	AKD1|221264	123.7432
AKIRIN1|79647	1060.0788	AKIRIN1|79647	987.6257
AKIRIN2|55122	552.1996	AKIRIN2|55122	730.4718
AKNA|80709	261.9829	AKNA|80709	439.2885
AKR1A1|10327	2582.4032	AKR1A1|10327	1895.9783
AKR1B10|57016	19.0414	AKR1B10|57016	429.2343
AKR1B15|441282	5.5811	AKR1B15|441282	5.8005
AKR1B1|231	664.8063	AKR1B1|231	930.7811
AKR1C1|1645	47.9317	AKR1C1|1645	1440.8353
AKR1C2|1646	65.0033	AKR1C2|1646	630.3171
AKR1C3|8644	438.608	AKR1C3|8644	885.5375
AKR1E2|83592	47.9317	AKR1E2|83592	45.2436
AKR7A2|8574	1969.7965	AKR7A2|8574	1390.1779
AKR7A3|22977	2029.2186	AKR7A3|22977	820.959
AKR7L|246181	67.958	AKR7L|246181	49.4973
AKT1S1|84335	1273.1451	AKT1S1|84335	1009.6674
AKT1|207	4975.0492	AKT1|207	4063.8051
AKT2|208	3731.7794	AKT2|208	2957.0766
AKT3|10000	372.9481	AKT3|10000	392.4981
AKTIP|64400	618.2042	AKTIP|64400	554.5514
ALAD|210	1593.8936	ALAD|210	1960.1701
ALAS1|211	704.8588	ALAS1|211	878.1903
ALB|213	19.698	ALB|213	95.1276
ALCAM|214	4675.9685	ALCAM|214	3878.1903
ALDH16A1|126133	524.6225	ALDH16A1|126133	520.1083
ALDH18A1|5832	2828.6277	ALDH18A1|5832	1639.2111
ALDH1A1|216	267.8923	ALDH1A1|216	1411.0596
ALDH1A2|8854	23.6376	ALDH1A2|8854	232.4053
ALDH1A3|220	103.1024	ALDH1A3|220	1613.7548
ALDH1B1|219	1218.3191	ALDH1B1|219	520.8817
lowly_expressed	lowly_expressed	ALDH1L1|10840	483.7587
ALDH1L2|160428	680.2364	ALDH1L2|160428	149.2653
ALDH2|217	7373.933000000001	ALDH2|217	5325.9861
lowly_expressed	lowly_expressed	ALDH3A1|218	512.3743
ALDH3A2|224	2338.4767	ALDH3A2|224	2290.4099
ALDH3B1|221	766.9074	ALDH3B1|221	355.7618
ALDH3B2|222	1265.2659	ALDH3B2|222	2321.3457
ALDH4A1|8659	1775.4432	ALDH4A1|8659	1116.0093
ALDH5A1|7915	1083.7163	ALDH5A1|7915	854.9884
ALDH6A1|4329	183.8083	ALDH6A1|4329	350.8933
ALDH7A1|501	2676.6251	ALDH7A1|501	2947.4091
lowly_expressed	lowly_expressed	ALDH8A1|64577	5.4138
ALDH9A1|223	3456.0079	ALDH9A1|223	4614.8492
ALDOA|226	59688.7722	ALDOA|226	27100.1547
ALDOC|230	153.3158	ALDOC|230	1040.6032
ALG10B|144245	250.4924	ALG10B|144245	205.7231
ALG10|84920	90.2823	ALG10|84920	59.1647
ALG11|440138	41.0374	ALG11|440138	17.4014
ALG12|79087	1135.9160000000002	ALG12|79087	776.1021
ALG13|79868	311.8844	ALG13|79868	361.949
ALG14|199857	224.5568	ALG14|199857	219.6442
ALG1|56052	1053.8575	ALG1|56052	714.8995
ALG2|85365	846.0276	ALG2|85365	770.3016
ALG3|10195	979.3171	ALG3|10195	710.7502
ALG5|29880	878.2009	ALG5|29880	744.7796
ALG6|29929	509.5207	ALG6|29929	257.5406
ALG8|79053	814.5108	ALG8|79053	696.4424
ALG9|79796	438.9363	ALG9|79796	511.9876
ALKBH1|8846	216.3493	ALKBH1|8846	254.8337
ALKBH2|121642	416.61199999999997	ALKBH2|121642	458.2367
ALKBH3|221120	82.4032	ALKBH3|221120	339.5205
ALKBH4|54784	254.0085	ALKBH4|54784	377.7224
ALKBH5|54890	2665.7912	ALKBH5|54890	2674.3581
ALKBH6|84964	153.3158	ALKBH6|84964	98.9946
