gene_id	TCGA-E9-A1NA-01A-11R-A144-07	gene_id	TCGA-E9-A1NA-11A-33R-A144-07
ADCY7|113	1290.3525	ADCY7|113	754.5795
ADCY9|115	1682.1274	ADCY9|115	931.428
lowly_expressed	lowly_expressed	ADCYAP1R1|117	30.6896
lowly_expressed	lowly_expressed	ADCYAP1|116	52.5559
ADC|113451	372.6036	ADC|113451	119.6893
ADD1|118	3962.585	ADD1|118	7373.9331
ADD2|119	11.7502	ADD2|119	127.7453
ADD3|120	584.4156	ADD3|120	2416.0353
lowly_expressed	lowly_expressed	ADH1A|124	522.739
ADH1B|125	15.1515	ADH1B|125	53180.7807
lowly_expressed	lowly_expressed	ADH1C|126	325.6929
lowly_expressed	lowly_expressed	ADH4|127	73.2713
ADH5|128	1580.0866	ADH5|128	3950.8967
ADHFE1|137872	30.303	ADHFE1|137872	271.6026
ADI1|55256	1209.9567	ADI1|55256	1666.0593
ADIPOQ|9370	18.8621	ADIPOQ|9370	40300.7576
ADIPOR1|51094	5572.9746	ADIPOR1|51094	1851.3475
ADIPOR2|79602	17345.0835	ADIPOR2|79602	3408.8424
ADK|132	524.7372	ADK|132	359.835
ADM2|79924	502.4737	ADM2|79924	38.7456
ADM|133	75.7576	ADM|133	1250.983
ADNP2|22850	849.4125	ADNP2|22850	583.4852
ADNP|23394	3331.1688	ADNP|23394	2462.8369
ADORA1|134	304.8856	ADORA1|134	371.3436
ADORA2A|135	2162.6283	ADORA2A|135	83.2416
ADORA2B|136	89.0538	ADORA2B|136	68.6679
ADORA3|140	914.0383	ADORA3|140	256.2578
ADO|84890	1067.4088	ADO|84890	582.7179
ADPGK|83440	1228.3581	ADPGK|83440	815.7514
ADPRHL1|113622	331.1688	ADPRHL1|113622	67.9006
ADPRHL2|54936	663.5745	ADPRHL2|54936	533.9983
ADPRH|141	636.9821	ADPRH|141	543.9724
lowly_expressed	lowly_expressed	ADRA1A|148	149.6116
lowly_expressed	lowly_expressed	ADRA1B|147	46.8016
lowly_expressed	lowly_expressed	ADRA1D|146	8.8232
ADRA2A|150	170.6865	ADRA2A|150	1988.6832
lowly_expressed	lowly_expressed	ADRA2B|151	26.8534
ADRA2C|152	186.7656	ADRA2C|152	147.6935
ADRB1|153	9.2764	ADRB1|153	97.0557
ADRB2|154	25.3556	ADRB2|154	257.7923
ADRBK1|156	2622.449	ADRBK1|156	1977.1746
ADRBK2|157	288.188	ADRBK2|157	2038.5538
ADRM1|11047	2056.8955	ADRM1|11047	1370.2887
ADSL|158	610.6988	ADSL|158	753.8122
ADSSL1|122622	97.7118	ADSSL1|122622	177.6158
ADSS|159	2194.496	ADSS|159	997.0269
AEBP1|165	35693.8776	AEBP1|165	9420.9264
AEBP2|121536	528.1385	AEBP2|121536	534.7655
AEN|64782	1326.2214	AEN|64782	343.3394
AES|166	7106.3698	AES|166	6826.8917
AFAP1L1|134265	124.3043	AFAP1L1|134265	888.8463
AFAP1L2|84632	3693.5683	AFAP1L2|84632	720.4373
AFAP1|60312	791.4688	AFAP1|60312	1636.5014
AFF1|4299	1271.7996	AFF1|4299	2903.9992
AFF2|2334	7.4212	AFF2|2334	250.5035
AFF3|3899	3059.3692	AFF3|3899	582.3343
AFF4|27125	2945.8874	AFF4|27125	3059.7487
AFG3L1|172	237.786	AFG3L1|172	205.2364
AFG3L2|10939	1482.7613	AFG3L2|10939	1141.6707
AFMID|125061	548.2375	AFMID|125061	529.0112
lowly_expressed	lowly_expressed	AFP|174	15.7284
AFTPH|54812	1430.4267	AFTPH|54812	1192.2892
AG2|387763	111.3173	AG2|387763	220.5812
AGAP11|119385	5.8751	AGAP11|119385	230.1755
AGAP1|116987	384.3537	AGAP1|116987	685.528
AGAP2|116986	85.2659	AGAP2|116986	90.446
AGAP3|116988	990.1051	AGAP3|116988	1374.5085
AGAP4|119016	119.9753	AGAP4|119016	177.9994
AGAP5|729092	25.7174	AGAP5|729092	39.5819
AGAP6|414189	47.0006	AGAP6|414189	100.5083
AGAP7|653268	7.4212	AGAP7|653268	5.7543
AGAP8|728404	29.6846	AGAP8|728404	10.3577
AGA|175	788.8064	AGA|175	456.8908
AGBL2|79841	21.3358	AGBL2|79841	8.4396
lowly_expressed	lowly_expressed	AGBL4|84871	5.7543
AGBL5|60509	956.4131	AGBL5|60509	704.7166
AGER|177	9.8949	AGER|177	43.7326
AGFG1|3267	831.7873	AGFG1|3267	2776.254
AGFG2|3268	272.4181	AGFG2|3268	502.1579
AGGF1|55109	1179.3445	AGGF1|55109	797.5448
AGK|55750	422.0779	AGK|55750	407.7875
AGL|178	613.4818	AGL|178	1012.3717
AGMAT|79814	29.9938	AGMAT|79814	13.4267
AGPAT1|10554	942.8169	AGPAT1|10554	1945.4915
AGPAT2|10555	1382.4985	AGPAT2|10555	5493.8141
AGPAT3|56894	2594.6197	AGPAT3|56894	2312.8417
AGPAT4|56895	140.3834	AGPAT4|56895	313.0335
AGPAT5|55326	805.1948	AGPAT5|55326	533.9983
AGPAT6|137964	2362.3995	AGPAT6|137964	1916.5628
AGPAT9|84803	99.2579	AGPAT9|84803	150.7624
AGPHD1|123688	37.7242	AGPHD1|123688	44.4999
AGPS|8540	984.5393	AGPS|8540	1350.3405
AGR2|10551	116.8831	AGR2|10551	468.0157
AGR3|155465	1926.4069	AGR3|155465	71.7368
AGRN|375790	3739.6413	AGRN|375790	3955.1165
AGTPBP1|23287	220.7792	AGTPBP1|23287	422.7486
AGTR1|185	54.731	AGTR1|185	234.3915
AGTRAP|57085	759.7403	AGTRAP|57085	567.7568
AGT|183	382.1892	AGT|183	85.1635
AGXT2L2|85007	308.222	AGXT2L2|85007	699.7986
AHCTF1|25909	2091.8367	AHCTF1|25909	1265.1769
AHCYL1|10768	2388.6827	AHCYL1|10768	4484.5114
AHCYL2|23382	582.8695	AHCYL2|23382	573.1275
AHCY|191	4503.0921	AHCY|191	2352.7381
AHDC1|27245	863.3271	AHDC1|27245	1335.3793
AHI1|54806	541.744	AHI1|54806	385.1539
AHNAK2|113146	3997.8355	AHNAK2|113146	1995.972
AHNAK|79026	27893.9394	AHNAK|79026	141396.7584
AHRR|57491	31.8491	AHRR|57491	13.0431
AHR|196	1066.1719	AHR|196	2139.4457
AHSA1|10598	2009.2764	AHSA1|10598	1483.0728
AHSA2|130872	192.9499	AHSA2|130872	411.6237
AIDA|64853	1388.5003	AIDA|64853	1291.7311
AIF1L|83543	572.3562	AIF1L|83543	2348.1347
AIF1|199	514.8423	AIF1|199	754.9631
AIFM1|9131	673.7786	AIFM1|9131	727.3425
AIFM2|84883	357.7613	AIFM2|84883	2372.3027
AIFM3|150209	9.2764	AIFM3|150209	11.5086
AIG1|51390	1357.1429	AIG1|51390	682.8426
AIM1L|55057	78.2313	lowly_expressed	lowly_expressed
AIM1|202	1296.5368	AIM1|202	3510.118
AIM2|9447	22.8819	AIM2|9447	8.4396
AIMP1|9255	2594.1558	AIMP1|9255	883.6367
AIMP2|7965	761.243	AIMP2|7965	331.9382
AIP|9049	1412.1831	AIP|9049	763.0191
lowly_expressed	lowly_expressed	AJAP1|55966	18.0301
AK1|203	196.3513	AK1|203	780.6656
AK2|204	3030.303	AK2|204	2071.545
AK3L1|205	504.6382	AK3L1|205	648.7005
AK3|50808	731.6017	AK3|50808	2305.9365
AK5|26289	217.9963	AK5|26289	1835.2354
AK7|122481	7.4212	AK7|122481	36.0602
AKAP10|11216	574.2115	AKAP10|11216	513.2828
