gene_id	TCGA-A7-A13E-01A-11R-A12P-07	gene_id	TCGA-A7-A13E-11A-61R-A12P-07
lowly_expressed	lowly_expressed	ACOT6|641372	8.2943
ACOT7|11332	575.2108	ACOT7|11332	266.8804
ACOT8|10005	386.0532	ACOT8|10005	210.5964
ACOT9|23597	433.8636	ACOT9|23597	716.2347
ACOX1|51	1878.2748	ACOX1|51	3923.6781
ACOX2|8309	23.0597	ACOX2|8309	390.3186
ACOX3|8310	298.0677	ACOX3|8310	560.5951
ACP1|52	2983.6661	ACP1|52	1058.2514
ACP2|53	789.1534	ACP2|53	1252.9228
ACP5|54	544.0376	lowly_expressed	lowly_expressed
ACP6|51205	221.6291	ACP6|51205	134.6599
ACPL2|92370	447.9556	ACPL2|92370	340.0651
lowly_expressed	lowly_expressed	ACPP|55	25.8586
ACRBP|84519	84.1251	ACRBP|84519	24.8828
ACRC|93953	7.2595	ACRC|93953	17.5643
lowly_expressed	lowly_expressed	ACR|49	7.8064
ACSBG1|23205	5.1244	ACSBG1|23205	13.1733
ACSF2|80221	562.8269	ACSF2|80221	981.1635
ACSF3|197322	344.6141	ACSF3|197322	222.4816
ACSL1|2180	3993.1675	ACSL1|2180	42020.2405
ACSL3|2181	2159.4961	ACSL3|2181	3099.13
ACSL4|2182	241.6996	ACSL4|2182	2400.9475
ACSL5|51703	56.3681	ACSL5|51703	968.966
ACSM1|116285	17.9353	ACSM1|116285	11.7096
ACSM3|6296	13.4643	ACSM3|6296	26.8832
ACSM5|54988	6.4055	ACSM5|54988	584.0143
ACSS1|84532	901.0356	ACSS1|84532	520.5875
ACSS2|55902	992.8472	ACSS2|55902	5176.6009
ACSS3|79611	37.5787	ACSS3|79611	812.8386
ACTA1|58	13.665	lowly_expressed	lowly_expressed
ACTA2|59	3745.8268	ACTA2|59	18190.8341
ACTB|60	79497.8115	ACTB|60	74102.9685
lowly_expressed	lowly_expressed	ACTC1|70	17.5643
ACTG1|71	45528.3442	ACTG1|71	40198.4282
ACTG2|72	148.6068	ACTG2|72	3967.5889
ACTL6A|86	1504.8575	ACTL6A|86	630.8525
ACTN1|87	5011.2096	ACTN1|87	8627.9934
ACTN4|81	20955.8194	ACTN4|81	10572.1608
ACTR10|55860	733.2123	ACTR10|55860	1189.9839
ACTR1A|10121	2022.8462	ACTR1A|10121	3366.9861
ACTR1B|10120	1262.7309	ACTR1B|10120	1174.3712
ACTR2|10097	6652.717	ACTR2|10097	5608.3909
ACTR3B|57180	1330.2018	ACTR3B|57180	103.9223
ACTR3C|653857	24.3408	ACTR3C|653857	20.4917
ACTR3|10096	3117.7538	ACTR3|10096	2864.9388
ACTR5|79913	248.9591	ACTR5|79913	157.5911
ACTR6|64431	658.4819	ACTR6|64431	414.7135
ACTR8|93973	575.2108	ACTR8|93973	447.4027
ACVR1B|91	540.1943	ACVR1B|91	1025.5622
ACVR1C|130399	8.9677	ACVR1C|130399	2052.1002
ACVR1|90	843.8134	ACVR1|90	1088.0132
ACVR2A|92	173.8016	ACVR2A|92	578.1595
ACVR2B|93	571.3676	ACVR2B|93	321.525
ACVRL1|94	189.1748	ACVRL1|94	1629.0924
ACY1|95	996.3147	ACY1|95	773.3042
ACYP1|97	18.3623	ACYP1|97	11.2217
ACYP2|98	350.5925	ACYP2|98	245.4128
ADAL|161823	126.8282	ADAL|161823	252.2434
ADAM10|102	1145.2973	ADAM10|102	1583.7179
ADAM11|4185	8.9677	lowly_expressed	lowly_expressed
ADAM12|8038	894.2031	ADAM12|8038	1829.1307
ADAM15|8751	9214.2244	ADAM15|8751	3514.8193
ADAM17|6868	1744.8489	ADAM17|6868	730.8716
ADAM19|8728	291.2352	ADAM19|8728	167.837
ADAM21|8747	8.9677	ADAM21|8747	5.3669
lowly_expressed	lowly_expressed	ADAM22|53616	191.744
ADAM23|8745	8.1136	ADAM23|8745	96.116
ADAM28|10863	13.238	ADAM28|10863	74.6484
ADAM32|203102	115.7254	ADAM32|203102	29.2739
lowly_expressed	lowly_expressed	ADAM33|80332	652.8079
ADAM6|8755	6612.9134	ADAM6|8755	15746.2978
ADAM8|101	339.0627	ADAM8|101	52.693
ADAM9|8754	3437.1731	ADAM9|8754	2361.9156
ADAMDEC1|27299	33.7355	ADAMDEC1|27299	7.8064
ADAMTS10|81794	336.5005	ADAMTS10|81794	235.167
ADAMTS12|81792	244.6888	ADAMTS12|81792	491.3136
ADAMTS13|11093	681.5416	lowly_expressed	lowly_expressed
ADAMTS14|140766	67.0439	ADAMTS14|140766	29.2739
ADAMTS15|170689	8.1136	ADAMTS15|170689	615.7276
ADAMTS16|170690	23.9137	ADAMTS16|170690	721.1137
ADAMTS17|170691	5.9784	ADAMTS17|170691	31.2255
lowly_expressed	lowly_expressed	ADAMTS18|170692	251.7555
ADAMTS1|9510	1318.6719	ADAMTS1|9510	4726.7587
ADAMTS2|9509	520.5509	ADAMTS2|9509	1349.0388
ADAMTS3|9508	134.9418	ADAMTS3|9508	139.5389
ADAMTS4|9507	363.8305	ADAMTS4|9507	510.3416
ADAMTS5|11096	189.1748	ADAMTS5|11096	3519.6983
ADAMTS6|11174	79.8548	ADAMTS6|11174	35.1287
ADAMTS7|11173	116.5795	ADAMTS7|11173	175.6434
lowly_expressed	lowly_expressed	ADAMTS8|11095	48.7898
ADAMTS9|56999	90.9576	ADAMTS9|56999	1028.9775
ADAMTSL1|92949	117.0065	ADAMTSL1|92949	699.6462
ADAMTSL2|9719	86.2603	ADAMTSL2|9719	147.8332
ADAMTSL3|57188	14.9461	ADAMTSL3|57188	663.0538
ADAMTSL4|54507	248.105	ADAMTSL4|54507	1199.7419
ADAMTSL5|339366	11.5298	ADAMTSL5|339366	54.6446
ADAP1|11033	33.697	ADAP1|11033	108.5574
ADAP2|55803	127.2553	ADAP2|55803	517.1722
ADARB1|104	2410.1633	ADARB1|104	1112.896
ADAR|103	10112.5227	ADAR|103	6169.9618
ADAT1|23536	403.5444	ADAT1|23536	353.7263
ADAT2|134637	271.1647	ADAT2|134637	110.265
ADAT3|113179	40.995	ADAT3|113179	19.5159
ADA|100	61.9195	ADA|100	200.5262
ADCK1|57143	190.8829	ADCK1|57143	201.9899
ADCK2|90956	1167.93	ADCK2|90956	465.9429
ADCK4|79934	529.0915	ADCK4|79934	330.3071
ADCK5|203054	308.7435	ADCK5|203054	33.1771
ADCY1|107	35.0165	ADCY1|107	341.5288
lowly_expressed	lowly_expressed	ADCY2|108	28.786
ADCY3|109	1984.1187	ADCY3|109	1837.6055
ADCY4|196883	30.7462	ADCY4|196883	626.4614
ADCY5|111	5.1244	ADCY5|111	713.3073
ADCY6|112	1366.0724	ADCY6|112	3929.5328
ADCY7|113	1635.956	ADCY7|113	960.1838
ADCY9|115	684.9578	ADCY9|115	805.5201
lowly_expressed	lowly_expressed	ADCYAP1R1|117	40.9835
lowly_expressed	lowly_expressed	ADCYAP1|116	88.3096
ADC|113451	133.2337	lowly_expressed	lowly_expressed
ADD1|118	2835.0593	ADD1|118	7899.5613
ADD2|119	10.6758	ADD2|119	73.1847
ADD3|120	193.4451	ADD3|120	3608.4958
lowly_expressed	lowly_expressed	ADH1A|124	192.2319
ADH1B|125	158.0015	ADH1B|125	22596.0336
lowly_expressed	lowly_expressed	ADH4|127	43.4229
ADH5|128	1832.3903	ADH5|128	3835.3685
