gene_id	TCGA-A7-A13E-01A-11R-A12P-07	gene_id	TCGA-A7-A13E-11A-61R-A12P-07
NENF|29937	978.3282	NENF|29937	979.6998
NEO1|4756	120.8498	NEO1|4756	2154.5589
NES|10763	895.9112	NES|10763	2536.5832
NET1|10276	15247.5713	NET1|10276	2325.3233
NETO2|81831	251.9483	NETO2|81831	154.6638
NEU1|4758	1959.6456	NEU1|4758	1198.7661
NEU3|10825	61.4925	NEU3|10825	86.8459
NEURL1B|54492	311.7327	NEURL1B|54492	2624.8928
NEURL2|140825	66.5912	NEURL2|140825	24.4779
NEURL3|93082	46.1194	lowly_expressed	lowly_expressed
NEURL4|84461	562.6433	NEURL4|84461	302.4969
NEURL|9148	167.8232	lowly_expressed	lowly_expressed
NEXN|91624	128.5364	NEXN|91624	837.2335
NF1|4763	2002.7757	NF1|4763	2275.5576
NF2|4771	659.336	NF2|4771	896.7571
NFAM1|150372	90.5306	NFAM1|150372	249.8039
NFASC|23114	29.8409	NFASC|23114	561.688
NFAT5|10725	1853.3148	NFAT5|10725	2378.0163
NFATC1|4772	2234.2265	NFATC1|4772	559.1314
NFATC2IP|84901	763.9586	NFATC2IP|84901	612.8003
NFATC2|4773	51.2437	NFATC2|4773	144.4179
NFATC3|4775	1039.3936	NFATC3|4775	1278.7814
NFATC4|4776	620.4761	NFATC4|4776	452.7696
NFE2L1|4779	5629.9776	NFE2L1|4779	10773.2822
NFE2L2|4780	1229.7769	NFE2L2|4780	3293.4891
NFE2L3|9603	1344.7208	NFE2L3|9603	242.4855
lowly_expressed	lowly_expressed	NFE2|4778	15.6127
NFIA|4774	179.7801	NFIA|4774	2899.5796
NFIB|4781	4723.3906	NFIB|4781	5438.6023
NFIC|4782	976.193	NFIC|4782	1357.8209
NFIL3|4783	885.2354	NFIL3|4783	905.5392
NFIX|4784	20011.5298	NFIX|4784	5764.5183
NFKB1|4790	1393.8294	NFKB1|4790	1449.0579
NFKB2|4791	593.5732	NFKB2|4791	466.9187
NFKBIA|4792	1363.5102	NFKBIA|4792	4759.4478
NFKBIB|4793	755.418	NFKBIB|4793	193.2077
NFKBID|84807	117.8606	NFKBID|84807	35.6166
NFKBIE|4794	179.35299999999998	NFKBIE|4794	153.688
NFKBIL1|4795	475.7126	NFKBIL1|4795	168.8128
NFKBIL2|4796	582.4405	NFKBIL2|4796	42.4472
NFKBIZ|64332	290.3811	NFKBIZ|64332	642.0742
NFRKB|4798	534.2159	NFRKB|4798	665.9812
NFS1|9054	637.1304	NFS1|9054	512.7811
NFU1|27247	522.259	NFU1|27247	864.0679
NFX1|4799	1963.0618	NFX1|4799	1015.8042
NFXL1|152518	268.4146	NFXL1|152518	164.4217
NFYA|4800	1077.8264	NFYA|4800	761.1213
NFYB|4801	622.1843	NFYB|4801	708.4283
NFYC|4802	1381.7786	NFYC|4802	793.591
NGDN|25983	415.5012	NGDN|25983	360.5568
NGEF|25791	160.5637	NGEF|25791	17.5643
NGFRAP1|27018	389.0253	NGFRAP1|27018	1200.7177
NGFR|4804	10.2487	NGFR|4804	1280.733
lowly_expressed	lowly_expressed	NGF|4803	28.785999999999998
NGLY1|55768	341.1978	NGLY1|55768	523.5149
NGRN|51335	1921.5288	NGRN|51335	2702.2832
NHEDC1|150159	9.3947	NHEDC1|150159	13.1733
NHEDC2|133308	494.50199999999995	NHEDC2|133308	246.8765
NHEJ1|79840	172.3369	NHEJ1|79840	271.9106
NHLRC1|378884	27.33	NHLRC1|378884	60.0115
NHLRC2|374354	113.1632	NHLRC2|374354	247.3644
NHLRC3|387921	352.3006	NHLRC3|387921	1039.7113
NHLRC4|283948	5.5514	NHLRC4|283948	29.7618
NHP2L1|4809	1500.5872	NHP2L1|4809	1756.9218
NHP2|55651	1510.8359	NHP2|55651	783.5647
NHSL1|57224	989.0039999999999	NHSL1|57224	415.2014
NHSL2|340527	16.6542	NHSL2|340527	237.1186
NHS|4810	56.3681	NHS|4810	317.1339
NICN1|84276	291.1028	NICN1|84276	448.8664
NID1|4811	1234.9568	NID1|4811	6713.3585
NID2|22795	568.8054	NID2|22795	2028.1932
NIF3L1|60491	471.8693	NIF3L1|60491	400.5645
NINJ1|4814	1027.4367	NINJ1|4814	2609.2801
NINJ2|4815	152.0231	NINJ2|4815	202.9657
NINL|22981	706.7364	NINL|22981	156.1275
NIN|51199	1137.6108	NIN|51199	1522.2427
NIP7|51388	767.8019	NIP7|51388	436.1811
NIPA1|123606	310.0246	NIPA1|123606	365.9237
NIPA2|81614	920.679	NIPA2|81614	835.7698
NIPAL1|152519	155.8663	NIPAL1|152519	16.1006
NIPAL2|79815	228.0346	NIPAL2|79815	311.767
NIPAL3|57185	2057.8627	NIPAL3|57185	800.6411
NIPAL4|348938	52.0978	lowly_expressed	lowly_expressed
NIPBL|25836	2720.6149	NIPBL|25836	2246.2837
NIPSNAP1|8508	2515.64	NIPSNAP1|8508	609.8729
NIPSNAP3A|25934	548.7349	NIPSNAP3A|25934	802.1048
NIPSNAP3B|55335	66.1898	NIPSNAP3B|55335	148.4284
NISCH|11188	1448.9164	NISCH|11188	2348.7424
NIT1|4817	583.8967	NIT1|4817	680.2668
NIT2|56954	925.3763	NIT2|56954	698.1825
NKAIN1|79570	33.7355	NKAIN1|79570	64.8905
lowly_expressed	lowly_expressed	NKAIN2|154215	44.8866
lowly_expressed	lowly_expressed	NKAPL|222698	61.4752
NKAP|79576	254.5105	NKAP|79576	239.0702
lowly_expressed	lowly_expressed	NKD1|85407	20.0038
NKD2|85409	16.2272	NKD2|85409	12.1975
NKG7|4818	8.9677	NKG7|4818	151.2485
NKIRAS1|28512	198.5694	NKIRAS1|28512	278.10200000000003
NKIRAS2|28511	1259.3146	NKIRAS2|28511	868.459
NKPD1|284353	26.0489	NKPD1|284353	6.3427
NKRF|55922	266.8944	NKRF|55922	222.4816
NKTR|4820	1672.2537	NKTR|4820	1709.5956
NKX1-2|390010	14.092	lowly_expressed	lowly_expressed
NKX2-5|1482	23.0597	lowly_expressed	lowly_expressed
NKX3-1|4824	6.4055	NKX3-1|4824	67.8179
NKX3-2|579	9.3947	lowly_expressed	lowly_expressed
NLE1|54475	297.2136	NLE1|54475	259.074
NLGN1|22871	59.7843	lowly_expressed	lowly_expressed
NLGN2|57555	1587.7015	NLGN2|57555	543.0308
NLGN3|54413	13.238	NLGN3|54413	54.1567
NLGN4X|57502	7.6866	NLGN4X|57502	315.6702
NLK|51701	352.3006	NLK|51701	444.4753
NLN|57486	888.2246	NLN|57486	461.5518
NLRC3|197358	67.8979	NLRC3|197358	92.2128
NLRC4|58484	34.1625	NLRC4|58484	104.8981
NLRC5|84166	711.4338	NLRC5|84166	588.8932
NLRP12|91662	7.2595	NLRP12|91662	6.3427
NLRP1|22861	64.0547	NLRP1|22861	659.6385
NLRP2|55655	3314.1881	NLRP2|55655	19.028
NLRP3|114548	20.4975	NLRP3|114548	237.6065
lowly_expressed	lowly_expressed	NLRP5|126206	29.2739
NLRP7|199713	37.5787	lowly_expressed	lowly_expressed
NLRX1|79671	319.8463	NLRX1|79671	695.743
NMB|4828	132.3796	NMB|4828	1077.2794
NMD3|51068	959.1118	NMD3|51068	1006.0463
NME1-NME2|654364	232.7234	NME1-NME2|654364	27.9566
NME1|4830	2018.0164	NME1|4830	636.2096
NME2P1|283458	59.7843	NME2P1|283458	39.0319
NME2|4831	6275.3624	NME2|4831	3935.7389
NME3|4832	623.8924	NME3|4832	339.5772
NME4|4833	1852.4608	NME4|4833	1886.7027
NME5|8382	11.5298	NME5|8382	40.0077
NME6|10201	399.274	NME6|10201	177.595
NME7|29922	439.1844	NME7|29922	254.4731
NMI|9111	452.2259	NMI|9111	373.2422
NMNAT1|64802	254.9375	NMNAT1|64802	436.1811
NMNAT2|23057	24.3408	NMNAT2|23057	474.725
NMNAT3|349565	242.5536	NMNAT3|349565	238.5823
NMRAL1|57407	1216.9403	NMRAL1|57407	271.2715
NMT1|4836	2334.1518	NMT1|4836	3428.9492
NMT2|9397	835.2728	NMT2|9397	2228.7194
NMUR1|10316	26.4759	NMUR1|10316	200.0383
NMU|10874	64.0547	lowly_expressed	lowly_expressed
NNAT|4826	16.2272	NNAT|4826	478.6282
NNMT|4837	879.257	NNMT|4837	3546.5327
NNT|23530	2004.9109	NNT|23530	2249.2111
NOB1|28987	1337.0343	NOB1|28987	822.1086
NOC2L|26155	2503.7728	NOC2L|26155	773.6652
NOC3L|64318	407.3876	NOC3L|64318	444.4753
NOC4L|79050	419.7715	NOC4L|79050	221.0179
NOD1|10392	365.1116	NOD1|10392	600.6028
NOD2|64127	358.7061	NOD2|64127	50.7414
NODAL|4838	10.2487	NODAL|4838	5.3669
NOL10|79954	1452.3327	NOL10|79954	556.2041
NOL11|25926	1101.3131	NOL11|25926	834.794
NOL12|79159	274.6151	NOL12|79159	146.3695
NOL3|8996	788.2993	NOL3|8996	439.0792
NOL6|65083	2319.6328	NOL6|65083	938.2284
NOL7|51406	738.3367	NOL7|51406	444.9632
NOL8|55035	1050.4964	NOL8|55035	782.5889
NOL9|79707	228.4616	NOL9|79707	216.1389
NOLC1|9221	2597.63	NOLC1|9221	1348.0629999999999
NOM1|64434	573.9298	NOM1|64434	301.0332
NOMO1|23420	4540.6213	NOMO1|23420	2795.1693
NOMO2|283820	2014.7326	NOMO2|283820	1905.7307
NOMO3|408050	2127.0417	NOMO3|408050	1523.7064
NONO|4841	4727.2339	NONO|4841	4582.3408
NOP10|55505	863.8838	NOP10|55505	1029.4654
NOP14|8602	901.0014	NOP14|8602	681.2475
NOP16|51491	327.9599	NOP16|51491	101.4828
NOP2|4839	1566.35	NOP2|4839	393.7339
NOP56|10528	2856.4108	NOP56|10528	1135.8272
NOP58|51602	1255.8984	NOP58|51602	642.0742
NOS1AP|9722	114.8714	NOS1AP|9722	97.0918
NOS2|4843	15.3731	lowly_expressed	lowly_expressed
NOS3|4846	263.2476	NOS3|4846	511.4589
NOSIP|51070	500.9074	NOSIP|51070	484.483
NOSTRIN|115677	16.6542	NOSTRIN|115677	928.4705
NOTCH1|4851	14919.1844	NOTCH1|4851	2501.4545
NOTCH2NL|388677	700.5573	NOTCH2NL|388677	707.5062
NOTCH2|4853	4430.0203	NOTCH2|4853	9331.5427
NOTCH3|4854	12382.1928	NOTCH3|4854	7620.4834
NOTCH4|4855	223.3372	NOTCH4|4855	1716.4262
NOTUM|147111	21.3516	lowly_expressed	lowly_expressed
NOVA1|4857	5.5514	NOVA1|4857	497.1684
NOVA2|4858	10.2487	NOVA2|4858	96.6039
NOV|4856	40.995	NOV|4856	587.4295
NOX4|50507	151.16899999999998	NOX4|50507	265.4167
NOX5|79400	74.7304	NOX5|79400	10.3337
NOXA1|10811	709.7256	NOXA1|10811	12.6854
NOXO1|124056	18.7894	lowly_expressed	lowly_expressed
NPAS1|4861	8.9677	NPAS1|4861	5.3669
NPAS2|4862	259.6349	NPAS2|4862	296.6422
NPAS3|64067	86.2603	NPAS3|64067	72.2089
NPAT|4863	349.7384	NPAT|4863	459.1123
NPC1L1|29881	10.2487	NPC1L1|29881	17.0764
NPC1|4864	2743.4568	NPC1|4864	1330.8646
NPC2|10577	1770.0438	NPC2|10577	4427.677
NPDC1|56654	408.2417	NPDC1|56654	1129.4845
NPEPL1|79716	993.2743	NPEPL1|79716	521.0754
NPEPPS|9520	1953.6671	NPEPPS|9520	1972.5728
NPFFR1|64106	9.3947	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	NPFF|8620	6.8306
NPHP1|4867	87.5414	NPHP1|4867	91.7249
NPHP3|27031	263.0511	NPHP3|27031	528.3939
NPHP4|261734	319.4192	NPHP4|261734	243.4612
NPIPL3|23117	285.9485	NPIPL3|23117	269.9053
NPIP|9284	555.7852	NPIP|9284	665.8006
NPLOC4|55666	3039.1801	NPLOC4|55666	2979.107
NPL|80896	149.4609	NPL|80896	405.9314
NPM1|4869	5948.1157	NPM1|4869	4554.5306
NPM2|10361	5.9784	lowly_expressed	lowly_expressed
NPM3|10360	509.8751	NPM3|10360	136.6115
NPNT|255743	843.8134	NPNT|255743	574.7442
NPR1|4881	59.3573	NPR1|4881	3651.9187
NPR2|4882	565.8162	NPR2|4882	878.2169
NPR3|4883	959.1118	NPR3|4883	1049.9571
NPRL2|10641	400.9822	NPRL2|10641	297.618
NPRL3|8131	1475.8194	NPRL3|8131	949.938
NPTN|27020	1167.93	NPTN|27020	2597.5705
lowly_expressed	lowly_expressed	NPTX1|4884	156.6154
NPTX2|4885	14.5191	NPTX2|4885	26.3465
NPTXR|23467	45.6923	NPTXR|23467	564.4983
NPW|283869	8.1136	lowly_expressed	lowly_expressed
NPY1R|4886	19.6434	NPY1R|4886	2644.4087
lowly_expressed	lowly_expressed	NPY2R|4887	183.9377
lowly_expressed	lowly_expressed	NPY5R|4889	218.0905
NQO1|1728	1923.3479	NQO1|1728	6471.9709
NQO2|4835	262.6241	NQO2|4835	466.9187
NR1D1|9572	352.3946	NR1D1|9572	776.4365
NR1D2|9975	1546.7065	NR1D2|9975	2024.29
NR1H2|7376	1127.362	NR1H2|7376	1102.1622
NR1H3|10062	325.3977	NR1H3|10062	1251.4591
NR1I3|9970	13.2081	lowly_expressed	lowly_expressed
NR2C1|7181	111.4551	NR2C1|7181	411.7862
NR2C2AP|126382	739.8228	NR2C2AP|126382	190.6365
NR2C2|7182	1329.7064	NR2C2|7182	1380.7229
NR2F1|7025	34.1625	NR2F1|7025	577.1837
NR2F2|7026	1659.0157	NR2F2|7026	2098.9385
NR2F6|2063	2273.0864	NR2F6|2063	605.4818
NR3C1|2908	213.5155	NR3C1|2908	4298.8719
NR3C2|4306	523.5401	NR3C2|4306	449.3543
NR4A1|3164	1398.9538	NR4A1|3164	3196.7096
NR4A2|4929	539.7673	NR4A2|4929	570.3531
NR4A3|8013	22.2056	NR4A3|8013	300.0575
NR5A2|2494	17.0812	NR5A2|2494	280.5415
NR6A1|2649	23.9137	lowly_expressed	lowly_expressed
NRARP|441478	2706.5229	NRARP|441478	203.9415
NRAS|4893	1407.4944	NRAS|4893	1192.9113
NRBF2|29982	1055.6208	NRBF2|29982	568.8894
NRBP1|29959	4342.9059	NRBP1|29959	1953.5448
NRBP2|340371	838.689	NRBP2|340371	1056.7877
NRCAM|4897	27.756999999999998	NRCAM|4897	163.4459
NRD1|4898	3888.9719	NRD1|4898	2916.656
NRF1|4899	408.6687	NRF1|4899	271.2715
NRG1|3084	10.2487	NRG1|3084	136.1236
NRG2|9542	111.0281	NRG2|9542	91.23700000000001
lowly_expressed	lowly_expressed	NRG3|10718	7.3185
NRGN|4900	11.1028	NRGN|4900	96.116
NRIP1|8204	417.2094	NRIP1|8204	2401.9233
NRIP2|83714	42.2761	NRIP2|83714	162.958
NRIP3|56675	111.8821	NRIP3|56675	98.5555
lowly_expressed	lowly_expressed	NRK|203447	180.5224
NRL|4901	29.6744	NRL|4901	25.9074
NRM|11270	317.2841	NRM|11270	241.5097
NRN1|51299	70.8872	NRN1|51299	1772.5345
NRP1|8829	1881.9259	NRP1|8829	9294.4625
NRP2|8828	534.6429	NRP2|8828	2338.9844
NRSN2|80023	1109.4267	NRSN2|80023	575.2321
NRTN|4902	128.1093	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	NRXN1|9378	36.1045
NRXN2|9379	8.5406	NRXN2|9379	83.4306
NRXN3|9369	11.9569	NRXN3|9369	63.4268
NSA2|10412	798.9751	NSA2|10412	1859.8683
NSD1|64324	1928.0453	NSD1|64324	2318.9806
NSDHL|50814	329.241	NSDHL|50814	565.962
NSFL1C|55968	1652.6102	NSFL1C|55968	1384.6554
NSF|4905	1013.3447	NSF|4905	1088.0132
NSL1|25936	555.9944	NSL1|25936	694.2793
NSMAF|8439	1062.4533	NSMAF|8439	967.9219
NSMCE1|197370	892.4949	NSMCE1|197370	791.8589
NSMCE2|286053	371.517	NSMCE2|286053	235.6549
NSMCE4A|54780	302.33799999999997	NSMCE4A|54780	806.4959
NSUN2|54888	2713.7824	NSUN2|54888	896.7571
NSUN3|63899	127.2553	NSUN3|63899	96.6039
NSUN4|387338	751.5747	NSUN4|387338	591.3327
NSUN5P1|155400	117.4335	NSUN5P1|155400	57.0841
NSUN5P2|260294	409.5399	NSUN5P2|260294	134.8453
NSUN5|55695	496.6371	NSUN5|55695	289.3237
NSUN6|221078	550.016	NSUN6|221078	155.1517
NSUN7|79730	209.2452	NSUN7|79730	63.9147
NT5C2|22978	1703.4269	NT5C2|22978	1147.0489
NT5C3L|115024	752.4287	NT5C3L|115024	606.4576
NT5C3|51251	779.7587	NT5C3|51251	307.3759
NT5C|30833	348.0303	NT5C|30833	142.4663
NT5DC1|221294	685.3849	NT5DC1|221294	908.4666
NT5DC2|64943	4184.0034	NT5DC2|64943	591.8109
NT5DC3|51559	263.4782	NT5DC3|51559	299.0817
NT5E|4907	342.4789	NT5E|4907	1626.165
NT5M|56953	135.7959	NT5M|56953	48.3019
NTAN1|123803	729.7961	NTAN1|123803	1023.1227
NTF3|4908	7.6866	NTF3|4908	18.5401
lowly_expressed	lowly_expressed	NTF4|4909	14.4174
NTHL1|4913	321.9814	NTHL1|4913	80.0153
NTM|50863	254.0835	NTM|50863	808.4475
NTN1|9423	926.6574	NTN1|9423	317.1339
NTN3|4917	8.9677	lowly_expressed	lowly_expressed
NTN4|59277	73.4493	NTN4|59277	2628.796
NTN5|126147	5.1244	NTN5|126147	5.3669
lowly_expressed	lowly_expressed	NTNG1|22854	17.0764
NTNG2|84628	9.3947	NTNG2|84628	9.2701
NTRK1|4914	9.8217	lowly_expressed	lowly_expressed
NTRK2|4915	100.3523	NTRK2|4915	10230.2514
lowly_expressed	lowly_expressed	NTRK3|4916	255.6587
NTSR1|4923	136.2229	lowly_expressed	lowly_expressed
NTSR2|23620	7.2595	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	NTS|4922	5.3669
NUAK1|9891	334.7924	NUAK1|9891	2336.5449
NUAK2|81788	42.7031	NUAK2|81788	38.544000000000004
NUB1|51667	1866.066	NUB1|51667	1676.3453
NUBP1|4682	209.5356	NUBP1|4682	350.3012
NUBP2|10101	924.9493	NUBP2|10101	409.8346
NUBPL|80224	177.6449	NUBPL|80224	515.7085
NUCB1|4924	6150.9555	NUCB1|4924	6784.7137
NUCB2|4925	1083.5956	NUCB2|4925	1455.5958
NUCKS1|64710	9547.5606	NUCKS1|64710	7443.8643
NUDCD1|84955	762.6775	NUDCD1|84955	396.1734
NUDCD2|134492	371.9441	NUDCD2|134492	340.0651
NUDCD3|23386	2619.8356	NUDCD3|23386	2374.601
NUDC|10726	2502.402	NUDC|10726	895.2934
NUDT10|170685	11.1028	NUDT10|170685	13.6612
NUDT11|55190	137.077	NUDT11|55190	36.1045
NUDT12|83594	229.3157	NUDT12|83594	376.1696
NUDT13|25961	49.8174	NUDT13|25961	50.9463
NUDT14|256281	197.7154	NUDT14|256281	258.0982
NUDT15|55270	313.2017	NUDT15|55270	480.9409
NUDT16L1|84309	317.2841	NUDT16L1|84309	275.1746
lowly_expressed	lowly_expressed	NUDT16P1|152195	104.8981
NUDT16|131870	210.5263	NUDT16|131870	1022.6348
NUDT17|200035	39.7139	NUDT17|200035	32.2013
NUDT18|79873	82.417	NUDT18|79873	116.6077
NUDT19|390916	356.1439	NUDT19|390916	280.5415
NUDT1|4521	444.9664	NUDT1|4521	115.14399999999999
NUDT21|11051	2365.3251	NUDT21|11051	2188.2238
NUDT22|84304	221.5138	NUDT22|84304	215.3973
NUDT2|318	508.167	NUDT2|318	267.3683
NUDT3|11165	595.7083	NUDT3|11165	434.7174
NUDT4|11163	313.8678	NUDT4|11163	991.8972
NUDT5|11164	3352.0145	NUDT5|11164	701.5977
NUDT6|11162	93.6052	NUDT6|11162	134.6209
NUDT7|283927	6.8325	NUDT7|283927	235.6549
NUDT8|254552	34.1625	NUDT8|254552	106.3618
NUDT9|53343	491.0857	NUDT9|53343	537.1759999999999
NUF2|83540	518.4157	NUF2|83540	5.8548
NUFIP1|26747	198.1424	NUFIP1|26747	158.079
NUFIP2|57532	2457.1368	NUFIP2|57532	2267.2634
NUMA1|4926	6026.9926	NUMA1|4926	6069.084
NUMBL|9253	497.9182	NUMBL|9253	519.1238
NUMB|8650	1105.5834	NUMB|8650	1740.8211
NUP107|57122	988.1499	NUP107|57122	729.4079
NUP133|55746	1799.5089	NUP133|55746	1390.9979999999998
NUP153|9972	1597.0962	NUP153|9972	1379.2885
NUP155|9631	2081.7764	NUP155|9631	532.7849
NUP160|23279	1100.8861	NUP160|23279	1135.8272
NUP188|23511	1461.3003	NUP188|23511	1706.1803
NUP205|23165	2878.6164	NUP205|23165	1065.5699
NUP210|23225	795.1318	NUP210|23225	385.4397
NUP214|8021	1449.3434	NUP214|8021	1629.0924
NUP35|129401	158.8556	NUP35|129401	185.4014
NUP37|79023	371.09	NUP37|79023	237.6065
NUP43|348995	610.2274	NUP43|348995	515.7085
NUP50|10762	828.0132	NUP50|10762	1139.7304
NUP54|53371	854.9162	NUP54|53371	710.3799
lowly_expressed	lowly_expressed	NUP62CL|54830	5.8548
NUP62|23636	1180.7836	NUP62|23636	1000.0988
NUP85|79902	879.684	NUP85|79902	549.8614
NUP88|4927	1570.1633	NUP88|4927	779.2175
NUP93|9688	2167.6097	NUP93|9688	717.6984
NUP98|4928	2221.4156	NUP98|4928	2524.8737
NUPL1|9818	899.3274	NUPL1|9818	749.4118
NUPL2|11097	553.0052	NUPL2|11097	286.8842
NUPR1|26471	3663.9266	NUPR1|26471	1569.0809
NUS1|116150	1503.5764	NUS1|116150	1018.2437
NUSAP1|51203	910.4302	NUSAP1|51203	67.33
NUTF2|10204	1659.0157	NUTF2|10204	1330.9865
NVL|4931	840.3971	NVL|4931	333.2345
NWD1|284434	2322.6220000000003	NWD1|284434	47.3261
NXF1|10482	1392.9753	NXF1|10482	1215.3546
lowly_expressed	lowly_expressed	NXNL1|115861	12.6854
lowly_expressed	lowly_expressed	NXNL2|158046	10.2459
NXN|64359	1372.9049	NXN|64359	482.0435
lowly_expressed	lowly_expressed	NXPH1|30010	29.2739
NXPH3|11248	79.4278	NXPH3|11248	187.8408
NXPH4|11247	79.4278	NXPH4|11247	17.5643
NXT1|29107	544.0376	NXT1|29107	166.8612
NXT2|55916	288.246	NXT2|55916	288.3479
NYNRIN|57523	1422.4405	NYNRIN|57523	1152.9037
OAF|220323	303.1921	OAF|220323	1859.8683
OAS1|4938	614.0707	OAS1|4938	510.3416
OAS2|4939	1112.843	OAS2|4939	873.8258
OAS3|4940	1055.1938	OAS3|4940	779.1736
OASL|8638	228.0346	OASL|8638	39.0319
OAT|4942	3079.7481	OAT|4942	2693.6865
OAZ1|4946	5708.9783	OAZ1|4946	8167.4174
OAZ2|4947	1085.0859	OAZ2|4947	1843.7676
OAZ3|51686	27.0353	OAZ3|51686	36.3338
OBFC1|79991	386.4631	OBFC1|79991	757.706
OBFC2A|64859	192.16400000000002	OBFC2A|64859	501.5594
OBFC2B|79035	527.8104	OBFC2B|79035	493.7531
OBP2A|29991	59.3573	lowly_expressed	lowly_expressed
OBP2B|29989	525.6752	lowly_expressed	lowly_expressed
OBSCN|84033	1775.9154	OBSCN|84033	216.8562
OBSL1|23363	1090.6373	OBSL1|23363	852.3583
OCA2|4948	334.7924	lowly_expressed	lowly_expressed
OCEL1|79629	765.6667	OCEL1|79629	269.8078
OCIAD1|54940	1416.8891	OCIAD1|54940	2459.4953
OCIAD2|132299	871.1434	OCIAD2|132299	239.5581
OCLM|10896	5.1244	lowly_expressed	lowly_expressed
OCLN|4950	579.4812	OCLN|4950	120.023
OCRL|4952	1056.0478	OCRL|4952	1300.249
ODC1|4953	2812.4266	ODC1|4953	1115.3355
ODF2L|57489	490.6587	ODF2L|57489	439.1085
ODF2|4957	882.6732	ODF2|4957	549.3735
ODF3B|440836	481.264	ODF3B|440836	77.0879
lowly_expressed	lowly_expressed	ODF3L1|161753	28.2981
ODF3L2|284451	11.5298	ODF3L2|284451	5.3669
lowly_expressed	lowly_expressed	ODZ1|10178	100.0192
lowly_expressed	lowly_expressed	ODZ2|57451	320.0613
ODZ3|55714	128.5364	ODZ3|55714	948.4743
ODZ4|26011	173.3746	ODZ4|26011	1357.8209
OFD1|8481	931.7818	OFD1|8481	503.0231
OGDH|4967	5158.1083	OGDH|4967	4136.4017
OGFOD1|55239	958.6847	OGFOD1|55239	941.1558
OGFOD2|79676	225.4596	OGFOD2|79676	153.4147
OGFRL1|79627	2258.9943	OGFRL1|79627	677.6907
OGFR|11054	524.3941	OGFR|11054	308.3517
OGG1|4968	336.9275	OGG1|4968	296.1543
OGN|4969	11.5298	OGN|4969	3844.1506
OGT|8473	2391.801	OGT|8473	2800.0483
OIP5|11339	92.1875	OIP5|11339	9.9482
OLA1|29789	1174.7625	OLA1|29789	1346.1114
OLFM1|10439	15.3731	OLFM1|10439	608.8971
OLFM2|93145	5385.2888	OLFM2|93145	415.6893
lowly_expressed	lowly_expressed	OLFM4|10562	31.7134
OLFML1|283298	75.5845	OLFML1|283298	1038.2476
OLFML2A|169611	488.0965	OLFML2A|169611	2303.3678
OLFML2B|25903	699.4769	OLFML2B|25903	1638.3625
OLFML3|56944	231.0238	OLFML3|56944	2226.2799
OLR1|4973	111.8821	OLR1|4973	11.7096
OMA1|115209	342.0519	OMA1|115209	319.0855
OMD|4958	24.3408	OMD|4958	570.841
ONECUT2|9480	17.0812	lowly_expressed	lowly_expressed
OPA1|4976	1707.6972	OPA1|4976	2103.8174
OPA3|80207	380.4847	OPA3|80207	524.0028
OPCML|4978	11.5298	OPCML|4978	14.6369
OPHN1|4983	295.0785	OPHN1|4983	388.36699999999996
OPLAH|26873	758.4072	OPLAH|26873	231.7517
OPN3|23596	953.1034	OPN3|23596	295.4127
OPRK1|4986	26.903000000000002	OPRK1|4986	5.3669
OPRL1|4987	164.834	OPRL1|4987	87.3338
OPTN|10133	6430.2338	OPTN|10133	4097.3699
OR2A1|346528	14.5191	OR2A1|346528	16.1006
OR2A4|79541	54.66	OR2A4|79541	42.4472
OR2A7|401427	303.6191	OR2A7|401427	162.4701
OR2A9P|441295	302.33799999999997	OR2A9P|441295	337.6256
lowly_expressed	lowly_expressed	OR2W3|343171	5.3669
OR51E1|143503	28.1841	OR51E1|143503	167.3491
lowly_expressed	lowly_expressed	OR51E2|81285	20.0038
OR7E91P|79315	19.6434	lowly_expressed	lowly_expressed
ORAI1|84876	635.8493	ORAI1|84876	406.9072
ORAI2|80228	1473.9447	ORAI2|80228	523.5539
ORAI3|93129	340.7708	ORAI3|93129	525.9544
ORAOV1|220064	204.1208	ORAOV1|220064	191.74400000000003
ORC1L|4998	189.6018	ORC1L|4998	8.7822
ORC2L|4999	383.4739	ORC2L|4999	301.0332
ORC3L|23595	575.2108	ORC3L|23595	625.9735
ORC4L|5000	423.1878	ORC4L|5000	498.6321
ORC5L|5001	404.3984	ORC5L|5001	332.7466
ORC6L|23594	181.4882	ORC6L|23594	15.1248
lowly_expressed	lowly_expressed	ORM2|5005	10.2459
ORMDL1|94101	426.17699999999996	ORMDL1|94101	618.655
ORMDL2|29095	650.048	ORMDL2|29095	560.5122
ORMDL3|94103	1311.8394	ORMDL3|94103	2958.6152
OS9|10956	6332.0167	OS9|10956	5953.335
OSBP2|23762	10.6758	OSBP2|23762	78.5516
OSBPL10|114884	1196.114	OSBPL10|114884	493.2652
OSBPL11|114885	606.8111	OSBPL11|114885	816.2538
OSBPL1A|114876	3496.1033	OSBPL1A|114876	3094.7389
OSBPL2|9885	1273.4066	OSBPL2|9885	935.7889
OSBPL3|26031	2081.7764	OSBPL3|26031	302.9848
OSBPL5|114879	466.3179	OSBPL5|114879	582.5506
lowly_expressed	lowly_expressed	OSBPL6|114880	85.8701
