gene_id	TCGA-BH-A0C3-01A-21R-A12P-07	gene_id	TCGA-BH-A0C3-11A-23R-A12P-07
ACPL2|92370	311.7597	ACPL2|92370	452.0825
ACPP|55	62.1827	ACPP|55	28.3057
ACRBP|84519	13.5364	ACRBP|84519	16.9834
ACRC|93953	16.4975	ACRC|93953	27.497
lowly_expressed	lowly_expressed	ACR|49	5.2568
lowly_expressed	lowly_expressed	ACSBG1|23205	14.5572
lowly_expressed	lowly_expressed	ACSBG2|81616	5.6611
ACSF2|80221	678.934	ACSF2|80221	711.6862
ACSF3|197322	227.1574	ACSF3|197322	287.9094
ACSL1|2180	7735.6176	ACSL1|2180	3585.928
ACSL3|2181	4293.9932	ACSL3|2181	3200.1617
ACSL4|2182	1418.3587	ACSL4|2182	915.0829
ACSL5|51703	556.2606	ACSL5|51703	863.3239
ACSL6|23305	49.0694	ACSL6|23305	14.9616
ACSM1|116285	68.1049	ACSM1|116285	519.6118
ACSM3|6296	40.6261	ACSM3|6296	145.9442
ACSM5|54988	277.4958	ACSM5|54988	82.0865
ACSS1|84532	489.0017	ACSS1|84532	771.5326
ACSS2|55902	1922.5888	ACSS2|55902	1877.4767
ACSS3|79611	548.6464	ACSS3|79611	236.5548
ACTA2|59	5016.8401	ACTA2|59	36813.5301
ACTB|60	66224.1963	ACTB|60	56513.1419
ACTC1|70	6.3452	lowly_expressed	lowly_expressed
ACTG1|71	71887.4788	ACTG1|71	53399.5148
ACTG2|72	207.2758	ACTG2|72	5623.1298
ACTL6A|86	871.4044	ACTL6A|86	888.3947
ACTN1|87	4583.3333	ACTN1|87	7749.6967
ACTN4|81	7773.5787	ACTN4|81	10725.6369
ACTR10|55860	983.9255	ACTR10|55860	1016.1747
ACTR1A|10121	2701.7766	ACTR1A|10121	1893.6514
ACTR1B|10120	683.5871	ACTR1B|10120	1494.1367
ACTR2|10097	7385.3638	ACTR2|10097	3909.8261
ACTR3B|57180	95.6007	ACTR3B|57180	297.2099
ACTR3C|653857	7.6142	ACTR3C|653857	38.0105
ACTR3|10096	3786.802	ACTR3|10096	2322.2806
ACTR5|79913	201.3536	ACTR5|79913	243.8334
ACTR6|64431	445.0085	ACTR6|64431	585.5237
ACTR8|93973	561.3367	ACTR8|93973	635.6652
ACVR1B|91	1099.4078	ACVR1B|91	1444.8039
ACVR1C|130399	1333.3333	ACVR1C|130399	304.8928
ACVR1|90	1427.665	ACVR1|90	1238.1723
