gene_id	TCGA-E9-A1RF-01A-11R-A157-07	gene_id	TCGA-E9-A1RF-11A-32R-A157-07
ACSM3|6296	13.6324	removed	removed
ACSM5|54988	13.9942	ACSM5|54988	874.3981
ACSS1|84532	2585.177	ACSS1|84532	300.5618
ACSS2|55902	845.456	ACSS2|55902	5067.817
ACSS3|79611	57.3422	ACSS3|79611	1223.5152
ACTA1|58	33.1083	removed	removed
ACTA2|59	7910.3858	ACTA2|59	3334.8395
ACTB|60	184334.6599	ACTB|60	70568.2183
ACTG1|71	62165.7599	ACTG1|71	34762.4398
ACTG2|72	457.3722	ACTG2|72	45.7464
ACTL6A|86	969.3561	ACTL6A|86	636.0353
ACTN1|87	8194.4719	ACTN1|87	3938.6035
ACTN4|81	38258.5928	ACTN4|81	5663.6677
ACTR10|55860	1350.9547	ACTR10|55860	1409.7111
ACTR1A|10121	2708.3945	ACTR1A|10121	3194.6228
ACTR1B|10120	1960.8981	ACTR1B|10120	869.5827
ACTR2|10097	6986.5314	ACTR2|10097	7453.8523
ACTR3B|57180	91.1331	ACTR3B|57180	92.2953
ACTR3C|653857	15.0182	ACTR3C|653857	18.8604
ACTR3|10096	4613.9983	ACTR3|10096	3662.5201
ACTR5|79913	432.1144	ACTR5|79913	127.6083
ACTR6|64431	657.3872	ACTR6|64431	524.4783
ACTR8|93973	509.9359	ACTR8|93973	423.756
ACVR1B|91	731.1129	ACVR1B|91	1010.4334
ACVR1C|130399	11.9463	ACVR1C|130399	4883.2263
ACVR1|90	970.0387	ACVR1|90	1496.3884
ACVR2A|92	249.8481	ACVR2A|92	520.8668
ACVR2B|93	566.9368	ACVR2B|93	323.0337
ACVRL1|94	684.0104	ACVRL1|94	1042.5361
ACY1|95	737.2567	ACY1|95	428.9727
ACYP1|97	132.0918	ACYP1|97	36.5169
ACYP2|98	115.7083	ACYP2|98	210.2729
ADAL|161823	204.7935	ADAL|161823	329.4543
ADAM10|102	1573.497	ADAM10|102	1414.9278
ADAM11|4185	5.4612	removed	removed
ADAM12|8038	3043.9146	ADAM12|8038	1947.8331
ADAM15|8751	2160.9131	ADAM15|8751	2604.9157
ADAM17|6868	785.0419	ADAM17|6868	646.0674
ADAM19|8728	902.4568	ADAM19|8728	145.6661
removed	removed	ADAM20|8748	5.618
removed	removed	ADAM21|8747	7.2231
ADAM22|53616	37.8868	ADAM22|53616	202.2472
ADAM23|8745	18.7727	ADAM23|8745	69.0209
ADAM28|10863	98.6422	ADAM28|10863	6.0193
ADAM32|203102	19.7967	ADAM32|203102	34.5104
ADAM33|80332	33.4496	ADAM33|80332	763.6437
ADAM6|8755	10991.8424	ADAM6|8755	2093.6316
ADAM8|101	724.9691	ADAM8|101	38.9246
ADAM9|8754	2113.1279	ADAM9|8754	3051.3644
ADAMDEC1|27299	239.2671	ADAMDEC1|27299	61.7978
ADAMTS10|81794	64.8513	ADAMTS10|81794	135.634
ADAMTS12|81792	609.6021	ADAMTS12|81792	481.5409
ADAMTS13|11093	72.3604	ADAMTS13|11093	13.2424
ADAMTS14|140766	185.6795	removed	removed
ADAMTS15|170689	25.5992	ADAMTS15|170689	272.0706
ADAMTS16|170690	101.7141	ADAMTS16|170690	148.8764
ADAMTS17|170691	108.5406	ADAMTS17|170691	28.4912
removed	removed	ADAMTS18|170692	199.4382
ADAMTS1|9510	475.4623	ADAMTS1|9510	5440.61
ADAMTS2|9509	1677.9417	ADAMTS2|9509	1148.8764
ADAMTS3|9508	18.0901	removed	removed
ADAMTS4|9507	660.8005	ADAMTS4|9507	209.4703
ADAMTS5|11096	262.1357	ADAMTS5|11096	3700.2408
ADAMTS6|11174	72.3604	ADAMTS6|11174	59.7913
ADAMTS7|11173	331.4242	ADAMTS7|11173	133.2263
removed	removed	ADAMTS8|11095	5.618
ADAMTS9|56999	160.0803	ADAMTS9|56999	1570.626
ADAMTSL1|92949	104.786	ADAMTSL1|92949	353.13
ADAMTSL2|9719	148.134	ADAMTSL2|9719	31.3002
ADAMTSL3|57188	101.7141	ADAMTSL3|57188	910.5136
ADAMTSL4|54507	312.6515	ADAMTSL4|54507	1848.3146
ADAMTSL5|339366	27.9884	ADAMTSL5|339366	35.313
ADAP1|11033	197.7759	ADAP1|11033	46.4286
ADAP2|55803	338.9333	ADAP2|55803	302.1669
ADARB1|104	379.2094	ADARB1|104	847.1108
ADAR|103	9992.2178	ADAR|103	6289.7271
ADAT1|23536	297.6333	ADAT1|23536	369.5827
ADAT2|134637	87.7199	ADAT2|134637	197.0305
ADAT3|113179	22.8686	removed	removed
ADA|100	238.9258	ADA|100	219.5024
ADCK1|57143	273.058	ADCK1|57143	186.1958
ADCK2|90956	1335.5952	ADCK2|90956	373.1942
ADCK4|79934	983.009	ADCK4|79934	255.2167
ADCK5|203054	83.2827	ADCK5|203054	12.8411
ADCY1|107	447.8152	ADCY1|107	65.8106
ADCY2|108	14.3355	ADCY2|108	120.3852
ADCY3|109	508.929	ADCY3|109	1503.6717
ADCY4|196883	105.1273	ADCY4|196883	761.6372
ADCY5|111	201.7216	ADCY5|111	1123.1942
ADCY6|112	1427.7523	ADCY6|112	4250
ADCY7|113	717.1187	ADCY7|113	1325.8427
ADCY9|115	562.4996	ADCY9|115	677.3676
removed	removed	ADCYAP1R1|117	76.6453
ADC|113451	201.7216	ADC|113451	54.1734
ADD1|118	5116.4251	ADD1|118	7907.3034
ADD2|119	17.4075	ADD2|119	63.4029
ADD3|120	947.1701	ADD3|120	5573.8363
removed	removed	ADH1A|124	747.4799
ADH1B|125	257.3572	ADH1B|125	76060.9912
removed	removed	ADH1C|126	536.9181
removed	removed	ADH4|127	21.6693
ADH5|128	2693.7176	ADH5|128	5945.8266
ADHFE1|137872	47.1025	ADHFE1|137872	413.3226
ADI1|55256	1047.1776	ADI1|55256	2408.9085
ADIPOQ|9370	328.3523	ADIPOQ|9370	167676.565
ADIPOR1|51094	4315.3411	ADIPOR1|51094	2396.87
ADIPOR2|79602	4298.275	ADIPOR2|79602	6256.4205
ADK|132	307.8729	ADK|132	418.138
ADM2|79924	120.8282	removed	removed
ADM|133	91.1331	ADM|133	1011.236
ADNP2|22850	390.1317	ADNP2|22850	558.5875
ADNP|23394	4757.3538	ADNP|23394	2323.435
ADORA1|134	131.4092	ADORA1|134	136.8379
ADORA2A|135	80.89	ADORA2A|135	31.2921
ADORA2B|136	21.162	ADORA2B|136	36.5169
ADORA3|140	282.2738	ADORA3|140	85.4735
ADO|84890	602.093	ADO|84890	697.4318
ADPGK|83440	803.405	ADPGK|83440	810.7905
ADPRHL1|113622	186.3621	ADPRHL1|113622	48.9567
ADPRHL2|54936	804.8386	ADPRHL2|54936	310.9952
ADPRH|141	281.5911	ADPRH|141	631.2199
removed	removed	ADRA1A|148	170.5457
ADRA1B|147	7.1678	ADRA1B|147	107.5441
ADRA1D|146	134.1398	removed	removed
ADRA2A|150	228.0035	ADRA2A|150	3607.1429
ADRA2B|151	14.3355	ADRA2B|151	40.5297
ADRA2C|152	171.6852	ADRA2C|152	50.9631
removed	removed	ADRB1|153	182.5843
ADRB2|154	12.6289	ADRB2|154	648.4751
removed	removed	ADRB3|155	5.2167
ADRBK1|156	1846.2137	ADRBK1|156	895.2648
ADRBK2|157	486.3846	ADRBK2|157	6186.9984
ADRM1|11047	2005.27	ADRM1|11047	514.8475
ADSL|158	1305.9001	ADSL|158	747.9936
ADSSL1|122622	205.1349	ADSSL1|122622	224.7191
ADSS|159	2206.309	ADSS|159	847.512
AEBP1|165	32136.5427	AEBP1|165	4406.9021
AEBP2|121536	448.1565	AEBP2|121536	573.0337
