gene_id	TCGA-E9-A1N5-01A-11R-A14D-07	gene_id	TCGA-E9-A1N5-11A-41R-A14D-07
ACLY|47	2965.5372	ACLY|47	3780.6255
lowly_expressed	lowly_expressed	ACMSD|130013	5.3836
ACN9|57001	118.7989	ACN9|57001	179.6773
ACO1|48	835.5362	ACO1|48	890.3111
ACO2|50	2881.0519	ACO2|50	2824.8231
ACOT11|26027	40.4212	ACOT11|26027	32.3015
ACOT13|55856	539.3374	ACOT13|55856	435.6871
ACOT1|641371	378.0863	ACOT1|641371	429.3412
ACOT2|10965	286.8921	ACOT2|10965	311.5752
ACOT4|122970	186.332	ACOT4|122970	43.0687
ACOT7|11332	779.3408	ACOT7|11332	381.5619
ACOT8|10005	327.7224	ACOT8|10005	263.3786
ACOT9|23597	391.3957	ACOT9|23597	326.3801
ACOX1|51	1472.9837	ACOX1|51	1504.7132
ACOX2|8309	200.6273	ACOX2|8309	123.1496
ACOX3|8310	1002.6434	ACOX3|8310	703.2313
ACP1|52	1361.012	ACP1|52	1419.2487
ACP2|53	1094.8235	ACP2|53	739.5706
ACP5|54	1722.3383	ACP5|54	1148.0504
ACP6|51205	205.0637	ACP6|51205	228.1296
ACPL2|92370	641.8101	ACPL2|92370	1135.9373
ACPP|55	13.3094	ACPP|55	9.4213
ACRBP|84519	36.9706	ACRBP|84519	8.0754
ACRC|93953	12.3235	ACRC|93953	14.1319
ACR|49	7.3941	ACR|49	6.0565
ACSBG1|23205	5.4224	ACSBG1|23205	6.0565
ACSF2|80221	1952.542	ACSF2|80221	526.9188
ACSF3|197322	296.7509	ACSF3|197322	448.8567
ACSL1|2180	3454.0424	ACSL1|2180	2514.8091
ACSL3|2181	3181.4457	ACSL3|2181	4088.836
ACSL4|2182	727.089	ACSL4|2182	1405.7897
ACSL5|51703	324.3556	ACSL5|51703	874.1603
ACSL6|23305	12.8165	ACSL6|23305	9.4213
ACSM1|116285	37.4636	ACSM1|116285	28.9368
ACSM3|6296	9.1884	ACSM3|6296	158.7419
ACSM5|54988	36.9706	ACSM5|54988	43.7417
ACSS1|84532	345.0592	ACSS1|84532	929.3421
ACSS2|55902	744.8349	ACSS2|55902	1171.6036
ACSS3|79611	144.4319	ACSS3|79611	213.3247
ACTA1|58	7.8871	lowly_expressed	lowly_expressed
ACTA2|59	6054.0979	ACTA2|59	24534.3145
ACTB|60	85457.3575	ACTB|60	62082.204
ACTG1|71	68499.1774	ACTG1|71	53063.3463
ACTG2|72	22.6753	ACTG2|72	5617.1023
ACTL6A|86	1037.6423	ACTL6A|86	880.8898
ACTN1|87	8681.1961	ACTN1|87	8403.7826
ACTN4|81	9138.1136	ACTN4|81	10079.196
ACTR10|55860	888.2809	ACTR10|55860	846.5694
ACTR1A|10121	2799.9088	ACTR1A|10121	1876.1808
ACTR1B|10120	1274.2543	ACTR1B|10120	1521.5369
ACTR2|10097	5969.0309	ACTR2|10097	4878.2047
ACTR3B|57180	211.472	ACTR3B|57180	420.5929
ACTR3C|653857	35.9847	ACTR3C|653857	48.4523
ACTR3|10096	3472.7742	ACTR3|10096	3098.9285
ACTR5|79913	225.2744	ACTR5|79913	179.6773
ACTR6|64431	511.1805	ACTR6|64431	590.8489
ACTR8|93973	569.8406	ACTR8|93973	642.666
ACVR1B|91	1143.6247	ACVR1B|91	1228.8042
ACVR1C|130399	29.5765	ACVR1C|130399	145.3569
ACVR1|90	835.5362	ACVR1|90	1085.4662
ACVR2A|92	327.3133	ACVR2A|92	689.7724
ACVR2B|93	438.7181	ACVR2B|93	292.7327
ACVRL1|94	600.403	ACVRL1|94	724.7657
ACY1|95	588.5724	ACY1|95	1055.1835
lowly_expressed	lowly_expressed	ACY3|91703	18.1696
ACYP1|97	104.0107	ACYP1|97	88.8292
ACYP2|98	53.7306	ACYP2|98	168.9101
ADAL|161823	240.0626	ADAL|161823	209.96
ADAM10|102	1366.4344	ADAM10|102	2245.6296
ADAM11|4185	9.8588	ADAM11|4185	22.8803
ADAM12|8038	3574.3202	ADAM12|8038	6397.7227
ADAM15|8751	2776.9969	ADAM15|8751	2788.6992
ADAM17|6868	726.1031	ADAM17|6868	1030.9573
ADAM19|8728	579.6994	ADAM19|8728	275.9089
ADAM21|8747	5.9153	lowly_expressed	lowly_expressed
ADAM22|53616	21.6894	ADAM22|53616	75.3702
ADAM23|8745	64.5754	ADAM23|8745	78.062
ADAM28|10863	120.7707	ADAM28|10863	159.4888
lowly_expressed	lowly_expressed	ADAM32|203102	88.1563
ADAM33|80332	58.6601	ADAM33|80332	582.0333
ADAM6|8755	658.7426	ADAM6|8755	41412.6807
ADAM8|101	372.171	ADAM8|101	133.2438
ADAM9|8754	2444.0049	ADAM9|8754	1897.7152
ADAMDEC1|27299	112.3907	ADAMDEC1|27299	66.6219
ADAMTS10|81794	232.1755	ADAMTS10|81794	165.5454
ADAMTS12|81792	925.2516	ADAMTS12|81792	1351.9538
ADAMTS13|11093	138.5166	ADAMTS13|11093	115.0742
ADAMTS14|140766	228.7249	ADAMTS14|140766	41.7228
ADAMTS15|170689	204.0779	ADAMTS15|170689	436.0707
ADAMTS16|170690	498.857	ADAMTS16|170690	1116.4218
ADAMTS17|170691	117.8131	ADAMTS17|170691	21.5344
ADAMTS18|170692	7.3941	ADAMTS18|170692	256.3934
ADAMTS19|171019	6.4082	ADAMTS19|171019	48.4523
ADAMTS1|9510	498.364	ADAMTS1|9510	2304.8491
ADAMTS2|9509	1517.7675	ADAMTS2|9509	1292.0614
ADAMTS3|9508	21.1965	ADAMTS3|9508	215.3436
ADAMTS4|9507	666.9501	ADAMTS4|9507	300.808
ADAMTS5|11096	390.4098	ADAMTS5|11096	2565.2802
ADAMTS6|11174	91.1942	ADAMTS6|11174	37.0122
ADAMTS7|11173	350.4815	ADAMTS7|11173	271.8713
ADAMTS8|11095	14.2953	ADAMTS8|11095	440.7814
ADAMTS9|56999	227.2461	ADAMTS9|56999	3915.2152
ADAMTSL1|92949	204.5708	ADAMTSL1|92949	539.0319
ADAMTSL2|9719	749.7643	ADAMTSL2|9719	22.2073
ADAMTSL3|57188	131.6154	ADAMTSL3|57188	120.4578
ADAMTSL4|54507	135.066	ADAMTSL4|54507	272.5442
ADAMTSL5|339366	91.6872	ADAMTSL5|339366	44.4146
ADAP1|11033	344.3247	ADAP1|11033	70.2491
ADAP2|55803	363.298	ADAP2|55803	195.1551
ADARB1|104	475.6887	ADARB1|104	546.4343
lowly_expressed	lowly_expressed	ADARB2|105	15.4778
ADAR|103	10782.6066	ADAR|103	8364.0787
ADAT1|23536	271.1179	ADAT1|23536	370.1218
ADAT2|134637	89.2224	ADAT2|134637	239.5697
ADAT3|113179	26.6189	ADAT3|113179	31.6286
ADA|100	173.5155	ADA|100	102.2882
ADCK1|57143	122.7425	ADCK1|57143	164.1995
ADCK2|90956	800.0444	ADCK2|90956	723.4198
ADCK4|79934	739.9055	ADCK4|79934	644.0119
ADCK5|203054	186.8249	ADCK5|203054	113.0554
ADCY1|107	219.3591	ADCY1|107	250.3369
ADCY2|108	106.4754	ADCY2|108	122.4767
ADCY3|109	1100.2951	ADCY3|109	1407.0078
ADCY4|196883	180.4167	ADCY4|196883	176.9855
ADCY5|111	20.2106	ADCY5|111	372.1406
ADCY6|112	2411.4708	ADCY6|112	2406.4643
ADCY7|113	1066.2329	ADCY7|113	687.0806
ADCY9|115	2032.8915	ADCY9|115	810.9031
ADCYAP1R1|117	9.8588	ADCYAP1R1|117	75.3702
ADCYAP1|116	8.873	ADCYAP1|116	17.4967
ADC|113451	417.5216	ADC|113451	100.9423
ADD1|118	5354.3326	ADD1|118	4834.463
ADD2|119	53.2377	ADD2|119	24.2262
ADD3|120	1992.4703	ADD3|120	3536.3451
ADH1A|124	13.8024	ADH1A|124	17.7928
ADH1B|125	1041.5858	ADH1B|125	1314.2687
ADH1C|126	9.8588	ADH1C|126	52.49
ADH5|128	1860.3619	ADH5|128	2938.0938
ADHFE1|137872	133.0943	ADHFE1|137872	132.5709
ADI1|55256	867.5774	ADI1|55256	981.1591
ADIPOQ|9370	1178.1306	ADIPOQ|9370	2179.0077
ADIPOR1|51094	2277.8836	ADIPOR1|51094	1888.2939
ADIPOR2|79602	5643.1965	ADIPOR2|79602	1925.3061
ADK|132	280.9768	ADK|132	358.0087
ADM2|79924	377.5933	ADM2|79924	145.3569
ADM|133	90.2083	ADM|133	209.287
ADNP2|22850	911.9421	ADNP2|22850	804.8466
ADNP|23394	4072.1913	ADNP|23394	3252.3608
ADORA1|134	875.4644	ADORA1|134	1562.5867
ADORA2A|135	703.413	ADORA2A|135	60.5654
ADORA2B|136	15.2812	ADORA2B|136	90.1751
ADORA3|140	313.018	ADORA3|140	78.735
ADO|84890	753.2149	ADO|84890	820.3244
ADPGK|83440	976.0245	ADPGK|83440	901.6233
ADPRHL1|113622	129.1507	ADPRHL1|113622	138.6274
ADPRHL2|54936	789.6926	ADPRHL2|54936	632.5717
ADPRH|141	322.3839	ADPRH|141	271.1983
lowly_expressed	lowly_expressed	ADRA1A|148	12.786
ADRA1B|147	6.9012	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ADRA1D|146	16.1508
ADRA2A|150	601.3889	ADRA2A|150	309.5564
ADRA2B|151	14.7883	ADRA2B|151	30.2827
ADRA2C|152	13.8024	ADRA2C|152	14.1319
lowly_expressed	lowly_expressed	ADRB1|153	5.3836
ADRB2|154	53.7306	ADRB2|154	82.0997
ADRBK1|156	3974.0959	ADRBK1|156	1851.9547
ADRBK2|157	801.5232	ADRBK2|157	829.0727
ADRM1|11047	1306.7884	ADRM1|11047	1034.3221
ADSL|158	794.1291	ADSL|158	1199.1945
ADSSL1|122622	195.6979	ADSSL1|122622	86.8104
ADSS|159	902.5762	ADSS|159	1118.4406
AEBP1|165	30986.8076	AEBP1|165	6148.0588
AEBP2|121536	701.949	AEBP2|121536	853.2989
AEN|64782	284.9203	AEN|64782	455.5862
AES|166	5792.5578	AES|166	5226.7921
AFAP1L1|134265	363.791	AFAP1L1|134265	374.1594
AFAP1L2|84632	3600.4461	AFAP1L2|84632	986.5427
AFAP1|60312	1700.5848	AFAP1|60312	3015.3887
AFF1|4299	2380.9084	AFF1|4299	2571.3368
AFF2|2334	33.52	lowly_expressed	lowly_expressed
AFF3|3899	3473.2672	AFF3|3899	1810.9048
AFF4|27125	3676.8521	AFF4|27125	4629.2137
AFG3L1|172	216.4014	AFG3L1|172	265.8147
AFG3L2|10939	1350.1131	AFG3L2|10939	1716.3219
AFMID|125061	438.7181	AFMID|125061	402.4233
AFTPH|54812	2187.1823	AFTPH|54812	1277.9295
AG2|387763	113.8695	AG2|387763	43.7417
AGAP11|119385	139.0194	AGAP11|119385	57.2276
AGAP1|116987	453.5064	AGAP1|116987	642.666
AGAP2|116986	126.129	AGAP2|116986	134.2465
AGAP3|116988	1640.5099	AGAP3|116988	1442.8019
AGAP4|119016	252.8791	AGAP4|119016	253.7016
AGAP5|729092	87.9162	AGAP5|729092	90.6462
AGAP6|414189	122.2495	AGAP6|414189	113.0554
AGAP7|653268	20.2106	AGAP7|653268	6.7295
AGAP8|728404	49.2942	AGAP8|728404	11.4401
AGA|175	355.9039	AGA|175	552.4908
AGBL2|79841	61.1248	AGBL2|79841	8.0754
lowly_expressed	lowly_expressed	AGBL3|340351	5.3836
AGBL4|84871	14.7883	lowly_expressed	lowly_expressed
AGBL5|60509	749.7742	AGBL5|60509	983.1914
AGER|177	60.6318	AGER|177	42.3958
AGFG1|3267	1603.5393	AGFG1|3267	1488.5624
AGFG2|3268	459.9146	AGFG2|3268	467.6993
AGGF1|55109	1077.5705	AGGF1|55109	901.0782
AGK|55750	462.3793	AGK|55750	565.9498
AGL|178	5486.441	AGL|178	1211.3076
AGMAT|79814	6.4082	AGMAT|79814	34.3204
AGPAT1|10554	2080.0069	AGPAT1|10554	1668.2801
AGPAT2|10555	923.7727	AGPAT2|10555	572.6793
AGPAT3|56894	2185.7035	AGPAT3|56894	2124.4989
AGPAT4|56895	156.2625	AGPAT4|56895	236.205
AGPAT5|55326	663.9925	AGPAT5|55326	909.1536
AGPAT6|137964	2191.1258	AGPAT6|137964	2406.4643
AGPAT9|84803	35.9847	AGPAT9|84803	107.6718
AGPHD1|123688	49.7871	AGPHD1|123688	54.5088
AGPS|8540	843.4232	AGPS|8540	1148.0504
AGR2|10551	4925.9663	AGR2|10551	1009.423
AGR3|155465	2060.0033	AGR3|155465	240.2427
AGRN|375790	6902.1696	AGRN|375790	7954.9259
AGTPBP1|23287	366.2557	AGTPBP1|23287	462.3157
AGTR1|185	68.026	AGTR1|185	191.7904
AGTRAP|57085	908.4915	AGTRAP|57085	513.4598
AGT|183	307.1027	AGT|183	76.7161
AGXT2L1|64850	26.1259	lowly_expressed	lowly_expressed
AGXT2L2|85007	350.1365	AGXT2L2|85007	369.22
AHCTF1|25909	1231.3683	AHCTF1|25909	1518.1721
AHCYL1|10768	5983.3262	AHCYL1|10768	3875.5112
AHCYL2|23382	915.8857	AHCYL2|23382	762.4508
AHCY|191	4565.133	AHCY|191	4741.5961
AHDC1|27245	1095.3164	AHDC1|27245	2405.7914
AHI1|54806	198.1626	AHI1|54806	445.492
AHNAK2|113146	1222.9883	AHNAK2|113146	632.5717
AHNAK|79026	100144.5552	AHNAK|79026	48426.0572
AHRR|57491	42.393	AHRR|57491	29.6097
AHR|196	2340.9801	AHR|196	3118.444
AHSA1|10598	1541.9216	AHSA1|10598	1306.8663
AHSA2|130872	469.7734	AHSA2|130872	448.8567
AIDA|64853	1087.4787	AIDA|64853	664.8934
AIF1L|83543	574.2771	AIF1L|83543	4858.0162
AIF1|199	505.2652	AIF1|199	270.5254
AIFM1|9131	850.8174	AIFM1|9131	807.5384
AIFM2|84883	484.5617	AIFM2|84883	546.4343
AIFM3|150209	25.14	AIFM3|150209	12.786
AIG1|51390	474.7028	AIG1|51390	590.8489
AIM1L|55057	11.3377	lowly_expressed	lowly_expressed
AIM1|202	906.0268	AIM1|202	1954.2429
AIM2|9447	25.633	lowly_expressed	lowly_expressed
AIMP1|9255	982.8124	AIMP1|9255	915.7081
AIMP2|7965	318.5981	AIMP2|7965	312.975
AIP|9049	1879.5867	AIP|9049	695.1559
AJAP1|55966	7.3941	AJAP1|55966	21.5344
AK1|203	344.0733	AK1|203	292.0597
AK2|204	2125.0716	AK2|204	1740.9181
AK3L1|205	181.4025	AK3L1|205	831.7645
AK3|50808	937.5751	AK3|50808	1453.5691
AK5|26289	62.6036	AK5|26289	405.788
AK7|122481	56.6883	AK7|122481	27.5909
AKAP10|11216	415.0569	AKAP10|11216	628.534
AKAP11|11215	1460.5862	AKAP11|11215	2053.8393
AKAP12|9590	1198.8342	AKAP12|9590	2009.4246
AKAP13|11214	3452.5636	AKAP13|11214	5591.5303
AKAP1|8165	1366.9273	AKAP1|8165	3118.444
AKAP2|11217	674.1717	AKAP2|11217	1071.5698
AKAP3|10566	49.7871	AKAP3|10566	76.0432
AKAP5|9495	197.1767	AKAP5|9495	107.6718
AKAP6|9472	33.0271	AKAP6|9472	333.7825
AKAP7|9465	63.5895	AKAP7|9465	173.6207
AKAP8L|26993	942.5045	AKAP8L|26993	841.8588
AKAP8|10270	737.9337	AKAP8|10270	779.9475
AKAP9|10142	2529.7768	AKAP9|10142	3137.2866
AKD1|221264	148.3754	AKD1|221264	170.929
AKIRIN1|79647	1378.265	AKIRIN1|79647	918.5749
AKIRIN2|55122	356.3968	AKIRIN2|55122	618.4398
AKNA|80709	922.7868	AKNA|80709	610.3644
AKR1A1|10327	2112.2551	AKR1A1|10327	1708.6166
AKR1B1|231	735.4689999999999	AKR1B1|231	823.6891
AKR1C1|1645	87.2507	AKR1C1|1645	322.3424
AKR1C2|1646	89.7154	AKR1C2|1646	184.3879
AKR1C3|8644	134.5731	AKR1C3|8644	428.6683
lowly_expressed	lowly_expressed	AKR1E2|83592	31.6286
AKR7A2|8574	1251.086	AKR7A2|8574	960.9707
AKR7A3|22977	789.1996	AKR7A3|22977	154.7782
AKR7L|246181	116.8272	AKR7L|246181	28.9368
AKT1S1|84335	1095.8094	AKT1S1|84335	835.8022
AKT1|207	5420.8798	AKT1|207	3615.7531
AKT2|208	2824.5559	AKT2|208	2315.6163
AKT3|10000	626.5289	AKT3|10000	653.4331
AKTIP|64400	452.3627	AKTIP|64400	399.9065
ALAD|210	1411.2921	ALAD|210	1543.7442
ALAS1|211	857.2256	ALAS1|211	917.9019
ALB|213	18.7318	ALB|213	364.0652
ALCAM|214	6777.4553	ALCAM|214	3139.9784
ALDH16A1|126133	630.4724	ALDH16A1|126133	568.6416
ALDH18A1|5832	2056.0598	ALDH18A1|5832	2466.3568
ALDH1A1|216	391.8886	ALDH1A1|216	694.4830000000001
ALDH1A2|8854	23.1683	ALDH1A2|8854	385.5996
ALDH1A3|220	1011.9896	ALDH1A3|220	1455.0496
ALDH1B1|219	1037.1493	ALDH1B1|219	655.452
ALDH1L1|10840	19.2247	ALDH1L1|10840	98.9235
ALDH1L2|160428	882.3656	ALDH1L2|160428	573.3522
ALDH2|217	2474.5673	ALDH2|217	2302.1573
ALDH3A2|224	1267.846	ALDH3A2|224	858.6825
ALDH3B1|221	362.3121	ALDH3B1|221	153.4323
ALDH3B2|222	540.757	ALDH3B2|222	210.6329
ALDH4A1|8659	711.3149	ALDH4A1|8659	725.4386
ALDH5A1|7915	180.9096	ALDH5A1|7915	646.0307
ALDH6A1|4329	594.1673	ALDH6A1|4329	705.9635
ALDH7A1|501	866.0986	ALDH7A1|501	4070.6663
ALDH8A1|64577	6.9012	ALDH8A1|64577	12.786
ALDH9A1|223	1588.7511	ALDH9A1|223	4181.7029
ALDOA|226	36838.0255	ALDOA|226	11436.0892
ALDOB|229	6.4082	lowly_expressed	lowly_expressed
ALDOC|230	39.4353	ALDOC|230	649.3954
ALG10B|144245	338.158	ALG10B|144245	332.4366
ALG10|84920	110.4189	ALG10|84920	133.2438
ALG11|440138	23.6612	ALG11|440138	16.1508
ALG12|79087	458.9287	ALG12|79087	510.0951
ALG13|79868	434.7746	ALG13|79868	481.8312
ALG14|199857	152.8119	ALG14|199857	148.7216
ALG1L|200810	66.3795	lowly_expressed	lowly_expressed
ALG1|56052	1138.6657	ALG1|56052	494.4086
ALG2|85365	731.0325	ALG2|85365	640.6471
ALG3|10195	614.2053	ALG3|10195	615.0751
ALG5|29880	466.3228	ALG5|29880	501.3467
ALG6|29929	301.1874	ALG6|29929	271.1983
ALG8|79053	466.8158	ALG8|79053	505.3844
ALG9|79796	248.4426	ALG9|79796	538.3589
ALKBH1|8846	349.4957	ALKBH1|8846	223.4189
ALKBH2|121642	258.7944	ALKBH2|121642	448.8567
ALKBH3|221120	300.2015	ALKBH3|221120	332.4366
ALKBH4|54784	253.2291	ALKBH4|54784	244.6976
ALKBH5|54890	1859.6718	ALKBH5|54890	1981.8338
ALKBH6|84964	118.306	ALKBH6|84964	53.8359
ALKBH7|84266	469.7734	ALKBH7|84266	457.6051
ALKBH8|91801	195.6979	ALKBH8|91801	268.5065
lowly_expressed	lowly_expressed	ALK|238	14.1319
ALMS1P|200420	5.4224	lowly_expressed	lowly_expressed
ALMS1|7840	1019.4034	ALMS1|7840	893.6758
lowly_expressed	lowly_expressed	ALOX12P2|245	48.4523
lowly_expressed	lowly_expressed	ALOX12|239	6.0565
ALOX15B|247	1417.7003	ALOX15B|247	145.3569
ALOX5AP|241	541.7429	ALOX5AP|241	217.3624
ALOX5|240	554.5594	ALOX5|240	401.7503
ALOXE3|59344	44.8577	lowly_expressed	lowly_expressed
ALPK1|80216	344.5662	ALPK1|80216	527.5917
ALPK2|115701	49.7871	ALPK2|115701	16.8237
ALPK3|57538	178.9378	ALPK3|57538	211.3059
ALPL|249	89.7154	ALPL|249	1814.2695
ALS2CL|259173	182.3884	ALS2CL|259173	454.2403
ALS2CR12|130540	5.4224	lowly_expressed	lowly_expressed
ALS2CR4|65062	394.3534	ALS2CR4|65062	919.2478
ALS2CR8|79800	185.3461	ALS2CR8|79800	290.7138
ALS2|57679	795.1149	ALS2|57679	765.8156
ALX3|257	10.8447	ALX3|257	19.5155
lowly_expressed	lowly_expressed	ALX4|60529	315.6129
AMACR|23600	547.1653	AMACR|23600	320.3236
