gene_id	TCGA-BH-A0BJ-01A-11R-A056-07	gene_id	TCGA-BH-A0BJ-11A-23R-A089-07
ADAMTS17|170691	63.8393	ADAMTS17|170691	38.8072
ADAMTS18|170692	9.6835	ADAMTS18|170692	282.2712
ADAMTS19|171019	108.6703	ADAMTS19|171019	22.4673
ADAMTS1|9510	456.2001	ADAMTS1|9510	4542.8922
ADAMTS2|9509	622.9714	ADAMTS2|9509	560.4575
ADAMTS3|9508	40.8859	ADAMTS3|9508	104.9837
ADAMTS4|9507	420.3353	ADAMTS4|9507	128.268
ADAMTS5|11096	339.9982	ADAMTS5|11096	2003.6765
ADAMTS6|11174	53.4385	ADAMTS6|11174	26.9608
ADAMTS7|11173	187.9315	ADAMTS7|11173	45.3431
ADAMTS8|11095	27.2572	ADAMTS8|11095	175.6536
ADAMTS9|56999	434.3226	ADAMTS9|56999	1286.7647
ADAMTSL1|92949	104.3665	ADAMTSL1|92949	213.6438
ADAMTSL2|9719	151.3494	ADAMTSL2|9719	25.7353
ADAMTSL3|57188	77.4679	ADAMTSL3|57188	175.2451
ADAMTSL4|54507	167.8472	ADAMTSL4|54507	333.3333
ADAMTSL5|339366	93.2485	ADAMTSL5|339366	78.8399
ADAP1|11033	217.1362	ADAP1|11033	71.6136
ADAP2|55803	278.6694	ADAP2|55803	202.6144
ADARB1|104	430.7361	ADARB1|104	866.0131
lowly_expressed	lowly_expressed	ADARB2|105	7.7614
ADAR|103	12404.1962	ADAR|103	7287.1732
ADAT1|23536	452.255	ADAT1|23536	370.915
ADAT2|134637	30.4851	ADAT2|134637	157.6797
ADAT3|113179	43.755	ADAT3|113179	21.6503
ADA|100	101.4974	ADA|100	57.598
ADCK1|57143	181.4758	ADCK1|57143	155.6373
ADCK2|90956	1681.3808	ADCK2|90956	691.585
ADCK4|79934	625.4819	ADCK4|79934	466.0948
ADCK5|203054	90.0206	ADCK5|203054	58.415
ADCY1|107	2062.9427	ADCY1|107	279.0033
ADCY2|108	21.5189	ADCY2|108	99.6732
ADCY3|109	942.7239	ADCY3|109	1435.8497
ADCY4|196883	138.7967	ADCY4|196883	310.049
ADCY5|111	67.7845	ADCY5|111	353.3497
ADCY6|112	990.2268	ADCY6|112	2023.6928
ADCY7|113	297.6778	ADCY7|113	428.9216
ADCY9|115	1390.1193	ADCY9|115	900.3268
ADCYAP1R1|117	16.1392	ADCYAP1R1|117	28.1863
ADCYAP1|116	5.3797	ADCYAP1|116	11.8464
ADC|113451	199.0496	ADC|113451	115.6046
ADD1|118	4426.4324	ADD1|118	5888.8889
ADD2|119	26.1813	ADD2|119	58.415
ADD3|120	989.1509	ADD3|120	2946.4869
ADH1A|124	8.2346	ADH1A|124	26.5523
ADH1B|125	895.1852	ADH1B|125	2955.4739
ADH1C|126	12.5527	ADH1C|126	102.9412
lowly_expressed	lowly_expressed	ADH4|127	9.3954
ADH5|128	1620.7298	ADH5|128	2707.9248
lowly_expressed	lowly_expressed	ADH7|131	28.1863
ADHFE1|137872	12.9113	ADHFE1|137872	91.5033
ADI1|55256	1179.9516	ADI1|55256	1526.5523
ADIPOQ|9370	669.5956	ADIPOQ|9370	963.2353
ADIPOR1|51094	5350.3093	ADIPOR1|51094	2246.3235
ADIPOR2|79602	5735.1385	ADIPOR2|79602	1890.5229
ADK|132	303.7748	ADK|132	319.8529
ADM2|79924	100.7801	ADM2|79924	77.6144
ADM|133	64.9153	ADM|133	418.3007
ADNP2|22850	872.5903	ADNP2|22850	783.4967
ADNP|23394	3399.9821	ADNP|23394	3731.6176
ADORA1|134	57.7423	ADORA1|134	850.4902
ADORA2A|135	416.0316	ADORA2A|135	46.1601
ADORA2B|136	25.464	ADORA2B|136	96.4052
ADORA3|140	172.151	ADORA3|140	75.1634
ADO|84890	602.5285	ADO|84890	748.366
ADPGK|83440	914.9646	ADPGK|83440	831.2663
ADPRHL1|113622	131.9824	ADPRHL1|113622	89.8693
ADPRHL2|54936	590.6931	ADPRHL2|54936	557.1895
ADPRH|141	559.1321	ADPRH|141	430.1471
lowly_expressed	lowly_expressed	ADRA1A|148	16.3399
ADRA1B|147	7.8903	ADRA1B|147	14.2974
ADRA1D|146	8.6075	ADRA1D|146	6.5359
ADRA2A|150	316.6861	ADRA2A|150	365.1961
ADRA2B|151	6.4557	ADRA2B|151	15.9314
ADRA2C|152	29.7678	ADRA2C|152	40.4412
ADRB1|153	8.6075	ADRB1|153	8.1699
ADRB2|154	38.734	ADRB2|154	169.1176
ADRBK1|156	1873.218	ADRBK1|156	1549.4281
ADRBK2|157	444.3647	ADRBK2|157	871.3235
ADRM1|11047	1279.2971	ADRM1|11047	740.6046
ADSL|158	611.8533	ADSL|158	867.6471
ADSSL1|122622	48.0588	ADSSL1|122622	111.5196
ADSS|159	3151.0804	ADSS|159	1631.9444
AEBP1|165	18585.134	AEBP1|165	6619.6895
AEBP2|121536	460.1453	AEBP2|121536	876.634
AEN|64782	331.3907	AEN|64782	558.0065
AES|166	8324.935	AES|166	5464.8693
AFAP1L1|134265	319.1966	AFAP1L1|134265	329.2484
AFAP1L2|84632	278.3108	AFAP1L2|84632	973.4477
AFAP1|60312	1462.9068	AFAP1|60312	1776.9404
lowly_expressed	lowly_expressed	AFARP1|246182	5.719
AFF1|4299	1611.405	AFF1|4299	2331.2908
AFF2|2334	29.0505	AFF2|2334	33.9052
AFF3|3899	958.3072	AFF3|3899	1621.732
AFF4|27125	4630.1444	AFF4|27125	3774.5098
AFG3L1|172	106.1598	AFG3L1|172	228.7582
AFG3L2|10939	1605.6487	AFG3L2|10939	1525.8292
AFMID|125061	640.5451	AFMID|125061	558.0065
lowly_expressed	lowly_expressed	AFP|174	44.9346
AFTPH|54812	2006.2763	AFTPH|54812	1735.7026
AG2|387763	258.5851	AG2|387763	196.8954
AGAP11|119385	6.8143	AGAP11|119385	76.8015
AGAP1|116987	550.1659	AGAP1|116987	807.598
AGAP2|116986	98.6138	AGAP2|116986	81.4175
AGAP3|116988	805.1645	AGAP3|116988	1356.2092
AGAP4|119016	50.2107	AGAP4|119016	183.0065
AGAP5|729092	23.2906	AGAP5|729092	86.969
AGAP6|414189	20.8016	AGAP6|414189	75.1634
lowly_expressed	lowly_expressed	AGAP7|653268	7.7614
AGAP8|728404	10.4008	AGAP8|728404	55.1471
AGA|175	605.039	AGA|175	457.1078
AGBL2|79841	10.0421	AGBL2|79841	19.1993
lowly_expressed	lowly_expressed	AGBL3|340351	18.3824
AGBL4|84871	6.097	AGBL4|84871	10.2124
AGBL5|60509	823.8465	AGBL5|60509	844.4036
