gene_id	TCGA-BH-A0AZ-01A-21R-A12P-07	gene_id	TCGA-BH-A0AZ-11A-22R-A12P-07
ACTG2|72	448.0115	ACTG2|72	3238.8935
ACTL6A|86	1052.2281	ACTL6A|86	776.9565
ACTN1|87	8793.0043	ACTN1|87	8947.6492
ACTN2|88	71.8735	lowly_expressed	lowly_expressed
ACTN4|81	10859.0513	ACTN4|81	10282.3745
ACTR10|55860	1288.9315	ACTR10|55860	940.6386
ACTR1A|10121	3498.8021	ACTR1A|10121	1643.5266
ACTR1B|10120	1052.7072	ACTR1B|10120	1209.1747
ACTR2|10097	6729.7556	ACTR2|10097	4559.3233
ACTR3B|57180	104.9353	ACTR3B|57180	282.5573
ACTR3C|653857	17.7288	ACTR3C|653857	42.978
ACTR3|10096	4454.2405	ACTR3|10096	2544.8449
ACTR5|79913	195.4959	ACTR5|79913	194.4677
ACTR6|64431	447.0532	ACTR6|64431	690.3909
ACTR8|93973	417.3455	ACTR8|93973	637.3543
ACVR1B|91	1333.4931	ACVR1B|91	1467.0426
ACVR1C|130399	62.7695	ACVR1C|130399	24.6895
ACVR1|90	1827.0244	ACVR1|90	1618.5323
ACVR2A|92	492.5731	ACVR2A|92	763.2401
ACVR2B|93	281.265	ACVR2B|93	454.1644
ACVRL1|94	854.8155	ACVRL1|94	597.7292
ACY1|95	329.6598	ACY1|95	504.979
lowly_expressed	lowly_expressed	ACY3|91703	9.1443
ACYP1|97	29.2286	ACYP1|97	85.0415
ACYP2|98	157.6425	ACYP2|98	151.7946
lowly_expressed	lowly_expressed	ADAD2|161931	5.9377
ADAL|161823	138.4763	ADAL|161823	175.2648
ADAM10|102	1837.0867	ADAM10|102	2359.5215
ADAM11|4185	15.8122	ADAM11|4185	31.3953
ADAM12|8038	12106.3728	ADAM12|8038	2411.6437
ADAM15|8751	5155.2468	ADAM15|8751	1816.0786
ADAM17|6868	773.838	ADAM17|6868	1093.6524
ADAM19|8728	1098.7063	ADAM19|8728	176.1792
ADAM21|8747	5.2707	ADAM21|8747	7.6202
ADAM22|53616	61.3321	ADAM22|53616	100.5868
ADAM23|8745	90.0815	ADAM23|8745	24.6895
ADAM28|10863	69.9569	ADAM28|10863	104.5493
ADAM29|11086	47.9157	lowly_expressed	lowly_expressed
ADAM32|203102	38.8117	ADAM32|203102	50.2934
ADAM33|80332	171.0589	ADAM33|80332	861.7755
ADAM6|8755	43759.5544	ADAM6|8755	21200.0366
ADAM8|101	228.0786	ADAM8|101	89.004
ADAM9|8754	1556.3009	ADAM9|8754	2206.8125
ADAMDEC1|27299	6.7082	ADAMDEC1|27299	82.6031
ADAMTS10|81794	211.3081	ADAMTS10|81794	158.8052
ADAMTS12|81792	1775.7547	ADAMTS12|81792	254.8198
ADAMTS13|11093	22.9995	ADAMTS13|11093	170.9975
ADAMTS14|140766	537.1346	ADAMTS14|140766	27.1279
ADAMTS15|170689	83.3733	ADAMTS15|170689	943.3818
ADAMTS16|170690	942.022	ADAMTS16|170690	257.8679
ADAMTS17|170691	184.4753	ADAMTS17|170691	73.4588
ADAMTS18|170692	48.874	ADAMTS18|170692	213.3658
ADAMTS19|171019	7.6665	ADAMTS19|171019	31.3953
ADAMTS1|9510	822.712	ADAMTS1|9510	3462.3181
ADAMTS2|9509	2667.9444	ADAMTS2|9509	800.1219
ADAMTS3|9508	61.8112	ADAMTS3|9508	128.6291
ADAMTS4|9507	846.1907	ADAMTS4|9507	292.616
ADAMTS5|11096	870.1485	ADAMTS5|11096	2863.9793
ADAMTS6|11174	223.287	ADAMTS6|11174	25.9087
ADAMTS7|11173	521.8016	ADAMTS7|11173	178.0081
ADAMTS8|11095	9.5831	ADAMTS8|11095	127.7147
ADAMTS9|56999	481.0733	ADAMTS9|56999	468.1856
ADAMTSL1|92949	231.4327	ADAMTSL1|92949	485.2549
ADAMTSL2|9719	378.5338	ADAMTSL2|9719	35.9674
ADAMTSL3|57188	171.0589	ADAMTSL3|57188	197.5158
ADAMTSL4|54507	143.747	ADAMTSL4|54507	488.6078
ADAMTSL5|339366	143.2678	ADAMTSL5|339366	95.1002
ADAP1|11033	324.5712	ADAP1|11033	122.8256
ADAP2|55803	306.1811	ADAP2|55803	149.3561
ADARB1|104	762.3383	ADARB1|104	778.7853
ADARB2|105	5.7499	ADARB2|105	13.7164
ADAR|103	13490.6564	ADAR|103	6911.5294
ADAT1|23536	214.183	ADAT1|23536	344.7382
ADAT2|134637	69.4777	ADAT2|134637	168.559
ADAT3|113179	17.2496	ADAT3|113179	14.326
ADA|100	219.9329	ADA|100	68.2771
ADCK1|57143	105.8936	ADCK1|57143	163.3773
ADCK2|90956	679.9521	ADCK2|90956	598.6436
ADCK4|79934	555.3426	ADCK4|79934	473.977
ADCK5|203054	54.6239	ADCK5|203054	108.5118
ADCY10|55811	10.5414	lowly_expressed	lowly_expressed
ADCY1|107	581.2171	ADCY1|107	827.2499
ADCY2|108	68.0402	ADCY2|108	100.2819
ADCY3|109	1157.9828	ADCY3|109	1373.436
ADCY4|196883	245.3282	ADCY4|196883	365.77
ADCY5|111	61.3321	ADCY5|111	244.4563
ADCY6|112	820.7954	ADCY6|112	2324.4685
ADCY7|113	1185.9128	ADCY7|113	357.845
ADCY9|115	882.6066	ADCY9|115	928.1414
lowly_expressed	lowly_expressed	ADCYAP1R1|117	29.5664
ADCYAP1|116	21.0829	ADCYAP1|116	40.5395
ADC|113451	398.6584	ADC|113451	167.3398
ADD1|118	5049.8323	ADD1|118	6054.7131
ADD2|119	10.5414	ADD2|119	22.8606
ADD3|120	2126.4974	ADD3|120	3861.3122
ADH1A|124	5.7499	ADH1A|124	12.4971
ADH1B|125	1296.598	ADH1B|125	1748.9903
ADH1C|126	11.0206	ADH1C|126	272.8035
ADH5|128	2087.6857	ADH5|128	3213.5945
ADHFE1|137872	35.9368	ADHFE1|137872	248.114
ADI1|55256	1293.723	ADI1|55256	1196.6776
ADIPOQ|9370	1412.0747	ADIPOQ|9370	14.0212
ADIPOR1|51094	9702.4437	ADIPOR1|51094	1925.1695
ADIPOR2|79602	1932.4389	ADIPOR2|79602	1786.4817
ADK|132	341.1596	ADK|132	304.1987
ADM2|79924	204.5999	ADM2|79924	83.5175
ADM|133	114.9976	ADM|133	410.272
ADNP2|22850	479.6358	ADNP2|22850	795.245
ADNP|23394	2630.5702	ADNP|23394	3288.2725
ADORA1|134	1012.4581	ADORA1|134	259.0871
ADORA2A|135	124.1016	ADORA2A|135	57.9136
ADORA2B|136	38.3325	ADORA2B|136	83.2127
ADORA3|140	211.7873	ADORA3|140	70.7155
ADO|84890	774.7964	ADO|84890	562.3714
ADPGK|83440	1109.9665	ADPGK|83440	906.2775
ADPRHL1|113622	94.3939	ADPRHL1|113622	74.9829
ADPRHL2|54936	602.7791	ADPRHL2|54936	475.501
ADPRH|141	380.9296	ADPRH|141	358.1498
lowly_expressed	lowly_expressed	ADRA1A|148	10.0587
ADRA1B|147	17.2496	ADRA1B|147	28.3472
ADRA2A|150	754.6718	ADRA2A|150	1845.005
ADRA2B|151	7.6665	ADRA2B|151	33.5289
ADRA2C|152	23.4787	ADRA2C|152	31.3953
ADRB1|153	10.5414	ADRB1|153	7.0106
ADRB2|154	36.4159	ADRB2|154	178.3129
ADRBK1|156	1753.7135	ADRBK1|156	1433.5137
ADRBK2|157	471.4902	ADRBK2|157	1119.8659
ADRM1|11047	1137.9971	ADRM1|11047	747.3901
ADSL|158	780.5462	ADSL|158	730.3208
ADSSL1|122622	110.206	ADSSL1|122622	102.1108
ADSS|159	1425.4911	ADSS|159	1300.3124
AEBP1|165	52770.0048	AEBP1|165	8504.4578
AEBP2|121536	427.4078	AEBP2|121536	1124.1332
AEN|64782	410.1581	AEN|64782	336.2036
AES|166	7676.5692	AES|166	4386.8018
AFAP1L1|134265	433.1576	AFAP1L1|134265	320.6584
AFAP1L2|84632	1217.058	AFAP1L2|84632	1601.7679
AFAP1|60312	2112.1179	AFAP1|60312	1641.0668
AFF1|4299	1747.9636	AFF1|4299	3931.4181
AFF2|2334	65.6445	AFF2|2334	47.5501
AFF3|3899	1764.7341	AFF3|3899	5793.4923
AFF4|27125	3585.5295	AFF4|27125	5128.4005
AFG3L1|172	104.4562	AFG3L1|172	274.3275
AFG3L2|10939	1190.9056	AFG3L2|10939	1251.4669
AFMID|125061	471.9693	AFMID|125061	758.3632
lowly_expressed	lowly_expressed	AFP|174	886.6875
AFTPH|54812	1769.5256	AFTPH|54812	2122.6854
AG2|387763	217.058	AG2|387763	279.8141
AGAP11|119385	27.3119	AGAP11|119385	154.5439
AGAP1|116987	339.7221	AGAP1|116987	464.8327
AGAP2|116986	124.8443	AGAP2|116986	159.808
AGAP3|116988	851.9406	AGAP3|116988	1638.0401
AGAP4|119016	127.4557	AGAP4|119016	291.092
AGAP5|729092	29.7796	AGAP5|729092	138.8981
AGAP6|414189	42.1658	AGAP6|414189	136.8589
AGAP7|653268	9.104	AGAP7|653268	10.0587
AGAP8|728404	29.7077	AGAP8|728404	146.9176
AGA|175	719.2142	AGA|175	528.2329
AGBL2|79841	20.1246	AGBL2|79841	53.0367
AGBL3|340351	5.2707	AGBL3|340351	12.1923
lowly_expressed	lowly_expressed	AGBL4|84871	10.3635
AGBL5|60509	530.92	AGBL5|60509	704.7261
AGER|177	9.104	AGER|177	52.7318
AGFG1|3267	1236.7034	AGFG1|3267	1511.2398
AGFG2|3268	239.5783	AGFG2|3268	479.1587
AGGF1|55109	1183.9962	AGGF1|55109	975.9963
AGK|55750	448.0115	AGK|55750	479.7683
AGL|178	2365.5966	AGL|178	1604.2064
AGMAT|79814	35.4576	AGMAT|79814	19.5077
AGPAT1|10554	2193.3589	AGPAT1|10554	1572.6922
AGPAT2|10555	1319.5975	AGPAT2|10555	347.4815
AGPAT3|56894	2104.4562	AGPAT3|56894	1428.0271
AGPAT4|56895	416.3872	AGPAT4|56895	401.4326
AGPAT5|55326	922.8558	AGPAT5|55326	894.0029
AGPAT6|137964	1958.3134	AGPAT6|137964	1761.4875
AGPAT9|84803	101.5812	AGPAT9|84803	108.207
AGPHD1|123688	64.207	AGPHD1|123688	61.8761
AGPS|8540	1445.1366	AGPS|8540	782.7478
AGR2|10551	3889.794	AGR2|10551	5007.3916
AGR3|155465	6218.9746	AGR3|155465	776.3469
AGRN|375790	3443.6991	AGRN|375790	4420.3307
AGTPBP1|23287	276.9526	AGTPBP1|23287	352.0536
AGTR1|185	157.1634	AGTR1|185	851.6345
AGTRAP|57085	975.563	AGTRAP|57085	533.7194
AGT|183	333.9722	AGT|183	58.2184
lowly_expressed	lowly_expressed	AGXT2L1|64850	8.2298
AGXT2L2|85007	301.7393	AGXT2L2|85007	535.1185
AHCTF1|25909	1625.7786	AHCTF1|25909	1756.6105
AHCYL1|10768	3165.3091	AHCYL1|10768	3907.3383
AHCYL2|23382	454.7197	AHCYL2|23382	834.5653
AHCY|191	2612.8414	AHCY|191	2811.5522
AHDC1|27245	857.2113	AHDC1|27245	1519.7744
AHI1|54806	334.9305	AHI1|54806	639.4879
AHNAK2|113146	1696.6938	AHNAK2|113146	873.2759
AHNAK|79026	43080.4983	AHNAK|79026	98212.9086
AHRR|57491	34.0201	AHRR|57491	24.9943
AHR|196	1958.7925	AHR|196	3875.943
AHSA1|10598	1369.4298	AHSA1|10598	1225.6344
AHSA2|130872	185.9128	AHSA2|130872	889.7356
AIDA|64853	1737.4557	AIDA|64853	784.5797
AIF1L|83543	311.931	AIF1L|83543	1397.8511
AIF1|199	391.471	AIF1|199	223.4245
AIFM1|9131	757.0676	AIFM1|9131	616.3225
AIFM2|84883	340.2012	AIFM2|84883	369.7325
AIFM3|150209	17.5994	AIFM3|150209	17.7337
AIG1|51390	1376.138	AIG1|51390	824.5066
AIM1L|55057	7.1874	lowly_expressed	lowly_expressed
AIM1|202	1037.3742	AIM1|202	3246.8186
AIM2|9447	6.7082	lowly_expressed	lowly_expressed
AIMP1|9255	1176.0757	AIMP1|9255	1098.1666
AIMP2|7965	531.5764	AIMP2|7965	184.1987
AIP|9049	646.3824	AIP|9049	675.7601
AJAP1|55966	22.0412	AJAP1|55966	45.1116
AK1|203	642.07	AK1|203	290.1776
AK2|204	2247.724	AK2|204	1506.9725
AK3L1|205	76.6651	AK3L1|205	504.4578
AK3|50808	940.1054	AK3|50808	1471.6147
AK5|26289	155.7259	AK5|26289	1492.6465
