gene_id	TCGA-BH-A0BW-01A-11R-A115-07	gene_id	TCGA-BH-A0BW-11A-12R-A115-07
ADAMTS14|140766	69.2704	ADAMTS14|140766	47.4209
lowly_expressed	lowly_expressed	ADAMTS15|170689	234.5179
lowly_expressed	lowly_expressed	ADAMTS16|170690	145.7115
lowly_expressed	lowly_expressed	ADAMTS17|170691	45.2654
ADAMTS18|170692	61.5328	ADAMTS18|170692	44.8343
lowly_expressed	lowly_expressed	ADAMTS19|171019	13.7952
ADAMTS1|9510	1039.7937	ADAMTS1|9510	4223.9085
ADAMTS20|80070	12.1592	lowly_expressed	lowly_expressed
ADAMTS2|9509	320.1916	ADAMTS2|9509	379.3672
ADAMTS3|9508	39.0567	ADAMTS3|9508	171.5774
ADAMTS4|9507	1342.2992	ADAMTS4|9507	293.1474
ADAMTS5|11096	99.1157	ADAMTS5|11096	1507.9845
ADAMTS6|11174	44.2152	ADAMTS6|11174	69.838
ADAMTS7|11173	205.969	ADAMTS7|11173	66.8204
ADAMTS8|11095	5.1584	ADAMTS8|11095	83.6332
ADAMTS9|56999	473.1024	ADAMTS9|56999	971.2662
ADAMTSL1|92949	144.4363	ADAMTSL1|92949	214.6873
ADAMTSL2|9719	56.3744	ADAMTSL2|9719	46.5587
ADAMTSL3|57188	231.0243	ADAMTSL3|57188	122.4321
ADAMTSL4|54507	251.6581	ADAMTSL4|54507	479.8132
lowly_expressed	lowly_expressed	ADAMTSL5|339366	19.3995
ADAP1|11033	252.1297	ADAP1|11033	132.231
ADAP2|55803	475.3132	ADAP2|55803	317.2889
ADARB1|104	292.5571	ADARB1|104	952.2978
ADAR|103	20948.7841	ADAR|103	9723.4392
ADAT1|23536	1555.269	ADAT1|23536	511.7146
ADAT2|134637	44.2152	ADAT2|134637	289.2675
ADAT3|113179	24.6868	ADAT3|113179	18.5373
ADA|100	236.9197	ADA|100	280.6455
ADCK1|57143	126.3817	ADCK1|57143	187.9592
ADCK2|90956	445.8364	ADCK2|90956	598.7966
ADCK4|79934	430.7296	ADCK4|79934	457.8272
ADCK5|203054	63.3751	ADCK5|203054	89.2375
ADCY1|107	14.7384	ADCY1|107	156.9201
ADCY2|108	106.4849	ADCY2|108	62.0783
ADCY3|109	2709.9116	ADCY3|109	1479.0621
ADCY4|196883	42.7413	ADCY4|196883	394.0245
ADCY5|111	15.8438	ADCY5|111	209.9452
ADCY6|112	697.4945	ADCY6|112	1758.453
ADCY7|113	967.5755	ADCY7|113	1801.1319
lowly_expressed	lowly_expressed	ADCY8|114	5.1732
ADCY9|115	514.0015	ADCY9|115	601.3832
lowly_expressed	lowly_expressed	ADCYAP1R1|117	52.5941
ADCYAP1|116	81.0612	ADCYAP1|116	172.4396
ADC|113451	121.5917	ADC|113451	157.7823
ADD1|118	5783.3456	ADD1|118	5480.9934
ADD2|119	68.902	ADD2|119	132.7785
ADD3|120	2396.4628	ADD3|120	3541.0476
lowly_expressed	lowly_expressed	ADH1A|124	25.0037
ADH1B|125	13.2646	ADH1B|125	2979.3256
lowly_expressed	lowly_expressed	ADH1C|126	71.9935
lowly_expressed	lowly_expressed	ADH4|127	28.4525
ADH5|128	4060.059	ADH5|128	2182.6545
ADHFE1|137872	85.4827	ADHFE1|137872	159.0756
ADI1|55256	1320.9285	ADI1|55256	1203.6286
ADIPOQ|9370	17.6861	ADIPOQ|9370	1795.9587
ADIPOR1|51094	4813.1909	ADIPOR1|51094	2198.6052
ADIPOR2|79602	2562.6382	ADIPOR2|79602	1610.155
ADK|132	301.0317	ADK|132	267.7125
ADM2|79924	641.857	ADM2|79924	169.853
ADM|133	372.5129	ADM|133	257.3661
ADNP2|22850	637.0671	ADNP2|22850	668.2035
ADNP|23394	3535.3721	ADNP|23394	3282.3882
ADORA1|134	242.0781	ADORA1|134	331.5152
ADORA2A|135	499.252	ADORA2A|135	290.1167
ADORA2B|136	59.322	ADORA2B|136	137.0895
ADORA3|140	142.594	ADORA3|140	119.8455
ADO|84890	651.437	ADO|84890	693.6384
ADPGK|83440	1696.8055	ADPGK|83440	1219.9327
ADPRHL1|113622	87.6934	ADPRHL1|113622	62.0783
ADPRHL2|54936	575.9027	ADPRHL2|54936	492.7462
ADPRH|141	574.7973	ADPRH|141	518.6122
ADRA1B|147	8.1061	ADRA1B|147	11.2086
lowly_expressed	lowly_expressed	ADRA1D|146	6.4665
ADRA2A|150	127.1186	ADRA2A|150	862.1981
ADRA2B|151	39.0567	ADRA2B|151	26.7281
lowly_expressed	lowly_expressed	ADRA2C|152	39.23
lowly_expressed	lowly_expressed	ADRB1|153	15.0885
ADRB2|154	27.266	ADRB2|154	217.705
ADRBK1|156	2032.4245	ADRBK1|156	2724.546
ADRBK2|157	794.7679	ADRBK2|157	1586.8756
ADRM1|11047	1765.2911	ADRM1|11047	985.4924
ADSL|158	780.0295	ADSL|158	868.2335
ADSSL1|122622	31.6875	ADSSL1|122622	53.4563
ADSS|159	2519.8968	ADSS|159	1768.3683
AEBP1|165	6539.0567	AEBP1|165	5161.1179
AEBP2|121536	930.3611	AEBP2|121536	968.6796
AEN|64782	532.7929	AEN|64782	602.6765
AES|166	2198.9683	AES|166	4325.2168
AFAP1L1|134265	105.0111	AFAP1L1|134265	256.935
AFAP1L2|84632	480.1032	AFAP1L2|84632	881.5976
AFAP1|60312	1807.6898	AFAP1|60312	1669.2069
AFARP1|246182	7.3692	lowly_expressed	lowly_expressed
AFF1|4299	6220.7074	AFF1|4299	2383.5467
AFF2|2334	12.8961	AFF2|2334	248.7442
AFF3|3899	907.5166	AFF3|3899	769.0807
AFF4|27125	3348.9315	AFF4|27125	3856.181
AFG3L1|172	385.0405	AFG3L1|172	343.1548
AFG3L2|10939	1932.1113	AFG3L2|10939	1240.535
AFMID|125061	531.3191	AFMID|125061	383.6782
lowly_expressed	lowly_expressed	AFP|174	23.7104
AFTPH|54812	3076.2712	AFTPH|54812	1812.7715
AG2|387763	32.4245	AG2|387763	255.6417
AGAP11|119385	8.843	AGAP11|119385	127.1828
AGAP1|116987	737.2881	AGAP1|116987	712.6067
AGAP2|116986	133.0103	AGAP2|116986	374.0862
AGAP3|116988	785.1879	AGAP3|116988	1269.1556
AGAP4|119016	56.0059	AGAP4|119016	277.6278
AGAP5|729092	39.5726	AGAP5|729092	73.4938
AGAP6|414189	48.6367	AGAP6|414189	200.4611
lowly_expressed	lowly_expressed	AGAP7|653268	15.9507
AGAP8|728404	5.8954	AGAP8|728404	40.9544
AGA|175	777.8187	AGA|175	422.9082
AGBL2|79841	19.1599	AGBL2|79841	17.6751
AGBL5|60509	1176.8828	AGBL5|60509	633.2974
AGER|177	17.3176	AGER|177	98.7217
