gene_id	TCGA-BH-A1F2-01A-31R-A13Q-07	gene_id	TCGA-BH-A1F2-11A-32R-A13Q-07
AGA|175	756.9603	AGA|175	308.7608
AGBL2|79841	36.0748	AGBL2|79841	11.8643
AGBL3|340351	5.5029	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AGBL4|84871	10.4174
AGBL5|60509	544.7974	AGBL5|60509	690.1657
AGER|177	10.7002	AGER|177	43.1165
AGFG1|3267	3302.9882	AGFG1|3267	1995.2253
AGFG2|3268	173.037	AGFG2|3268	572.09
AGGF1|55109	1341.495	AGGF1|55109	816.8994
AGK|55750	501.0735	AGK|55750	504.3768
AGL|178	2460.1209	AGL|178	1596.759
AGMAT|79814	18.3431	AGMAT|79814	11.2855
AGPAT1|10554	2646.3099	AGPAT1|10554	1852.9871
AGPAT2|10555	621.221	AGPAT2|10555	7831.0063
AGPAT3|56894	1326.2091	AGPAT3|56894	1979.5992
AGPAT4|56895	182.2085	AGPAT4|56895	365.4778
AGPAT5|55326	427.3952	AGPAT5|55326	452.0003
AGPAT6|137964	1300.2229	AGPAT6|137964	1764.0165
AGPAT9|84803	81.627	AGPAT9|84803	1306.8075
AGPHD1|123688	67.8696	AGPHD1|123688	81.3138
AGPS|8540	2106.404	AGPS|8540	1395.0662
AGR2|10551	23083.0081	AGR2|10551	565.4344
AGR3|155465	1050.1448	AGR3|155465	223.3958
AGRN|375790	615.1066	AGRN|375790	2654.7059
AGTPBP1|23287	708.3509	AGTPBP1|23287	469.652
AGTR1|185	174.8713	AGTR1|185	693.9159
AGTRAP|57085	265.9755	AGTRAP|57085	322.3613
AGT|183	124.7334	AGT|183	156.2613
AGXT2L2|85007	205.7703	AGXT2L2|85007	801.1286
AGXT|189	9.783	AGXT|189	11.8643
AHCTF1|25909	1997.568	AHCTF1|25909	1942.8489
AHCYL1|10768	3893.943	AHCYL1|10768	4285.9003
AHCYL2|23382	1014.6814	AHCYL2|23382	711.857
AHCY|191	2944.3798	AHCY|191	1642.4799
AHDC1|27245	336.5966	AHDC1|27245	796.9326
AHI1|54806	292.2674	AHI1|54806	470.8095
AHNAK2|113146	759.1003	AHNAK2|113146	1586.631
AHNAK|79026	26269.823	AHNAK|79026	118502.4958
AHRR|57491	14.0631	AHRR|57491	32.1204
AHR|196	2966.0858	AHR|196	4822.9762
AHSA1|10598	1578.733	AHSA1|10598	1020.6178
AHSA2|130872	114.6446	AHSA2|130872	401.6494
AIDA|64853	2016.2322	AIDA|64853	1663.0428
AIF1L|83543	1258.9509	AIF1L|83543	2143.6736
AIF1|199	194.4373	AIF1|199	234.1026
AIFM1|9131	1048.9219	AIFM1|9131	1000.0723
AIFM2|84883	291.6559	AIFM2|84883	1925.7759
lowly_expressed	lowly_expressed	AIFM3|150209	9.7432
AIG1|51390	529.5053	AIG1|51390	792.0133
AIM1|202	4092.0489	AIM1|202	2796.4986
AIM2|9447	5.1972	lowly_expressed	lowly_expressed
AIMP1|9255	1375.4298	AIMP1|9255	1039.1898
AIMP2|7965	433.0021	AIMP2|7965	210.1512
AIP|9049	256.804	AIP|9049	752.6586
AJAP1|55966	8.2544	AJAP1|55966	9.8387
AK1|203	243.0466	AK1|203	578.4562
AK2|204	1905.5466	AK2|204	2153.5123
AK3L1|205	968.8235	AK3L1|205	875.0633
AK3|50808	1859.383	AK3|50808	2784.9237
AK5|26289	88.0471	AK5|26289	1042.0314
