gene_id	TCGA-A7-A13G-01A-11R-A13Q-07	gene_id	TCGA-A7-A13G-11A-51R-A13Q-07
lowly_expressed	lowly_expressed	ADAM11|4185	6.5067
ADAM12|8038	1711.9796	ADAM12|8038	1152.9077
ADAM15|8751	7958.644	ADAM15|8751	2526.2302
ADAM17|6868	529.7639	ADAM17|6868	569.7438
ADAM19|8728	217.3942	ADAM19|8728	116.3074
ADAM21|8747	14.5288	ADAM21|8747	10.1667
ADAM22|53616	41.434	ADAM22|53616	78.4872
ADAM23|8745	10.7621	ADAM23|8745	70.3538
ADAM28|10863	52.1961	ADAM28|10863	10.5734
ADAM32|203102	14.5288	ADAM32|203102	30.5002
ADAM33|80332	25.829	ADAM33|80332	560.2318
ADAM6|8755	1619.5816	ADAM6|8755	2362.196
ADAM8|101	267.9761	ADAM8|101	11.3867
ADAM9|8754	1188.6729	ADAM9|8754	2449.7763
ADAMDEC1|27299	13.9907	lowly_expressed	lowly_expressed
ADAMTS10|81794	131.5666	ADAMTS10|81794	99.2273
ADAMTS12|81792	410.5738	ADAMTS12|81792	582.7572
ADAMTS13|11093	154.9741	ADAMTS13|11093	32.5336
ADAMTS14|140766	128.876	ADAMTS14|140766	7.32
ADAMTS15|170689	500.1682	ADAMTS15|170689	370.4758
ADAMTS16|170690	207.7083	ADAMTS16|170690	188.2879
ADAMTS17|170691	84.4824	ADAMTS17|170691	21.5535
lowly_expressed	lowly_expressed	ADAMTS18|170692	115.4941
ADAMTS19|171019	69.4155	lowly_expressed	lowly_expressed
ADAMTS1|9510	207.4393	ADAMTS1|9510	3951.1997
ADAMTS20|80070	8.6097	lowly_expressed	lowly_expressed
ADAMTS2|9509	425.3716	ADAMTS2|9509	605.5307
ADAMTS3|9508	11.5692	ADAMTS3|9508	231.8015
ADAMTS4|9507	647.0707	ADAMTS4|9507	169.9878
ADAMTS5|11096	87.442	ADAMTS5|11096	2944.693
ADAMTS6|11174	76.1418	ADAMTS6|11174	20.3335
ADAMTS7|11173	81.2538	ADAMTS7|11173	105.734
ADAMTS9|56999	69.6845	ADAMTS9|56999	1165.5144
ADAMTSL1|92949	34.7077	ADAMTSL1|92949	493.6966
ADAMTSL2|9719	98.2041	ADAMTSL2|9719	52.867
ADAMTSL3|57188	99.2803	ADAMTSL3|57188	914.1928
ADAMTSL4|54507	207.7083	ADAMTSL4|54507	1836.9256
ADAMTSL5|339366	189.9509	ADAMTSL5|339366	22.3668
ADAP1|11033	124.8241	ADAP1|11033	30.2237
ADAP2|55803	125.9165	ADAP2|55803	350.9557
ADARB1|104	268.2451	ADARB1|104	851.5657
ADAR|103	15097.8678	ADAR|103	7013.8268
ADAT1|23536	416.4929	ADAT1|23536	428.6295
ADAT2|134637	57.0391	ADAT2|134637	177.7145
ADAT3|113179	37.3983	ADAT3|113179	8.9467
ADA|100	36.5911	ADA|100	145.9943
ADCK1|57143	191.2962	ADCK1|57143	104.1074
ADCK2|90956	602.408	ADCK2|90956	481.9032
ADCK4|79934	881.6843	ADCK4|79934	268.8085
ADCK5|203054	91.7468	ADCK5|203054	60.5937
ADCY1|107	3073.6531	ADCY1|107	227.3282
ADCY2|108	15.605	ADCY2|108	72.3871
ADCY3|109	390.9679	ADCY3|109	1827.7593
ADCY4|196883	81.5228	ADCY4|196883	848.3123
ADCY5|111	439.3623	ADCY5|111	1237.9016
ADCY6|112	4642.2278	ADCY6|112	6632.3709
ADCY7|113	352.1894	ADCY7|113	553.8837
ADCY9|115	1688.572	ADCY9|115	654.7377
lowly_expressed	lowly_expressed	ADCYAP1R1|117	33.7536
ADC|113451	179.4579	ADC|113451	59.7804
ADD1|118	5693.684	ADD1|118	8043.107
ADD2|119	13.9907	ADD2|119	64.6604
ADD3|120	3517.8583	ADD3|120	4448.5563
lowly_expressed	lowly_expressed	ADH1A|124	2446.4335
ADH1B|125	529.4949	ADH1B|125	257378.1985
lowly_expressed	lowly_expressed	ADH1C|126	773.0785
lowly_expressed	lowly_expressed	ADH4|127	19.1135
ADH5|128	1474.1374	ADH5|128	6722.6515
ADHFE1|137872	160.3551	ADHFE1|137872	1702.318
ADI1|55256	575.5028	ADI1|55256	2161.0411
ADIPOQ|9370	686.3523	ADIPOQ|9370	293105.3274
ADIPOR1|51094	5964.6196	ADIPOR1|51094	2611.2241
ADIPOR2|79602	2900.3834	ADIPOR2|79602	7634.4042
ADK|132	390.3948	ADK|132	370.8825
ADM2|79924	292.1908	lowly_expressed	lowly_expressed
ADM|133	21.7932	ADM|133	966.6531
ADNP2|22850	1222.8425	ADNP2|22850	890.6059
ADNP|23394	3813.5468	ADNP|23394	2468.8898
ADORA1|134	34.4387	ADORA1|134	405.4494
ADORA2A|135	172.7073	ADORA2A|135	36.1854
ADORA2B|136	6.9954	ADORA2B|136	6.1
ADORA3|140	107.89	ADORA3|140	66.6938
ADO|84890	549.6738	ADO|84890	553.8837
ADPGK|83440	965.3595	ADPGK|83440	873.8024
ADPRHL1|113622	68.6083	ADPRHL1|113622	78.4872
ADPRHL2|54936	482.6798	ADPRHL2|54936	261.8951
ADPRH|141	213.3584	ADPRH|141	543.717
lowly_expressed	lowly_expressed	ADRA1A|148	253.7617
ADRA1B|147	6.4573	ADRA1B|147	97.6007
lowly_expressed	lowly_expressed	ADRA1D|146	5.6934
ADRA2A|150	897.2893	ADRA2A|150	3811.7121
ADRA2B|151	5.112	ADRA2B|151	37.8203
