gene_id	TCGA-A7-A0D9-01A-31R-A056-07	gene_id	TCGA-A7-A0D9-11A-53R-A089-07
ACO1|48	1383.2853	ACO1|48	11869.6538
ACO2|50	3990.3664	ACO2|50	4526.8839
ACOT11|26027	131.9885	ACOT11|26027	8.4521
ACOT13|55856	658.7608	ACOT13|55856	945.6314
ACOT1|641371	391.1075	ACOT1|641371	1888.4929
ACOT2|10965	363.1124	ACOT2|10965	1412.9328
ACOT4|122970	230.1359	ACOT4|122970	311.609
lowly_expressed	lowly_expressed	ACOT6|641372	26.9857
ACOT7|11332	484.1499	ACOT7|11332	222.5051
ACOT8|10005	196.76	ACOT8|10005	183.442
ACOT9|23597	267.5998	ACOT9|23597	687.8819
ACOX1|51	650.4734	ACOX1|51	4675.5143
ACOX2|8309	134.2116	ACOX2|8309	637.9837
ACOX3|8310	539.7283	ACOX3|8310	490.3259
ACP1|52	1524.4957	ACP1|52	1002.0367
ACP2|53	596.9535	ACP2|53	1126.2729
ACP5|54	941.9514	ACP5|54	1047.8615
ACP6|51205	224.7839	ACP6|51205	160.387
ACPL2|92370	363.9358	ACPL2|92370	264.7658
ACPP|55	61.7538	ACPP|55	20.8758
ACRBP|84519	15.6443	ACRBP|84519	50.4073
ACRC|93953	24.2898	ACRC|93953	24.9491
lowly_expressed	lowly_expressed	ACR|49	7.6375
ACSBG1|23205	25.9366	ACSBG1|23205	18.3299
ACSF2|80221	307.1223	ACSF2|80221	1517.3116
ACSF3|197322	471.3874	ACSF3|197322	279.5316
ACSL1|2180	2092.219	ACSL1|2180	41042.2607
ACSL3|2181	12032.5237	ACSL3|2181	1933.8086
ACSL4|2182	526.1424	ACSL4|2182	2809.5723
ACSL5|51703	132.5648	ACSL5|51703	954.6843
ACSL6|23305	31.2886	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACSM2A|123876	5.6008
ACSM3|6296	9.6706	ACSM3|6296	11.1965
ACSM5|54988	21.408	ACSM5|54988	1359.4705
ACSS1|84532	839.8518	ACSS1|84532	338.5947
ACSS2|55902	824.2075	ACSS2|55902	6902.7495
