gene_id	TCGA-E9-A1RB-01A-11R-A157-07	gene_id	TCGA-E9-A1RB-11A-33R-A157-07
ACOT11|26027	39.282	ACOT11|26027	13.1459
ACOT13|55856	575.0858	ACOT13|55856	608.6703
ACOT1|641371	359.5213	ACOT1|641371	1195.9085
ACOT2|10965	248.179	ACOT2|10965	766.7682
ACOT4|122970	137.3569	ACOT4|122970	147.1071
ACOT6|641372	5.9834	ACOT6|641372	7.8082
ACOT7|11332	1611.3424	ACOT7|11332	208.6359
ACOT8|10005	343.4157	ACOT8|10005	235.846
ACOT9|23597	410.77	ACOT9|23597	568.4391
ACOX1|51	1117.5858	ACOX1|51	2582.4346
ACOX2|8309	3572.3205	ACOX2|8309	470.6801
ACOX3|8310	322.5806	ACOX3|8310	405.091
ACP1|52	2186.7846	ACP1|52	1151.2454
ACP2|53	911.2903	ACP2|53	753.0257
ACP5|54	1231.0094	ACP5|54	540.3295
ACP6|51205	288.2414	ACP6|51205	208.0112
ACPL2|92370	594.9532	ACPL2|92370	451.3157
ACPP|55	53.8502	ACPP|55	31.5452
ACRBP|84519	10.1457	ACRBP|84519	20.6137
ACRC|93953	22.6327	ACRC|93953	38.4165
lowly_expressed	lowly_expressed	ACSBG1|23205	10.3069
ACSF2|80221	466.4412	ACSF2|80221	623.4091
ACSF3|197322	196.6701	ACSF3|197322	248.3017
ACSL1|2180	2331.4256	ACSL1|2180	20225.1893
ACSL3|2181	2127.2112	ACSL3|2181	3050.8316
ACSL4|2182	969.3028	ACSL4|2182	2736.6284
ACSL5|51703	451.3528	ACSL5|51703	850.1601
lowly_expressed	lowly_expressed	ACSL6|23305	11.8685
ACSM1|116285	26.5349	ACSM1|116285	33.1069
lowly_expressed	lowly_expressed	ACSM2A|123876	7.8082
ACSM3|6296	30.3772	ACSM3|6296	111.8607
lowly_expressed	lowly_expressed	ACSM5|54988	452.8773
ACSS1|84532	86.1082	ACSS1|84532	588.4282
ACSS2|55902	650.8845	ACSS2|55902	3667.9941
ACSS3|79611	386.5765	ACSS3|79611	1200.9058
ACTA1|58	131.6337	ACTA1|58	424.4554
ACTA2|59	7187.8408	ACTA2|59	10386.8135
ACTBL2|345651	7.0239	lowly_expressed	lowly_expressed
ACTB|60	102783.5588	ACTB|60	49262.1223
ACTG1|71	70046.5661	ACTG1|71	35123.2919
ACTG2|72	80.6452	ACTG2|72	862.9656
ACTL6A|86	2216.7014	ACTL6A|86	823.9244
ACTL8|81569	7.8044	lowly_expressed	lowly_expressed
ACTN1|87	5553.8502	ACTN1|87	4992.2699
ACTN2|88	15.3486	ACTN2|88	34.9809
lowly_expressed	lowly_expressed	ACTN3|89	14.9918
ACTN4|81	6721.9433	ACTN4|81	7656.4285
ACTR10|55860	689.3861	ACTR10|55860	1080.3467
ACTR1A|10121	2283.2986	ACTR1A|10121	2193.8003
ACTR1B|10120	562.435	ACTR1B|10120	1099.0864
ACTR2|10097	6439.6462	ACTR2|10097	6382.7594
ACTR3B|57180	346.2539	ACTR3B|57180	200.203
ACTR3C|653857	42.4037	ACTR3C|653857	24.3617
ACTR3|10096	4180.281	ACTR3|10096	3172.64
ACTR5|79913	215.4006	ACTR5|79913	169.2824
ACTR6|64431	931.8418	ACTR6|64431	579.3707
ACTR8|93973	439.9063	ACTR8|93973	462.8719
ACVR1B|91	1489.334	ACVR1B|91	989.4589
lowly_expressed	lowly_expressed	ACVR1C|130399	4906.6917
ACVR1|90	585.3278	ACVR1|90	1536.3473
ACVR2A|92	105.6191	ACVR2A|92	570.0008
ACVR2B|93	624.3496	ACVR2B|93	689.9352
ACVRL1|94	211.7586	ACVRL1|94	1005.3877
ACY1|95	612.0525	ACY1|95	472.2417
lowly_expressed	lowly_expressed	ACY3|91703	10.9315
ACYP1|97	139.4381	ACYP1|97	52.4713
ACYP2|98	137.8772	ACYP2|98	164.9098
ADAL|161823	129.5525	ADAL|161823	253.299
ADAM10|102	1298.3871	ADAM10|102	1970.4849
lowly_expressed	lowly_expressed	ADAM11|4185	7.1836
ADAM12|8038	1235.4318	ADAM12|8038	636.8392
ADAM15|8751	7970.4292	ADAM15|8751	2723.2232
ADAM17|6868	657.128	ADAM17|6868	669.0091
ADAM19|8728	510.4058	ADAM19|8728	230.1866
ADAM21P1|145241	5.2029	lowly_expressed	lowly_expressed
ADAM21|8747	14.5682	ADAM21|8747	8.7452
ADAM22|53616	57.4922	ADAM22|53616	157.4139
ADAM23|8745	14.0479	ADAM23|8745	38.7288
ADAM28|10863	34.5994	ADAM28|10863	50.5973
ADAM32|203102	80.9053	ADAM32|203102	51.5343
ADAM33|80332	19.7711	ADAM33|80332	667.7973
ADAM6|8755	1493.6186	ADAM6|8755	54119.6065
ADAM8|101	424.0375	ADAM8|101	175.8413
ADAM9|8754	6833.2466	ADAM9|8754	2985.5548
ADAMDEC1|27299	176.3788	ADAMDEC1|27299	24.674
ADAMTS10|81794	27.8356	ADAMTS10|81794	94.0111
ADAMTS12|81792	268.9906	ADAMTS12|81792	320.1374
ADAMTS13|11093	40.8429	ADAMTS13|11093	34.0439
ADAMTS14|140766	92.3517	lowly_expressed	lowly_expressed
ADAMTS15|170689	418.5744	ADAMTS15|170689	299.2114
ADAMTS16|170690	24.7138	ADAMTS16|170690	249.2387
ADAMTS17|170691	17.1696	ADAMTS17|170691	27.7973
lowly_expressed	lowly_expressed	ADAMTS18|170692	158.3509
ADAMTS19|171019	20.0312	ADAMTS19|171019	7.1836
ADAMTS1|9510	2241.4152	ADAMTS1|9510	2492.0746
ADAMTS2|9509	389.1779	ADAMTS2|9509	492.5431
ADAMTS3|9508	200.052	ADAMTS3|9508	264.2305
ADAMTS4|9507	1605.8793	ADAMTS4|9507	162.7235
ADAMTS5|11096	194.8491	ADAMTS5|11096	4751.464
ADAMTS6|11174	53.3299	ADAMTS6|11174	57.4686
ADAMTS7|11173	93.9126	ADAMTS7|11173	54.3453
ADAMTS8|11095	66.8574	ADAMTS8|11095	114.6248
ADAMTS9|56999	99.8959	ADAMTS9|56999	743.0312
ADAMTSL1|92949	97.0343	ADAMTSL1|92949	624.9707
ADAMTSL2|9719	48.6472	ADAMTSL2|9719	39.3535
ADAMTSL3|57188	456.2955	ADAMTSL3|57188	1061.2946
ADAMTSL4|54507	76.2227	ADAMTSL4|54507	1551.6514
ADAMTSL5|339366	65.2966	ADAMTSL5|339366	26.548
ADAP1|11033	178.9698	ADAP1|11033	83.6917
ADAP2|55803	273.6733	ADAP2|55803	274.5374
ADARB1|104	328.0437	ADARB1|104	816.4285
ADAR|103	16022.6327	ADAR|103	7865.0738
ADAT1|23536	193.0281	ADAT1|23536	266.4168
ADAT2|134637	104.5786	ADAT2|134637	104.318
ADAT3|113179	19.2508	ADAT3|113179	8.4329
ADA|100	280.1769	ADA|100	147.4194
ADCK1|57143	115.5047	ADCK1|57143	102.1316
ADCK2|90956	1109.2612	ADCK2|90956	585.3049
ADCK4|79934	479.7086	ADCK4|79934	304.521
ADCK5|203054	93.3923	ADCK5|203054	50.285
ADCY1|107	1012.7471	ADCY1|107	534.0829
ADCY2|108	1925.078	ADCY2|108	355.1183
ADCY3|109	1457.3985	ADCY3|109	1568.4141
ADCY4|196883	56.7118	ADCY4|196883	460.6856
ADCY5|111	5.2029	ADCY5|111	433.2006
ADCY6|112	1724.7659	ADCY6|112	3433.7472
ADCY7|113	352.4974	ADCY7|113	764.2695
ADCY9|115	3619.4069	ADCY9|115	1209.651
lowly_expressed	lowly_expressed	ADCYAP1R1|117	75.2713
lowly_expressed	lowly_expressed	ADCYAP1|116	53.4083
ADC|113451	60.3538	ADC|113451	88.0768
ADD1|118	3002.0812	ADD1|118	7091.122
ADD2|119	8.845	ADD2|119	57.7809
ADD3|120	1422.9969	ADD3|120	6050.1288
lowly_expressed	lowly_expressed	ADH1A|124	1195.5962
ADH1B|125	26.2747	ADH1B|125	118399.3129
ADH1C|126	356.1394	ADH1C|126	1732.8024
lowly_expressed	lowly_expressed	ADH4|127	21.2384
ADH5|128	1133.4547	ADH5|128	5334.895
lowly_expressed	lowly_expressed	ADH6|130	5.9343
ADHFE1|137872	54.1103	ADHFE1|137872	478.4883
ADI1|55256	2005.9834	ADI1|55256	1952.6821
ADIPOQ|9370	27.5754	ADIPOQ|9370	73032.5603
ADIPOR1|51094	4000.2601	ADIPOR1|51094	2693.8393
ADIPOR2|79602	3354.8387	ADIPOR2|79602	3843.8354
ADK|132	725.026	ADK|132	358.2416
ADM2|79924	327.2633	ADM2|79924	65.9015
ADM|133	787.9813	ADM|133	1257.7497
ADNP2|22850	1246.6181	ADNP2|22850	715.5462
ADNP|23394	4270.0312	ADNP|23394	3153.9002
ADORA1|134	471.1238	ADORA1|134	500.3514
ADORA2A|135	161.2851	ADORA2A|135	71.2111
ADORA2B|136	65.8169	ADORA2B|136	48.411
ADORA3|140	146.2019	ADORA3|140	93.3864
ADO|84890	1114.9844	ADO|84890	702.4284
ADPGK|83440	1193.0619	ADPGK|83440	754.503
ADPRHL1|113622	95.2133	ADPRHL1|113622	91.5125
ADPRHL2|54936	866.025	ADPRHL2|54936	437.2609
ADPRH|141	330.1249	ADPRH|141	487.5459
lowly_expressed	lowly_expressed	ADRA1A|148	178.6523
ADRA1B|147	6.2435	ADRA1B|147	62.1535
ADRA2A|150	809.0531	ADRA2A|150	970.0945
ADRA2B|151	10.666	ADRA2B|151	12.8055
lowly_expressed	lowly_expressed	ADRA2C|152	57.4686
ADRB1|153	7.2841	ADRB1|153	60.5919
ADRB2|154	71.5401	ADRB2|154	309.5182
ADRBK1|156	1405.307	lowly_expressed	lowly_expressed
ADRBK2|157	750	ADRBK2|157	3913.4848
ADRM1|11047	1225.5463	ADRM1|11047	811.1189
ADSL|158	702.1332	ADSL|158	753.0257
ADSSL1|122622	90.2706	ADSSL1|122622	208.9482
ADSS|159	2843.1322	ADSS|159	1268.3689
AEBP1|165	8827.7836	AEBP1|165	7153.5879
AEBP2|121536	896.2019	AEBP2|121536	762.7079
AEN|64782	407.9084	AEN|64782	272.9757
AES|166	4857.9605	AES|166	4793.0038
AFAP1L1|134265	95.7336	AFAP1L1|134265	588.7405
AFAP1L2|84632	237.513	AFAP1L2|84632	714.9215
AFAP1|60312	689.1025	AFAP1|60312	1502.9
AFF1|4299	1458.897	AFF1|4299	4140.2358
lowly_expressed	lowly_expressed	AFF2|2334	139.2988
AFF3|3899	488.0333	AFF3|3899	1262.1223
AFF4|27125	2119.4069	AFF4|27125	4029.9836
AFG3L1|172	186.7846	AFG3L1|172	124.307
AFG3L2|10939	1928.4105	AFG3L2|10939	1146.092
AFMID|125061	416.2331	AFMID|125061	277.3483
AFP|174	93.6524	lowly_expressed	lowly_expressed
AFTPH|54812	1766.3892	AFTPH|54812	1617.5529
AG2|387763	139.4381	AG2|387763	226.4387
AGAP11|119385	25.2367	AGAP11|119385	223.3216
AGAP1|116987	318.9386	AGAP1|116987	626.5324
AGAP2|116986	21.808	AGAP2|116986	74.7903
AGAP3|116988	1184.9636	AGAP3|116988	980.4013
AGAP4|119016	143.0801	AGAP4|119016	104.0056
AGAP5|729092	41.1785	AGAP5|729092	49.7915
AGAP6|414189	129.2924	AGAP6|414189	74.6467
AGAP7|653268	8.0645	AGAP7|653268	9.3699
AGAP8|728404	45.0052	AGAP8|728404	49.348
AGA|175	568.6785	AGA|175	465.0582
AGBL2|79841	8.845	lowly_expressed	lowly_expressed
AGBL3|340351	5.4631	AGBL3|340351	7.8082
AGBL4|84871	7.8044	AGBL4|84871	12.4932
AGBL5|60509	426.9043	AGBL5|60509	521.2868
AGER|177	16.6493	AGER|177	24.674
AGFG1|3267	1517.4298	AGFG1|3267	2353.4005
AGFG2|3268	376.4308	AGFG2|3268	356.3676
AGGF1|55109	1008.3247	AGGF1|55109	977.9027
AGK|55750	792.6639	AGK|55750	441.9458
AGL|178	3858.7409	AGL|178	1896.7752
AGMAT|79814	150.8845	AGMAT|79814	19.6767
AGPAT1|10554	1401.4464	AGPAT1|10554	1664.9551
AGPAT2|10555	468.0021	AGPAT2|10555	3051.7686
AGPAT3|56894	3710.1977	AGPAT3|56894	1921.1369
AGPAT4|56895	87.6691	AGPAT4|56895	306.3949
AGPAT5|55326	1345.7336	AGPAT5|55326	648.3954
AGPAT6|137964	3822.0604	AGPAT6|137964	1834.934
AGPAT9|84803	20.5515	AGPAT9|84803	362.3019
AGPHD1|123688	30.9573	AGPHD1|123688	63.7152
AGPS|8540	1063.4755	AGPS|8540	1776.5285
AGR2|10551	5815.0364	AGR2|10551	1204.3414
AGR3|155465	2479.4485	AGR3|155465	343.8744
AGRN|375790	2721.1238	AGRN|375790	1363.3169
AGTPBP1|23287	194.0687	AGTPBP1|23287	539.7048
AGTR1|185	24.7138	AGTR1|185	1406.7307
AGTRAP|57085	1231.7898	AGTRAP|57085	522.5267
AGT|183	3654.2664	AGT|183	725.853
AGXT2L1|64850	30.6972	AGXT2L1|64850	14.3671
AGXT2L2|85007	124.8309	AGXT2L2|85007	513.2349
AHCTF1|25909	3329.6046	AHCTF1|25909	1963.6136
AHCYL1|10768	3995.0572	AHCYL1|10768	5222.4565
AHCYL2|23382	449.0114	AHCYL2|23382	695.5571
AHCY|191	6531.2175	AHCY|191	2643.5543
AHDC1|27245	865.2445	AHDC1|27245	717.4202
AHI1|54806	327.2633	AHI1|54806	477.239
AHNAK2|113146	852.7575	AHNAK2|113146	1652.5338
AHNAK|79026	13896.462	AHNAK|79026	146426.7978
AHRR|57491	17.4298	AHRR|57491	6.8712
AHR|196	3003.9022	AHR|196	2825.6422
AHSA1|10598	2184.7034	AHSA1|10598	1461.076
AHSA2|130872	224.7659	AHSA2|130872	266.7291
lowly_expressed	lowly_expressed	AHSP|51327	8.7452
AIDA|64853	2187.115	AIDA|64853	1883.1233
AIF1L|83543	2434.4433	AIF1L|83543	2792.8477
AIF1|199	307.232	AIF1|199	499.7267
AIFM1|9131	1451.873	AIFM1|9131	820.4888
AIFM2|84883	346.514	AIFM2|84883	2406.8088
AIFM3|150209	27.2112	AIFM3|150209	8.842
AIG1|51390	893.0801	AIG1|51390	993.2068
