gene_id	TCGA-BH-A1FG-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FG-11B-12R-A13Q-07
ACTR3|10096	2902.0393	ACTR3|10096	4118.9778
ACTR5|79913	240.7138	ACTR5|79913	126.5186
ACTR6|64431	704.6613	ACTR6|64431	1295.3498
ACTR8|93973	551.7116	ACTR8|93973	354.4198
ACVR1B|91	1149.6723	ACVR1B|91	945.9573
lowly_expressed	lowly_expressed	ACVR1C|130399	780.4776
ACVR1|90	642.3889	ACVR1|90	1583.1588
ACVR2A|92	261.1071	ACVR2A|92	913.2803
ACVR2B|93	239.6213	ACVR2B|93	542.1031
ACVRL1|94	221.7771	ACVRL1|94	405.111
ACY1|95	1033.3394	ACY1|95	260.5781
lowly_expressed	lowly_expressed	ACY3|91703	20.5279
ACYP1|97	82.3015	ACYP1|97	87.5576
ACYP2|98	133.2848	ACYP2|98	441.5584
ADAL|161823	293.1537	ADAL|161823	224.5496
ADAM10|102	1628.1865	ADAM10|102	1578.1315
lowly_expressed	lowly_expressed	ADAM11|4185	5.8651
ADAM12|8038	700.2913	ADAM12|8038	178.4667
ADAM15|8751	2292.815	ADAM15|8751	1289.4847
ADAM17|6868	875.8194	ADAM17|6868	496.0201
ADAM19|8728	113.6198	ADAM19|8728	56.1374
ADAM21|8747	9.1042	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ADAM22|53616	5.4462
ADAM23|8745	6.1908	ADAM23|8745	5.0272
ADAM28|10863	45.8849	ADAM28|10863	111.018
ADAM32|203102	19.665	ADAM32|203102	18.0142
ADAM33|80332	23.3066	ADAM33|80332	180.5614
ADAM6|8755	10725.579	ADAM6|8755	8310.9342
ADAM8|101	143.4814	ADAM8|101	9.2166
ADAM9|8754	3821.5586	ADAM9|8754	2619.1873
ADAMDEC1|27299	18.5725	lowly_expressed	lowly_expressed
ADAMTS10|81794	39.6941	ADAMTS10|81794	9.6355
ADAMTS12|81792	42.6074	ADAMTS12|81792	54.4617
ADAMTS13|11093	45.8849	ADAMTS13|11093	11.7302
ADAMTS14|140766	15.6591	lowly_expressed	lowly_expressed
ADAMTS15|170689	740.7138	ADAMTS15|170689	10.8923
ADAMTS16|170690	29.8616	ADAMTS16|170690	5.0272
ADAMTS17|170691	44.0641	ADAMTS17|170691	30.1634
ADAMTS18|170692	8.3758	ADAMTS18|170692	23.8793
ADAMTS19|171019	22.2141	lowly_expressed	lowly_expressed
ADAMTS1|9510	345.9578	ADAMTS1|9510	5142.8571
ADAMTS2|9509	134.7414	ADAMTS2|9509	86.3008
ADAMTS3|9508	6.9192	ADAMTS3|9508	180.1424
ADAMTS4|9507	100.5098	ADAMTS4|9507	33.5149
ADAMTS5|11096	49.8908	ADAMTS5|11096	3127.7755
ADAMTS6|11174	21.1216	ADAMTS6|11174	10.8923
ADAMTS7|11173	38.2374	ADAMTS7|11173	9.6355
ADAMTS8|11095	14.5666	ADAMTS8|11095	12.5681
ADAMTS9|56999	90.3132	ADAMTS9|56999	365.3121
ADAMTSL1|92949	30.5899	ADAMTSL1|92949	55.2995
ADAMTSL2|9719	34.2316	ADAMTSL2|9719	15.0817
ADAMTSL3|57188	164.9672	ADAMTSL3|57188	57.8132
ADAMTSL4|54507	66.6424	ADAMTSL4|54507	521.1563
ADAMTSL5|339366	342.6803	ADAMTSL5|339366	47.3398
ADAP1|11033	229.9345	ADAP1|11033	26.8789
ADAP2|55803	180.9905	ADAP2|55803	145.3708
ADARB1|104	310.2695	ADARB1|104	485.5467
ADAR|103	8731.6096	ADAR|103	5343.9464
ADAT1|23536	184.6322	ADAT1|23536	131.1269
ADAT2|134637	49.1624	ADAT2|134637	175.1152
ADAT3|113179	60.8157	ADAT3|113179	7.1219
ADA|100	73.9257	ADA|100	113.1127
ADCK1|57143	143.8456	ADCK1|57143	152.0737
ADCK2|90956	1209.3955	ADCK2|90956	300.796
ADCK4|79934	534.5958	ADCK4|79934	174.6963
ADCK5|203054	187.5455	ADCK5|203054	10.8923
ADCY10|55811	41.8791	lowly_expressed	lowly_expressed
ADCY1|107	4344.8653	ADCY1|107	243.4018
ADCY2|108	15.6591	ADCY2|108	49.8534
ADCY3|109	539.6322	ADCY3|109	546.548
ADCY4|196883	67.0066	ADCY4|196883	265.1864
ADCY5|111	456.3001	ADCY5|111	73.3138
ADCY6|112	1210.8521	ADCY6|112	680.3519
ADCY7|113	478.15	ADCY7|113	295.7687
ADCY9|115	1654.4064	ADCY9|115	557.1848
ADCYAP1|116	27.3125	ADCYAP1|116	5.4462
ADC|113451	148.5798	ADC|113451	49.4344
ADD1|118	4524.035	ADD1|118	3526.1835
ADD2|119	5.4625	ADD2|119	19.69
ADD3|120	292.0612	ADD3|120	3343.1085
lowly_expressed	lowly_expressed	ADH1A|124	74.4198
ADH1B|125	198.1063	ADH1B|125	30369.9204
ADH1C|126	6.9192	ADH1C|126	445.3289
lowly_expressed	lowly_expressed	ADH4|127	67.4487
ADH5|128	2512.7458	ADH5|128	4305.8232
ADHFE1|137872	211.5805	ADHFE1|137872	283.6196
ADI1|55256	439.9126	ADI1|55256	1995.8106
ADIPOQ|9370	58.9949	ADIPOQ|9370	12055.2995
ADIPOR1|51094	3292.4253	ADIPOR1|51094	3560.1173
ADIPOR2|79602	3813.9111	ADIPOR2|79602	2029.7444
ADK|132	718.4996	ADK|132	740.2597
ADM2|79924	167.1522	ADM2|79924	20.9468
ADM|133	36.0524	ADM|133	674.4868
ADNP2|22850	838.3103	ADNP2|22850	794.7214
ADNP|23394	2837.2178	ADNP|23394	3056.5563
ADORA1|134	307.3562	ADORA1|134	122.7482
ADORA2A|135	55.7174	ADORA2A|135	10.4734
ADORA2B|136	9.1042	ADORA2B|136	189.359
ADORA3|140	126.3656	ADORA3|140	236.2798
ADO|84890	885.2877	ADO|84890	1655.6347
ADPGK|83440	801.5113	ADPGK|83440	900.2933
ADPRHL1|113622	211.9446	ADPRHL1|113622	46.5019
ADPRHL2|54936	834.6686	ADPRHL2|54936	173.4395
ADPRH|141	135.8339	ADPRH|141	563.4688
ADRA1B|147	15.295	lowly_expressed	lowly_expressed
ADRA1D|146	6.555	ADRA1D|146	5.0272
ADRA2A|150	439.1843	ADRA2A|150	1620.0251
ADRA2B|151	8.74	ADRA2B|151	25.974
ADRA2C|152	35.6883	ADRA2C|152	52.367
ADRB1|153	19.665	ADRB1|153	49.8534
ADRB2|154	30.2258	ADRB2|154	846.2505
ADRBK1|156	1221.0488	ADRBK1|156	452.0318
ADRBK2|157	574.2899	ADRBK2|157	1333.473
ADRM1|11047	1247.2688	ADRM1|11047	215.752
ADSL|158	790.2403	ADSL|158	724.7591
ADSSL1|122622	156.5914	ADSSL1|122622	69.1244
ADSS|159	2077.9315	ADSS|159	2507.3314
AEBP1|165	4151.8572	AEBP1|165	1463.3431
AEBP2|121536	585.9432	AEBP2|121536	1631.7553
AEN|64782	281.8645	AEN|64782	238.3745
AES|166	6707.2105	AES|166	4938.4164
AFAP1L1|134265	128.5506	AFAP1L1|134265	396.3134
AFAP1L2|84632	85.579	AFAP1L2|84632	1089.6523
AFAP1|60312	520.0291	AFAP1|60312	925.8483
AFF1|4299	1795.7028	AFF1|4299	2875.1571
AFF2|2334	8.74	AFF2|2334	8.3787
AFF3|3899	5559.7232	AFF3|3899	1175.1152
AFF4|27125	2979.6067	AFF4|27125	3409.3004
AFG3L1|172	89.5849	AFG3L1|172	86.7197
AFG3L2|10939	1914.7742	AFG3L2|10939	651.0306
AFMID|125061	752.0029	AFMID|125061	585.2535
lowly_expressed	lowly_expressed	AFP|174	382.9074
AFTPH|54812	2955.5717	AFTPH|54812	2393.7997
AG2|387763	104.5157	AG2|387763	844.5748
AGAP11|119385	22.5783	AGAP11|119385	101.8014
AGAP1|116987	690.0947	AGAP1|116987	413.9087
AGAP2|116986	28.0481	AGAP2|116986	16.0662
AGAP3|116988	609.2498	AGAP3|116988	310.4315
AGAP4|119016	101.6023	AGAP4|119016	124.005
AGAP5|729092	35.102	AGAP5|729092	23.1797
AGAP6|414189	40.0583	AGAP6|414189	113.1127
lowly_expressed	lowly_expressed	AGAP7|653268	16.7574
AGAP8|728404	7.6475	AGAP8|728404	9.2166
AGA|175	919.5193	AGA|175	815.2493
AGBL2|79841	20.0291	AGBL2|79841	9.6355
lowly_expressed	lowly_expressed	AGBL3|340351	6.703
AGBL4|84871	8.3758	AGBL4|84871	5.4462
AGBL5|60509	634.3918	AGBL5|60509	561.814
AGER|177	6.9192	AGER|177	16.3385
AGFG1|3267	1601.2382	AGFG1|3267	2599.4973
AGFG2|3268	327.0211	AGFG2|3268	448.2614
AGGF1|55109	1180.6264	AGGF1|55109	1139.9246
AGK|55750	656.9556	AGK|55750	645.9992
AGL|178	1041.5149	AGL|178	1245.0775
AGMAT|79814	67.3707	AGMAT|79814	10.0545
AGPAT1|10554	2140.1602	AGPAT1|10554	2047.9556
AGPAT2|10555	693.008	AGPAT2|10555	612.9032
AGPAT3|56894	2262.9279	AGPAT3|56894	1053.6238
AGPAT4|56895	38.6016	AGPAT4|56895	121.9103
AGPAT5|55326	481.4275	AGPAT5|55326	1186.4265
AGPAT6|137964	6586.3074	AGPAT6|137964	1038.961
AGPAT9|84803	31.3183	AGPAT9|84803	386.2589
