gene_id	TCGA-BH-A18N-01A-11R-A12D-07	gene_id	TCGA-BH-A18N-11A-43R-A12D-07
ADAM15|8751	1605.7241	ADAM15|8751	2995.2811
ADAM17|6868	505.1476	ADAM17|6868	737.4339
ADAM19|8728	241.9355	ADAM19|8728	108.1349
lowly_expressed	lowly_expressed	ADAM21|8747	5.291
ADAM22|53616	28.4832	ADAM22|53616	141.5344
ADAM23|8745	11.6678	ADAM23|8745	43.3201
ADAM28|10863	46.6712	ADAM28|10863	208.9947
ADAM29|11086	166.0947	ADAM29|11086	15.5423
lowly_expressed	lowly_expressed	ADAM32|203102	20.8333
ADAM33|80332	19.9039	ADAM33|80332	732.791
ADAM6|8755	353.7303	ADAM6|8755	29738.3069
ADAM8|101	149.6225	ADAM8|101	62.5
ADAM9|8754	788.6067	ADAM9|8754	2101.8519
ADAMTS10|81794	273.164	ADAMTS10|81794	168.3201
ADAMTS12|81792	248.7989	ADAMTS12|81792	174.9339
ADAMTS13|11093	104.6671	ADAMTS13|11093	80.0265
ADAMTS14|140766	79.2725	ADAMTS14|140766	8.2672
ADAMTS15|170689	34.6603	ADAMTS15|170689	389.5503
ADAMTS16|170690	27.4537	ADAMTS16|170690	42.6587
ADAMTS17|170691	16.4722	ADAMTS17|170691	32.7381
lowly_expressed	lowly_expressed	ADAMTS18|170692	247.3545
ADAMTS19|171019	759.4372	lowly_expressed	lowly_expressed
ADAMTS1|9510	635.2093	ADAMTS1|9510	8434.1931
ADAMTS2|9509	138.641	ADAMTS2|9509	507.9365
ADAMTS3|9508	14.4132	ADAMTS3|9508	205.3571
ADAMTS4|9507	343.1709	ADAMTS4|9507	991.7328
ADAMTS5|11096	216.5408	ADAMTS5|11096	1871.3624
ADAMTS6|11174	61.4276	ADAMTS6|11174	19.8413
ADAMTS7|11173	161.6335	ADAMTS7|11173	66.4683
ADAMTS8|11095	6.5202	ADAMTS8|11095	99.537
ADAMTS9|56999	428.9636	ADAMTS9|56999	927.5794
ADAMTSL1|92949	86.1359	ADAMTSL1|92949	262.5661
ADAMTSL2|9719	334.5916	ADAMTSL2|9719	102.8439
ADAMTSL3|57188	172.2718	ADAMTSL3|57188	242.0635
ADAMTSL4|54507	45.2986	ADAMTSL4|54507	645.8333
ADAMTSL5|339366	63.8298	ADAMTSL5|339366	48.9418
ADAP1|11033	313.2189	ADAP1|11033	148.4656
ADAP2|55803	224.0906	ADAP2|55803	288.0291
ADARB1|104	464.6534	ADARB1|104	945.4365
ADARB2|105	23.3356	lowly_expressed	lowly_expressed
ADAR|103	7037.4056	ADAR|103	6888.8889
