gene_id	TCGA-BH-A18N-01A-11R-A12D-07	gene_id	TCGA-BH-A18N-11A-43R-A12D-07
GTPBP3|84705	380.2334	GTPBP3|84705	249.3386
GTPBP4|23560	868.5655	GTPBP4|23560	865.4101
GTPBP5|26164	528.4832	GTPBP5|26164	361.1111
GTPBP8|29083	102.9513	GTPBP8|29083	117.0635
GTSE1|51512	95.0583	GTSE1|51512	11.2434
GUCA1B|2979	15.0995	GUCA1B|2979	31.746
GUCY1A2|2977	242.965	GUCY1A2|2977	40.6746
GUCY1A3|2982	628.6891	GUCY1A3|2982	2274.8016
GUCY1B3|2983	296.4997	GUCY1B3|2983	447.4206
GUF1|60558	745.3672	GUF1|60558	627.6455
GUK1|2987	1314.3445	GUK1|2987	1566.1376
GULP1|51454	27.4537	GULP1|51454	345.8995
GUSBL1|387036	68.9774	GUSBL1|387036	60.5159
GUSBL2|375513	63.1434	GUSBL2|375513	86.9709
GUSBP1|728411	214.825	GUSBP1|728411	150.7937
GUSBP3|653188	251.2011	GUSBP3|653188	76.0582
GUSB|2990	1649.6225	GUSB|2990	1402.1164
GVIN1|387751	17.5017	GVIN1|387751	157.0767
GXYLT1|283464	620.1098	GXYLT1|283464	618.7169
GXYLT2|727936	25.0515	GXYLT2|727936	92.5926
GYG1|2992	1332.5326	GYG1|2992	1060.8466
GYG2|8908	18.1881	GYG2|8908	5157.4074
GYLTL1B|120071	40.4942	GYLTL1B|120071	204.0344
GYPC|2995	149.9657	GYPC|2995	1241.4021
lowly_expressed	lowly_expressed	GYPE|2996	8.9286
GYS1|2997	1038.7783	GYS1|2997	1183.8624
lowly_expressed	lowly_expressed	GYS2|2998	15.2116
GZF1|64412	906.6575	GZF1|64412	526.455
lowly_expressed	lowly_expressed	GZMA|3001	43.3201
lowly_expressed	lowly_expressed	GZMB|3002	16.2037
lowly_expressed	lowly_expressed	GZMH|2999	28.4392
lowly_expressed	lowly_expressed	GZMK|3003	37.6984
lowly_expressed	lowly_expressed	GZMM|3004	7.2751
H19|283120	1167.4674	H19|283120	2324.4048
H1F0|3005	10600.2059	H1F0|3005	4526.455
H1FX|8971	2605.3535	H1FX|8971	1280.754
H2AFJ|55766	3940.9746	H2AFJ|55766	1482.1429
H2AFV|94239	3656.1428	H2AFV|94239	3099.5370000000003
H2AFX|3014	482.8415	H2AFX|3014	186.8386
H2AFY2|55506	525.7378	H2AFY2|55506	363.7566
H2AFY|9555	7503.6033	H2AFY|9555	2171.3856
H2AFZ|3015	2589.2244	H2AFZ|3015	1192.4603
lowly_expressed	lowly_expressed	H2BFXP|767811	5.9524
H3F3A|3020	2296.4997	H3F3A|3020	2056.8783
H3F3B|3021	16669.1833	H3F3B|3021	12126.6534
H3F3C|440093	380.5765	H3F3C|440093	371.3624
H6PD|9563	1540.4942	H6PD|9563	4038.0291
HAAO|23498	27.4537	HAAO|23498	132.9365
HABP4|22927	265.2711	HABP4|22927	520.5026
HACE1|57531	246.0535	HACE1|57531	403.4392
HACL1|26061	820.4084	HACL1|26061	465.9392
HADHA|3030	4458.4763	HADHA|3030	5780.0926
HADHB|3032	2481.8119	HADHB|3032	2647.8175
HADH|3033	1376.8016	HADH|3033	2290.6746
HAGHL|84264	149.9657	HAGHL|84264	16.2037
HAGH|3029	1467.0556	HAGH|3029	447.4206
HAL|3034	18.8744	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	HAMP|57817	33.3995
HAND2|9464	18.1881	HAND2|9464	70.4365
HAP1|9001	8.9224	HAP1|9001	27.7778
HAPLN1|1404	78.243	lowly_expressed	lowly_expressed
HAPLN3|145864	65.5456	HAPLN3|145864	268.8492
lowly_expressed	lowly_expressed	HAPLN4|404037	8.2672
lowly_expressed	lowly_expressed	HAR1A|768096	6.5311
HARBI1|283254	102.2649	HARBI1|283254	72.7513
HARS2|23438	1032.2581	HARS2|23438	661.3757
HARS|3035	1410.4324	HARS|3035	967.9233
lowly_expressed	lowly_expressed	HAS1|3036	32.7381
lowly_expressed	lowly_expressed	HAS2AS|594842	5.334
HAS2|3037	19.1283	HAS2|3037	62.7877
HAS3|3038	33.2876	HAS3|3038	1795.0893
HAT1|8520	1073.0954	HAT1|8520	902.1164
HAUS1|115106	1768.3596	HAUS1|115106	251.3228
HAUS2|55142	417.2958	HAUS2|55142	572.4206
HAUS3|79441	564.6568	HAUS3|79441	410.3108
HAUS4|54930	894.3034	HAUS4|54930	954.3651
HAUS5|23354	280.3706	HAUS5|23354	314.4841
HAUS6|54801	454.7014	HAUS6|54801	477.5132
HAUS7|55559	156.4859	HAUS7|55559	155.4233
HAUS8|93323	76.8703	HAUS8|93323	71.7593
HAVCR2|84868	216.5408	HAVCR2|84868	264.881
HAX1|10456	1237.1311	HAX1|10456	1196.4286
lowly_expressed	lowly_expressed	HBA1|3039	395.5026
HBA2|3040	22.9925	HBA2|3040	683.8624
HBB|3043	38.7783	HBB|3043	1012.5661
HBD|3045	50.4461	lowly_expressed	lowly_expressed
HBEGF|1839	235.7584	HBEGF|1839	691.4683
HBP1|26959	2066.1977	HBP1|26959	2890.0893
HBS1L|10767	1240.2196	HBS1L|10767	1105.4894
HBXIP|10542	1122.512	HBXIP|10542	784.3915
HCCS|3052	491.4207	HCCS|3052	335.6481
HCFC1R1|54985	1134.3274	HCFC1R1|54985	651.5476
HCFC1|3054	2332.1894	HCFC1|3054	1930.5556
HCFC2|29915	334.2485	HCFC2|29915	491.4021
HCG11|493812	379.8902	HCG11|493812	774.4709
HCG18|414777	383.7509	HCG18|414777	525.7242
HCG26|352961	54.9073	HCG26|352961	47.2884
HCG27|253018	8.5793	HCG27|253018	20.172
lowly_expressed	lowly_expressed	HCG2P7|80867	6.0483
HCG4|54435	159.3857	HCG4|54435	75.3803
HCK|3055	199.0391	HCK|3055	360.4497
HCLS1|3059	427.2478	HCLS1|3059	659.7222
HCN1|348980	14.07	HCN1|348980	11.2434
HCN3|57657	76.1839	HCN3|57657	70.3439
HCP5|10866	581.3315	HCP5|10866	525.4630000000001
HCST|10870	36.3761	HCST|10870	78.0423
HDAC10|83933	402.0281	HDAC10|83933	266.0913
HDAC11|79885	2535.3466	HDAC11|79885	652.1164
HDAC1|3065	2396.7056	HDAC1|3065	2026.455
HDAC2|3066	1497.2546	HDAC2|3066	1478.836
HDAC3|8841	1199.0391	HDAC3|8841	929.2328
HDAC4|9759	122.512	HDAC4|9759	687.5
HDAC5|10014	2444.0631	HDAC5|10014	1932.5397
HDAC6|10013	1614.9623	HDAC6|10013	1286.045
HDAC7|51564	2703.5003	HDAC7|51564	2225.1984
HDAC8|55869	311.5992	HDAC8|55869	247.6852
HDAC9|9734	34.3171	HDAC9|9734	173.9418
HDC|3067	8.9224	HDC|3067	93.9153
HDDC2|51020	586.8222	HDDC2|51020	637.8968
HDDC3|374659	475.2917	HDDC3|374659	245.0397
HDGFRP2|84717	971.5168	HDGFRP2|84717	673.2804
HDGFRP3|50810	1846.9458	HDGFRP3|50810	737.7646
HDGF|3068	5309.196999999999	HDGF|3068	3662.3677
HDHD1A|8226	195.9506	HDHD1A|8226	312.1693
HDHD2|84064	1145.1613	HDHD2|84064	765.5423
HDHD3|81932	434.1112	HDHD3|81932	647.4868
HDLBP|3069	8247.083	HDLBP|3069	12640.873
HDX|139324	42.21	HDX|139324	57.8704
HEATR1|55127	774.1935	HEATR1|55127	1206.0185
HEATR2|54919	614.6191	HEATR2|54919	501.9841
HEATR3|55027	526.7673	HEATR3|55027	249.6693
HEATR4|399671	37.6973	HEATR4|399671	30.9722
HEATR5A|25938	753.2841	HEATR5A|25938	1209.8942
HEATR5B|54497	1018.5312	HEATR5B|54497	1450.0661
HEATR6|63897	523.6788	HEATR6|63897	453.0423
HEATR7A|727957	1051.8188	HEATR7A|727957	592.5926
HEBP1|50865	11545.9849	HEBP1|50865	1049.2725
HEBP2|23593	654.4269	HEBP2|23593	1503.3069
HECA|51696	1517.5017	HECA|51696	1630.2910000000002
HECTD1|25831	4426.5614	HECTD1|25831	4483.1349
HECTD2|143279	337.6802	HECTD2|143279	426.5873
HECTD3|79654	722.0316	HECTD3|79654	1477.1825
HECW1|23072	5.1476	lowly_expressed	lowly_expressed
HECW2|57520	1141.3864	lowly_expressed	lowly_expressed
HEG1|57493	1385.3809	HEG1|57493	3662.6984
HELB|92797	14.4132	HELB|92797	33.3995
HELLS|3070	121.4825	HELLS|3070	19.1799
HELQ|113510	250.1716	HELQ|113510	327.0503
HELZ|9931	1576.1839	HELZ|9931	1801.2566
HEMK1|51409	1107.4125	HEMK1|51409	439.8148
lowly_expressed	lowly_expressed	HEPACAM2|253012	123.6772
lowly_expressed	lowly_expressed	HEPACAM|220296	163.254
HEPH|9843	257.7213	HEPH|9843	715.6085
lowly_expressed	lowly_expressed	HEPN1|641654	138.3333
HERC1|8925	2725.8065	HERC1|8925	3054.8942
HERC2P2|400322	1231.9835	HERC2P2|400322	1585.3175
HERC2P4|440362	28.8264	HERC2P4|440362	15.2116
HERC2|8924	2485.5868	HERC2|8924	2366.4021
HERC3|8916	740.2196	HERC3|8916	878.6376
HERC4|26091	1174.3308	HERC4|26091	1076.0582
HERC5|51191	55.9369	HERC5|51191	257.9365
HERC6|55008	85.4496	HERC6|55008	340.2778
HERPUD1|9709	2156.1428	HERPUD1|9709	2652.4471
HERPUD2|64224	591.6266	HERPUD2|64224	865.7407
HES1|3280	619.0803	HES1|3280	1551.918
HES2|54626	5.8339	HES2|54626	27.7778
HES4|57801	18.1881	HES4|57801	28.4392
HES6|55502	131.4345	HES6|55502	16.5344
HESX1|8820	12.011	HESX1|8820	12.2354
HEXA|3073	1726.5854	HEXA|3073	1871.0516
HEXB|3074	2279.6843	HEXB|3074	2136.3988
HEXDC|284004	329.4441	HEXDC|284004	287.03700000000003
HEXIM1|10614	3261.8394	HEXIM1|10614	1350.5291
HEXIM2|124790	365.5353	HEXIM2|124790	75.9259
HEY1|23462	242.2787	HEY1|23462	248.0159
HEY2|23493	151.3384	HEY2|23493	362.1032
HEYL|26508	794.4406	HEYL|26508	191.4683
HFE|3077	280.3706	HFE|3077	299.2725
lowly_expressed	lowly_expressed	HFM1|164045	5.6217
lowly_expressed	lowly_expressed	HGD|3081	47.619
HGF|3082	33.9739	HGF|3082	192.4603
HGSNAT|138050	4799.245	HGSNAT|138050	2759.9206
HGS|9146	1500.3432	HGS|9146	1292.9894
lowly_expressed	lowly_expressed	HHATL|57467	85.3175
HHAT|55733	579.2725	HHAT|55733	376.3228
HHEX|3087	204.873	HHEX|3087	295.6349
HHIPL1|84439	28.14	HHIPL1|84439	44.3122
HHIPL2|79802	10.9815	HHIPL2|79802	7.2751
lowly_expressed	lowly_expressed	HHIP|64399	5.6217
HHLA3|11147	114.6191	HHLA3|11147	132.9365
HIAT1|64645	1087.8518	HIAT1|64645	1279.7619
HIATL1|84641	1131.0913	HIATL1|84641	1101.1905
HIATL2|84278	31.5717	HIATL2|84278	25.1323
HIBADH|11112	842.1414	HIBADH|11112	1378.6376
HIBCH|26275	354.4955	HIBCH|26275	460.3175
HIC1|3090	59.3686	HIC1|3090	296.9577
HIC2|23119	132.1208	HIC2|23119	160.3836
HIF1AN|55662	1384.3514	HIF1AN|55662	1697.4206
HIF1A|3091	618.394	HIF1A|3091	2067.1296
lowly_expressed	lowly_expressed	HIF3A|64344	230.4894
HIGD1A|25994	3019.5607	HIGD1A|25994	2047.9497
HIGD1B|51751	41.5237	HIGD1B|51751	9.5899
HIGD2A|192286	837.337	HIGD2A|192286	587.6323
HINFP|25988	244.3377	HINFP|25988	324.0741
HINT1|3094	6007.2066	HINT1|3094	2221.2302
HINT2|84681	480.7824	HINT2|84681	372.3545
HINT3|135114	787.9204	HINT3|135114	1166.336
HIP1R|9026	877.1448	HIP1R|9026	1098.8757
HIP1|3092	1670.2128	HIP1|3092	1780.0926
HIPK1|204851	2128.6891	HIPK1|204851	2748.6772
HIPK2|28996	113.9327	HIPK2|28996	4429.8942
HIPK3|10114	1545.9849	HIPK3|10114	2679.2328
HIRA|7290	497.5978	HIRA|7290	867.3942
HIRIP3|8479	1195.9506	HIRIP3|8479	370.0397
HIST1H1C|3006	859.9863	HIST1H1C|3006	239.7487
HIST1H1D|3007	9.2656	lowly_expressed	lowly_expressed
HIST1H2AC|8334	967.7419	HIST1H2AC|8334	664.3519
HIST1H2AE|3012	40.8373	HIST1H2AE|3012	8.5979
HIST1H2BC|8347	39.4647	HIST1H2BC|8347	22.4868
HIST1H2BD|3017	673.9876	HIST1H2BD|3017	123.3466
HIST1H2BE|8344	8.5793	lowly_expressed	lowly_expressed
HIST1H2BG|8339	25.0515	HIST1H2BG|8339	6.6138
HIST1H2BH|8345	18.5312	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	HIST1H2BJ|8970	15.5423
HIST1H2BK|85236	881.2629	HIST1H2BK|85236	326.3889
HIST1H2BN|8341	7.8929	HIST1H2BN|8341	6.6138
HIST1H3D|8351	27.7351	lowly_expressed	lowly_expressed
HIST1H3E|8353	46.6712	HIST1H3E|8353	35.3836
HIST1H3H|8357	13.7268	lowly_expressed	lowly_expressed
HIST1H4H|8365	57.6527	HIST1H4H|8365	22.8175
HIST1H4J|8363	23.3356	HIST1H4J|8363	12.8968
HIST2H2AA3|8337	618.0508	HIST2H2AA3|8337	139.881
HIST2H2BA|337875	10.2951	HIST2H2BA|337875	8.5979
HIST2H2BE|8349	1691.8325	HIST2H2BE|8349	454.3651
HIST2H2BF|440689	152.1791	HIST2H2BF|440689	38.6905
HIST2H4A|8370	522.6493	HIST2H4A|8370	163.0291
lowly_expressed	lowly_expressed	HIST3H2A|92815	29.7619
HIST4H4|121504	60.7412	HIST4H4|121504	39.0212
HIVEP1|3096	568.6342	HIVEP1|3096	919.6429
HIVEP2|3097	617.7076	HIVEP2|3097	1145.172
HIVEP3|59269	422.4434	HIVEP3|59269	584.3254
HJURP|55355	90.9403	HJURP|55355	8.5979
HK1|3098	4622.1688	HK1|3098	3419.3122
HK2|3099	1927.9341	HK2|3099	1628.9683
HK3|3101	22.3061	HK3|3101	57.8704
HKR1|284459	954.7014	HKR1|284459	981.8122
HLA-A|3105	9059.3205	HLA-A|3105	9980.1455
HLA-B|3106	12432.9067	HLA-B|3106	16571.5443
HLA-C|3107	8359.8181	HLA-C|3107	10334.871
HLA-DMA|3108	602.9513	HLA-DMA|3108	1002.3148
HLA-DMB|3109	607.0693	HLA-DMB|3109	783.0688
HLA-DOA|3111	401.8531	HLA-DOA|3111	403.7698
HLA-DOB|3112	7.862	HLA-DOB|3112	36.9279
HLA-DPA1|3113	3871.3109	HLA-DPA1|3113	3721.8915
HLA-DPB1|3115	2458.1332	HLA-DPB1|3115	2012.8968
HLA-DQA1|3117	1710.0206	HLA-DQA1|3117	1420.9656
HLA-DQA2|3118	66.9183	HLA-DQA2|3118	52.9101
HLA-DQB1|3119	983.5278	HLA-DQB1|3119	929.5635
HLA-DQB2|3120	20.9334	HLA-DQB2|3120	19.8413
HLA-DRA|3122	6855.1819	HLA-DRA|3122	6932.209
HLA-DRB1|3123	4431.1496	HLA-DRB1|3123	5040.6713
HLA-DRB5|3127	3117.4091	HLA-DRB5|3127	3718.3201
HLA-DRB6|3128	8.4043	HLA-DRB6|3128	12.5
HLA-E|3133	4098.1469	HLA-E|3133	11255.9524
HLA-F|3134	337.4846	HLA-F|3134	749.2196
HLA-G|3135	62.4091	HLA-G|3135	90.2943
HLA-H|3136	1218.5999	HLA-H|3136	967.5926
HLA-J|3137	11.3727	HLA-J|3137	12.8803
HLA-L|3139	12.011	HLA-L|3139	23.8095
HLCS|3141	1096.431	HLCS|3141	759.5899
HLF|3131	8.2361	HLF|3131	804.5635
HLTF|6596	1139.6706	HLTF|6596	1126.3228
HLX|3142	167.1242	HLX|3142	188.4921
HM13|81502	3470.0755	HM13|81502	1681.6733
HMBOX1|79618	38.092	HMBOX1|79618	204.6958
HMBS|3145	359.2999	HMBS|3145	233.1349
HMCN1|83872	237.4743	HMCN1|83872	1080.3571
HMG20A|10363	1045.6417	HMG20A|10363	942.4603
HMG20B|10362	1531.9149	HMG20B|10362	1112.4339
HMGA1|3159	989.221	HMGA1|3159	496.8915
HMGB1|3146	6684.2828	HMGB1|3146	4538.0291
HMGB2|3148	2731.2972	HMGB2|3148	1141.5344
HMGB3|3149	144.1318	HMGB3|3149	251.9841
HMGCLL1|54511	37.7488	HMGCLL1|54511	68.7831
HMGCL|3155	1007.5498	HMGCL|3155	786.045
HMGCR|3156	1523.6788	HMGCR|3156	992.0635
HMGCS1|3157	1352.4365	HMGCS1|3157	1015.873
lowly_expressed	lowly_expressed	HMGCS2|3158	2269.5106
HMGN1|3150	2766.987	HMGN1|3150	2133.9286
HMGN2|3151	4364.1043	HMGN2|3151	3545.6349
HMGN3|9324	520.4907	HMGN3|9324	963.8922
HMGN4|10473	1707.2752	HMGN4|10473	1535.7143
HMGN5|79366	107.4125	HMGN5|79366	247.3545
HMGXB3|22993	1608.442	HMGXB3|22993	1574.0741
HMGXB4|10042	666.0947	HMGXB4|10042	684.5238
HMHA1|23526	651.3384	HMHA1|23526	471.8915
HMMR|3161	220.6486	HMMR|3161	12.2354
HMOX1|3162	413.5209	HMOX1|3162	713.6243
HMOX2|3163	1561.0844	HMOX2|3163	583.9947
HN1L|90861	5558.6136	HN1L|90861	2110.4266
HN1|51155	768.7028	HN1|51155	394.5106
HNF1A|6927	19.5607	HNF1A|6927	12.8968
HNF4G|3174	56.28	HNF4G|3174	13.8889
HNMT|3176	672.9581	HNMT|3176	1587.3016
HNRNPA0|10949	3780.7138	HNRNPA0|10949	2642.8571
HNRNPA1L2|144983	1926.9046	HNRNPA1L2|144983	1970.5688
HNRNPA1|3178	5032.6012	HNRNPA1|3178	4763.8889
HNRNPA2B1|3181	14881.2629	HNRNPA2B1|3181	10031.4153
HNRNPA3P1|10151	92.9993	HNRNPA3P1|10151	65.1455
HNRNPA3|220988	4935.1407	HNRNPA3|220988	4428.5714
HNRNPAB|3182	3588.442	HNRNPAB|3182	1543.8955
HNRNPC|3183	9624.9142	HNRNPC|3183	6896.8254
HNRNPD|3184	3740.2196	HNRNPD|3184	3386.9048
HNRNPF|3185	4785.2814	HNRNPF|3185	3680.2579
HNRNPH1|3187	6167.4674	HNRNPH1|3187	4075.7275
HNRNPH2|3188	3706.2457	HNRNPH2|3188	3183.5317
HNRNPH3|3189	1877.4879999999998	HNRNPH3|3189	2195.4365
HNRNPK|3190	14403.9121	HNRNPK|3190	11187.1693
HNRNPL|3191	5067.2615	HNRNPL|3191	3636.2434
HNRNPM|4670	4734.0426	HNRNPM|4670	3465.6085
HNRNPR|10236	4167.8106	HNRNPR|10236	2479.4974
HNRNPUL1|11100	5190.4598	HNRNPUL1|11100	4750.0
HNRNPUL2|221092	3431.3624	HNRNPUL2|221092	3195.0728
HNRNPU|3192	11178.1057	HNRNPU|3192	8556.8783
HNRPDL|9987	4052.5051	HNRPDL|9987	4210.6481
HNRPLL|92906	579.2725	HNRPLL|92906	642.8571
HOMER1|9456	55.5937	HOMER1|9456	173.6111
HOMER2|9455	756.0055	HOMER2|9455	474.2063
HOMER3|9454	394.9897	HOMER3|9454	289.6825
HOMEZ|57594	413.5209	HOMEZ|57594	377.3148
HOOK1|51361	787.9204	HOOK1|51361	870.7011
HOOK2|29911	1200.0686	HOOK2|29911	1095.2381
HOOK3|84376	1533.9739	HOOK3|84376	1723.545
HOPX|84525	94.37200000000001	HOPX|84525	62.5
HOXA10|3206	28.4832	HOXA10|3206	242.0635
HOXA11|3207	9.2656	HOXA11|3207	5.6217
HOXA1|3198	6.1771	HOXA1|3198	28.4392
lowly_expressed	lowly_expressed	HOXA2|3199	31.4153
HOXA3|3200	7.2066	HOXA3|3200	151.455
HOXA4|3201	13.3837	HOXA4|3201	154.8479
HOXA5|3202	12.011	HOXA5|3202	151.455
lowly_expressed	lowly_expressed	HOXA6|3203	31.4484
HOXA7|3204	18.9224	HOXA7|3204	317.8505
HOXA9|3205	19.9039	HOXA9|3205	170.6349
HOXB2|3212	241.9355	HOXB2|3212	443.4524
HOXB3|3213	105.0103	HOXB3|3213	425.2646
HOXB4|3214	14.7563	HOXB4|3214	127.9762
HOXB5|3215	9.6088	HOXB5|3215	30.754
HOXB6|3216	27.7968	HOXB6|3216	54.2328
HOXB7|3217	49.4166	HOXB7|3217	122.6852
HOXB8|3218	16.129	HOXB8|3218	19.1799
HOXB9|3219	26.4242	HOXB9|3219	7.2751
lowly_expressed	lowly_expressed	HOXC10|3226	60.1852
HOXC13|3229	64.5161	HOXC13|3229	21.4947
HOXC4|3221	78.5347	HOXC4|3221	55.7077
HOXC5|3222	18.2498	HOXC5|3222	28.9153
HOXC6|3223	369.5848	HOXC6|3223	218.2837
HOXC8|3224	39.1215	HOXC8|3224	151.455
HOXC9|3225	68.9774	HOXC9|3225	100.8598
HOXD10|3236	31.5717	HOXD10|3236	115.4101
lowly_expressed	lowly_expressed	HOXD11|3237	5.6217
HOXD1|3231	5.1476	HOXD1|3231	21.8254
HOXD3|3232	9.6088	HOXD3|3232	55.8862
HOXD4|3233	5.1476	HOXD4|3233	43.6508
HOXD8|3234	62.1139	HOXD8|3234	320.7672
HOXD9|3235	76.8703	HOXD9|3235	332.0106
HP1BP3|50809	2921.0707	HP1BP3|50809	4851.5212
HPCAL1|3241	432.7385	HPCAL1|3241	490.0794
HPCA|3208	13.7268	lowly_expressed	lowly_expressed
HPDL|84842	10.6383	HPDL|84842	6.6138
lowly_expressed	lowly_expressed	HPD|3242	46.2963
HPGDS|27306	40.150999999999996	HPGDS|27306	96.5608
HPGD|3248	19823.9533	HPGD|3248	113.0952
HPN|3249	1939.2588	HPN|3249	213.955
HPRT1|3251	574.1249	HPRT1|3251	343.254
HPS1|3257	1064.5161	HPS1|3257	1220.8995
HPS3|84343	1441.7296	HPS3|84343	996.3922
HPS4|89781	789.9794	HPS4|89781	984.4577
HPS5|11234	396.3624	HPS5|11234	1089.2857
HPS6|79803	503.0885	HPS6|79803	388.2275
lowly_expressed	lowly_expressed	HPSE2|60495	60.1852
HPSE|10855	12.011	HPSE|10855	20.5026
HPX|3263	20.9334	HPX|3263	111.4418
lowly_expressed	lowly_expressed	HP|3240	36.7063
HRASLS2|54979	56.28	HRASLS2|54979	23.1481
HRASLS5|117245	1470.1441	HRASLS5|117245	949.0741
lowly_expressed	lowly_expressed	HRASLS|57110	19.8413
HRAS|3265	472.2032	HRAS|3265	373.3466
lowly_expressed	lowly_expressed	HRCT1|646962	88.6243
HRC|3270	22.3061	HRC|3270	51.2566
HRH1|3269	75.8408	HRH1|3269	322.0899
HRH2|3274	15.4427	HRH2|3274	30.754
lowly_expressed	lowly_expressed	HRNR|388697	6.2831
HRSP12|10247	303.0199	HRSP12|10247	222.2222
HR|55806	93.6857	HR|55806	356.4815
HS1BP3|64342	525.0515	HS1BP3|64342	514.5503
HS2ST1|9653	743.3699	HS2ST1|9653	948.4127
HS3ST1|9957	51.8188	HS3ST1|9957	77.381
HS3ST2|9956	7.5498	HS3ST2|9956	61.8386
lowly_expressed	lowly_expressed	HS3ST3A1|9955	12.2354
lowly_expressed	lowly_expressed	HS3ST3B1|9953	8.9286
lowly_expressed	lowly_expressed	HS3ST4|9951	45.9656
HS6ST1|9394	1582.7042	HS6ST1|9394	1113.0952
HS6ST2|90161	5.8339	HS6ST2|90161	27.4471
lowly_expressed	lowly_expressed	HS6ST3|266722	35.0529
HSBP1L1|440498	168.4969	HSBP1L1|440498	120.0397
HSBP1|3281	2219.9725	HSBP1|3281	1854.1667
HSCB|150274	176.0467	HSCB|150274	180.2249
HSD11B1L|374875	173.9876	HSD11B1L|374875	82.67200000000001
HSD11B1|3290	6.5202	HSD11B1|3290	193.1217
HSD11B2|3291	552.1619999999999	HSD11B2|3291	190.4762
HSD17B10|3028	1001.7159	HSD17B10|3028	803.2407
HSD17B11|51170	430.3363	HSD17B11|51170	1056.8783
HSD17B12|51144	1460.5353	HSD17B12|51144	2102.8439
lowly_expressed	lowly_expressed	HSD17B13|345275	231.8122
HSD17B14|51171	49.7598	HSD17B14|51171	95.5688
HSD17B1|3292	30.0927	HSD17B1|3292	77.5231
lowly_expressed	lowly_expressed	HSD17B2|3294	18.1878
HSD17B3|3293	8.5793	HSD17B3|3293	6.6138
HSD17B4|3295	3678.792	HSD17B4|3295	2812.1693
HSD17B6|8630	101.5786	HSD17B6|8630	12.2354
HSD17B7P2|158160	99.8627	HSD17B7P2|158160	78.373
HSD17B7|51478	507.2066	HSD17B7|51478	218.9153
HSD17B8|7923	230.6108	HSD17B8|7923	241.4021
lowly_expressed	lowly_expressed	HSD3B2|3284	7.6058
HSD3B7|80270	412.1482	HSD3B7|80270	415.0132
HSDL1|83693	837.6802	HSDL1|83693	790.6746
HSDL2|84263	1410.4324	HSDL2|84263	1708.9947
HSF1|3297	1694.2382	HSF1|3297	1148.0985
HSF2BP|11077	22.6493	HSF2BP|11077	14.880999999999998
HSF2|3298	362.7316	HSF2|3298	361.1111
HSF4|3299	98.3596	HSF4|3299	158.9484
HSFX2|100130086	43.9259	HSFX2|100130086	44.3122
HSH2D|84941	815.7172	HSH2D|84941	68.4524
HSN2|378465	6.5202	HSN2|378465	14.5503
HSP90AA1|3320	38627.3164	HSP90AA1|3320	20858.1349
HSP90AB1|3326	32710.0206	HSP90AB1|3326	21154.1005
HSP90AB2P|391634	56.28	HSP90AB2P|391634	35.3836
HSP90B1|7184	15781.4001	HSP90B1|7184	14650.463
HSPA12A|259217	144.8181	HSPA12A|259217	1253.9683
HSPA12B|116835	202.1277	HSPA12B|116835	528.4392
HSPA13|6782	598.49	HSPA13|6782	722.8836
HSPA14|51182	430.6795	HSPA14|51182	422.619
HSPA1A|3303	31034.4612	HSPA1A|3303	10293.5218
HSPA1B|3304	3145.1613	HSPA1B|3304	1636.2434
HSPA1L|3305	114.9623	HSPA1L|3305	67.4967
HSPA2|3306	934.4544	HSPA2|3306	576.7196
HSPA4L|22824	239.5333	HSPA4L|22824	285.3836
HSPA4|3308	5532.2581	HSPA4|3308	2050.5952
HSPA5|3309	13700.4118	HSPA5|3309	11494.3783
HSPA6|3310	193.2052	HSPA6|3310	112.7646
HSPA7|3311	124.2279	HSPA7|3311	166.33599999999998
HSPA8|3312	25018.8744	HSPA8|3312	15898.1481
HSPA9|3313	11260.4667	HSPA9|3313	4725.5291
HSPB11|51668	607.4125	HSPB11|51668	275.1323
HSPB1|3315	8349.6911	HSPB1|3315	2970.5688
HSPB2|3316	27.1105	HSPB2|3316	336.4583
HSPB6|126393	28.8264	HSPB6|126393	5719.246
HSPB7|27129	37.0625	HSPB7|27129	1876.3228
HSPB8|26353	5149.9657	HSPB8|26353	2342.2619
HSPBAP1|79663	142.4159	HSPBAP1|79663	169.3122
HSPBP1|23640	567.9478	HSPBP1|23640	390.5423
HSPC157|29092	384.3514	HSPC157|29092	415.3439
HSPC159|29094	821.8943	HSPC159|29094	575.3968
HSPD1|3329	6602.965	HSPD1|3329	4059.8545
HSPE1|3336	1607.3988	HSPE1|3336	700.7275
HSPG2|3339	7050.9643	HSPG2|3339	13129.3353
HSPH1|10808	7804.7358	HSPH1|10808	1840.6085
HTATIP2|10553	706.5889	HTATIP2|10553	425.2646
HTATSF1|27336	2322.2375	HTATSF1|27336	1916.0053
HTR1B|3351	5.8339	lowly_expressed	lowly_expressed
HTR1F|3355	68.6342	HTR1F|3355	19.8413
lowly_expressed	lowly_expressed	HTR2A|3356	22.4868
HTR2B|3357	8.2361	HTR2B|3357	87.6323
HTR7P1|93164	1906.3143	HTR7P1|93164	159.0608
HTR7|3363	14.7563	HTR7|3363	12.5661
HTRA1|5654	2736.4447	HTRA1|5654	4533.3995
HTRA2|27429	469.3342	HTRA2|27429	465.2249
