gene_id	TCGA-BH-A1FB-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FB-11A-33R-A13Q-07
ACSL1|2180	1678.6029	ACSL1|2180	4980.6443
ACSL3|2181	4896.9768	ACSL3|2181	6321.7361
ACSL4|2182	1937.1881	ACSL4|2182	1724.8146
ACSL5|51703	1550.044	ACSL5|51703	915.7021
ACSL6|23305	30.2319	ACSL6|23305	11.628
ACSM1|116285	96.2724	ACSM1|116285	3526.1799
ACSM3|6296	105.0103	ACSM3|6296	200.4952
ACSM5|54988	42.5594	ACSM5|54988	100.2912
ACSS1|84532	628.9991	ACSS1|84532	1262.1185
ACSS2|55902	851.7758	ACSS2|55902	1408.4371
ACSS3|79611	203.4048	ACSS3|79611	566.3787
ACTA1|58	7.3378	lowly_expressed	lowly_expressed
ACTA2|59	8964.3998	ACTA2|59	22487.7737
ACTBL2|345651	10.273	ACTBL2|345651	32.9459
ACTB|60	78613.7364	ACTB|60	73222.7385
ACTG1|71	59200.4696	ACTG1|71	61459.1156
ACTG2|72	786.6158	ACTG2|72	4609.5185
ACTL6A|86	966.833	ACTL6A|86	875.0042
ACTN1|87	7067.2146	ACTN1|87	7764.088
ACTN4|81	7885.8292	ACTN4|81	9301.5228
ACTR10|55860	1099.501	ACTR10|55860	1037.3112
ACTR1A|10121	2442.3246	ACTR1A|10121	2156.9872
ACTR1B|10120	1023.7746	ACTR1B|10120	1408.9216
ACTR2|10097	9165.835	ACTR2|10097	5151.1877
ACTR3B|57180	175.521	ACTR3B|57180	223.3538
ACTR3C|653857	53.1259	ACTR3C|653857	46.5119
ACTR3|10096	4920.1644	ACTR3|10096	3049.4334
ACTR5|79913	204.5788	ACTR5|79913	191.3769
ACTR6|64431	609.3337	ACTR6|64431	699.6158
ACTR8|93973	653.3607	ACTR8|93973	547.4833
ACVR1B|91	1046.6686	ACVR1B|91	1257.758
ACVR1C|130399	45.2011	ACVR1C|130399	263.5672
ACVR1|90	1215.4388	ACVR1|90	1207.8547
ACVR2A|92	587.9072	ACVR2A|92	671.9994
ACVR2B|93	471.3824	ACVR2B|93	500.9714
ACVRL1|94	583.5045	ACVRL1|94	620.158
ACY1|95	704.1385	ACY1|95	590.1191
ACY3|91703	14.9692	ACY3|91703	66.8608
ACYP1|97	57.8221	ACYP1|97	69.7678
ACYP2|98	108.5999	ACYP2|98	155.0395
ADAL|161823	178.4561	ADAL|161823	158.431
ADAM10|102	2211.9166	ADAM10|102	2035.3781
ADAM11|4185	7.9249	ADAM11|4185	20.3489
ADAM12|8038	4953.6249	ADAM12|8038	300.8736
ADAM15|8751	2182.31	ADAM15|8751	2670.1438
ADAM17|6868	930.4373	ADAM17|6868	861.9228
ADAM19|8728	662.7532	ADAM19|8728	119.1866
ADAM21|8747	5.5768	lowly_expressed	lowly_expressed
ADAM22|53616	151.7464	ADAM22|53616	55.2328
ADAM23|8745	90.6956	ADAM23|8745	20.8334
ADAM28|10863	292.9263	ADAM28|10863	199.1289
ADAM32|203102	27.0032	ADAM32|203102	22.7714
ADAM33|80332	172.8794	ADAM33|80332	652.6194
ADAM6|8755	44357.3232	ADAM6|8755	138559.2953
ADAM8|101	297.6225	ADAM8|101	128.3921
ADAM9|8754	4162.8999	ADAM9|8754	2057.665
ADAMDEC1|27299	155.5621	ADAMDEC1|27299	6.783
ADAMTS10|81794	96.5659	ADAMTS10|81794	98.3532
ADAMTS12|81792	519.8122	ADAMTS12|81792	66.3763
ADAMTS13|11093	43.1465	ADAMTS13|11093	73.6438
ADAMTS14|140766	105.0778	lowly_expressed	lowly_expressed
ADAMTS15|170689	295.8615	ADAMTS15|170689	244.1872
ADAMTS16|170690	216.9064	ADAMTS16|170690	8.721
ADAMTS17|170691	115.9378	ADAMTS17|170691	99.8067
ADAMTS18|170692	36.1021	ADAMTS18|170692	33.9149
ADAMTS19|171019	19.9589	lowly_expressed	lowly_expressed
ADAMTS1|9510	2388.6117	ADAMTS1|9510	4230.1562
ADAMTS2|9509	833.2844	ADAMTS2|9509	307.6565
ADAMTS3|9508	77.4875	ADAMTS3|9508	82.3647
ADAMTS4|9507	511.3003	ADAMTS4|9507	144.865
ADAMTS5|11096	989.727	ADAMTS5|11096	2037.3161
ADAMTS6|11174	89.5216	ADAMTS6|11174	11.628
ADAMTS7|11173	139.7124	ADAMTS7|11173	57.1708
ADAMTS8|11095	57.2351	ADAMTS8|11095	39.7289
ADAMTS9|56999	374.8166	ADAMTS9|56999	324.614
ADAMTSL1|92949	110.6545	ADAMTSL1|92949	116.7641
