gene_id	TCGA-E2-A1BC-01A-11R-A12P-07	gene_id	TCGA-E2-A1BC-11A-32R-A12P-07
ACVR1|90	1365.9507	ACVR1|90	2514.0004
ACVR2A|92	525.0597	ACVR2A|92	426.6096
ACVR2B|93	359.5863	ACVR2B|93	339.5755
ACVRL1|94	476.5314	ACVRL1|94	1856.2511
ACY1|95	726.3325	ACY1|95	1360.4423
ACY3|91703	6.3644	lowly_expressed	lowly_expressed
ACYP1|97	50.1193	ACYP1|97	52.7912
ACYP2|98	112.9674	ACYP2|98	212.5914
ADAL|161823	229.1169	ADAL|161823	277.5103
ADAM10|102	2600.6364	ADAM10|102	1018.0132
ADAM11|4185	5.5688	ADAM11|4185	19.975
ADAM12|8038	4421.6388	ADAM12|8038	365.9711
ADAM15|8751	2793.2538	ADAM15|8751	3433.7364
ADAM17|6868	723.1504	ADAM17|6868	382.3792
ADAM19|8728	363.564	ADAM19|8728	99.1618
ADAM21|8747	9.5465	lowly_expressed	lowly_expressed
ADAM22|53616	47.7327	ADAM22|53616	7.1339
ADAM23|8745	10.3421	lowly_expressed	lowly_expressed
ADAM28|10863	27.8441	lowly_expressed	lowly_expressed
ADAM32|203102	8.751	ADAM32|203102	14.2679
ADAM33|80332	108.9897	ADAM33|80332	903.1211
ADAM6|8755	5118.9737	ADAM6|8755	727.0555
ADAM8|101	62.0525	ADAM8|101	27.8224
ADAM9|8754	1642.8003	ADAM9|8754	1266.2743
ADAMDEC1|27299	7.9554	lowly_expressed	lowly_expressed
ADAMTS10|81794	93.0788	ADAMTS10|81794	127.6975
ADAMTS12|81792	624.5028	ADAMTS12|81792	544.3196
ADAMTS13|11093	22.2753	ADAMTS13|11093	29.2492
ADAMTS14|140766	216.3882	lowly_expressed	lowly_expressed
ADAMTS15|170689	429.5943	ADAMTS15|170689	140.5386
ADAMTS16|170690	613.3652	ADAMTS16|170690	24.2554
ADAMTS17|170691	128.8783	ADAMTS17|170691	17.8348
ADAMTS18|170692	118.5362	ADAMTS18|170692	54.9313
ADAMTS19|171019	19.0931	lowly_expressed	lowly_expressed
ADAMTS1|9510	1459.825	ADAMTS1|9510	5140.0036
ADAMTS2|9509	1031.8218	ADAMTS2|9509	923.8452
ADAMTS3|9508	41.3683	ADAMTS3|9508	31.3893
ADAMTS4|9507	797.9316	ADAMTS4|9507	171.2146
ADAMTS5|11096	425.6165	ADAMTS5|11096	2441.2342
ADAMTS6|11174	135.2426	ADAMTS6|11174	31.3893
ADAMTS7|11173	99.4431	ADAMTS7|11173	116.9966
ADAMTS8|11095	7.1599	lowly_expressed	lowly_expressed
ADAMTS9|56999	315.8313	ADAMTS9|56999	687.7118
ADAMTSL1|92949	49.3238	ADAMTSL1|92949	246.1209
ADAMTSL2|9719	211.615	ADAMTSL2|9719	59.9251
ADAMTSL3|57188	191.7263	ADAMTSL3|57188	214.7316
ADAMTSL4|54507	186.9531	ADAMTSL4|54507	3399.3223
ADAMTSL5|339366	101.0342	ADAMTSL5|339366	9.9875
ADAP1|11033	142.0048	ADAP1|11033	47.6619
ADAP2|55803	139.2204	ADAP2|55803	87.0341
ADARB1|104	533.0151	ADARB1|104	786.1602
ADAR|103	8116.9451	ADAR|103	3846.6203
ADAT1|23536	222.7526	ADAT1|23536	165.5074
ADAT2|134637	54.0971	ADAT2|134637	99.8752
ADAT3|113179	19.0931	ADAT3|113179	13.5545
ADA|100	81.9411	ADA|100	289.638
ADCK1|57143	155.9268	ADCK1|57143	103.4421
ADCK2|90956	287.1917	ADCK2|90956	657.7492
ADCK4|79934	504.3755	ADCK4|79934	421.6158
ADCK5|203054	70.008	ADCK5|203054	132.6913
ADCY1|107	225.9348	ADCY1|107	116.2832
ADCY2|108	188.5442	ADCY2|108	151.2395
ADCY3|109	472.8719	ADCY3|109	1594.9634
ADCY4|196883	167.0644	ADCY4|196883	925.9854
ADCY5|111	117.7407	ADCY5|111	860.3531
ADCY6|112	2361.973	ADCY6|112	3561.2627
ADCY7|113	401.7502	ADCY7|113	186.9092
ADCY9|115	788.385	ADCY9|115	549.3134
lowly_expressed	lowly_expressed	ADCYAP1R1|117	58.4983
ADCYAP1|116	15.9109	ADCYAP1|116	30.6759
ADC|113451	172.6333	ADC|113451	49.9376
ADD1|118	4404.9324	ADD1|118	7750.3121
ADD2|119	19.8886	ADD2|119	27.109
ADD3|120	1600.6364	ADD3|120	3285.1792
ADH1A|124	294.3516	ADH1A|124	3184.3981
ADH1B|125	16850.4375	ADH1B|125	243391.4321
ADH1C|126	50.1193	ADH1C|126	776.1726
lowly_expressed	lowly_expressed	ADH4|127	19.2616
ADH5|128	2400.1591	ADH5|128	7086.1423
lowly_expressed	lowly_expressed	ADH6|130	7.1339
ADH7|131	8.751	lowly_expressed	lowly_expressed
ADHFE1|137872	169.4511	ADHFE1|137872	1242.7323
ADI1|55256	868.7351	ADI1|55256	2932.7626
ADIPOQ|9370	9929.992	ADIPOQ|9370	107141.0737
ADIPOR1|51094	2596.6587	ADIPOR1|51094	2289.9946
ADIPOR2|79602	5856.0064	ADIPOR2|79602	5788.4787
ADK|132	408.9101	ADK|132	310.3264
ADM2|79924	199.6818	lowly_expressed	lowly_expressed
ADM|133	221.957	ADM|133	714.8208
ADNP2|22850	1065.2347	ADNP2|22850	629.2135
ADNP|23394	4422.4344	ADNP|23394	2032.4594
ADORA1|134	341.2888	ADORA1|134	786.1602
ADORA2A|135	37.3429	ADORA2A|135	59.8894
ADORA2B|136	8.751	lowly_expressed	lowly_expressed
ADORA3|140	187.7486	ADORA3|140	94.8814
ADO|84890	661.0979	ADO|84890	460.8525
ADPGK|83440	887.5895	ADPGK|83440	799.5078
ADPRHL1|113622	109.7852	ADPRHL1|113622	71.3394
ADPRHL2|54936	581.5434	ADPRHL2|54936	490.8151
ADPRH|141	207.6372	ADPRH|141	336.0086
ADRA1A|148	15.9109	ADRA1A|148	126.9841
ADRA1B|147	20.6842	ADRA1B|147	87.0341
ADRA2A|150	1413.6834	ADRA2A|150	2014.6246
ADRA2B|151	13.5243	ADRA2B|151	151.9529
ADRA2C|152	17.502	ADRA2C|152	167.6476
ADRB1|153	6.3644	ADRB1|153	123.4172
ADRB2|154	107.3986	ADRB2|154	1229.1778
ADRBK1|156	690.533	ADRBK1|156	1396.112
ADRBK2|157	1079.5545	ADRBK2|157	3892.2775
ADRM1|11047	730.3103	ADRM1|11047	1764.9367
ADSL|158	702.4662	ADSL|158	844.6585
ADSSL1|122622	159.109	ADSSL1|122622	670.5903
ADSS|159	2354.813	ADSS|159	756.911
AEBP1|165	15875.0994	AEBP1|165	5622.9713
AEBP2|121536	786.794	AEBP2|121536	624.9331
AEN|64782	312.6492	AEN|64782	157.6601
AES|166	4239.459	AES|166	4266.8093
AFAP1L1|134265	482.1002	AFAP1L1|134265	3309.4346
AFAP1L2|84632	244.2323	AFAP1L2|84632	342.4291
AFAP1|60312	989.642	AFAP1|60312	935.9658
AFARP1|246182	6.3644	lowly_expressed	lowly_expressed
AFF1|4299	3397.7725	AFF1|4299	4399.5006
AFF2|2334	31.0263	AFF2|2334	92.0278
AFF3|3899	3004.7733	AFF3|3899	62.0653
AFF4|27125	5478.1225	AFF4|27125	2003.9237
AFG3L1|172	128.0827	AFG3L1|172	169.0744
AFG3L2|10939	1521.9491	AFG3L2|10939	1876.9181
AFMID|125061	1160.7001	AFMID|125061	193.3298
AFTPH|54812	2931.5831	AFTPH|54812	928.1256
AG2|387763	287.9873	AG2|387763	1177.1001
AGAP11|119385	73.9857	AGAP11|119385	432.3167
AGAP1|116987	629.2761	AGAP1|116987	258.2486
AGAP2|116986	46.0939	AGAP2|116986	85.0437
AGAP3|116988	587.1122	AGAP3|116988	1460.3175
AGAP4|119016	131.2649	AGAP4|119016	169.7878
AGAP5|729092	54.7335	AGAP5|729092	25.6822
AGAP6|414189	69.2124	AGAP6|414189	67.7724
AGAP7|653268	6.3644	AGAP7|653268	7.8473
AGAP8|728404	18.2975	AGAP8|728404	27.8224
AGA|175	618.1384	AGA|175	287.4978
AGBL2|79841	31.0263	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AGBL3|340351	5.7072
AGBL4|84871	20.6842	AGBL4|84871	14.9813
AGBL5|60509	429.642	AGBL5|60509	620.6884
AGER|177	6.3644	AGER|177	36.3831
AGFG1|3267	2525.8552	AGFG1|3267	1899.0548
AGFG2|3268	148.7669	AGFG2|3268	395.9337
AGGF1|55109	1284.0095	AGGF1|55109	677.0109
AGK|55750	342.8799	AGK|55750	383.806
AGL|178	1718.3771	AGL|178	962.3685
AGMAT|79814	23.0708	lowly_expressed	lowly_expressed
AGPAT1|10554	1022.7049	AGPAT1|10554	1656.4223
AGPAT2|10555	1573.5879	AGPAT2|10555	21610.8436
AGPAT3|56894	1949.0851	AGPAT3|56894	2053.8612
AGPAT4|56895	127.2872	AGPAT4|56895	149.0993
AGPAT5|55326	289.5784	AGPAT5|55326	266.8093
AGPAT6|137964	1077.1679	AGPAT6|137964	1622.2579
AGPAT9|84803	243.4368	AGPAT9|84803	3943.6419
AGPHD1|123688	82.7367	AGPHD1|123688	75.6198
AGPS|8540	573.5879	AGPS|8540	1237.7385
AGR2|10551	4523.4686	lowly_expressed	lowly_expressed
AGR3|155465	600.6364	lowly_expressed	lowly_expressed
AGRN|375790	2698.4885	AGRN|375790	890.3157
AGTPBP1|23287	396.9769	AGTPBP1|23287	611.3786
AGTR1|185	1176.611	AGTR1|185	2182.2722
AGTRAP|57085	551.3126	AGTRAP|57085	468.6998
AGT|183	63.6436	AGT|183	607.0983
AGXT2L2|85007	337.7088	AGXT2L2|85007	868.657
lowly_expressed	lowly_expressed	AGXT|189	7.8473
AHCTF1|25909	1533.8107	AHCTF1|25909	1602.2829
AHCYL1|10768	5847.2554	AHCYL1|10768	4206.8843
AHCYL2|23382	363.564	AHCYL2|23382	413.7685
AHCY|191	1911.6945	AHCY|191	2384.1627
AHDC1|27245	821.0024	AHDC1|27245	362.4041
AHI1|54806	322.1957	AHI1|54806	248.2611
AHNAK2|113146	845.6643	AHNAK2|113146	966.6488
AHNAK|79026	43681.782	AHNAK|79026	50689.4953
AHRR|57491	24.6619	AHRR|57491	25.6822
AHR|196	2250.5967	AHR|196	1254.86
AHSA1|10598	1306.2848	AHSA1|10598	1331.1932
AHSA2|130872	467.7804	AHSA2|130872	647.0483
AIDA|64853	1166.3405	AIDA|64853	2172.4915
AIF1L|83543	484.4869	AIF1L|83543	2791.5106
AIF1|199	191.7263	AIF1|199	263.2424
AIFM1|9131	1103.4208	AIFM1|9131	1427.5013
AIFM2|84883	408.1146	AIFM2|84883	3008.3824
AIFM3|150209	10.3421	AIFM3|150209	6.4205
AIG1|51390	287.9873	AIG1|51390	769.0387
AIM1L|55057	5.5688	lowly_expressed	lowly_expressed
AIM1|202	627.685	AIM1|202	1206.3492
AIM2|9447	8.751	AIM2|9447	5.7072
AIMP1|9255	1196.4996	AIMP1|9255	1412.0421
AIMP2|7965	408.3294	AIMP2|7965	287.1339
AIP|9049	541.7661	AIP|9049	1383.2709
AJAP1|55966	20.6842	lowly_expressed	lowly_expressed
AK1|203	389.817	AK1|203	739.0762
AK2|204	2846.4598	AK2|204	3854.4534
AK3L1|205	477.327	AK3L1|205	1145.7107
AK3|50808	1250.5967	AK3|50808	3455.6804
AK5|26289	86.7144	AK5|26289	11.4143
AK7|122481	24.6619	AK7|122481	7.1339
AKAP10|11216	407.319	AKAP10|11216	492.9552
AKAP11|11215	2675.4177	AKAP11|11215	1889.0672
AKAP12|9590	2023.8663	AKAP12|9590	11008.3824
AKAP13|11214	2722.3548	AKAP13|11214	2179.4186
AKAP1|8165	1480.5091	AKAP1|8165	2818.6196
AKAP2|11217	765.4733	AKAP2|11217	1467.4157
AKAP3|10566	5.5688	AKAP3|10566	12.8411
AKAP5|9495	1358.7908	AKAP5|9495	10.7009
AKAP6|9472	73.1901	AKAP6|9472	86.3207
AKAP7|9465	130.4694	AKAP7|9465	477.974
AKAP8L|26993	980.9069	AKAP8L|26993	730.5154
AKAP8|10270	680.1909	AKAP8|10270	594.2572
AKAP9|10142	4721.5593	AKAP9|10142	1828.4287
AKD1|221264	137.6293	AKD1|221264	116.9966
AKIRIN1|79647	1135.2426	AKIRIN1|79647	908.1505
AKIRIN2|55122	337.3111	AKIRIN2|55122	831.104
AKNA|80709	408.9101	AKNA|80709	1023.007
AKR1A1|10327	2182.9753	AKR1A1|10327	1797.0394
AKR1B15|441282	7.9554	lowly_expressed	lowly_expressed
AKR1B1|231	384.2482	AKR1B1|231	858.9263
AKR1C1|1645	332.5378	AKR1C1|1645	2621.7228
AKR1C2|1646	420.0477	AKR1C2|1646	2958.4448
AKR1C3|8644	424.82099999999997	AKR1C3|8644	2101.6586
AKR1E2|83592	28.6396	AKR1E2|83592	56.3581
AKR7A2|8574	869.5306	AKR7A2|8574	1010.8793
AKR7A3|22977	626.0939	lowly_expressed	lowly_expressed
AKR7L|246181	60.4614	AKR7L|246181	9.9875
AKT1S1|84335	782.8162	AKT1S1|84335	1383.2709
AKT1|207	3645.187	AKT1|207	4159.8002
AKT2|208	3025.4574	AKT2|208	4789.7271
AKT3|10000	719.1726	AKT3|10000	966.6488
AKTIP|64400	563.8823	AKTIP|64400	566.7059
ALAD|210	2141.607	ALAD|210	1967.5406
ALAS1|211	1003.9777	ALAS1|211	808.2754
lowly_expressed	lowly_expressed	ALAS2|212	10.7009
ALCAM|214	21019.8886	ALCAM|214	201.1771
ALDH16A1|126133	284.8051	ALDH16A1|126133	672.0171
ALDH18A1|5832	2721.5593	ALDH18A1|5832	530.7651
ALDH1A1|216	338.1066	ALDH1A1|216	2021.0451
ALDH1A2|8854	70.008	ALDH1A2|8854	241.1272
ALDH1A3|220	603.2936	lowly_expressed	lowly_expressed
ALDH1B1|219	1085.9189	ALDH1B1|219	1064.3838
ALDH1L1|10840	802.7049	ALDH1L1|10840	18530.4084
ALDH1L2|160428	1074.7812	ALDH1L2|160428	153.3797
ALDH2|217	6957.8361	ALDH2|217	48261.1022
lowly_expressed	lowly_expressed	ALDH3A1|218	6.4205
ALDH3A2|224	2281.6229	ALDH3A2|224	3030.4976
ALDH3B1|221	49.3238	ALDH3B1|221	149.0993
ALDH3B2|222	1330.9467	lowly_expressed	lowly_expressed
ALDH4A1|8659	572.7924	ALDH4A1|8659	1449.6166
ALDH5A1|7915	190.9308	ALDH5A1|7915	503.6561
ALDH6A1|4329	1053.9777	ALDH6A1|4329	3624.3553
ALDH7A1|501	1715.9905	ALDH7A1|501	2125.2006
ALDH8A1|64577	8.751	ALDH8A1|64577	11.4143
ALDH9A1|223	3201.2729	ALDH9A1|223	5956.1263
ALDOA|226	26214.0016	ALDOA|226	20201.1771
ALDOC|230	242.6412	ALDOC|230	2611.7353
ALG10B|144245	494.829	ALG10B|144245	263.2424
ALG10|84920	176.611	ALG10|84920	60.6385
ALG11|440138	20.6842	ALG11|440138	7.1339
ALG12|79087	463.8027	ALG12|79087	525.058
ALG13|79868	522.673	ALG13|79868	359.5506
ALG14|199857	244.2323	ALG14|199857	254.6816
ALG1|56052	651.4002	ALG1|56052	251.7425
ALG2|85365	1111.3763	ALG2|85365	508.6499
ALG3|10195	451.8695	ALG3|10195	453.0052
ALG5|29880	702.4662	ALG5|29880	601.3911
ALG6|29929	501.1933	ALG6|29929	181.9155
ALG8|79053	854.4153	ALG8|79053	619.9394
