gene_id	TCGA-E2-A15A-01A-11R-A12D-07	gene_id	TCGA-E2-A15A-06A-11R-A12D-07
ADCY10|55811	10.5575	lowly_expressed	lowly_expressed
ADCY1|107	1792.5298	ADCY1|107	2067.3918
ADCY2|108	5.7586	lowly_expressed	lowly_expressed
ADCY3|109	1273.4608	ADCY3|109	1047.7858
ADCY4|196883	87.339	ADCY4|196883	80.0183
ADCY5|111	70.703	ADCY5|111	56.5909
ADCY6|112	1770.775	ADCY6|112	1983.4183
ADCY7|113	579.7009	ADCY7|113	776.4509
ADCY9|115	1364.1526	ADCY9|115	733.8556
ADC|113451	137.8869	ADC|113451	206.2828
ADD1|118	5445.733	ADD1|118	4858.5989
ADD2|119	9.2778	ADD2|119	25.2529
ADD3|120	708.31	ADD3|120	1148.8553
lowly_expressed	lowly_expressed	ADH1B|125	227.5804
ADH5|128	1704.5509	ADH5|128	1862.6303
ADHFE1|137872	40.9502	ADHFE1|137872	55.9824
ADI1|55256	1280.3327	ADI1|55256	1330.7979
lowly_expressed	lowly_expressed	ADIPOQ|9370	29.8167
ADIPOR1|51094	4414.3006	ADIPOR1|51094	3391.4962
ADIPOR2|79602	14135.1676	ADIPOR2|79602	14613.2197
ADK|132	431.2565	ADK|132	521.4878
ADM2|79924	559.2258	ADM2|79924	333.1559
ADM|133	42.8697	ADM|133	17.3424
ADNP2|22850	807.4862	ADNP2|22850	1030.5013
ADNP|23394	5319.0434	ADNP|23394	5864.4558
ADORA1|134	394.4653	ADORA1|134	733.5514
ADORA2A|135	121.2509	ADORA2A|135	152.7223
ADORA2B|136	23.3544	ADORA2B|136	22.8189
ADORA3|140	254.019	ADORA3|140	168.5556
ADO|84890	664.8004	ADO|84890	632.5397
ADPGK|83440	873.0513	ADPGK|83440	748.6149
ADPRHL1|113622	69.1034	ADPRHL1|113622	91.8841
ADPRHL2|54936	682.0763	ADPRHL2|54936	500.7987
ADPRH|141	184.2758	ADPRH|141	232.1442
lowly_expressed	lowly_expressed	ADRA1D|146	6.3893
ADRA2A|150	120.931	ADRA2A|150	186.2022
ADRA2B|151	10.5575	ADRA2B|151	6.085
ADRA2C|152	187.475	ADRA2C|152	136.9134
ADRB2|154	13.7567	ADRB2|154	55.0696
ADRBK1|156	4899.6241	ADRBK1|156	5367.3081
ADRBK2|157	457.4902	ADRBK2|157	680.9158
ADRM1|11047	2291.2901	ADRM1|11047	2131.2847
ADSL|158	1202.2715	ADSL|158	1915.2658
ADSSL1|122622	66.2241	ADSSL1|122622	46.5505
ADSS|159	2305.6866	ADSS|159	2318.0954
AEBP1|165	19888.6667	AEBP1|165	18070.1301
AEBP2|121536	517.9557	AEBP2|121536	606.3741
AEN|64782	512.8369	AEN|64782	376.9681
AES|166	3600.7358	AES|166	3277.7059
AFAP1L1|134265	165.4003	AFAP1L1|134265	97.0564
AFAP1L2|84632	195.1532	AFAP1L2|84632	169.7726
AFAP1|60312	1359.6545	AFAP1|60312	1245.294
AFF1|4299	1902.5834	AFF1|4299	1584.8483
AFF2|2334	8.318	AFF2|2334	9.1276
AFF3|3899	2749.1002	AFF3|3899	2592.8349
AFF4|27125	3243.7015	AFF4|27125	2065.5663
AFG3L1|172	261.6972	AFG3L1|172	393.3977
AFG3L2|10939	1626.6784	AFG3L2|10939	1189.3877
AFMID|125061	257.8581	AFMID|125061	291.1691
AFTPH|54812	3273.7743	AFTPH|54812	2829.8471
AG2|387763	130.5287	AG2|387763	155.777
AGAP11|119385	31.3781	AGAP11|119385	12.1701
AGAP1|116987	596.017	AGAP1|116987	714.0793
AGAP2|116986	298.6163	AGAP2|116986	387.7569
AGAP3|116988	1499.4801	AGAP3|116988	1207.2716
AGAP4|119016	127.3294	AGAP4|119016	133.5666
AGAP5|729092	23.0441	AGAP5|729092	39.7627
AGAP6|414189	59.1858	AGAP6|414189	93.7096
AGAP7|653268	19.8352	AGAP7|653268	13.3871
AGAP8|728404	18.8755	AGAP8|728404	17.9509
AGA|175	483.404	AGA|175	515.707
AGBL2|79841	15.9962	AGBL2|79841	10.3446
AGBL4|84871	8.318	AGBL4|84871	12.7786
AGBL5|60509	714.3917	AGBL5|60509	630.7234
AGER|177	24.3142	AGER|177	60.5461
AGFG1|3267	1586.1793	AGFG1|3267	1823.9903
AGFG2|3268	347.4366	AGFG2|3268	360.5385
AGGF1|55109	818.6835	AGGF1|55109	893.2836
AGK|55750	510.2775	AGK|55750	636.1908
AGL|178	2367.7517	AGL|178	4326.7666
AGMAT|79814	33.272	AGMAT|79814	28.5997
AGPAT1|10554	2924.1974	AGPAT1|10554	3057.1994
AGPAT2|10555	447.2527	AGPAT2|10555	369.0576
AGPAT3|56894	3879.3889	AGPAT3|56894	2461.7023
AGPAT4|56895	127.0095	AGPAT4|56895	50.8101
AGPAT5|55326	606.5744	AGPAT5|55326	544.9152
AGPAT6|137964	6384.0678	AGPAT6|137964	1566.2889
AGPAT9|84803	39.6705	AGPAT9|84803	142.6942
AGPHD1|123688	60.4655	AGPHD1|123688	40.4655
AGPS|8540	794.6893	AGPS|8540	891.7624
AGR2|10551	7959.3698	AGR2|10551	11095.459
AGR3|155465	1712.2291	AGR3|155465	3320.3012
AGRN|375790	3581.8604	AGRN|375790	1716.2851
AGTPBP1|23287	333.36	lowly_expressed	lowly_expressed
AGTR1|185	14.0766	lowly_expressed	lowly_expressed
AGTRAP|57085	613.9327	AGTRAP|57085	603.0273
AGT|183	65.9042	AGT|183	89.1458
AGXT2L2|85007	249.8344	AGXT2L2|85007	348.4901
AGXT|189	44.7893	lowly_expressed	lowly_expressed
AHCTF1|25909	3217.1479	AHCTF1|25909	2628.4323
AHCYL1|10768	2923.1384	AHCYL1|10768	2948.8096
AHCYL2|23382	699.3522	AHCYL2|23382	631.3227
AHCY|191	6587.2191	AHCY|191	7375.6751
AHDC1|27245	369.5113	AHDC1|27245	457.2906
AHI1|54806	314.8044	AHI1|54806	327.9836
AHNAK2|113146	2245.861	AHNAK2|113146	2034.8368
AHNAK|79026	49195.5531	AHNAK|79026	35038.5639
AHRR|57491	263.2968	AHRR|57491	669.3542
AHR|196	1416.3001	AHR|196	1890.0129
AHSA1|10598	1504.5989	AHSA1|10598	1950.8633
AHSA2|130872	334.9596	AHSA2|130872	463.0714
AIDA|64853	899.6881	AIDA|64853	1025.9679
AIF1L|83543	1207.7101	AIF1L|83543	659.9224
AIF1|199	345.5171	AIF1|199	555.564
AIFM1|9131	1468.1276	AIFM1|9131	1734.2359
AIFM2|84883	438.9347	AIFM2|84883	356.279
AIFM3|150209	29.4521	AIFM3|150209	19.2166
AIG1|51390	696.7928	AIG1|51390	1045.7139
AIM1L|55057	8.6379	AIM1L|55057	16.7339
AIM1|202	1591.9379	AIM1|202	3172.1305
AIM2|9447	35.5115	AIM2|9447	128.6986
AIMP1|9255	1786.2657	AIMP1|9255	1696.9742
AIMP2|7965	477.3926	AIMP2|7965	565.6013
AIP|9049	1718.6275	AIP|9049	2130.6762
AK1|203	359.2738	AK1|203	234.5782
AK2|204	2448.6923	AK2|204	1818.5137
AK3L1|205	21.4349	AK3L1|205	8.5191
AK3|50808	882.0283	AK3|50808	1038.1076
AK5|26289	18.8755	AK5|26289	21.9061
AK7|122481	10.2375	lowly_expressed	lowly_expressed
AKAP10|11216	676.6376	AKAP10|11216	490.4541
AKAP11|11215	3472.4466	AKAP11|11215	1421.1607
AKAP12|9590	738.7027	AKAP12|9590	586.902
AKAP13|11214	2499.88	AKAP13|11214	2491.2147
AKAP1|8165	1374.3901	AKAP1|8165	1331.1022
AKAP2|11217	412.2691	AKAP2|11217	497.7257
AKAP3|10566	14.3965	AKAP3|10566	9.7361
AKAP5|9495	91.818	AKAP5|9495	93.7096
AKAP6|9472	32.9521	AKAP6|9472	18.2551
AKAP7|9465	92.1379	AKAP7|9465	116.8327
AKAP8L|26993	508.0381	AKAP8L|26993	476.4585
AKAP8|10270	408.8619	AKAP8|10270	434.1675
AKAP9|10142	3535.7914	AKAP9|10142	2261.8088
AKD1|221264	167.6398	AKD1|221264	205.6743
AKIRIN1|79647	1093.8175	AKIRIN1|79647	944.398
AKIRIN2|55122	549.948	AKIRIN2|55122	884.7646
AKNA|80709	521.7948	AKNA|80709	1255.6477
AKR1A1|10327	1350.3959	AKR1A1|10327	1459.1922
AKR1B1|231	590.8982	AKR1B1|231	565.9086
AKR1C1|1645	12.1571	AKR1C1|1645	21.6019
AKR1C2|1646	5.7586	AKR1C2|1646	18.2551
AKR1C3|8644	157.7221	AKR1C3|8644	709.2112
AKR7A2|8574	1125.17	AKR7A2|8574	1251.3881
AKR7A3|22977	982.4842	AKR7A3|22977	781.9274
AKR7L|246181	43.1896	AKR7L|246181	58.7206
AKT1S1|84335	1072.7026	AKT1S1|84335	693.9986
AKT1|207	3746.6208	AKT1|207	3509.2417
AKT2|208	3377.7493	AKT2|208	2769.9095
AKT3|10000	367.5918	AKT3|10000	374.2299
AKTIP|64400	692.1123	AKTIP|64400	728.4582
ALAD|210	1114.9324	ALAD|210	1167.1104
ALAS1|211	644.9652	ALAS1|211	869.2477
ALB|213	23.3544	lowly_expressed	lowly_expressed
ALCAM|214	379.7489	ALCAM|214	304.2519
ALDH16A1|126133	628.6491	ALDH16A1|126133	431.125
ALDH18A1|5832	2826.8416	ALDH18A1|5832	2612.9155
ALDH1A1|216	373.9902	ALDH1A1|216	330.4176
ALDH1A2|8854	23.6743	lowly_expressed	lowly_expressed
ALDH1A3|220	255.8522	ALDH1A3|220	82.7778
ALDH1B1|219	749.5801	ALDH1B1|219	501.1029
ALDH1L1|10840	5.4387	lowly_expressed	lowly_expressed
ALDH1L2|160428	319.9232	ALDH1L2|160428	145.7367
ALDH2|217	3051.1077	ALDH2|217	2149.8441
ALDH3A2|224	2213.8687	ALDH3A2|224	1277.5538
ALDH3B1|221	764.6165	ALDH3B1|221	363.8853
ALDH3B2|222	3268.0157	ALDH3B2|222	2823.7621
ALDH4A1|8659	1294.0894	ALDH4A1|8659	562.5618
ALDH5A1|7915	2243.9415	ALDH5A1|7915	3148.7031
ALDH6A1|4329	279.0018	ALDH6A1|4329	160.7332
ALDH7A1|501	1535.6314	ALDH7A1|501	1445.8051
