gene_id	TCGA-BH-A0BQ-01A-21R-A115-07	gene_id	TCGA-BH-A0BQ-11A-33R-A115-07
ADH1A|124	19.1328	ADH1A|124	88.7668
ADH1B|125	1441.4961	ADH1B|125	10061.5027
ADH1C|126	44.7988	ADH1C|126	120.0465
lowly_expressed	lowly_expressed	ADH4|127	19.4442
ADH5|128	1882.9514	ADH5|128	2654.1266
ADH6|130	16.7996	lowly_expressed	lowly_expressed
ADHFE1|137872	34.0658	ADHFE1|137872	133.9956
ADI1|55256	1257.1675	ADI1|55256	1049.5614
ADIPOQ|9370	871.7108	ADIPOQ|9370	11447.1098
ADIPOR1|51094	4026.7626	ADIPOR1|51094	2127.021
ADIPOR2|79602	4162.5591	ADIPOR2|79602	2900.5601
ADK|132	446.5885	ADK|132	399.4505
ADM2|79924	493.2539	ADM2|79924	91.7257
ADM|133	157.7293	ADM|133	229.9482
ADNP2|22850	901.1101	ADNP2|22850	984.0431
ADNP|23394	2665.0645	ADNP|23394	3623.7979
ADORA1|134	373.7903	ADORA1|134	319.9831
ADORA2A|135	105.4639	ADORA2A|135	128.4836
ADORA2B|136	40.1323	ADORA2B|136	168.2342
ADORA3|140	225.3942	ADORA3|140	155.9759
ADO|84890	717.7148	ADO|84890	597.2736
ADPGK|83440	911.2038	ADPGK|83440	808.2004
ADPRHL1|113622	263.1932	ADPRHL1|113622	52.8374
ADPRHL2|54936	881.9772	ADPRHL2|54936	515.6927
ADPRH|141	203.9281	ADPRH|141	393.9554
lowly_expressed	lowly_expressed	ADRA1A|148	26.63
ADRA1B|147	9.3331	ADRA1B|147	16.4853
ADRA1D|146	5.1332	lowly_expressed	lowly_expressed
ADRA2A|150	956.642	ADRA2A|150	702.5256
ADRA2B|151	12.5997	ADRA2B|151	22.403
ADRA2C|152	32.1992	ADRA2C|152	52.8374
ADRB1|153	538.0528	ADRB1|153	10.9902
ADRB2|154	75.1314	ADRB2|154	247.2789
ADRBK1|156	1592.2255	ADRBK1|156	1279.9324
ADRBK2|157	446.5885	ADRBK2|157	1416.0414
ADRM1|11047	1497.9613	ADRM1|11047	686.0404
ADSL|158	931.9093	ADSL|158	898.6579
ADSSL1|122622	113.8637	ADSSL1|122622	96.7981
ADSS|159	1994.0152	ADSS|159	1249.0753
