gene_id	TCGA-E2-A15I-01A-21R-A137-07	gene_id	TCGA-E2-A15I-11A-32R-A137-07
AFMID|125061	1087.9999	AFMID|125061	231.5369
AFP|174	14.4831	lowly_expressed	lowly_expressed
AFTPH|54812	2570.5765	AFTPH|54812	1307.7844
AG2|387763	142.0052	AG2|387763	633.9321
AGAP11|119385	98.2097	AGAP11|119385	372.0612
AGAP1|116987	590.6285	AGAP1|116987	396.008
AGAP2|116986	88.7214	AGAP2|116986	102.6747
AGAP3|116988	1481.8701	AGAP3|116988	774.4511
AGAP4|119016	257.5169	AGAP4|119016	122.4218
AGAP5|729092	127.2607	AGAP5|729092	45.6154
AGAP6|414189	203.8234	AGAP6|414189	64.4045
AGAP7|653268	8.8312	lowly_expressed	lowly_expressed
AGAP8|728404	62.8779	AGAP8|728404	50.0333
AGA|175	780.6753	AGA|175	407.7179
AGBL2|79841	83.3662	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AGBL3|340351	5.3227
AGBL4|84871	10.9506	AGBL4|84871	10.1131
AGBL5|60509	645.3959	AGBL5|60509	699.4118
AGER|177	36.7377	AGER|177	20.2262
AGFG1|3267	1995.4908	AGFG1|3267	2196.1411
AGFG2|3268	1581.8389	AGFG2|3268	391.7498
AGGF1|55109	1108.135	AGGF1|55109	950.6321
AGK|55750	682.1194	AGK|55750	580.7053
AGL|178	2050.9505	AGL|178	1773.5196
AGMAT|79814	20.4883	AGMAT|79814	7.984
AGPAT1|10554	1472.4207	AGPAT1|10554	1959.4997
AGPAT2|10555	658.4519	AGPAT2|10555	5422.7545
AGPAT3|56894	2394.6596	AGPAT3|56894	1757.0193
AGPAT4|56895	109.5065	AGPAT4|56895	180.9714
AGPAT5|55326	898.3064	AGPAT5|55326	417.831
AGPAT6|137964	1385.4337	AGPAT6|137964	1426.4804
AGPAT9|84803	59.3455	AGPAT9|84803	1034.1983
AGPHD1|123688	40.9766	AGPHD1|123688	102.7279
AGPS|8540	3076.4258	AGPS|8540	1759.1484
AGR2|10551	5842.701	AGR2|10551	163.4065
AGR3|155465	3050.2856	AGR3|155465	13.3067
AGRN|375790	4573.4855	AGRN|375790	713.2402
AGTPBP1|23287	240.9143	AGTPBP1|23287	738.2568
AGTR1|185	211.5948	AGTR1|185	1624.4844
AGTRAP|57085	535.1688	AGTRAP|57085	363.5396
AGT|183	58.2857	AGT|183	411.4438
AGXT2L1|64850	24.0208	lowly_expressed	lowly_expressed
AGXT2L2|85007	528.8492	AGXT2L2|85007	687.2016
AGXT2|64902	12.3636	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AGXT|189	7.4518
AHCTF1|25909	1374.483	AHCTF1|25909	1926.2808
AHCYL1|10768	4691.8231	AHCYL1|10768	5081.0379
AHCYL2|23382	928.3324	AHCYL2|23382	836.1943
AHCY|191	2169.6414	AHCY|191	1596.2741
AHDC1|27245	533.0493	AHDC1|27245	437.525
AHI1|54806	527.3974	AHI1|54806	509.3812
AHNAK2|113146	759.1272	AHNAK2|113146	843.646
AHNAK|79026	46131.9041	AHNAK|79026	107041.9162
AHRR|57491	78.4208	AHRR|57491	12.7745
AHR|196	2527.4804	AHR|196	2951.4305
AHSA1|10598	1923.0752	AHSA1|10598	1045.3759
AHSA2|130872	1021.9428	AHSA2|130872	513.6394
AIDA|64853	653.57	AIDA|64853	2522.012
AIF1L|83543	199.9377	AIF1L|83543	2413.3067
AIF1|199	289.6623	AIF1|199	184.165
AIFM1|9131	695.5428	AIFM1|9131	803.1936
AIFM2|84883	363.1376	AIFM2|84883	2063.6061
AIFM3|150209	9.8909	lowly_expressed	lowly_expressed
AIG1|51390	459.2208	AIG1|51390	1504.1916
AIM1L|55057	6.3584	lowly_expressed	lowly_expressed
AIM1|202	2746.1401	AIM1|202	2374.4511
AIM2|9447	33.9117	AIM2|9447	5.3227
AIMP1|9255	1044.3634	AIMP1|9255	1283.4864
AIMP2|7965	278.0758	AIMP2|7965	209.6713
AIP|9049	587.4493	AIP|9049	633.9321
AK1|203	344.0623	AK1|203	476.9128
AK2|204	1801.9116	AK2|204	2277.5782
AK3L1|205	146.2441	AK3L1|205	900.0665
AK3|50808	1486.109	AK3|50808	4880.3726
AK5|26289	1274.161	AK5|26289	175.6487
AK7|122481	117.2779	AK7|122481	12.7745
AKAP10|11216	618.8883	AKAP10|11216	734.5309
AKAP11|11215	2649.3505	AKAP11|11215	3804.6574
AKAP12|9590	829.4233	AKAP12|9590	6149.8337
AKAP13|11214	4400.7478	AKAP13|11214	3174.4511
AKAP14|158798	28.9662	lowly_expressed	lowly_expressed
AKAP1|8165	1795.1999	AKAP1|8165	4190.02
AKAP2|11217	535.2995	AKAP2|11217	2434.821
AKAP3|10566	32.1455	AKAP3|10566	47.3719
AKAP5|9495	772.5506	AKAP5|9495	29.8071
AKAP6|9472	158.6078	AKAP6|9472	193.7458
AKAP7|9465	142.3584	AKAP7|9465	391.2176
AKAP8L|26993	1061.1532	AKAP8L|26993	332.1357
AKAP8|10270	826.5974	AKAP8|10270	423.1537
AKAP9|10142	7719.8541	AKAP9|10142	3115.3693
AKD1|221264	311.5636	AKD1|221264	165.5356
AKIRIN1|79647	1431.3558	AKIRIN1|79647	1453.0938
AKIRIN2|55122	501.2571	AKIRIN2|55122	864.9368
AKNA|80709	795.1584	AKNA|80709	694.6108
AKR1A1|10327	1580.0726	AKR1A1|10327	1281.7033
AKR1B1|231	458.8675	AKR1B1|231	728.1437
AKR1C1|1645	29.6727	AKR1C1|1645	5206.5203
AKR1C2|1646	13.0701	AKR1C2|1646	5471.191
AKR1C3|8644	226.4312	AKR1C3|8644	3427.8109999999997
AKR1E2|83592	56.5195	AKR1E2|83592	65.0699
AKR7A2|8574	771.8441	AKR7A2|8574	1035.7951
AKR7A3|22977	104.561	AKR7A3|22977	16.5003
AKR7L|246181	30.7325	lowly_expressed	lowly_expressed
AKT1S1|84335	831.5428	AKT1S1|84335	928.809
AKT1|207	8054.3788	AKT1|207	2212.1091
AKT2|208	2279.1479	AKT2|208	3896.7399
AKT3|10000	438.026	AKT3|10000	1397.7379
AKTIP|64400	392.5348	AKTIP|64400	768.3832
ALAD|210	1617.1636	ALAD|210	1411.5768
ALAS1|211	897.6	ALAS1|211	825.5489
ALB|213	17.6623	ALB|213	162.8743
ALCAM|214	8072.0411	ALCAM|214	839.9202
ALDH16A1|126133	228.1974	ALDH16A1|126133	214.5043
ALDH18A1|5832	2174.9401	ALDH18A1|5832	899.002
ALDH1A1|216	467.6987	ALDH1A1|216	7058.4165
ALDH1A2|8854	85.1325	ALDH1A2|8854	345.9747
ALDH1A3|220	426.4147	ALDH1A3|220	557.7006
ALDH1B1|219	711.0857	ALDH1B1|219	753.1603
ALDH1L1|10840	8.1247	ALDH1L1|10840	5029.9401
ALDH1L2|160428	294.961	ALDH1L2|160428	425.815
ALDH2|217	1475.8649	ALDH2|217	27300.0665
lowly_expressed	lowly_expressed	ALDH3A1|218	9.5808
ALDH3A2|224	1577.9532	ALDH3A2|224	4896.3407
ALDH3B1|221	150.1299	ALDH3B1|221	62.2754
ALDH3B2|222	2125.8389	ALDH3B2|222	90.4857
ALDH4A1|8659	617.122	ALDH4A1|8659	1265.2029
ALDH5A1|7915	262.4623	ALDH5A1|7915	1297.1391
ALDH6A1|4329	1651.2519	ALDH6A1|4329	3180.5828
ALDH7A1|501	666.5766	ALDH7A1|501	1758.6161
ALDH8A1|64577	6.7117	ALDH8A1|64577	8.5163
ALDH9A1|223	2295.3973	ALDH9A1|223	6695.4092
ALDOA|226	14219.5941	ALDOA|226	13885.2961
lowly_expressed	lowly_expressed	ALDOB|229	6.9195
ALDOC|230	44.8623	ALDOC|230	1688.8889
ALG10B|144245	587.8026	ALG10B|144245	522.1557
ALG10|84920	186.8675	ALG10|84920	149.0353
ALG11|440138	11.6571	ALG11|440138	10.6454
ALG12|79087	307.3247	ALG12|79087	393.3466
