gene_id	TCGA-AC-A23H-01A-11R-A157-07	gene_id	TCGA-AC-A23H-11A-12R-A157-07
ALG1L|200810	152.5552	ALG1L|200810	24.7929
ALG1|56052	711.9125	ALG1|56052	391.1978
ALG2|85365	1076.5454	ALG2|85365	1106.3601
ALG3|10195	800.1189999999999	ALG3|10195	642.6335
ALG5|29880	365.0971	lowly_expressed	lowly_expressed
ALG6|29929	275.5337	ALG6|29929	293.0495
ALG8|79053	817.9722	ALG8|79053	852.6702
ALG9|79796	500.4835	ALG9|79796	784.6856
ALKBH1|8846	282.3774	ALKBH1|8846	216.4773
ALKBH2|121642	228.81799999999998	ALKBH2|121642	195.7241
ALKBH3|221120	41.6574	ALKBH3|221120	330.2621
ALKBH4|54784	210.8428	ALKBH4|54784	161.9215
ALKBH5|54890	2212.2413	lowly_expressed	lowly_expressed
ALKBH6|84964	80.0417	ALKBH6|84964	37.5704
ALKBH7|84266	443.3534	ALKBH7|84266	307.7198
ALKBH8|91801	238.6372	ALKBH8|91801	312.3714
lowly_expressed	lowly_expressed	ALK|238	10.3766
ALMS1P|200420	27.3748	ALMS1P|200420	8.2297
ALMS1|7840	1418.7309	lowly_expressed	lowly_expressed
ALOX12P2|245	45.5256	ALOX12P2|245	11.0922
ALOX15B|247	7.4388	ALOX15B|247	203.59599999999998
ALOX15|246	232.3886	ALOX15|246	22.5423
ALOX5AP|241	331.1761	ALOX5AP|241	508.0955
ALOX5|240	191.0288	ALOX5|240	482.6908
ALOXE3|59344	47.6084	lowly_expressed	lowly_expressed
ALPK1|80216	482.3328	ALPK1|80216	902.4063
