gene_id	TCGA-BH-A0DH-01A-11R-A084-07	gene_id	TCGA-BH-A0DH-11A-31R-A089-07
ADAM22|53616	112.9093	ADAM22|53616	9.6558
ADAM23|8745	6.7746	ADAM23|8745	42.4013
ADAM28|10863	95.9729	ADAM28|10863	75.1469
ADAM29|11086	46.6692	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ADAM32|203102	7.9765
ADAM33|80332	11.6673	ADAM33|80332	670.0252
ADAM6|8755	198123.3384	ADAM6|8755	38199.9706
ADAM8|101	311.2533	ADAM8|101	66.3308
ADAM9|8754	1390.2898	ADAM9|8754	691.016
ADAMDEC1|27299	22.9582	ADAMDEC1|27299	14.6935
ADAMTS10|81794	48.551	ADAMTS10|81794	153.2326
ADAMTS12|81792	109.522	ADAMTS12|81792	66.3308
ADAMTS13|11093	41.0237	ADAMTS13|11093	45.3401
ADAMTS14|140766	33.4964	ADAMTS14|140766	8.8161
ADAMTS15|170689	119.3075	ADAMTS15|170689	162.4685
ADAMTS16|170690	151.6748	ADAMTS16|170690	83.5432
ADAMTS17|170691	137.7493	ADAMTS17|170691	55.4156
lowly_expressed	lowly_expressed	ADAMTS18|170692	30.2267
ADAMTS19|171019	78.2838	lowly_expressed	lowly_expressed
ADAMTS1|9510	464.4336	ADAMTS1|9510	5232.9975
ADAMTS2|9509	163.7185	ADAMTS2|9509	563.8119
ADAMTS3|9508	7.9037	ADAMTS3|9508	42.4013
ADAMTS4|9507	239.7441	ADAMTS4|9507	110.8312
ADAMTS5|11096	136.2439	ADAMTS5|11096	1607.4727
ADAMTS6|11174	19.5709	ADAMTS6|11174	18.0521
ADAMTS7|11173	107.2638	ADAMTS7|11173	92.7792
ADAMTS8|11095	25.5928	ADAMTS8|11095	121.7464
ADAMTS9|56999	96.3493	ADAMTS9|56999	354.3241
ADAMTSL1|92949	68.8747	ADAMTSL1|92949	89.4207
ADAMTSL2|9719	102.7475	ADAMTSL2|9719	88.1612
ADAMTSL3|57188	582.612	ADAMTSL3|57188	118.8077
