gene_id	TCGA-E2-A15E-01A-11R-A12D-07	gene_id	TCGA-E2-A15E-06A-11R-A12D-07
ACTR8|93973	589.0688	ACTR8|93973	832.7684
ACVR1B|91	1275.8097	ACVR1B|91	1757.8154
ACVR1C|130399	56.6802	ACVR1C|130399	5.2731
ACVR1|90	950.4049	ACVR1|90	404.8964
ACVR2A|92	510.6275	ACVR2A|92	111.1111
ACVR2B|93	507.085	ACVR2B|93	554.8023
ACVRL1|94	356.7814	ACVRL1|94	148.0226
ACY1|95	1321.8623	ACY1|95	1634.275
ACY3|91703	22.2672	lowly_expressed	lowly_expressed
ACYP1|97	66.8016	ACYP1|97	43.3145
ACYP2|98	82.996	ACYP2|98	63.6535
ADAL|161823	321.8623	ADAL|161823	403.3898
ADAM10|102	2415.9919	ADAM10|102	1672.693
ADAM11|4185	8.0972	lowly_expressed	lowly_expressed
ADAM12|8038	2294.5344	ADAM12|8038	448.2109
ADAM15|8751	4552.166	ADAM15|8751	3910.3992
ADAM17|6868	912.4494	ADAM17|6868	557.8154
ADAM19|8728	319.8381	ADAM19|8728	236.1582
ADAM21|8747	6.5789	lowly_expressed	lowly_expressed
ADAM22|53616	45.0405	ADAM22|53616	5.2731
ADAM23|8745	14.6761	lowly_expressed	lowly_expressed
ADAM28|10863	56.6802	ADAM28|10863	167.6083
lowly_expressed	lowly_expressed	ADAM32|203102	13.1827
ADAM33|80332	80.9717	ADAM33|80332	5.2731
ADAM6|8755	7670.8553	ADAM6|8755	12658.0904
ADAM8|101	145.2429	ADAM8|101	193.9736
ADAM9|8754	2442.8138	ADAM9|8754	2223.7288
ADAMDEC1|27299	16.1943	ADAMDEC1|27299	165.725
ADAMTS10|81794	67.8138	ADAMTS10|81794	42.1846
ADAMTS12|81792	381.0729	ADAMTS12|81792	141.9962
ADAMTS13|11093	161.9433	ADAMTS13|11093	216.1959
ADAMTS14|140766	106.2753	ADAMTS14|140766	17.7024
ADAMTS15|170689	413.9676	ADAMTS15|170689	685.1224
ADAMTS16|170690	39.4737	ADAMTS16|170690	28.6252
ADAMTS17|170691	118.4211	ADAMTS17|170691	112.2411
ADAMTS18|170692	21.7611	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ADAMTS19|171019	291.9021
ADAMTS1|9510	2535.9312	ADAMTS1|9510	790.2072
lowly_expressed	lowly_expressed	ADAMTS20|80070	11.6761
ADAMTS2|9509	592.6113	ADAMTS2|9509	109.9812
ADAMTS3|9508	38.9676	ADAMTS3|9508	22.9755
ADAMTS4|9507	456.9838	ADAMTS4|9507	151.7891
ADAMTS5|11096	936.2348	ADAMTS5|11096	9.4162
ADAMTS6|11174	66.2955	ADAMTS6|11174	27.8719
ADAMTS7|11173	117.4089	ADAMTS7|11173	38.4181
ADAMTS8|11095	90.081	ADAMTS8|11095	49.3409
ADAMTS9|56999	448.8866	ADAMTS9|56999	25.6121
ADAMTSL1|92949	74.8988	ADAMTSL1|92949	10.5461
ADAMTSL2|9719	64.2713	ADAMTSL2|9719	108.8512
ADAMTSL3|57188	121.4575	ADAMTSL3|57188	102.0716
ADAMTSL4|54507	177.6316	ADAMTSL4|54507	41.0546
ADAMTSL5|339366	115.3846	ADAMTSL5|339366	174.7646
ADAP1|11033	213.1832	ADAP1|11033	259.9397
ADAP2|55803	139.6761	ADAP2|55803	258.7571
ADARB1|104	554.6559	ADARB1|104	179.661
ADARB2|105	6.5789	lowly_expressed	lowly_expressed
ADAR|103	9467.1053	ADAR|103	12396.9868
ADAT1|23536	412.4494	ADAT1|23536	317.1375
ADAT2|134637	141.1943	ADAT2|134637	77.9661
ADAT3|113179	20.2429	ADAT3|113179	16.5725
ADA|100	125.5061	ADA|100	56.4972
ADCK1|57143	254.5547	ADCK1|57143	350.2825
ADCK2|90956	1474.1903	ADCK2|90956	2254.2373
ADCK4|79934	721.6599	ADCK4|79934	716.0075
ADCK5|203054	196.3563	ADCK5|203054	254.9906
ADCY10|55811	13.664	lowly_expressed	lowly_expressed
ADCY1|107	1117.4089	ADCY1|107	17942.7495
ADCY2|108	124.4939	ADCY2|108	38.0414
ADCY3|109	927.1913	ADCY3|109	376.4972
ADCY4|196883	146.2551	ADCY4|196883	93.032
ADCY5|111	183.7045	ADCY5|111	33.145
ADCY6|112	3214.0688	ADCY6|112	6748.0226
ADCY7|113	263.1579	ADCY7|113	319.3974
ADCY9|115	1079.9595	ADCY9|115	1397.7401
ADCYAP1|116	66.8016	ADCYAP1|116	13.1827
ADC|113451	167.5101	ADC|113451	116.3842
ADD1|118	4550.1012	ADD1|118	4883.2392
ADD2|119	22.7733	ADD2|119	18.8324
ADD3|120	4105.7692	ADD3|120	4498.6817
ADH1A|124	5.5668	lowly_expressed	lowly_expressed
ADH1B|125	1033.9069	ADH1B|125	221.8456
ADH1C|126	96.6599	ADH1C|126	39.548
ADH5|128	2232.2874	ADH5|128	2219.209
ADHFE1|137872	116.3968	ADHFE1|137872	293.7853
ADI1|55256	1358.8057	ADI1|55256	1428.6252
ADIPOQ|9370	934.2105	ADIPOQ|9370	8.2863
