gene_id	TCGA-E2-A1LH-01A-11R-A14D-07	gene_id	TCGA-E2-A1LH-11A-22R-A14D-07
ACVR1|90	568.7826	ACVR1|90	1057.0196
ACVR2A|92	183.6774	ACVR2A|92	620.0287
ACVR2B|93	220.7216	ACVR2B|93	589.8419
ACVRL1|94	824.2331	ACVRL1|94	302.827
ACY1|95	621.2618	ACY1|95	617.8246
ACY3|91703	21.6091	ACY3|91703	57.4988
ACYP1|97	291.7229	ACYP1|97	87.6857
ACYP2|98	205.2865	ACYP2|98	190.7044
ADAD2|161931	9.9711	lowly_expressed	lowly_expressed
ADAL|161823	148.9485	ADAL|161823	193.5793
ADAM10|102	607.3702	ADAM10|102	1879.2525
lowly_expressed	lowly_expressed	ADAM11|4185	21.5621
ADAM12|8038	1394.5591	ADAM12|8038	140.8721
ADAM15|8751	8894.6247	ADAM15|8751	2172.9995
ADAM17|6868	407.486	ADAM17|6868	739.3388
ADAM19|8728	686.8609	ADAM19|8728	96.3105
lowly_expressed	lowly_expressed	ADAM22|53616	30.666
ADAM28|10863	110.3608	ADAM28|10863	117.8725
ADAM32|203102	18.5221	ADAM32|203102	26.3536
ADAM33|80332	24.6961	ADAM33|80332	65.1653
ADAM6|8755	349667.7677	ADAM6|8755	31452.6977
ADAM8|101	418.2906	ADAM8|101	124.5807
ADAM9|8754	1628.4005	ADAM9|8754	1655.9655
ADAMDEC1|27299	588.0764	ADAMDEC1|27299	105.8936
ADAMTS10|81794	79.4906	ADAMTS10|81794	78.5817
ADAMTS12|81792	30.8702	ADAMTS12|81792	23.9578
ADAMTS13|11093	172.8729	ADAMTS13|11093	95.8313
ADAMTS14|140766	84.1212	lowly_expressed	lowly_expressed
ADAMTS15|170689	21.6091	ADAMTS15|170689	435.0743
ADAMTS16|170690	5.4023	ADAMTS16|170690	7.6665
ADAMTS17|170691	101.8715	ADAMTS17|170691	49.8323
ADAMTS18|170692	10.0328	ADAMTS18|170692	89.6023
lowly_expressed	lowly_expressed	ADAMTS19|171019	8.1457
ADAMTS1|9510	757.0905	ADAMTS1|9510	1268.3277
ADAMTS2|9509	272.4291	ADAMTS2|9509	114.0393
ADAMTS3|9508	17.7503	ADAMTS3|9508	34.4993
ADAMTS4|9507	1375.2653	ADAMTS4|9507	96.3105
ADAMTS5|11096	209.917	ADAMTS5|11096	1230.4744
ADAMTS6|11174	30.0984	lowly_expressed	lowly_expressed
ADAMTS7|11173	125.7959	ADAMTS7|11173	34.4993
ADAMTS8|11095	58.6533	ADAMTS8|11095	34.9784
ADAMTS9|56999	541.7712	ADAMTS9|56999	379.9713
ADAMTSL1|92949	42.4465	ADAMTSL1|92949	29.2286
ADAMTSL2|9719	165.1553	ADAMTSL2|9719	21.0829
ADAMTSL3|57188	79.4906	ADAMTSL3|57188	48.3948
ADAMTSL4|54507	389.7357	ADAMTSL4|54507	148.0594
ADAMTSL5|339366	13.8916	ADAMTSL5|339366	32.1035
ADAP1|11033	590.0675	ADAP1|11033	156.9478
ADAP2|55803	260.081	ADAP2|55803	165.7882
ADARB1|104	520.9338	ADARB1|104	696.6938
lowly_expressed	lowly_expressed	ADARB2|105	8.1457
ADAR|103	7271.4644	ADAR|103	7177.7671
ADAT1|23536	75.6319	ADAT1|23536	264.0153
ADAT2|134637	117.3066	ADAT2|134637	130.8098
ADAT3|113179	84.1212	ADAT3|113179	29.7077
ADA|100	330.3106	ADA|100	39.2908
ADCK1|57143	128.8829	ADCK1|57143	172.9756
ADCK2|90956	913.7565	ADCK2|90956	900.3354
ADCK4|79934	622.8053	ADCK4|79934	518.9267
ADCK5|203054	477.7156	ADCK5|203054	109.7269
ADCY1|107	138.9157	ADCY1|107	305.702
