gene_id	TCGA-AC-A6IX-01A-12R-A32P-07	gene_id	TCGA-AC-A6IX-06A-11R-A32P-07
ACPT|93650	5.8336	ACPT|93650	16.9261
ACRBP|84519	27.7094	ACRBP|84519	38.4422
ACRC|93953	20.7821	ACRC|93953	26.6801
ACR|49	6.1982	ACR|49	6.0245
ACSF2|80221	851.3353	ACSF2|80221	418.8482
ACSF3|197322	479.8104	ACSF3|197322	496.0195
ACSL1|2180	4653.3589	ACSL1|2180	2756.6521
ACSL3|2181	3470.6043	ACSL3|2181	3731.4782
ACSL4|2182	669.7657	ACSL4|2182	577.4941
ACSL5|51703	525.3851	ACSL5|51703	683.3537
ACSL6|23305	17.1361	ACSL6|23305	20.9424
ACSM1|116285	57.2418	ACSM1|116285	61.1059
ACSM3|6296	44.5575	ACSM3|6296	76.8013
ACSM5|54988	85.6804	ACSM5|54988	30.6964
ACSS1|84532	1590.01	ACSS1|84532	3417.6289
ACSS2|55902	860.8149	ACSS2|55902	772.2872
ACSS3|79611	483.0918	ACSS3|79611	329.6278
ACTA1|58	130.1613	lowly_expressed	lowly_expressed
ACTA2|59	4975.736	ACTA2|59	1630.8542
ACTB|60	82870.4767	ACTB|60	80162.9492
ACTG1|71	71265.7005	ACTG1|71	52049.3438
ACTG2|72	74.0133	ACTG2|72	19.2211
ACTL6A|86	1102.1785	ACTL6A|86	1113.6771
ACTN1|87	5923.9814	ACTN1|87	3000.2152
ACTN4|81	9226.4333	ACTN4|81	8069.9017
ACTR10|55860	1085.0424	ACTR10|55860	1140.6441
ACTR1A|10121	2940.844	ACTR1A|10121	2081.0443
ACTR1B|10120	1763.5585	ACTR1B|10120	1710.3923
ACTR2|10097	6062.1639	ACTR2|10097	6230.2231
ACTR3B|57180	163.7043	ACTR3B|57180	249.3007
ACTR3C|653857	16.7715	ACTR3C|653857	15.2048
ACTR3|10096	2960.1677	ACTR3|10096	3977.6232
ACTR5|79913	228.9673	ACTR5|79913	179.8752
ACTR6|64431	585.1791	ACTR6|64431	595.2808
ACTR8|93973	346.3677	ACTR8|93973	371.2257
ACVR1B|91	1281.1959	ACVR1B|91	1844.9401
ACVR1C|130399	379.9107	ACVR1C|130399	125.9413
ACVR1|90	1042.7491	ACVR1|90	870.114
ACVR2A|92	502.0509	ACVR2A|92	345.1194
ACVR2B|93	363.5038	ACVR2B|93	294.915
ACVRL1|94	757.6338	ACVRL1|94	567.1663
ACY1|95	484.0616	ACY1|95	300.3658
ACY3|91703	18.2299	ACY3|91703	74.3025
ACYP1|97	37.189	ACYP1|97	45.6143
ACYP2|98	110.8377	ACYP2|98	113.3185
ADAL|161823	189.2261	ADAL|161823	154.0558
ADAM10|102	1400.4193	ADAM10|102	1501.2551
ADAM11|4185	10.9379	ADAM11|4185	11.7622
ADAM12|8038	2453.0125	ADAM12|8038	205.1208
ADAM15|8751	3254.6167	ADAM15|8751	4103.3895
