gene_id	TCGA-BH-A1EN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1EN-11A-23R-A13Q-07
ADCY1|107	98.1197	ADCY1|107	297.9351
ADCY2|108	231.8038	ADCY2|108	97.9351
ADCY3|109	615.3438	ADCY3|109	2028.9204
ADCY4|196883	81.2901	ADCY4|196883	1064.6018
ADCY5|111	5.0806	ADCY5|111	666.3717
ADCY6|112	1753.7704	ADCY6|112	3465.1917
ADCY7|113	401.0523	ADCY7|113	547.1976
lowly_expressed	lowly_expressed	ADCY8|114	7.6696
ADCY9|115	387.0806	ADCY9|115	908.8496
ADCYAP1R1|117	8.256	ADCYAP1R1|117	55.4572
ADCYAP1|116	11.4314	ADCYAP1|116	23.0088
ADC|113451	78.1147	ADC|113451	94.9853
ADD1|118	5307.9895	ADD1|118	7658.1121
ADD2|119	20.6401	ADD2|119	117.1091
ADD3|120	1051.3731	ADD3|120	3604.4248
lowly_expressed	lowly_expressed	ADH1A|124	562.5074
ADH1B|125	61.9202	ADH1B|125	73106.7847
lowly_expressed	lowly_expressed	ADH1C|126	426.2537
lowly_expressed	lowly_expressed	ADH4|127	22.4189
ADH5|128	1832.8377	ADH5|128	4330.0885
ADHFE1|137872	8.8911	ADHFE1|137872	624.7788
ADI1|55256	3691.7136	ADI1|55256	1687.0206
ADIPOQ|9370	155.2768	ADIPOQ|9370	57259.882
ADIPOR1|51094	8580.8686	ADIPOR1|51094	2141.2979
ADIPOR2|79602	2208.1693	ADIPOR2|79602	5228.3186
ADK|132	542.6749	ADK|132	305.6047
ADM2|79924	479.8021	ADM2|79924	46.0177
ADM|133	48.5835	ADM|133	1556.9322
ADNP2|22850	614.4388	ADNP2|22850	648.6726
ADNP|23394	3684.0927	ADNP|23394	2574.9263
ADORA1|134	22.2278	ADORA1|134	483.4808
ADORA2A|135	37.4697	ADORA2A|135	95.8702
ADORA2B|136	434.394	ADORA2B|136	58.1121
ADORA3|140	231.1687	ADORA3|140	138.6431
ADO|84890	629.6807	ADO|84890	607.6696
ADPGK|83440	862.4244	ADPGK|83440	746.941
ADPRHL1|113622	92.0864	ADPRHL1|113622	63.1268
ADPRHL2|54936	352.7863	ADPRHL2|54936	507.9646
ADPRH|141	134.6367	ADPRH|141	607.9646
lowly_expressed	lowly_expressed	ADRA1A|148	42.4779
ADRA1B|147	6.6683	ADRA1B|147	51.9174
lowly_expressed	lowly_expressed	ADRA1D|146	20.944
ADRA2A|150	60.9676	ADRA2A|150	2213.2743
lowly_expressed	lowly_expressed	ADRA2B|151	41.8879
ADRA2C|152	70.8113	ADRA2C|152	181.7109
ADRB1|153	31.4364	ADRB1|153	102.0649
ADRB2|154	15.2419	ADRB2|154	476.9912
ADRBK1|156	2454.58	ADRBK1|156	1475.2212
ADRBK2|157	153.6891	ADRBK2|157	3987.3156
ADRM1|11047	1559.4362	ADRM1|11047	1156.0472
ADSL|158	1141.5543	ADSL|158	759.292
ADSSL1|122622	147.0208	ADSSL1|122622	201.1799
ADSS|159	2830.2291	ADSS|159	1196.7552
AEBP1|165	11835.0129	AEBP1|165	14635.9882
AEBP2|121536	451.5411	AEBP2|121536	742.4779
AEN|64782	991.0406	AEN|64782	384.3658
AES|166	8766.3116	AES|166	5035.9882
AFAP1L1|134265	202.9077	AFAP1L1|134265	1566.0767
AFAP1L2|84632	99.3898	AFAP1L2|84632	951.6224
AFAP1|60312	2319.9337	AFAP1|60312	1706.7758
AFF1|4299	1594.6831	AFF1|4299	3268.4366
AFF2|2334	6.9859	AFF2|2334	64.0118
AFF3|3899	355.9617	AFF3|3899	768.4366
AFF4|27125	4506.8374	AFF4|27125	3015.0442
AFG3L1|172	65.0956	AFG3L1|172	229.4985
AFG3L2|10939	1027.4021	AFG3L2|10939	1240.3481
AFMID|125061	161.9451	AFMID|125061	374.0413
lowly_expressed	lowly_expressed	AFP|174	23.8938
AFTPH|54812	3109.6638	AFTPH|54812	1305.8997
AG2|387763	69.2236	AG2|387763	339.233
lowly_expressed	lowly_expressed	AGAP11|119385	451.3304
AGAP1|116987	1410.8278	AGAP1|116987	441.2979
AGAP2|116986	28.3594	AGAP2|116986	133.5133
AGAP3|116988	1133.2983	AGAP3|116988	1348.6726
AGAP4|119016	96.532	AGAP4|119016	233.9233
AGAP5|729092	27.5878	AGAP5|729092	59.7876
AGAP6|414189	51.1239	AGAP6|414189	118.2891
lowly_expressed	lowly_expressed	AGAP7|653268	5.0147
AGAP8|728404	15.5594	AGAP8|728404	30.0885
AGA|175	792.896	AGA|175	445.7227
AGBL3|340351	6.9859	AGBL3|340351	8.2596
lowly_expressed	lowly_expressed	AGBL4|84871	12.6844
AGBL5|60509	894.515	AGBL5|60509	570.2094
lowly_expressed	lowly_expressed	AGER|177	52.2124
AGFG1|3267	3196.9872	AGFG1|3267	1897.6401
AGFG2|3268	343.5777	AGFG2|3268	542.7729
AGGF1|55109	1211.7305	AGGF1|55109	921.5339
AGK|55750	714.7813	AGK|55750	495.5752
AGL|178	376.2842	AGL|178	1021.8289
AGMAT|79814	10.4788	AGMAT|79814	7.0796
AGPAT1|10554	2006.1031	AGPAT1|10554	1846.7198
AGPAT2|10555	278.1646	AGPAT2|10555	5651.6224
AGPAT3|56894	2824.8309	AGPAT3|56894	1953.0973
AGPAT4|56895	72.7165	AGPAT4|56895	330.3835
AGPAT5|55326	434.7115	AGPAT5|55326	543.3628
AGPAT6|137964	1203.157	AGPAT6|137964	1668.1416
AGPAT9|84803	37.1521	AGPAT9|84803	938.9381
AGPHD1|123688	77.1621	AGPHD1|123688	53.9823
AGPS|8540	2257.7055	AGPS|8540	1402.0649
AGR2|10551	75598.8397	AGR2|10551	1151.6224
AGR3|155465	1461.9516	AGR3|155465	190.2655
AGRN|375790	2342.4885	AGRN|375790	2216.2242
AGTPBP1|23287	426.4555	AGTPBP1|23287	492.6254
AGTR1|185	22.2278	AGTR1|185	689.0855
AGTRAP|57085	565.8553	AGTRAP|57085	518.2891
AGT|183	44.4555	AGT|183	99.115
AGXT2L2|85007	227.0217	AGXT2L2|85007	665.6844
