gene_id	TCGA-BH-A1ES-01A-11R-A137-07	gene_id	TCGA-BH-A1ES-06A-12R-A24H-07
ACTA1|58	172.1311	lowly_expressed	lowly_expressed
ACTA2|59	9681.1885	ACTA2|59	2779.1793
ACTB|60	67898.3607	ACTB|60	47041.0367
ACTG1|71	102688.5246	ACTG1|71	82074.874
ACTG2|72	2465.5738	ACTG2|72	85.6731
ACTL6A|86	1663.1148	ACTL6A|86	566.5947
ACTL8|81569	7.377	ACTL8|81569	5.0396
ACTN1|87	6295.9016	ACTN1|87	5123.1102
lowly_expressed	lowly_expressed	ACTN2|88	20.1584
ACTN4|81	8265.3033	ACTN4|81	7412.977
ACTR10|55860	1363.1148	ACTR10|55860	1068.7545
ACTR1A|10121	3312.2951	ACTR1A|10121	2721.3823
ACTR1B|10120	954.0984	ACTR1B|10120	1776.8179
ACTR2|10097	6328.6885	ACTR2|10097	5052.5558
ACTR3B|57180	163.9344	ACTR3B|57180	160.5472
ACTR3C|653857	35.2459	ACTR3C|653857	87.113
ACTR3|10096	3515.5738	ACTR3|10096	2791.2167
ACTR5|79913	241.8033	ACTR5|79913	129.5896
ACTR6|64431	752.459	ACTR6|64431	740.4608
ACTR8|93973	719.6721	ACTR8|93973	285.0972
ACVR1B|91	1823.7705	ACVR1B|91	2517.6386
ACVR1C|130399	6.5574	ACVR1C|130399	10.4392
ACVR1|90	1222.9508	ACVR1|90	654.7876
ACVR2A|92	340.9836	ACVR2A|92	105.4716
ACVR2B|93	572.9508	ACVR2B|93	353.1317
ACVRL1|94	136.8852	ACVRL1|94	145.4284
ACY1|95	481.0246	ACY1|95	1259.5392
lowly_expressed	lowly_expressed	ACY3|91703	17.6386
ACYP1|97	194.2623	ACYP1|97	233.2613
ACYP2|98	133.6066	ACYP2|98	164.5068
lowly_expressed	lowly_expressed	ADAD2|161931	14.8632
ADAL|161823	201.6393	ADAL|161823	153.3477
ADAM10|102	1789.3443	ADAM10|102	1188.6249
ADAM11|4185	11.4754	ADAM11|4185	8.9993
ADAM12|8038	1717.2131	ADAM12|8038	55.0756
ADAM15|8751	1647.541	ADAM15|8751	3176.6739
ADAM17|6868	736.0656	ADAM17|6868	508.2793
ADAM19|8728	668.0328	ADAM19|8728	95.0324
ADAM22|53616	73.7705	ADAM22|53616	29.1577
ADAM23|8745	23.7705	ADAM23|8745	70.1944
ADAM28|10863	576.2295	ADAM28|10863	555.4356
ADAM29|11086	5.7377	ADAM29|11086	5.3996
ADAM2|2515	9.8361	lowly_expressed	lowly_expressed
ADAM32|203102	76.2295	ADAM32|203102	125.9899
ADAM33|80332	54.918	ADAM33|80332	13.0958
ADAM6|8755	1950.7541	ADAM6|8755	4601.2995
ADAM8|101	45.082	ADAM8|101	494.2405
ADAM9|8754	11976.2295	ADAM9|8754	8663.067
ADAMDEC1|27299	13.9344	ADAMDEC1|27299	8.2793
