gene_id	TCGA-E2-A1LS-01A-12R-A157-07	gene_id	TCGA-E2-A1LS-11A-32R-A157-07
ALDH7A1|501	2501.001	ALDH7A1|501	1987.852
ALDH8A1|64577	5.005	ALDH8A1|64577	13.7119
ALDH9A1|223	19827.3273	ALDH9A1|223	9884.4126
ALDOA|226	11150.6507	ALDOA|226	17121.3205
ALDOB|229	8.008	ALDOB|229	9.2648
ALDOC|230	484.4845	ALDOC|230	3251.5685
ALG10B|144245	420.4204	ALG10B|144245	290.5436
ALG10|84920	145.1451	ALG10|84920	102.6538
ALG11|440138	21.5215	ALG11|440138	13.3413
ALG12|79087	579.5796	ALG12|79087	329.4557
ALG13|79868	506.5065	ALG13|79868	423.9565
ALG14|199857	161.6617	ALG14|199857	339.0911
ALG1L|200810	69.0641	ALG1L|200810	9.4983
ALG1|56052	528.3283	ALG1|56052	323.7375
ALG2|85365	1994.995	ALG2|85365	664.4703
ALG3|10195	2400.4004	ALG3|10195	445.8214
ALG5|29880	1424.4244	ALG5|29880	618.5169999999999
ALG6|29929	474.975	ALG6|29929	214.94299999999998
ALG8|79053	10163.6637	ALG8|79053	987.2554
ALG9|79796	491.99199999999996	ALG9|79796	1088.7974
ALKBH1|8846	129.6296	ALKBH1|8846	214.5724
ALKBH2|121642	380.3804	ALKBH2|121642	140.8247
ALKBH3|221120	597.0971	ALKBH3|221120	314.2615
ALKBH4|54784	281.7518	ALKBH4|54784	128.0653
ALKBH5|54890	1285.2853	ALKBH5|54890	2104.7847
ALKBH6|84964	94.0941	ALKBH6|84964	46.6945
ALKBH7|84266	411.4114	ALKBH7|84266	241.9962
ALKBH8|91801	106.1061	ALKBH8|91801	203.4547
ALK|238	10.01	ALK|238	25.2002
ALMS1|7840	642.1421	ALMS1|7840	732.2885
