gene_id	TCGA-E2-A1L7-01A-11R-A144-07	gene_id	TCGA-E2-A1L7-11A-33R-A144-07
ACTR2|10097	6070.1201	ACTR2|10097	4467.0195
ACTR3B|57180	79.0974	ACTR3B|57180	210.5049
ACTR3C|653857	44.1587	ACTR3C|653857	52.9316
ACTR3|10096	4531.3599	ACTR3|10096	3271.1726
ACTR5|79913	309.596	ACTR5|79913	215.798
ACTR6|64431	674.997	ACTR6|64431	602.6059
ACTR8|93973	477.4961	ACTR8|93973	456.8404
ACVR1B|91	1686.7645	ACVR1B|91	1081.8404
ACVR1C|130399	28.6304	ACVR1C|130399	116.0423
ACVR1|90	651.2192	ACVR1|90	1220.684
ACVR2A|92	259.129	ACVR2A|92	566.3681
ACVR2B|93	1089.4092	ACVR2B|93	239.8208
ACVRL1|94	378.9882	ACVRL1|94	993.0782
ACY1|95	269.8047	ACY1|95	588.1393
lowly_expressed	lowly_expressed	ACY3|91703	44.7883
ACYP1|97	180.5168	ACYP1|97	75.3257
ACYP2|98	173.2379	ACYP2|98	144.9511
lowly_expressed	lowly_expressed	ADAD2|161931	8.4446
ADAL|161823	139.7549	ADAL|161823	180.3746
ADAM10|102	1181.6086	ADAM10|102	1903.9088
ADAM11|4185	7.2789	ADAM11|4185	21.1726
ADAM12|8038	1406.2841	ADAM12|8038	598.5342
ADAM15|8751	4438.7335	ADAM15|8751	3219.5684
ADAM17|6868	655.1013	ADAM17|6868	991.8567
ADAM19|8728	406.1628	ADAM19|8728	142.9153
lowly_expressed	lowly_expressed	ADAM21|8747	5.7003
ADAM22|53616	73.2743	ADAM22|53616	52.1173
ADAM23|8745	15.0431	ADAM23|8745	56.1889
ADAM28|10863	288.2446	ADAM28|10863	146.987
ADAM29|11086	8.7347	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ADAM32|203102	20.7655
ADAM33|80332	20.3809	ADAM33|80332	287.8664
ADAM6|8755	22495.9359	ADAM6|8755	66260.6596
ADAM8|101	248.9385	ADAM8|101	138.0293
ADAM9|8754	573.5776	ADAM9|8754	1825.3257
ADAMDEC1|27299	644.4256	ADAMDEC1|27299	111.5635
ADAMTS10|81794	75.7006	ADAMTS10|81794	196.2541
