gene_id	TCGA-E2-A15M-01A-11R-A12D-07	gene_id	TCGA-E2-A15M-11A-22R-A12D-07
AK7|122481	5.5693	AK7|122481	29.8885
AKAP10|11216	592.6155	AKAP10|11216	532.0152
AKAP11|11215	2218.6469	AKAP11|11215	2143.6947
AKAP12|9590	2261.1386	AKAP12|9590	4648.8102
AKAP13|11214	3916.4604	AKAP13|11214	3608.6907
AKAP1|8165	1053.4241	AKAP1|8165	2118.4044
AKAP2|11217	1094.3111	AKAP2|11217	2610.0471
AKAP3|10566	28.2591	AKAP3|10566	38.6251
AKAP5|9495	691.2129	AKAP5|9495	60.2368
AKAP6|9472	82.7145	AKAP6|9472	507.6446
AKAP7|9465	193.8944	AKAP7|9465	193.1256
AKAP8L|26993	577.1452	AKAP8L|26993	597.7699
AKAP8|10270	662.335	AKAP8|10270	525.5777
AKAP9|10142	3221.5347	AKAP9|10142	2524.8879
AKD1|221264	156.1469	AKD1|221264	134.2683
AKIRIN1|79647	1368.6056	AKIRIN1|79647	1698.1262
AKIRIN2|55122	963.0776	AKIRIN2|55122	843.3153
lowly_expressed	lowly_expressed	AKNAD1|254268	6.4375
AKNA|80709	1123.3498	AKNA|80709	713.1854
AKR1A1|10327	1468.2343	AKR1A1|10327	1313.7142
AKR1B1|231	992.9868	AKR1B1|231	895.2753
AKR1C1|1645	668.1106	AKR1C1|1645	1453.5004
AKR1C2|1646	479.9917	AKR1C2|1646	1148.6378
AKR1C3|8644	633.2508	AKR1C3|8644	1463.6165
AKR1E2|83592	10.9323	AKR1E2|83592	15.1742
AKR7A2|8574	643.5644	AKR7A2|8574	841.9359
AKR7A3|22977	174.7112	AKR7A3|22977	98.4021
AKR7L|246181	25.7838	AKR7L|246181	9.1965
AKT1S1|84335	833.3333	AKT1S1|84335	749.5114
AKT1|207	1682.1370000000002	AKT1|207	2652.2589
AKT2|208	1594.4719	AKT2|208	2159.3287
AKT3|10000	1213.0776	AKT3|10000	1835.1535
AKTIP|64400	851.1819	AKTIP|64400	743.6763
ALAD|210	1173.4736	ALAD|210	1670.9967
ALAS1|211	988.4488	ALAS1|211	1037.3606
lowly_expressed	lowly_expressed	ALAS2|212	59.3172
ALB|213	13.2013	ALB|213	601.4484
ALCAM|214	2835.1898	ALCAM|214	3785.2627
ALDH16A1|126133	552.8053	ALDH16A1|126133	392.6888
ALDH18A1|5832	2120.2558	ALDH18A1|5832	1204.2764
ALDH1A1|216	1161.5099	ALDH1A1|216	2825.1523
ALDH1A2|8854	65.1815	ALDH1A2|8854	469.9391
ALDH1A3|220	1093.3292	ALDH1A3|220	1483.6418
ALDH1B1|219	449.8762	ALDH1B1|219	766.0651
ALDH1L1|10840	261.9637	ALDH1L1|10840	579.8368
ALDH1L2|160428	714.5215	ALDH1L2|160428	302.5635
ALDH2|217	4071.3696	ALDH2|217	7410.9668
lowly_expressed	lowly_expressed	ALDH3A1|218	50.5805
ALDH3A2|224	1381.3944	ALDH3A2|224	2569.4907
ALDH3B1|221	179.868	ALDH3B1|221	182.5497
ALDH3B2|222	2520.6271	ALDH3B2|222	1405.219
ALDH4A1|8659	330.033	ALDH4A1|8659	971.6059
ALDH5A1|7915	339.7277	ALDH5A1|7915	450.1667
ALDH6A1|4329	447.6361	ALDH6A1|4329	603.4073
ALDH7A1|501	1227.3102	ALDH7A1|501	1829.1758
ALDH8A1|64577	57.961999999999996	ALDH8A1|64577	10.1161
ALDH9A1|223	3542.0792	ALDH9A1|223	2768.5941
ALDOA|226	14703.7954	ALDOA|226	12007.817
lowly_expressed	lowly_expressed	ALDOB|229	5.5179
ALDOC|230	221.7409	ALDOC|230	982.6417
ALG10B|144245	255.7756	ALG10B|144245	349.9253
ALG10|84920	171.4109	ALG10|84920	118.1745
ALG11|440138	25.165	ALG11|440138	6.4375
ALG12|79087	204.2079	ALG12|79087	371.537
ALG13|79868	555.4868	ALG13|79868	390.8495
ALG14|199857	169.967	ALG14|199857	168.755
lowly_expressed	lowly_expressed	ALG1L|200810	8.2722
ALG1|56052	604.703	ALG1|56052	391.7462
ALG2|85365	762.7888	ALG2|85365	797.7928
ALG3|10195	527.8465	ALG3|10195	418.8987
ALG5|29880	566.0066	ALG5|29880	544.8902
ALG6|29929	572.6073	ALG6|29929	268.5366
ALG8|79053	831.8894	ALG8|79053	585.8145
ALG9|79796	508.4571	ALG9|79796	571.1001
ALKBH1|8846	283.2096	ALKBH1|8846	210.5989
ALKBH2|121642	156.5594	ALKBH2|121642	136.1076
ALKBH3|221120	261.5512	ALKBH3|221120	356.3628
ALKBH4|54784	103.0549	ALKBH4|54784	135.2937
ALKBH5|54890	1412.0668	ALKBH5|54890	2452.6543
ALKBH6|84964	45.7921	ALKBH6|84964	37.7055
ALKBH7|84266	174.9175	ALKBH7|84266	319.577
ALKBH8|91801	236.3861	ALKBH8|91801	222.0945
ALK|238	6.8069	ALK|238	8.2768
