gene_id	TCGA-E9-A1NF-01A-11R-A14D-07	gene_id	TCGA-E9-A1NF-11A-73R-A14D-07
ACTG1|71	93175.0779	ACTG1|71	32561.0092
ACTG2|72	225.9908	ACTG2|72	707.7982
ACTL6A|86	1235.8291	ACTL6A|86	566.5138
ACTL8|81569	22.9087	removed	removed
ACTN1|87	13567.497	ACTN1|87	5663.7615
ACTN2|88	5.5724	ACTN2|88	7.7982
ACTN4|81	9598.0088	ACTN4|81	9597.5092
ACTR10|55860	1725.5791	ACTR10|55860	1064.2202
ACTR1A|10121	3610.2804	ACTR1A|10121	3344.4954
ACTR1B|10120	702.7385	ACTR1B|10120	1275.6881
ACTR2|10097	7641.5848	ACTR2|10097	6901.3761
ACTR3B|57180	99.0645	ACTR3B|57180	66.9725
ACTR3C|653857	44.579	ACTR3C|653857	9.1743
ACTR3|10096	5875.1416	ACTR3|10096	3565.5963
ACTR5|79913	245.8037	ACTR5|79913	144.4954
ACTR6|64431	494.084	ACTR6|64431	366.5138
ACTR8|93973	411.1175	ACTR8|93973	439.4495
ACVR1B|91	993.7404	ACVR1B|91	903.6697
ACVR1C|130399	17.9554	ACVR1C|130399	1953.211
ACVR1|90	1750.3452	ACVR1|90	1420.1835
ACVR2A|92	803.6604	ACVR2A|92	367.4312
ACVR2B|93	184.5076	ACVR2B|93	286.2385
ACVRL1|94	952.2571	ACVRL1|94	2317.4312
ACY1|95	609.2464	ACY1|95	429.8165
ACY3|91703	5.5724	removed	removed
ACYP1|97	112.0667	ACYP1|97	46.3303
ACYP2|98	142.4052	ACYP2|98	156.422
ADAL|161823	218.561	ADAL|161823	247.7064
ADAM10|102	1967.0487	ADAM10|102	1604.1284
ADAM11|4185	12.3831	removed	removed
ADAM12|8038	7353.0595	ADAM12|8038	1586.6972
ADAM15|8751	4431.9458	ADAM15|8751	3178.3119
ADAM17|6868	557.2376	ADAM17|6868	822.0183
ADAM19|8728	671.7809	ADAM19|8728	118.8073
ADAM21|8747	6.1915	ADAM21|8747	5.5046
ADAM22|53616	8.6681	ADAM22|53616	174.7706
ADAM23|8745	53.8663	ADAM23|8745	66.055
ADAM28|10863	112.0667	ADAM28|10863	60.5505
removed	removed	ADAM32|203102	13.7615
ADAM33|80332	178.9352	ADAM33|80332	965.8853
ADAM6|8755	3691.2532	ADAM6|8755	367.5872
ADAM8|101	307.719	ADAM8|101	71.5596
ADAM9|8754	1912.5632	ADAM9|8754	4036.6972
ADAMDEC1|27299	103.3985	ADAMDEC1|27299	8.7156
ADAMTS10|81794	192.5565	ADAMTS10|81794	448.6239
ADAMTS12|81792	1807.3072	ADAMTS12|81792	533.4862
ADAMTS13|11093	43.3407	ADAMTS13|11093	33.4862
ADAMTS14|140766	495.3223	ADAMTS14|140766	24.7706
ADAMTS15|170689	82.9665	ADAMTS15|170689	741.7431
ADAMTS16|170690	1423.4325	ADAMTS16|170690	216.9725
ADAMTS17|170691	629.6785	ADAMTS17|170691	93.1193
ADAMTS18|170692	11.7639	ADAMTS18|170692	506.8807
ADAMTS1|9510	619.772	ADAMTS1|9510	4233.945
ADAMTS2|9509	1377.6151	ADAMTS2|9509	1877.5229
ADAMTS3|9508	44.579	ADAMTS3|9508	72.4771
ADAMTS4|9507	1384.4258	ADAMTS4|9507	628.4404
ADAMTS5|11096	799.3264	ADAMTS5|11096	6513.3028
ADAMTS6|11174	105.8751	ADAMTS6|11174	131.6514
ADAMTS7|11173	940.4932	ADAMTS7|11173	394.9541
ADAMTS8|11095	9.2873	ADAMTS8|11095	12.3853
ADAMTS9|56999	535.5672	ADAMTS9|56999	1361.9266
ADAMTSL1|92949	580.7654	ADAMTSL1|92949	315.1376
ADAMTSL2|9719	941.1124	ADAMTSL2|9719	165.1376
ADAMTSL3|57188	668.066	ADAMTSL3|57188	835.7798
ADAMTSL4|54507	187.6033	ADAMTSL4|54507	3111.4679
ADAMTSL5|339366	147.9775	ADAMTSL5|339366	42.6606
ADAP1|11033	114.3575	ADAP1|11033	189.6193
ADAP2|55803	410.4984	ADAP2|55803	633.4862
ADARB1|104	945.4464	ADARB1|104	894.4954
ADARB2|105	13.0022	removed	removed
ADAR|103	6970.4231	ADAR|103	6085.3211
ADAT1|23536	179.5543	ADAT1|23536	289.4495
ADAT2|134637	157.884	ADAT2|134637	123.3945
ADAT3|113179	35.9109	ADAT3|113179	18.8073
ADA|100	188.2225	ADA|100	222.4771
ADCK1|57143	340.5341	ADCK1|57143	211.9266
ADCK2|90956	742.3643	ADCK2|90956	500
ADCK4|79934	429.0729	ADCK4|79934	349.5413
ADCK5|203054	129.403	ADCK5|203054	64.6789
ADCY10|55811	9.2873	removed	removed
ADCY1|107	1795.5433	ADCY1|107	221.1009
ADCY2|108	71.2026	ADCY2|108	79.8165
ADCY3|109	722.409	ADCY3|109	1866.9083
ADCY4|196883	178.316	ADCY4|196883	921.5596
removed	removed	ADCY5|111	828.4404
ADCY6|112	927.491	ADCY6|112	4034.4037
ADCY7|113	983.2148	ADCY7|113	2114.2202
removed	removed	ADCY8|114	33.4862
ADCY9|115	438.3602	ADCY9|115	1089.4495
ADCYAP1R1|117	7.4298	ADCYAP1R1|117	75.2294
ADC|113451	264.9974	ADC|113451	82.5688
ADD1|118	4716.0874	ADD1|118	8648.1651
ADD2|119	16.098	ADD2|119	82.5688
ADD3|120	2209.7566	ADD3|120	4157.3394
removed	removed	ADH1A|124	592.1697
removed	removed	ADH1B|125	52085.7752
removed	removed	ADH1C|126	329.3578
ADH5|128	1962.7146	ADH5|128	4293.1193
ADHFE1|137872	119.4965	ADHFE1|137872	361.4679
ADI1|55256	648.8722	ADI1|55256	1701.8349
removed	removed	ADIPOQ|9370	76495.4128
ADIPOR1|51094	3763.2112	ADIPOR1|51094	2164.6789
ADIPOR2|79602	1766.4432	ADIPOR2|79602	4955.5046
ADK|132	331.2468	ADK|132	381.6514
ADM2|79924	148.5967	removed	removed
ADM|133	381.3982	ADM|133	1884.4037
ADNP2|22850	470.5562	ADNP2|22850	582.1101
ADNP|23394	2376.3087	ADNP|23394	1950.4587
ADORA1|134	120.1157	ADORA1|134	184.4037
ADORA2A|135	89.158	ADORA2A|135	49.0826
ADORA2B|136	28.481	ADORA2B|136	46.789
ADORA3|140	650.1105	ADORA3|140	335.3211
ADO|84890	740.5068	ADO|84890	529.3578
ADPGK|83440	1154.2743	ADPGK|83440	904.4404
ADPRHL1|113622	246.4228	ADPRHL1|113622	52.2936
ADPRHL2|54936	890.3418	ADPRHL2|54936	435.7798
ADPRH|141	356.0129	ADPRH|141	622.0183
removed	removed	ADRA1A|148	114.6789
ADRA1B|147	16.7171	ADRA1B|147	306.422
ADRA1D|146	16.098	ADRA1D|146	11.0092
ADRA2A|150	1002.4085	ADRA2A|150	1830.2752
ADRA2B|151	19.1937	ADRA2B|151	40.8257
ADRA2C|152	38.3875	ADRA2C|152	123.8532
removed	removed	ADRB1|153	183.0275
ADRB2|154	123.8306	ADRB2|154	829.8165
removed	removed	ADRB3|155	10.5505
ADRBK1|156	1511.3522	ADRBK1|156	1679.3578
ADRBK2|157	507.7054	ADRBK2|157	3341.2844
ADRM1|11047	1719.3875	ADRM1|11047	1033.4862
ADSL|158	747.9367	ADSL|158	578.4404
ADSSL1|122622	399.3536	ADSSL1|122622	153.6697
ADSS|159	1270.5017	ADSS|159	866.055
AEBP1|165	127297.212	AEBP1|165	11620.1835
AEBP2|121536	590.6718	AEBP2|121536	586.2385
AEN|64782	582.6229	AEN|64782	214.6789
AES|166	6789.6304	AES|166	6597.7064
AFAP1L1|134265	503.9904	AFAP1L1|134265	1195.4128
AFAP1L2|84632	562.1908	AFAP1L2|84632	412.844
AFAP1|60312	1390.605	AFAP1|60312	1898.6101
removed	removed	AFARP1|246182	5.0459
AFF1|4299	1642.6126	AFF1|4299	4821.1009
AFF2|2334	32.1959	AFF2|2334	53.6697
AFF3|3899	584.4803	AFF3|3899	505.0459
AFF4|27125	2801.0476	AFF4|27125	3376.6055
AFG3L1|172	213.6077	AFG3L1|172	214.6789
AFG3L2|10939	2058.3304	AFG3L2|10939	1079.3073
AFMID|125061	346.1065	AFMID|125061	283.945
AFP|174	33.4343	removed	removed
AFTPH|54812	1512.5905	AFTPH|54812	985.7798
AG2|387763	306.4807	AG2|387763	805.0459
AGAP11|119385	46.5541	AGAP11|119385	573.8853
AGAP1|116987	160.9797	AGAP1|116987	563.3028
AGAP2|116986	180.7741	AGAP2|116986	103.633
AGAP3|116988	1506.3989	AGAP3|116988	1127.9817
AGAP4|119016	132.4987	AGAP4|119016	157.3394
AGAP5|729092	35.075	AGAP5|729092	44.2569
AGAP6|414189	106.4943	AGAP6|414189	116.9725
AGAP7|653268	8.049	AGAP7|653268	6.8807
AGAP8|728404	36.53	AGAP8|728404	32.5688
AGA|175	1074.2302	AGA|175	427.5229
AGBL3|340351	15.4788	AGBL3|340351	7.3394
AGBL5|60509	499.0496	AGBL5|60509	528.9037
AGER|177	16.098	AGER|177	38.0734
AGFG1|3267	2002.3404	AGFG1|3267	3364.6789
AGFG2|3268	238.3739	AGFG2|3268	352.2936
AGGF1|55109	964.021	AGGF1|55109	908.2569
AGK|55750	646.3956	AGK|55750	386.2385
AGL|178	694.6895	AGL|178	1321.1009
AGMAT|79814	9.9064	removed	removed
AGPAT1|10554	1533.2021	AGPAT1|10554	1788.1468
AGPAT2|10555	1016.0299	AGPAT2|10555	5424.7706
AGPAT3|56894	1300.8402	AGPAT3|56894	2367.8899
AGPAT4|56895	313.2914	AGPAT4|56895	420.1835
AGPAT5|55326	515.7543	AGPAT5|55326	437.156
AGPAT6|137964	1372.6619	AGPAT6|137964	1764.2202
AGPAT9|84803	24.147	AGPAT9|84803	107.7982
AGPHD1|123688	82.9665	AGPHD1|123688	42.2018
AGPS|8540	1092.8048	AGPS|8540	2135.7798
AGR2|10551	1976.336	removed	removed
AGR3|155465	2035.7747	removed	removed
AGRN|375790	4787.29	AGRN|375790	1561.0092
AGTPBP1|23287	266.2357	AGTPBP1|23287	542.6606
AGTR1|185	119.4965	AGTR1|185	772.9358
AGTRAP|57085	920.6803	AGTRAP|57085	513.3028
AGT|183	451.9816	AGT|183	249.0826
AGXT2L2|85007	377.8133	AGXT2L2|85007	850.6239
AHCTF1|25909	1136.1455	AHCTF1|25909	1892.6606
AHCYL1|10768	4543.9629	AHCYL1|10768	5789.4495
AHCYL2|23382	437.7411	AHCYL2|23382	670.6422
AHCY|191	3727.9195	AHCY|191	1229.3578
AHDC1|27245	1064.3238	AHDC1|27245	568.8073
AHI1|54806	334.3426	AHI1|54806	352.2936
AHNAK2|113146	2296.438	AHNAK2|113146	3902.7523
AHNAK|79026	33675.7249	AHNAK|79026	232235.7798
AHRR|57491	78.6324	AHRR|57491	25.2294
AHR|196	1351.6107	AHR|196	3538.0734
AHSA1|10598	3261.6973	AHSA1|10598	1277.5229
AHSA2|130872	1072.3728	AHSA2|130872	517.8899
removed	removed	AICDA|57379	7.3394
AIDA|64853	1795.661	AIDA|64853	1840.4771
AIF1L|83543	872.3864	AIF1L|83543	2349.0826
AIF1|199	602.4357	AIF1|199	803.6697
AIFM1|9131	1216.0162	AIFM1|9131	751.8349
AIFM2|84883	362.2044	AIFM2|84883	3322.4771
AIFM3|150209	38.5732	AIFM3|150209	10.0917
AIG1|51390	1022.2214	AIG1|51390	971.5596
AIM1L|55057	6.8107	removed	removed
AIM1|202	1906.9909	AIM1|202	1750
AIM2|9447	22.9087	removed	removed
AIMP1|9255	770.8577	AIMP1|9255	762.6376
AIMP2|7965	332.4108	AIMP2|7965	297.6239
AIP|9049	933.6825	AIP|9049	765.1376
AJAP1|55966	13.6214	AJAP1|55966	53.211
AK1|203	666.2085	AK1|203	756.422
AK2|204	2376.9279	AK2|204	1741.2798
AK3L1|205	430.9304	AK3L1|205	577.5229
AK3|50808	1204.8715	AK3|50808	3110.0917
AK5|26289	217.9418	AK5|26289	26.1468
AK7|122481	16.7171	AK7|122481	16.5138
AKAP10|11216	442.6943	AKAP10|11216	609.1743
AKAP11|11215	1385.045	AKAP11|11215	3048.6239
AKAP12|9590	1122.5242	AKAP12|9590	10743.578
AKAP13|11214	2723.6535	AKAP13|11214	5760.0917
AKAP1|8165	1100.8538	AKAP1|8165	2987.6147
AKAP2|11217	881.4756	AKAP2|11217	3355.3532
AKAP3|10566	13.6214	AKAP3|10566	16.055
AKAP5|9495	239.6122	AKAP5|9495	23.8532
AKAP6|9472	44.579	AKAP6|9472	194.9541
AKAP7|9465	61.9153	AKAP7|9465	213.7615
AKAP8L|26993	868.0523	AKAP8L|26993	516.5138
AKAP8|10270	695.9278	AKAP8|10270	580.2752
AKAP9|10142	1525.5927	AKAP9|10142	1908.7156
AKD1|221264	81.7282	AKD1|221264	134.4037
AKIRIN1|79647	811.7094	AKIRIN1|79647	1252.2936
AKIRIN2|55122	564.0483	AKIRIN2|55122	759.1743
AKNAD1|254268	17.9554	removed	removed
AKNA|80709	686.6405	AKNA|80709	1209.1743
AKR1A1|10327	3065.4259	AKR1A1|10327	1435.3211
AKR1B10|57016	30.9576	removed	removed
removed	removed	AKR1B15|441282	48.1651
AKR1B1|231	1388.1407	AKR1B1|231	1557.7982
AKR1C1|1645	22.9087	AKR1C1|1645	8292.6606
AKR1C2|1646	30.3385	AKR1C2|1646	9469.2661
AKR1C3|8644	269.3315	AKR1C3|8644	4247.7064
AKR1E2|83592	30.3385	AKR1E2|83592	30.2752
AKR7A2|8574	1120.6667	AKR7A2|8574	866.5138
AKR7A3|22977	563.4291	AKR7A3|22977	5.9633
AKR7L|246181	33.4343	AKR7L|246181	7.3394
AKT1S1|84335	1305.1743	AKT1S1|84335	785.7798
AKT1|207	6652.7976	AKT1|207	3370.6422
AKT2|208	1598.6527	AKT2|208	4496.789000000001
AKT3|10000	1072.9919	AKT3|10000	1637.156
AKTIP|64400	480.2274	AKTIP|64400	648.9771
ALAD|210	1237.0674	ALAD|210	2068.8073
ALAS1|211	754.7474	ALAS1|211	1179.3578
removed	removed	ALAS2|212	11.4679
ALB|213	82.9665	removed	removed
ALCAM|214	10014.7978	ALCAM|214	1022.9358
ALDH16A1|126133	638.9658	ALDH16A1|126133	596.3303
ALDH18A1|5832	3391.7194	ALDH18A1|5832	1044.9541
