gene_id	TCGA-AC-A2FB-01A-11R-A17B-07	gene_id	TCGA-AC-A2FB-11A-13R-A17B-07
ADAMDEC1|27299	291.7578	lowly_expressed	lowly_expressed
ADAMTS10|81794	55.1098	ADAMTS10|81794	198.1499
ADAMTS12|81792	169.8679	ADAMTS12|81792	124.4826
ADAMTS13|11093	23.6648	ADAMTS13|11093	26.4601
ADAMTS14|140766	17.5055	ADAMTS14|140766	8.4191
ADAMTS15|170689	971.8778	ADAMTS15|170689	207.1704
ADAMTS16|170690	9.4011	ADAMTS16|170690	238.4414
ADAMTS17|170691	28.2033	ADAMTS17|170691	31.271
ADAMTS18|170692	10.3736	ADAMTS18|170692	32.7744
ADAMTS1|9510	1926.2501	ADAMTS1|9510	3138.526
ADAMTS2|9509	267.7689	ADAMTS2|9509	721.0371
ADAMTS3|9508	52.5164	ADAMTS3|9508	230.0223
ADAMTS4|9507	320.2853	ADAMTS4|9507	96.2185
ADAMTS5|11096	229.5162	ADAMTS5|11096	2882.645
ADAMTS6|11174	32.7417	ADAMTS6|11174	44.501
ADAMTS7|11173	71.3186	ADAMTS7|11173	85.6946
ADAMTS8|11095	38.2527	ADAMTS8|11095	59.8359
ADAMTS9|56999	305.3732	ADAMTS9|56999	638.0487
ADAMTSL1|92949	528.0817	ADAMTSL1|92949	585.7299
ADAMTSL2|9719	70.9944	ADAMTSL2|9719	126.2867
ADAMTSL3|57188	129.346	ADAMTSL3|57188	551.1514
ADAMTSL4|54507	181.214	ADAMTSL4|54507	1632.1057
ADAMTSL5|339366	74.8845	ADAMTSL5|339366	46.6058
ADAP1|11033	147.8758	ADAP1|11033	113.2972
ADAP2|55803	342.6534	ADAP2|55803	403.8169
ADARB1|104	609.1255	ADARB1|104	777.2648
ADARB2|105	48.9505	lowly_expressed	lowly_expressed
ADAR|103	15774.0498	ADAR|103	6857.3697
ADAT1|23536	323.527	ADAT1|23536	242.9516
ADAT2|134637	94.335	ADAT2|134637	120.5738
ADAT3|113179	19.7747	ADAT3|113179	27.3621
ADA|100	165.9778	ADA|100	124.182
ADCK1|57143	158.1976	ADCK1|57143	171.0885
ADCK2|90956	695.3562	ADCK2|90956	737.274
ADCK4|79934	367.9391	ADCK4|79934	445.9124
ADCK5|203054	40.8461	ADCK5|203054	56.829
ADCY1|107	305.049	ADCY1|107	1274.8946
ADCY2|108	45.7087	ADCY2|108	103.4348
ADCY3|109	1080.8072	ADCY3|109	1965.1268
ADCY4|196883	229.192	ADCY4|196883	501.8394
ADCY5|111	1650.0527	ADCY5|111	369.2384
ADCY6|112	1384.8772	ADCY6|112	2176.6421
ADCY7|113	981.603	ADCY7|113	928.8089
lowly_expressed	lowly_expressed	ADCY8|114	5.1116
ADCY9|115	558.8784	ADCY9|115	1042.7676
ADCYAP1R1|117	30.7967	ADCYAP1R1|117	57.4304
ADCYAP1|116	106.9779	ADCYAP1|116	15.3348
ADC|113451	168.5712	ADC|113451	151.5441
ADD1|118	6177.1618	ADD1|118	8107.007
ADD2|119	65.1593	ADD2|119	107.3437
ADD3|120	3832.4013	ADD3|120	4128.0728
lowly_expressed	lowly_expressed	ADH1A|124	205.9676
ADH1B|125	304.7249	ADH1B|125	19326.9819
ADH1C|126	31.1208	ADH1C|126	496.4271
lowly_expressed	lowly_expressed	ADH4|127	33.9771
ADH5|128	2147.3377	ADH5|128	3806.643
ADHFE1|137872	56.4065	ADHFE1|137872	190.0315
ADI1|55256	773.4825	ADI1|55256	2035.3212
ADIPOQ|9370	58.3516	ADIPOQ|9370	11434.3617
ADIPOR1|51094	3368.5064	ADIPOR1|51094	2268.3503
ADIPOR2|79602	1864.0084	ADIPOR2|79602	2983.0731
ADK|132	310.56	ADK|132	431.4797
ADM2|79924	194.1811	ADM2|79924	68.5557
ADM|133	66.7801	ADM|133	452.8281
ADNP2|22850	773.1583	ADNP2|22850	603.1695
ADNP|23394	3253.7483	ADNP|23394	2599.7026
ADORA1|134	232.1096	ADORA1|134	303.6895
ADORA2A|135	1170.6621	ADORA2A|135	82.0864
ADORA2B|136	31.445	ADORA2B|136	135.6079
ADORA3|140	220.4393	ADORA3|140	275.4254
ADO|84890	599.7245	ADO|84890	667.2149
ADPGK|83440	941.227	ADPGK|83440	805.0148
ADPRHL1|113622	81.0438	ADPRHL1|113622	60.1365
ADPRHL2|54936	536.1861	ADPRHL2|54936	599.862
ADPRH|141	447.6862	ADPRH|141	587.2333
lowly_expressed	lowly_expressed	ADRA1A|148	31.8724
ADRA1B|147	63.5384	ADRA1B|147	88.1
lowly_expressed	lowly_expressed	ADRA1D|146	8.4191
ADRA2A|150	217.5217	ADRA2A|150	871.0778
ADRA2B|151	15.2362	ADRA2B|151	43.599
ADRA2C|152	144.9064	ADRA2C|152	81.485
ADRB1|153	7.1319	ADRB1|153	55.0249
ADRB2|154	143.6097	ADRB2|154	299.1793
ADRBK1|156	2280.2496	ADRBK1|156	1657.363
ADRBK2|157	1240.295	ADRBK2|157	1343.4503
ADRM1|11047	964.0976	ADRM1|11047	982.0297
ADSL|158	838.9659	ADSL|158	909.5652
ADSSL1|122622	104.7086	ADSSL1|122622	147.0338
ADSS|159	2038.4148	ADSS|159	1262.5667
AEBP1|165	8942.702	AEBP1|165	12129.5401
AEBP2|121536	625.9827	AEBP2|121536	664.2081
AEN|64782	507.0103	AEN|64782	370.4411
AES|166	7044.6552	AES|166	6490.8374
AFAP1L1|134265	256.7469	AFAP1L1|134265	522.2859
AFAP1L2|84632	528.73	AFAP1L2|84632	1328.4162
AFAP1|60312	1262.2903	AFAP1|60312	1585.4909
AFF1|4299	3056.3255	AFF1|4299	2299.6213
