gene_id	TCGA-E2-A153-01A-12R-A12D-07	gene_id	TCGA-E2-A153-11A-31R-A12D-07
ALDH2|217	2363.1813	ALDH2|217	1614.1705
lowly_expressed	lowly_expressed	ALDH3A1|218	22.255
ALDH3A2|224	887.6529	ALDH3A2|224	1480.6404
ALDH3B1|221	235.8176	ALDH3B1|221	261.6101
ALDH3B2|222	181.8687	ALDH3B2|222	15382.7637
ALDH4A1|8659	454.9499	ALDH4A1|8659	2344.9529
ALDH5A1|7915	300.8899	ALDH5A1|7915	592.7103
ALDH6A1|4329	332.6418	ALDH6A1|4329	569.0837
ALDH7A1|501	941.0456	ALDH7A1|501	2419.4391
lowly_expressed	lowly_expressed	ALDH8A1|64577	15.4423
ALDH9A1|223	2891.5462	ALDH9A1|223	2479.3914
ALDOA|226	76656.2848	ALDOA|226	17893.4938
ALDOC|230	464.9611	ALDOC|230	453.73
ALG10B|144245	250.8343	ALG10B|144245	326.5584
ALG10|84920	64.5161	ALG10|84920	104.9165
ALG11|440138	21.1346	ALG11|440138	11.8088
ALG12|79087	526.1402	ALG12|79087	452.8216
ALG13|79868	354.8387	ALG13|79868	551.8338
ALG14|199857	229.6997	ALG14|199857	153.0601
ALG1|56052	854.6663	ALG1|56052	465.1391
ALG2|85365	888.2091	ALG2|85365	769.388
ALG3|10195	779.7553	ALG3|10195	706.2564
ALG5|29880	683.5373	ALG5|29880	540.025
ALG6|29929	240.267	ALG6|29929	299.3074
ALG8|79053	860.4004	ALG8|79053	713.5233
ALG9|79796	593.4372	ALG9|79796	535.029
ALKBH1|8846	300.3337	ALKBH1|8846	320.1998
ALKBH2|121642	348.7208	ALKBH2|121642	271.6021
ALKBH3|221120	375.9733	ALKBH3|221120	328.3752
ALKBH4|54784	319.5829	ALKBH4|54784	210.7914
ALKBH5|54890	1779.1991	ALKBH5|54890	1987.5099
ALKBH6|84964	102.3359	ALKBH6|84964	97.1954
ALKBH7|84266	528.9209999999999	ALKBH7|84266	385.6024
ALKBH8|91801	201.3348	ALKBH8|91801	226.6379
ALK|238	7.2303	ALK|238	77.6655
