gene_id	TCGA-BH-A18K-01A-11R-A12D-07	gene_id	TCGA-BH-A18K-11A-13R-A12D-07
ACOX2|8309	155.1129	ACOX2|8309	335.8209
ACOX3|8310	718.1939	ACOX3|8310	894.5896
ACP1|52	1532.0053	ACP1|52	1070.8955
ACP2|53	1983.1784	ACP2|53	674.4403
ACP5|54	1815.3165	ACP5|54	392.7239
ACP6|51205	463.9221	ACP6|51205	403.4515
ACPL2|92370	776.6268	ACPL2|92370	530.3172
ACPP|55	23.019	ACPP|55	31.7164
ACRBP|84519	23.019	ACRBP|84519	21.4552
ACRC|93953	10.6242	ACRC|93953	33.1157
ACRV1|56	13.4573	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACSBG1|23205	21.4552
ACSF2|80221	579.3714	ACSF2|80221	1625.4664
ACSF3|197322	337.8486	ACSF3|197322	399.2537
ACSL1|2180	3196.4586	ACSL1|2180	19071.3619
ACSL3|2181	3736.8747	ACSL3|2181	4567.1642
ACSL4|2182	639.2209	ACSL4|2182	1692.6306
ACSL5|51703	210.7127	ACSL5|51703	594.2164
lowly_expressed	lowly_expressed	ACSL6|23305	6.5299
ACSM1|116285	14.5197	ACSM1|116285	109.6082
ACSM3|6296	22.6047	ACSM3|6296	201.4552
ACSM5|54988	24.0815	ACSM5|54988	225.7463
ACSS1|84532	1654.8915	ACSS1|84532	706.1567
ACSS2|55902	725.9849	ACSS2|55902	5422.5746
ACSS3|79611	144.8429	ACSS3|79611	843.2836
ACTA1|58	74.0151	lowly_expressed	lowly_expressed
ACTA2|59	12326.5976	ACTA2|59	20177.0616
ACTB|60	129192.386	ACTB|60	40263.0597
lowly_expressed	lowly_expressed	ACTC1|70	8.8619
ACTG1|71	76418.2382	ACTG1|71	45539.6455
ACTG2|72	603.4529	ACTG2|72	4060.6343
ACTL6A|86	1029.8362	ACTL6A|86	661.3806
ACTL8|81569	71.5361	lowly_expressed	lowly_expressed
ACTN1|87	7525.4537	ACTN1|87	9343.75
ACTN2|88	25.498	lowly_expressed	lowly_expressed
ACTN4|81	7618.5498	ACTN4|81	10331.0588
ACTR10|55860	1692.0761	ACTR10|55860	958.0224
ACTR1A|10121	3879.9469	ACTR1A|10121	2111.9403
ACTR1B|10120	1273.4838	ACTR1B|10120	1429.5709
ACTR2|10097	9507.2156	ACTR2|10097	4375.9328
ACTR3B|57180	234.44	ACTR3B|57180	215.4851
ACTR3C|653857	77.9106	ACTR3C|653857	30.7836
ACTR3|10096	4894.9093	ACTR3|10096	2334.4216
ACTR5|79913	306.3302	ACTR5|79913	202.4254
ACTR6|64431	825.1439	ACTR6|64431	592.3507
ACTR8|93973	417.5299	ACTR8|93973	608.209
ACVR1B|91	1114.4754	ACVR1B|91	1225.7463
ACVR1C|130399	43.205	ACVR1C|130399	1491.6045
ACVR1|90	1043.2935	ACVR1|90	1219.2164
ACVR2A|92	216.3789	ACVR2A|92	840.9515
ACVR2B|93	278.3533	ACVR2B|93	729.4776
ACVRL1|94	558.1231	ACVRL1|94	590.4851
ACY1|95	1104.5595	ACY1|95	827.7332
ACY3|91703	49.5795	ACY3|91703	11.6604
ACYP1|97	83.5768	ACYP1|97	55.9701
ACYP2|98	80.3896	ACYP2|98	121.7351
lowly_expressed	lowly_expressed	ADAD2|161931	6.0448
ADAL|161823	140.239	ADAL|161823	236.4739
ADAM10|102	946.9677	ADAM10|102	2642.2575
ADAM11|4185	7.7911	ADAM11|4185	24.7201
ADAM12|8038	5288.3577	ADAM12|8038	761.6604
ADAM15|8751	4765.6485	ADAM15|8751	2043.8433
ADAM17|6868	434.8827	ADAM17|6868	1049.9067
ADAM19|8728	715.3608	ADAM19|8728	186.5672
ADAM21|8747	6.3745	ADAM21|8747	9.3284
ADAM22|53616	103.7627	ADAM22|53616	75.0933
ADAM23|8745	30.456	ADAM23|8745	16.3246
ADAM28|10863	105.5334	ADAM28|10863	82.556
ADAM32|203102	6.0204	ADAM32|203102	8.8619
ADAM33|80332	89.5972	ADAM33|80332	530.4338
ADAM6|8755	5436.1541	ADAM6|8755	40563.8153
ADAM8|101	624.7012	ADAM8|101	59.2351
ADAM9|8754	1242.3196	ADAM9|8754	2277.9851
ADAMDEC1|27299	105.5334	ADAMDEC1|27299	27.5187
ADAMTS10|81794	129.969	ADAMTS10|81794	152.0522
ADAMTS12|81792	275.5201	ADAMTS12|81792	195.4291
ADAMTS13|11093	62.6826	ADAMTS13|11093	140.8582
ADAMTS14|140766	265.6042	lowly_expressed	lowly_expressed
ADAMTS15|170689	238.6897	ADAMTS15|170689	227.6119
ADAMTS16|170690	240.8145	ADAMTS16|170690	23.3209
ADAMTS17|170691	47.8088	ADAMTS17|170691	24.7201
ADAMTS18|170692	10.6242	ADAMTS18|170692	70.8955
lowly_expressed	lowly_expressed	ADAMTS19|171019	6.5299
ADAMTS1|9510	652.324	ADAMTS1|9510	1520.9888
ADAMTS2|9509	667.552	ADAMTS2|9509	572.7612
ADAMTS3|9508	21.9566	ADAMTS3|9508	47.5746
ADAMTS4|9507	696.9456	ADAMTS4|9507	76.959
ADAMTS5|11096	243.6476	ADAMTS5|11096	2537.7799
ADAMTS6|11174	99.5131	ADAMTS6|11174	11.6604
ADAMTS7|11173	330.7658	ADAMTS7|11173	123.6007
ADAMTS8|11095	94.201	ADAMTS8|11095	51.7724
ADAMTS9|56999	253.2094	ADAMTS9|56999	400.1866
ADAMTSL1|92949	68.3488	ADAMTSL1|92949	82.556
ADAMTSL2|9719	273.3953	ADAMTSL2|9719	38.2463
ADAMTSL3|57188	70.8278	ADAMTSL3|57188	189.8321
ADAMTSL4|54507	157.5919	ADAMTSL4|54507	410.9142
ADAMTSL5|339366	56.3081	ADAMTSL5|339366	53.1716
ADAP1|11033	216.8393	ADAP1|11033	114.3797
ADAP2|55803	214.6082	ADAP2|55803	142.2575
ADARB1|104	405.8433	ADARB1|104	782.1828
ADAR|103	10159.1855	ADAR|103	7379.6642
ADAT1|23536	236.5649	ADAT1|23536	465.9515
ADAT2|134637	69.0571	ADAT2|134637	182.3694
ADAT3|113179	25.1439	ADAT3|113179	14.459
ADA|100	243.6476	ADA|100	88.153
ADCK1|57143	261.3546	ADCK1|57143	160.4478
ADCK2|90956	1107.3927	ADCK2|90956	715.9515
ADCK4|79934	579.0173	ADCK4|79934	565.7649
ADCK5|203054	151.2174	ADCK5|203054	101.6791
lowly_expressed	lowly_expressed	ADCY10|55811	8.3955
ADCY1|107	230.1903	ADCY1|107	159.5149
ADCY2|108	118.2824	ADCY2|108	159.0485
ADCY3|109	465.7317	ADCY3|109	1334.8507
ADCY4|196883	120.4073	ADCY4|196883	328.3582
ADCY5|111	84.6392	ADCY5|111	559.7015
ADCY6|112	1964.0549	ADCY6|112	4013.5261
ADCY7|113	449.4024	ADCY7|113	335.8209
ADCY9|115	2477.2023	ADCY9|115	868.4701
lowly_expressed	lowly_expressed	ADCYAP1R1|117	26.1194
lowly_expressed	lowly_expressed	ADCYAP1|116	14.459
ADC|113451	182.0274	ADC|113451	131.0634
ADD1|118	3865.4272	ADD1|118	6075.5597
ADD2|119	7.7911	ADD2|119	29.8507
ADD3|120	1522.7977	ADD3|120	2842.8172
ADH1A|124	13.8114	ADH1A|124	170.709
ADH1B|125	1133.2448	ADH1B|125	25991.6045
ADH1C|126	42.8508	ADH1C|126	247.6679
lowly_expressed	lowly_expressed	ADH4|127	17.7239
ADH5|128	2088.3577	ADH5|128	3100.7463
ADHFE1|137872	94.5551	ADHFE1|137872	436.1007
ADI1|55256	1210.4471	ADI1|55256	1262.1269
ADIPOQ|9370	823.019	ADIPOQ|9370	25444.0299
ADIPOR1|51094	5442.7623	ADIPOR1|51094	1994.403
ADIPOR2|79602	2408.1452	ADIPOR2|79602	3179.1045
ADK|132	544.6658	ADK|132	297.1082
ADM2|79924	92.7844	ADM2|79924	55.5037
ADM|133	200.7968	ADM|133	449.1604
ADNP2|22850	458.61	ADNP2|22850	798.5075
ADNP|23394	2832.4037	ADNP|23394	3017.2575
ADORA1|134	62.6826	ADORA1|134	365.2052
ADORA2A|135	206.8101	ADORA2A|135	70.4291
ADORA2B|136	25.8521	ADORA2B|136	59.7015
ADORA3|140	258.5215	ADORA3|140	87.2201
ADO|84890	705.4449	ADO|84890	635.7276
ADPGK|83440	876.0443	ADPGK|83440	706.4599
ADPRHL1|113622	55.954	ADPRHL1|113622	66.6978
ADPRHL2|54936	707.5697	ADPRHL2|54936	465.9515
ADPRH|141	223.4617	ADPRH|141	319.0299
lowly_expressed	lowly_expressed	ADRA1A|148	41.5112
ADRA1B|147	17.7069	ADRA1B|147	26.1194
ADRA1D|146	8.1452	ADRA1D|146	5.1306
ADRA2A|150	1194.1567	ADRA2A|150	752.7985
ADRA2B|151	9.9159	ADRA2B|151	41.5112
ADRA2C|152	124.6569	ADRA2C|152	47.1082
ADRB1|153	8.8535	ADRB1|153	88.153
ADRB2|154	17.7069	ADRB2|154	220.6157
ADRBK1|156	1323.4174	ADRBK1|156	1301.306
ADRBK2|157	622.5764	ADRBK2|157	2038.2463
ADRM1|11047	1659.8495	ADRM1|11047	908.1157
ADSL|158	624.7012	ADSL|158	675.8396
ADSSL1|122622	94.9093	ADSSL1|122622	159.5149
ADSS|159	3881.3634	ADSS|159	1114.2724
AEBP1|165	21906.6844	AEBP1|165	4242.0709
AEBP2|121536	679.9469	AEBP2|121536	765.8582
AEN|64782	419.6547	AEN|64782	292.444
AES|166	5156.2638	AES|166	5048.041
AFAP1L1|134265	297.4768	AFAP1L1|134265	477.1455
AFAP1L2|84632	566.9765	AFAP1L2|84632	1618.4701
AFAP1|60312	1222.1266	AFAP1|60312	1420.7043
AFF1|4299	1718.9907	AFF1|4299	3493.0037
AFF2|2334	10.6242	AFF2|2334	44.7761
AFF3|3899	1893.2271	AFF3|3899	4694.9627
AFF4|27125	2826.7375	AFF4|27125	4626.3993
AFG3L1|172	250.7304	AFG3L1|172	263.0597
AFG3L2|10939	965.5104	AFG3L2|10939	1267.0709
AFMID|125061	345.6397	AFMID|125061	551.306
AFP|174	431.3413	AFP|174	60.1679
AFTPH|54812	1937.4945	AFTPH|54812	1744.403
AG2|387763	242.2311	AG2|387763	110.0746
AGAP11|119385	10.27	AGAP11|119385	193.5728
AGAP1|116987	309.5175	AGAP1|116987	531.7164
AGAP2|116986	39.0013	AGAP2|116986	110.4991
AGAP3|116988	961.8415	AGAP3|116988	1625.9328
AGAP4|119016	200.7968	AGAP4|119016	232.7425
AGAP5|729092	48.8676	AGAP5|729092	63.3022
AGAP6|414189	120.4073	AGAP6|414189	120.3358
AGAP7|653268	6.3745	AGAP7|653268	6.5299
AGAP8|728404	37.5387	AGAP8|728404	41.5112
AGA|175	599.5573	AGA|175	402.0522
AGBL2|79841	12.0407	AGBL2|79841	28.4515
AGBL4|84871	14.5197	AGBL4|84871	10.7276
AGBL5|60509	438.7995	AGBL5|60509	806.9076
AGER|177	47.1005	AGER|177	68.097
AGFG1|3267	1141.39	AGFG1|3267	1610.0746
AGFG2|3268	423.1961	AGFG2|3268	408.1157
AGGF1|55109	1133.2448	AGGF1|55109	940.2985
AGK|55750	746.525	AGK|55750	534.5149
AGL|178	1400.9739	AGL|178	1807.8358
AGMAT|79814	19.4776	AGMAT|79814	10.7276
AGPAT1|10554	2454.5374	AGPAT1|10554	1689.5196
AGPAT2|10555	1216.8216	AGPAT2|10555	3649.7201
AGPAT3|56894	1908.4551	AGPAT3|56894	2108.209
AGPAT4|56895	267.7291	AGPAT4|56895	353.5448
AGPAT5|55326	468.88	AGPAT5|55326	648.3209
AGPAT6|137964	736.6091	AGPAT6|137964	1617.5373
AGPAT9|84803	35.768	AGPAT9|84803	495.8022
AGPHD1|123688	41.0801	AGPHD1|123688	58.7687
AGPS|8540	938.1142	AGPS|8540	827.8918
AGR2|10551	13967.5963	AGR2|10551	1208.9552
AGR3|155465	2637.6273	AGR3|155465	119.403
AGRN|375790	4345.2855	AGRN|375790	4992.0709
AGTPBP1|23287	218.5038	AGTPBP1|23287	379.6642
AGTR1|185	43.205	AGTR1|185	295.2425
AGTRAP|57085	952.2798	AGTRAP|57085	528.9179
AGT|183	435.2368	AGT|183	210.8209
AGXT2L2|85007	352.0708	AGXT2L2|85007	567.1129
lowly_expressed	lowly_expressed	AGXT|189	6.9963
AHCTF1|25909	2773.9708	AHCTF1|25909	1554.1045
AHCYL1|10768	2683.6653	AHCYL1|10768	4118.0037
AHCYL2|23382	590.3497	AHCYL2|23382	862.8731
AHCY|191	5326.6047	AHCY|191	3227.6119
AHDC1|27245	480.9208	AHDC1|27245	1267.7239
AHI1|54806	240.1062	AHI1|54806	514.9254
AHNAK2|113146	906.5958	AHNAK2|113146	655.3172
AHNAK|79026	17228.1541	AHNAK|79026	116093.75
AHRR|57491	47.1005	AHRR|57491	56.903
AHR|196	2032.0496	AHR|196	2830.2239
AHSA1|10598	2981.8504	AHSA1|10598	1245.8022
AHSA2|130872	399.8229	AHSA2|130872	1125
AIDA|64853	2189.0323	AIDA|64853	1042.1082
AIF1L|83543	514.564	AIF1L|83543	1746.7351
AIF1|199	327.2244	AIF1|199	201.4925
AIFM1|9131	1791.5892	AIFM1|9131	767.7239
AIFM2|84883	274.4577	AIFM2|84883	991.1381
AIFM3|150209	119.8725	AIFM3|150209	20.2659
AIG1|51390	900.9296	AIG1|51390	788.7127
AIM1L|55057	38.9553	lowly_expressed	lowly_expressed
AIM1|202	1460.8234	AIM1|202	4292.9104
lowly_expressed	lowly_expressed	AIM2|9447	6.5299
AIMP1|9255	1239.2138	AIMP1|9255	926.1334
AIMP2|7965	634.1532	AIMP2|7965	199.2491
AIP|9049	862.6826	AIP|9049	817.1642
AJAP1|55966	10.9783	AJAP1|55966	31.25
AK1|203	827.977	AK1|203	499.5336
AK2|204	2098.6277	AK2|204	1803.1716
AK3L1|205	411.5095	AK3L1|205	690.7649
AK3|50808	953.6963	AK3|50808	1882.9291
AK5|26289	94.5551	AK5|26289	1842.3507
AK7|122481	24.7897	AK7|122481	21.9216
AKAP10|11216	400.1771	AKAP10|11216	724.347
AKAP11|11215	1175.7415	AKAP11|11215	2857.2761
AKAP12|9590	689.5086	AKAP12|9590	2464.5522
AKAP13|11214	1846.1266	AKAP13|11214	4651.1194
AKAP1|8165	1207.2598	AKAP1|8165	4112.8731
AKAP2|11217	444.2709	AKAP2|11217	1482.3228
AKAP3|10566	13.1031	AKAP3|10566	96.5485
AKAP5|9495	1067.7291	AKAP5|9495	381.0634
AKAP6|9472	61.266	AKAP6|9472	275.653
AKAP7|9465	94.201	AKAP7|9465	171.6418
AKAP8L|26993	633.5547	AKAP8L|26993	864.7388
AKAP8|10270	413.2802	AKAP8|10270	628.2649
AKAP9|10142	1758.3001	AKAP9|10142	4022.3881
AKD1|221264	209.6503	AKD1|221264	157.6493
AKIRIN1|79647	1971.1377	AKIRIN1|79647	945.8955
AKIRIN2|55122	581.8504	AKIRIN2|55122	578.8246
AKNA|80709	352.0142	AKNA|80709	770.5224
AKR1A1|10327	3917.1315	AKR1A1|10327	1292.444
lowly_expressed	lowly_expressed	AKR1B15|441282	102.1455
AKR1B1|231	611.9522	AKR1B1|231	673.9739
AKR1C1|1645	93.4927	AKR1C1|1645	1240.6716
AKR1C2|1646	49.9336	AKR1C2|1646	1963.6194
AKR1C3|8644	250.7304	AKR1C3|8644	1101.2127
AKR1D1|6718	6.7286	AKR1D1|6718	75.5597
AKR1E2|83592	44.2674	AKR1E2|83592	30.3172
AKR7A2|8574	1186.7198	AKR7A2|8574	950.0933
AKR7A3|22977	750.0664	AKR7A3|22977	76.959
AKR7L|246181	55.2457	AKR7L|246181	11.6604
AKT1S1|84335	2934.0416	AKT1S1|84335	666.5112
AKT1|207	6325.2767	AKT1|207	2901.5858
AKT2|208	1647.8088	AKT2|208	3329.7575
AKT3|10000	520.5843	AKT3|10000	1058.3022
AKTIP|64400	1098.1107	AKTIP|64400	568.097
ALAD|210	1683.5768	ALAD|210	2525.1866
ALAS1|211	878.6189	ALAS1|211	698.2276
ALB|213	10738.5569	ALB|213	926.306
ALCAM|214	6506.95	ALCAM|214	7502.3321
ALDH16A1|126133	586.4542	ALDH16A1|126133	418.3769
ALDH18A1|5832	4120.0531	ALDH18A1|5832	1590.4851
ALDH1A1|216	226.2948	ALDH1A1|216	1739.2724
ALDH1A2|8854	37.1846	ALDH1A2|8854	242.0709
ALDH1A3|220	386.0044	ALDH1A3|220	755.4431
ALDH1B1|219	1347.4989	ALDH1B1|219	636.6604
ALDH1L1|10840	21.2483	ALDH1L1|10840	1340.0187
ALDH1L2|160428	553.1651	ALDH1L2|160428	451.4925
ALDH2|217	1369.1014	ALDH2|217	6529.8507
lowly_expressed	lowly_expressed	ALDH3A1|218	58.3022
ALDH3A2|224	1406.6401	ALDH3A2|224	2989.2724
ALDH3B1|221	310.934	ALDH3B1|221	114.7388
ALDH3B2|222	6832.0496	ALDH3B2|222	2238.806
ALDH4A1|8659	720.6729	ALDH4A1|8659	1966.8843
ALDH5A1|7915	432.0496	ALDH5A1|7915	801.306
ALDH6A1|4329	653.7087	ALDH6A1|4329	1288.5868
ALDH7A1|501	2903.9398	ALDH7A1|501	3642.2575
