gene_id	TCGA-BH-A0DV-01A-21R-A12P-07	gene_id	TCGA-BH-A0DV-11A-22R-A12P-07
lowly_expressed	lowly_expressed	ACTBL2|345651	16.9098
ACTB|60	117919.2024	ACTB|60	73314.6552
ACTC1|70	43.4491	lowly_expressed	lowly_expressed
ACTG1|71	76796.9645	ACTG1|71	47007.626
ACTG2|72	927.312	ACTG2|72	6840.5172
ACTL6A|86	929.3951	ACTL6A|86	1049.7347
ACTN1|87	8549.3639	ACTN1|87	10760.2785
ACTN2|88	285.9906	lowly_expressed	lowly_expressed
ACTN4|81	12443.3271	ACTN4|81	13632.9045
ACTR10|55860	1086.8239	ACTR10|55860	1252.6525
ACTR1A|10121	3362.845	ACTR1A|10121	2357.7586
ACTR1B|10120	1193.6612	ACTR1B|10120	1355.7692
ACTR2|10097	6433.1523	ACTR2|10097	5681.0345
ACTR3B|57180	128.8595	ACTR3B|57180	212.2016
ACTR3C|653857	19.3438	ACTR3C|653857	47.7454
ACTR3|10096	3680.6785	ACTR3|10096	4178.7135
ACTR5|79913	199.3899	ACTR5|79913	263.5942
ACTR6|64431	425.266	ACTR6|64431	708.8859
ACTR8|93973	404.4342	ACTR8|93973	365.3846
ACVR1B|91	1039.2084	ACVR1B|91	1226.1273
ACVR1C|130399	113.682	ACVR1C|130399	133.2891
ACVR1|90	1679.6369	ACVR1|90	1296.4191
ACVR2A|92	483.595	ACVR2A|92	501.6578
ACVR2B|93	152.3696	ACVR2B|93	225.1326
ACVRL1|94	1495.722	ACVRL1|94	555.0398
ACY1|95	558.7055	ACY1|95	461.2069
ACY3|91703	25.2957	ACY3|91703	31.1671
ACYP1|97	42.5564	ACYP1|97	75.5968
ACYP2|98	116.0628	ACYP2|98	140.5836
ADAD2|161931	7.6066	lowly_expressed	lowly_expressed
ADAL|161823	160.9999	ADAL|161823	187.6658
ADAM10|102	2312.9231	ADAM10|102	3101.7905
ADAM11|4185	5.0591	ADAM11|4185	21.8833
ADAM12|8038	7087.5679	ADAM12|8038	101.1273
ADAM15|8751	6185.8493	ADAM15|8751	2474.4695
ADAM17|6868	778.8111	ADAM17|6868	1508.2891
