gene_id	TCGA-BH-A0E1-01A-11R-A056-07	gene_id	TCGA-BH-A0E1-11A-13R-A089-07
ADAMTS18|170692	8.3145	ADAMTS18|170692	62.2244
ADAMTS1|9510	627.9435	ADAMTS1|9510	1911.8079
ADAMTS2|9509	403.8476	ADAMTS2|9509	146.4968
ADAMTS3|9508	20.5883	ADAMTS3|9508	43.1161
ADAMTS4|9507	606.5633	ADAMTS4|9507	42.6262
ADAMTS5|11096	106.9008	ADAMTS5|11096	2089.6619
ADAMTS6|11174	36.8214	ADAMTS6|11174	5.3895
ADAMTS7|11173	156.7879	ADAMTS7|11173	31.8471
ADAMTS8|11095	25.3395	ADAMTS8|11095	403.7237
ADAMTS9|56999	473.1352	ADAMTS9|56999	419.4023
ADAMTSL1|92949	158.7676	ADAMTSL1|92949	54.3851
ADAMTSL2|9719	209.4465	ADAMTSL2|9719	32.3371
ADAMTSL3|57188	92.6474	ADAMTSL3|57188	85.2523
ADAMTSL4|54507	259.7295	ADAMTSL4|54507	208.2313
ADAMTSL5|339366	119.9665	ADAMTSL5|339366	36.7467
ADAP1|11033	207.1778	ADAP1|11033	96.7908
ADAP2|55803	135.8037	ADAP2|55803	67.6139
ADARB1|104	327.8293	ADARB1|104	549.2406
lowly_expressed	lowly_expressed	ADARB2|105	54.3851
ADAR|103	13326.9721	ADAR|103	6046.5458
ADAT1|23536	168.2698	ADAT1|23536	287.6041
ADAT2|134637	19.7965	ADAT2|134637	99.951
ADAT3|113179	57.8056	ADAT3|113179	60.2646
ADA|100	119.9665	ADA|100	76.9231
ADCK1|57143	126.3014	ADCK1|57143	117.5894
ADCK2|90956	1055.1509	ADCK2|90956	897.5992
ADCK4|79934	608.147	ADCK4|79934	616.8545
ADCK5|203054	109.6723	ADCK5|203054	109.7501
ADCY1|107	905.8857	ADCY1|107	540.9113
ADCY2|108	10.2942	ADCY2|108	53.8951
ADCY3|109	1550.5611	ADCY3|109	1105.8011
ADCY4|196883	344.4583	ADCY4|196883	244.978
ADCY5|111	21.3802	ADCY5|111	375.7962
ADCY6|112	1627.6644	ADCY6|112	1563.9392
ADCY7|113	144.91	ADCY7|113	275.3552
ADCY9|115	736.428	ADCY9|115	706.5164
lowly_expressed	lowly_expressed	ADCYAP1R1|117	6.3694
ADCYAP1|116	6.3349	lowly_expressed	lowly_expressed
ADC|113451	89.084	ADC|113451	122.489
ADD1|118	4573.7725	ADD1|118	5884.3704
ADD2|119	13.8575	ADD2|119	30.3773
ADD3|120	586.7669	ADD3|120	2077.413
lowly_expressed	lowly_expressed	ADH1A|124	15.1886
ADH1B|125	73.6428	ADH1B|125	919.6472
lowly_expressed	lowly_expressed	ADH1C|126	78.8829
ADH5|128	1671.2166	ADH5|128	3421.852
lowly_expressed	lowly_expressed	ADH7|131	12.7389
ADHFE1|137872	33.654	ADHFE1|137872	126.8986
ADI1|55256	1060.6939	ADI1|55256	983.3415
ADIPOQ|9370	6.3349	ADIPOQ|9370	43.1161
ADIPOR1|51094	6855.1157	ADIPOR1|51094	2902.9887
ADIPOR2|79602	1774.1581	ADIPOR2|79602	2249.3876
ADK|132	469.1759	ADK|132	434.1009
ADM2|79924	359.1077	ADM2|79924	64.6742
ADM|133	53.8464	ADM|133	127.8785
ADNP2|22850	751.0774	ADNP2|22850	736.8937
ADNP|23394	3323.0326	ADNP|23394	3152.8662
ADORA1|134	505.6014	ADORA1|134	905.9285
ADORA2A|135	139.763	ADORA2A|135	45.5659
ADORA2B|136	25.3395	ADORA2B|136	82.3126
ADORA3|140	53.4504	ADORA3|140	94.5615
ADO|84890	623.5883	ADO|84890	721.2151
ADPGK|83440	858.7701	ADPGK|83440	904.4586
ADPRHL1|113622	262.105	ADPRHL1|113622	201.8618
ADPRHL2|54936	577.2646	ADPRHL2|54936	928.4664
ADPRH|141	180.1477	ADPRH|141	358.6477
ADRA1B|147	24.1517	ADRA1B|147	17.6384
ADRA2A|150	241.9127	ADRA2A|150	618.8143
ADRA2B|151	19.0046	ADRA2B|151	27.9275
ADRA2C|152	19.7965	ADRA2C|152	28.4174
ADRB1|153	193.2134	lowly_expressed	lowly_expressed
ADRB2|154	33.258	ADRB2|154	250.8574
ADRBK1|156	2083.7746	ADRBK1|156	1340.0294
ADRBK2|157	843.7248	ADRBK2|157	961.7834
ADRM1|11047	1381.3965	ADRM1|11047	1199.902
ADSL|158	921.7228	ADSL|158	1349.3386
ADSSL1|122622	160.3513	ADSSL1|122622	78.3929
ADSS|159	2898.2007	ADSS|159	1382.6556
AEBP1|165	8834.761	AEBP1|165	2535.0318
AEBP2|121536	536.8798	AEBP2|121536	810.877
AEN|64782	655.6585	AEN|64782	666.34
AES|166	6454.0396	AES|166	7210.681
AFAP1L1|134265	274.3788	AFAP1L1|134265	122.9789
AFAP1L2|84632	456.1103	AFAP1L2|84632	980.4018
AFAP1|60312	893.1764	AFAP1|60312	1515.8942
AFF1|4299	2212.4516	AFF1|4299	1804.0176
AFF2|2334	30.0906	AFF2|2334	27.4375
AFF3|3899	1703.6827	AFF3|3899	1108.7702
AFF4|27125	3460.024	AFF4|27125	3155.806
AFG3L1|172	82.3532	AFG3L1|172	224.8898
AFG3L2|10939	1685.5056	AFG3L2|10939	1845.9187
AFMID|125061	394.7413	AFMID|125061	661.9304
AFTPH|54812	2394.5789	AFTPH|54812	1856.9329
AG2|387763	116.7991	AG2|387763	156.2959
AGAP11|119385	8.3145	AGAP11|119385	41.1563
AGAP1|116987	612.8982	AGAP1|116987	517.3934
AGAP2|116986	59.3498	AGAP2|116986	64.0813
AGAP3|116988	1466.5212	AGAP3|116988	1309.6521
AGAP4|119016	55.826	AGAP4|119016	160.7055
AGAP5|729092	20.8298	AGAP5|729092	46.0265
AGAP6|414189	26.9232	AGAP6|414189	67.6139
lowly_expressed	lowly_expressed	AGAP8|728404	55.365
AGA|175	859.1661	AGA|175	528.6624
AGBL2|79841	13.4616	AGBL2|79841	5.8795
AGBL4|84871	11.086	lowly_expressed	lowly_expressed
AGBL5|60509	550.7413	AGBL5|60509	1043.1945
AGER|177	7.9186	AGER|177	10.2891
AGFG1|3267	1318.4438	AGFG1|3267	1457.6188
AGFG2|3268	405.0354	AGFG2|3268	592.3567
AGGF1|55109	924.8903	AGGF1|55109	806.9574
AGK|55750	496.0991	AGK|55750	571.7785
AGL|178	495.7032	AGL|178	883.3905
AGMAT|79814	22.9639	AGMAT|79814	11.269
AGPAT1|10554	1678.9411	AGPAT1|10554	1815.4777
AGPAT2|10555	994.5738	AGPAT2|10555	377.266
AGPAT3|56894	3151.9912	AGPAT3|56894	1551.2004
AGPAT4|56895	82.7492	AGPAT4|56895	167.5649
AGPAT5|55326	924.4943	AGPAT5|55326	816.7565
AGPAT6|137964	3543.1691	AGPAT6|137964	3977.462
AGPAT9|84803	25.3395	AGPAT9|84803	87.2122
AGPHD1|123688	28.111	AGPHD1|123688	54.8751
AGPS|8540	2477.724	AGPS|8540	920.1372
AGR2|10551	10802.9243	AGR2|10551	3460.0686
AGR3|155465	3606.1219	AGR3|155465	454.1891
AGRN|375790	6415.6344	AGRN|375790	5442.4302
AGTPBP1|23287	351.585	AGTPBP1|23287	385.5953
AGTR1|185	404.2436	AGTR1|185	203.8217
AGTRAP|57085	783.5436	AGTRAP|57085	678.5889
AGT|183	4262.5722	AGT|183	36.7467
AGXT2L2|85007	290.2516	AGXT2L2|85007	364.1891
AHCTF1|25909	3081.1199	AHCTF1|25909	1454.6791
AHCYL1|10768	6315.8603	AHCYL1|10768	4146.0069
AHCYL2|23382	995.3657	AHCYL2|23382	617.3444
AHCY|191	5446.796	AHCY|191	5770.7006
AHDC1|27245	756.6204	AHDC1|27245	1947.5747
AHI1|54806	509.9566	AHI1|54806	262.6164
AHNAK2|113146	1063.8614	AHNAK2|113146	426.2616
AHNAK|79026	20962.8599	AHNAK|79026	52644.782
AHRR|57491	12.2738	AHRR|57491	23.0279
AHR|196	4113.307	AHR|196	2130.3283
AHSA1|10598	1995.4824	AHSA1|10598	2218.0304
AHSA2|130872	87.8963	AHSA2|130872	244.488
AIDA|64853	1843.9327	AIDA|64853	713.5522
AIF1L|83543	739.5955	AIF1L|83543	4046.0559
AIF1|199	159.5594	AIF1|199	262.6164
AIFM1|9131	1044.0649	AIFM1|9131	684.4684
AIFM2|84883	453.7347	AIFM2|84883	333.66
AIFM3|150209	31.6743	AIFM3|150209	11.269
AIG1|51390	821.5528	AIG1|51390	951.4944
AIM1L|55057	29.6947	lowly_expressed	lowly_expressed
AIM1|202	346.042	AIM1|202	2296.9133
AIMP1|9255	1027.9269	AIMP1|9255	1457.1289
AIMP2|7965	446.0022	AIMP2|7965	340.3822
AIP|9049	835.0144	AIP|9049	1012.2489
AJAP1|55966	26.9232	AJAP1|55966	43.1161
AK1|203	1257.4707	AK1|203	427.2415
AK2|204	1999.0458	AK2|204	2250.3675
AK3L1|205	170.2495	AK3L1|205	671.7295
AK3|50808	1881.4549	AK3|50808	1331.2102
AK5|26289	461.6533	AK5|26289	1599.706
AK7|122481	31.2784	AK7|122481	35.7668
AKAP10|11216	468.78	AKAP10|11216	520.8231
AKAP11|11215	1473.252	AKAP11|11215	1340.0294
AKAP12|9590	569.346	AKAP12|9590	582.0676
AKAP13|11214	2481.2874	AKAP13|11214	4713.3758
AKAP1|8165	1071.78	AKAP1|8165	3682.5086
AKAP2|11217	602.513	AKAP2|11217	1329.7746
AKAP3|10566	18.2127	AKAP3|10566	61.7344
AKAP5|9495	232.0144	AKAP5|9495	31.8471
AKAP6|9472	95.023	AKAP6|9472	368.9368
AKAP7|9465	105.3171	AKAP7|9465	212.1509
AKAP8L|26993	593.4977	AKAP8L|26993	721.705
AKAP8|10270	551.1332	AKAP8|10270	881.4307
AKAP9|10142	2445.6538	AKAP9|10142	1767.2709
AKD1|221264	212.6139	AKD1|221264	162.6654
AKIRIN1|79647	992.1982	AKIRIN1|79647	1032.3371
AKIRIN2|55122	607.7511	AKIRIN2|55122	799.608
AKNAD1|254268	5.1471	AKNAD1|254268	5.8795
AKNA|80709	367.4222	AKNA|80709	508.5742
AKR1A1|10327	3065.2828	AKR1A1|10327	2022.538
lowly_expressed	lowly_expressed	AKR1B10|57016	151.3964
AKR1B1|231	262.105	AKR1B1|231	819.6962
AKR1C1|1645	17.8168	AKR1C1|1645	435.0808
AKR1C2|1646	13.0657	AKR1C2|1646	165.6051
AKR1C3|8644	403.0558	AKR1C3|8644	756.9819
lowly_expressed	lowly_expressed	AKR1E2|83592	47.5257
AKR7A2|8574	1503.3426	AKR7A2|8574	1162.6654
AKR7A3|22977	948.2501	AKR7A3|22977	165.1151
AKR7L|246181	51.4708	AKR7L|246181	11.269
AKT1S1|84335	1147.7983	AKT1S1|84335	958.8437
AKT1|207	5286.4448	AKT1|207	3316.0216
AKT2|208	2540.2808	AKT2|208	2162.1754
AKT3|10000	1060.6939	AKT3|10000	471.3376
AKTIP|64400	415.8087	AKTIP|64400	602.5527
ALAD|210	1304.9822	ALAD|210	1690.3479
ALAS1|211	1069.4044	ALAS1|211	617.3444
ALB|213	78.39399999999999	ALB|213	38.7065
ALCAM|214	4599.1119	ALCAM|214	1846.6438
ALDH16A1|126133	757.8082	ALDH16A1|126133	618.3244
ALDH18A1|5832	3285.4193	ALDH18A1|5832	1970.6026
ALDH1A1|216	121.5502	ALDH1A1|216	709.4561
ALDH1A2|8854	22.9639	ALDH1A2|8854	289.5639
ALDH1A3|220	370.0274	ALDH1A3|220	3849.3239
ALDH1B1|219	747.5141	ALDH1B1|219	454.6791
lowly_expressed	lowly_expressed	ALDH1L1|10840	205.2915
ALDH1L2|160428	270.8155	ALDH1L2|160428	154.8261
ALDH2|217	479.4701	ALDH2|217	2076.9231
lowly_expressed	lowly_expressed	ALDH3A1|218	228.8094
ALDH3A2|224	3201.0864	ALDH3A2|224	1535.0318
ALDH3B1|221	153.6205	ALDH3B1|221	98.4811
ALDH3B2|222	202.3197	ALDH3B2|222	227.8295
ALDH4A1|8659	457.2981	ALDH4A1|8659	646.7418
ALDH5A1|7915	633.0906	ALDH5A1|7915	689.368
ALDH6A1|4329	454.8869	ALDH6A1|4329	424.145
ALDH7A1|501	2259.1712	ALDH7A1|501	4123.9588
ALDH8A1|64577	6.7308	ALDH8A1|64577	9.3092
ALDH9A1|223	4854.8821	ALDH9A1|223	5155.316
ALDOA|226	18491.4707	ALDOA|226	15268.0059
ALDOC|230	97.7945	ALDOC|230	766.291
ALG10B|144245	160.3513	ALG10B|144245	237.6286
ALG10|84920	71.6632	ALG10|84920	72.0235
ALG11|440138	14.2534	ALG11|440138	12.7389
ALG12|79087	634.6743	ALG12|79087	674.1793
ALG13|79868	380.4878	ALG13|79868	467.9079
ALG14|199857	394.3453	ALG14|199857	212.1509
lowly_expressed	lowly_expressed	ALG1L|200810	22.3371
ALG1|56052	752.4632	ALG1|56052	469.2357
ALG2|85365	778.0006	ALG2|85365	873.5914
ALG3|10195	667.5364	ALG3|10195	660.4606
ALG5|29880	1413.8627	ALG5|29880	734.4439
ALG6|29929	308.4287	ALG6|29929	292.9936
ALG8|79053	1297.0636	ALG8|79053	872.1215
ALG9|79796	947.4582	ALG9|79796	609.5051
ALKBH1|8846	298.1346	ALKBH1|8846	358.1578
ALKBH2|121642	283.0893	ALKBH2|121642	596.2763
ALKBH3|221120	220.9284	ALKBH3|221120	564.4292
ALKBH4|54784	226.2853	ALKBH4|54784	381.852
ALKBH5|54890	2730.3268	ALKBH5|54890	2163.6453
ALKBH6|84964	105.7131	ALKBH6|84964	82.3126
ALKBH7|84266	643.7806	ALKBH7|84266	964.7232
ALKBH8|91801	225.2836	ALKBH8|91801	291.5238
ALMS1|7840	960.9198	ALMS1|7840	767.2709
ALOX12B|242	5.5272	lowly_expressed	lowly_expressed
ALOX12P2|245	8.3145	ALOX12P2|245	8.8192
lowly_expressed	lowly_expressed	ALOX12|239	9.3631
ALOX15B|247	35.6336	ALOX15B|247	154.8261
ALOX15|246	5.1471	lowly_expressed	lowly_expressed
ALOX5AP|241	174.2088	ALOX5AP|241	141.5973
ALOX5|240	239.5371	ALOX5|240	311.122
ALOXE3|59344	11.8779	ALOXE3|59344	12.7389
ALPK1|80216	486.2009	ALPK1|80216	665.8501
ALPK2|115701	26.1313	ALPK2|115701	23.5179
ALPK3|57538	119.1746	ALPK3|57538	85.7423
ALPL|249	383.2593	ALPL|249	1902.4988
ALS2CL|259173	110.0683	ALS2CL|259173	317.0015
ALS2CR4|65062	489.7642	ALS2CR4|65062	1563.9392
ALS2CR8|79800	118.7787	ALS2CR8|79800	182.7536
ALS2|57679	530.9409	ALS2|57679	592.3567
ALX3|257	17.4209	ALX3|257	34.7869
lowly_expressed	lowly_expressed	ALX4|60529	93.0916
AMACR|23600	500.0584	AMACR|23600	259.1867
AMBP|259	5.1471	AMBP|259	22.048000000000002
AMBRA1|55626	916.5758	AMBRA1|55626	1246.4478
AMD1|262	870.7113	AMD1|262	2025.2229
lowly_expressed	lowly_expressed	AMDHD1|144193	12.2489
AMDHD2|51005	183.7586	AMDHD2|51005	250.8574
