gene_id	TCGA-BH-A0DL-01A-11R-A115-07	gene_id	TCGA-BH-A0DL-11A-13R-A115-07
ACOX3|8310	1226.3743	ACOX3|8310	634.2155
ACP1|52	1548.1779	ACP1|52	1086.9565
ACP2|53	1650.4015	ACP2|53	864.8393
ACP5|54	2634.3422	ACP5|54	642.7221
ACP6|51205	690.5497	ACP6|51205	310.0189
ACPL2|92370	411.9827	ACPL2|92370	435.0977
ACPP|55	253.5516	ACPP|55	29.3006
ACRBP|84519	52.8104	ACRBP|84519	25.5198
ACRC|93953	25.0154	ACRC|93953	34.3415
lowly_expressed	lowly_expressed	ACSBG1|23205	12.6024
ACSF2|80221	364.1137	ACSF2|80221	784.184
ACSF3|197322	386.3496	ACSF3|197322	310.649
ACSL1|2180	7064.546	ACSL1|2180	8758.9792
ACSL3|2181	2910.7474	ACSL3|2181	2996.2193
ACSL4|2182	875.5405	ACSL4|2182	2393.5098
ACSL5|51703	569.1785	ACSL5|51703	1203.2136
ACSL6|23305	9.8826	ACSL6|23305	15.1229
lowly_expressed	lowly_expressed	ACSM1|116285	9.7669
ACSM3|6296	18.811	ACSM3|6296	145.3151
ACSM5|54988	7.7208	ACSM5|54988	144.2974
ACSS1|84532	363.1872	ACSS1|84532	842.4701
ACSS2|55902	543.8542	ACSS2|55902	1518.9036
ACSS3|79611	9.5738	ACSS3|79611	466.2886
lowly_expressed	lowly_expressed	ACTA1|58	5.6711
ACTA2|59	1381.8406	ACTA2|59	26331.1468
lowly_expressed	lowly_expressed	ACTBL2|345651	6.3012
ACTB|60	102235.9481	ACTB|60	71587.9017
lowly_expressed	lowly_expressed	ACTC1|70	5.041
ACTG1|71	59876.7758	ACTG1|71	43550.4096
ACTG2|72	19.1476	ACTG2|72	6329.8677
ACTL6A|86	3061.1489	ACTL6A|86	717.3913
ACTL8|81569	40.1482	lowly_expressed	lowly_expressed
ACTN1|87	7408.8944	ACTN1|87	9703.5287
ACTN4|81	8971.1427	ACTN4|81	10614.6723
ACTR10|55860	1204.4472	ACTR10|55860	954.0013
ACTR1A|10121	2283.1995	ACTR1A|10121	2457.4669
ACTR1B|10120	985.7937	ACTR1B|10120	1363.8941
ACTR2|10097	7157.8135	ACTR2|10097	5822.9364
ACTR3B|57180	119.8271	ACTR3B|57180	170.7624
ACTR3C|653857	56.8252	ACTR3C|653857	34.0265
ACTR3|10096	5347.1279	ACTR3|10096	3547.259
ACTR5|79913	284.4348	ACTR5|79913	182.4197
ACTR6|64431	664.6078	ACTR6|64431	511.0271
ACTR8|93973	306.0531	ACTR8|93973	534.3415
ACVR1B|91	1835.7011	ACVR1B|91	1089.1619
ACVR1C|130399	428.6597	ACVR1C|130399	725.5829
ACVR1|90	1740.8894	ACVR1|90	1152.1739
ACVR2A|92	793.391	ACVR2A|92	777.2527
ACVR2B|93	202.2854	ACVR2B|93	579.3951
ACVRL1|94	284.4348	ACVRL1|94	1010.397
ACY1|95	280.1112	ACY1|95	441.0838
ACY3|91703	21.6183	ACY3|91703	11.3422
ACYP1|97	185.6084	ACYP1|97	67.4228
ACYP2|98	123.8419	ACYP2|98	160.9956
ADAD2|161931	5.3768	lowly_expressed	lowly_expressed
ADAL|161823	235.9481	ADAL|161823	170.1323
ADAM10|102	2458.9253	ADAM10|102	2128.2294
lowly_expressed	lowly_expressed	ADAM11|4185	9.7669
ADAM12|8038	796.7881	ADAM12|8038	1034.9716
ADAM15|8751	12375.0649	ADAM15|8751	2636.8084
ADAM17|6868	2270.5374	ADAM17|6868	886.8935
ADAM19|8728	966.9549	ADAM19|8728	372.7158
lowly_expressed	lowly_expressed	ADAM21P1|145241	5.041
lowly_expressed	lowly_expressed	ADAM21|8747	5.9861
ADAM22|53616	12.0445	ADAM22|53616	101.4493
ADAM23|8745	35.2069	ADAM23|8745	35.6018
ADAM28|10863	239.3453	ADAM28|10863	164.4612
lowly_expressed	lowly_expressed	ADAM29|11086	6.6163
lowly_expressed	lowly_expressed	ADAM32|203102	30.5608
ADAM33|80332	20.6918	ADAM33|80332	929.0044
ADAM6|8755	90696.8283	ADAM6|8755	43174.8708
ADAM8|101	707.8443	ADAM8|101	166.3516
ADAM9|8754	1885.7319	ADAM9|8754	2139.2565
ADAMDEC1|27299	1027.7949	ADAMDEC1|27299	64.5873
ADAMTS10|81794	36.7511	ADAMTS10|81794	244.1714
ADAMTS12|81792	68.252	ADAMTS12|81792	193.7618
ADAMTS13|11093	53.428	ADAMTS13|11093	77.5047
ADAMTS14|140766	46.3249	ADAMTS14|140766	19.8488
ADAMTS15|170689	47.8691	ADAMTS15|170689	266.8557
ADAMTS16|170690	5.559	ADAMTS16|170690	392.5646
ADAMTS17|170691	72.5757	ADAMTS17|170691	29.3006
ADAMTS18|170692	12.0445	ADAMTS18|170692	189.666
ADAMTS1|9510	440.3953	ADAMTS1|9510	1879.9622
ADAMTS20|80070	18.8388	lowly_expressed	lowly_expressed
ADAMTS2|9509	227.9185	ADAMTS2|9509	703.8437
ADAMTS3|9508	21.9271	ADAMTS3|9508	117.8324
ADAMTS4|9507	374.9228	ADAMTS4|9507	153.7492
