gene_id	TCGA-BH-A0DD-01A-31R-A12P-07	gene_id	TCGA-BH-A0DD-11A-23R-A12P-07
ADPRH|141	257.0028	ADPRH|141	724.6314
lowly_expressed	lowly_expressed	ADRA1A|148	226.7997
lowly_expressed	lowly_expressed	ADRA1B|147	63.7467
lowly_expressed	lowly_expressed	ADRA1D|146	6.5048
ADRA2A|150	907.9132	ADRA2A|150	2239.3755
ADRA2B|151	6.6527	ADRA2B|151	74.588
ADRA2C|152	32.2129	ADRA2C|152	153.0789
lowly_expressed	lowly_expressed	ADRB1|153	256.7216
ADRB2|154	53.9216	ADRB2|154	785.3426
lowly_expressed	lowly_expressed	ADRB3|155	11.2749
ADRBK1|156	2613.0952	ADRBK1|156	1646.5742
ADRBK2|157	1047.9692	ADRBK2|157	2820.4683
ADRM1|11047	1213.9356	ADRM1|11047	1181.2663
ADSL|158	842.437	ADSL|158	645.7069
ADSSL1|122622	40.6162	ADSSL1|122622	250.2168
ADSS|159	2833.6835	ADSS|159	672.5932
AEBP1|165	11661.7647	AEBP1|165	8157.8491
AEBP2|121536	591.3866	AEBP2|121536	537.7277
AEN|64782	449.2297	AEN|64782	232.4371
AES|166	5092.437	AES|166	5709.4536
AFAP1L1|134265	92.437	AFAP1L1|134265	1823.5039
AFAP1L2|84632	2023.4594	AFAP1L2|84632	489.5924
AFAP1|60312	1627.7346	AFAP1|60312	1730.2602
AFF1|4299	3150.9104	AFF1|4299	3777.1032
AFF2|2334	5.6022	AFF2|2334	147.8751
AFF3|3899	3504.902	AFF3|3899	508.2394
AFF4|27125	4258.7535	AFF4|27125	2748.4822
AFG3L1|172	327.7311	AFG3L1|172	190.8066
AFG3L2|10939	2034.3102	AFG3L2|10939	981.2099
AFMID|125061	281.1625	AFMID|125061	389.4189
AFP|174	5.2521	lowly_expressed	lowly_expressed
AFTPH|54812	2391.4566	AFTPH|54812	1016.9124
AG2|387763	56.0224	AG2|387763	1157.8491
AGAP11|119385	31.5126	AGAP11|119385	395.9237
AGAP1|116987	676.4706	AGAP1|116987	385.9497
AGAP2|116986	55.8368	AGAP2|116986	63.1266
AGAP3|116988	1077.0308	AGAP3|116988	1194.2758
AGAP4|119016	167.3669	AGAP4|119016	135.2992
AGAP5|729092	54.7864	AGAP5|729092	56.5655
AGAP6|414189	95.5882	AGAP6|414189	65.4814
AGAP7|653268	25.2101	lowly_expressed	lowly_expressed
AGAP8|728404	43.4174	AGAP8|728404	29.4883
AGA|175	635.5042	AGA|175	490.026
AGBL2|79841	12.605	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AGBL3|340351	9.974
AGBL4|84871	27.6611	lowly_expressed	lowly_expressed
AGBL5|60509	601.5546	AGBL5|60509	561.5828
AGER|177	31.8627	AGER|177	37.294
AGFG1|3267	1447.1289	AGFG1|3267	2849.0893
AGFG2|3268	258.0532	AGFG2|3268	479.1847
AGGF1|55109	1269.958	AGGF1|55109	868.17
AGK|55750	640.7563	AGK|55750	475.7155
AGL|178	3844.1877	AGL|178	1913.2697
AGMAT|79814	20.6583	lowly_expressed	lowly_expressed
AGPAT1|10554	1985.4482	AGPAT1|10554	1933.0572
AGPAT2|10555	497.8992	AGPAT2|10555	8712.9228
AGPAT3|56894	3130.9524	AGPAT3|56894	2526.8864
AGPAT4|56895	75.9804	AGPAT4|56895	315.6982
AGPAT5|55326	1044.4678	AGPAT5|55326	265.3946
AGPAT6|137964	3065.4762	AGPAT6|137964	1833.9115
AGPAT9|84803	32.563	AGPAT9|84803	113.183
AGPHD1|123688	16.1064	AGPHD1|123688	70.6852
AGPS|8540	1432.423	AGPS|8540	1977.4501
AGR2|10551	4695.3782	AGR2|10551	58.5429
AGR3|155465	3755.6022	AGR3|155465	48.1353
AGRN|375790	3516.4566	AGRN|375790	1189.072
AGTPBP1|23287	305.3221	AGTPBP1|23287	506.0711
AGTR1|185	221.2885	AGTR1|185	915.0043
AGTRAP|57085	471.2885	AGTRAP|57085	496.0971
AGT|183	166.6667	AGT|183	143.9722
AGXT2L1|64850	11.5546	lowly_expressed	lowly_expressed
AGXT2L2|85007	167.479	AGXT2L2|85007	726.6739
lowly_expressed	lowly_expressed	AGXT|189	7.8057
AHCTF1|25909	3453.4314	AHCTF1|25909	1696.0104
AHCYL1|10768	2285.3641	AHCYL1|10768	5738.5082
AHCYL2|23382	599.4398	AHCYL2|23382	815.6982
AHCY|191	4646.3585	AHCY|191	1477.8838
AHDC1|27245	491.9468	AHDC1|27245	780.5724
