gene_id	TCGA-BH-A0C0-01A-21R-A056-07	gene_id	TCGA-BH-A0C0-11A-21R-A089-07
ACOT11|26027	30.1508	ACOT11|26027	36.3943
ACOT13|55856	407.1905	ACOT13|55856	508.3596
ACOT1|641371	428.5062	ACOT1|641371	456.515
ACOT2|10965	323.4354	ACOT2|10965	304.2402
ACOT4|122970	224.3033	ACOT4|122970	134.9427
ACOT7|11332	995.8885	ACOT7|11332	139.8948
ACOT8|10005	345.8977	ACOT8|10005	225.4472
ACOT9|23597	499.7716	ACOT9|23597	371.0925
ACOX1|51	2803.0882	ACOX1|51	1592.77
ACOX2|8309	486.9804	ACOX2|8309	344.7849
ACOX3|8310	433.9881	ACOX3|8310	799.1334
lowly_expressed	lowly_expressed	ACOXL|55289	5.2615
ACP1|52	2359.9817	ACP1|52	1277.004
ACP2|53	1310.1873	ACP2|53	680.2847
ACP5|54	2582.0009	ACP5|54	579.3872
ACP6|51205	145.2718	ACP6|51205	250.3869
ACPL2|92370	707.1722	ACPL2|92370	541.628
ACPP|55	66.2403	ACPP|55	64.0669
ACRBP|84519	62.1288	ACRBP|84519	18.5701
ACRC|93953	19.1868	ACRC|93953	24.7601
lowly_expressed	lowly_expressed	ACSBG1|23205	14.8561
ACSF2|80221	1419.3696	ACSF2|80221	892.2934
ACSF3|197322	619.0041	ACSF3|197322	313.5252
ACSL1|2180	2268.159	ACSL1|2180	2695.7598
ACSL3|2181	5477.3869	ACSL3|2181	4337.0474
ACSL4|2182	1056.6469	ACSL4|2182	1310.1207
ACSL5|51703	544.9977	ACSL5|51703	1068.0904
ACSL6|23305	6.3956	ACSL6|23305	8.3565
lowly_expressed	lowly_expressed	ACSM1|116285	26.9266
ACSM3|6296	8.1681	lowly_expressed	lowly_expressed
ACSM5|54988	23.7551	ACSM5|54988	77.9944
ACSS1|84532	775.2398	ACSS1|84532	1223.4602
ACSS2|55902	942.8963	ACSS2|55902	1199.6286
ACSS3|79611	14.1617	ACSS3|79611	429.8979
lowly_expressed	lowly_expressed	ACTA1|58	25.3791
ACTA2|59	1991.8136	ACTA2|59	42934.0792
ACTB|60	111238.7757	ACTB|60	54697.9263
ACTC1|70	10.9639	lowly_expressed	lowly_expressed
ACTG1|71	88528.095	ACTG1|71	47321.2628
ACTG2|72	51.1649	ACTG2|72	10064.9954
ACTL6A|86	2201.4619	ACTL6A|86	878.3658
ACTL8|81569	100.5025	lowly_expressed	lowly_expressed
ACTN1|87	4211.0553	ACTN1|87	11312.5967
ACTN2|88	89.0818	lowly_expressed	lowly_expressed
ACTN4|81	5723.7277	ACTN4|81	13883.3055
