gene_id	TCGA-E9-A1R7-01A-11R-A14M-07	gene_id	TCGA-E9-A1R7-11A-42R-A14M-07
ACP5|54	2243.8424	ACP5|54	789.2395
ACP6|51205	198.4518	ACP6|51205	148.8673
ACPL2|92370	423.6453	ACPL2|92370	266.5858
ACPP|55	209.0077	ACPP|55	26.699
removed	removed	ACRBP|84519	18.6084
ACRC|93953	14.7783	ACRC|93953	38.0259
removed	removed	ACR|49	5.2589
removed	removed	ACSBG1|23205	15.7767
ACSF2|80221	451.4426	ACSF2|80221	804.6117
ACSF3|197322	213.582	ACSF3|197322	209.5469
ACSL1|2180	2229.4159	ACSL1|2180	17569.1748
ACSL3|2181	3007.0373	ACSL3|2181	2468.0421
ACSL4|2182	279.7326	ACSL4|2182	3779.5307
ACSL5|51703	106.2632	ACSL5|51703	1042.0712
ACSL6|23305	66.8543	ACSL6|23305	5.2589
ACSM1|116285	17.5932	removed	removed
ACSM3|6296	52.3118	ACSM3|6296	54.3568
ACSM5|54988	7.741	ACSM5|54988	656.5534
ACSS1|84532	2670.3026	ACSS1|84532	537.6214
ACSS2|55902	615.4117	ACSS2|55902	3236.6505
ACSS3|79611	621.0415	ACSS3|79611	1379.4498
removed	removed	ACTA1|58	41.2621
ACTA2|59	1880.3976	ACTA2|59	15540.178
ACTB|60	41523.2231	ACTB|60	60875.4045
removed	removed	ACTC1|70	18.6084
ACTG1|71	36649.5426	ACTG1|71	29172.3301
ACTG2|72	20.76	ACTG2|72	4577.6699
ACTL6A|86	1704.7854	ACTL6A|86	602.3463
ACTN1|87	1951.0908	ACTN1|87	7156.9579
ACTN2|88	276.5658	removed	removed
ACTN4|81	5681.5693	ACTN4|81	8784.6683
ACTR10|55860	1457.7762	ACTR10|55860	1245.1456
ACTR1A|10121	2233.2864	ACTR1A|10121	2936.0841
ACTR1B|10120	961.2949	ACTR1B|10120	1023.8673
ACTR2|10097	12785.7143	ACTR2|10097	7288.4304
ACTR3B|57180	238.9163	ACTR3B|57180	93.4466
ACTR3C|653857	26.7417	ACTR3C|653857	26.2945
ACTR3|10096	3863.4764	ACTR3|10096	3788.4304
ACTR5|79913	226.601	ACTR5|79913	151.2945
ACTR6|64431	758.6207	ACTR6|64431	538.0259
ACTR8|93973	497.5369	ACTR8|93973	557.4434
ACVR1B|91	1872.6249	ACVR1B|91	804.2071
ACVR1C|130399	56.6502	ACVR1C|130399	2439.7249
ACVR1|90	1176.2843	ACVR1|90	1260.1133
ACVR2A|92	332.8642	ACVR2A|92	631.4725
ACVR2B|93	347.6425	ACVR2B|93	512.945
ACVRL1|94	218.1562	ACVRL1|94	1202.2654
ACY1|95	243.8424	ACY1|95	401.2338
ACYP1|97	50.6685	ACYP1|97	45.3074
ACYP2|98	95.0035	ACYP2|98	256.4725
ADAL|161823	290.9923	ADAL|161823	231.7961
ADAM10|102	4409.5707	ADAM10|102	1735.8414
ADAM11|4185	6.6854	removed	removed
ADAM12|8038	880.3659	ADAM12|8038	1411.0032
ADAM15|8751	2024.6552	ADAM15|8751	2437.7023
ADAM17|6868	963.7579	ADAM17|6868	726.5372
ADAM19|8728	103.8001	ADAM19|8728	122.1683
ADAM21P1|145241	6.3336	removed	removed
ADAM21|8747	22.8712	ADAM21|8747	5.6634
ADAM22|53616	125.6158	ADAM22|53616	358.4142
ADAM23|8745	42.9275	ADAM23|8745	117.7184
ADAM28|10863	31.6678	ADAM28|10863	54.2071
removed	removed	ADAM32|203102	25.0809
ADAM33|80332	14.4265	ADAM33|80332	721.4482
ADAM6|8755	6740.4856	ADAM6|8755	16128.8673
ADAM8|101	275.5102	ADAM8|101	34.3851
ADAM9|8754	5799.437	ADAM9|8754	3232.2006
ADAMDEC1|27299	7.3892	removed	removed
ADAMTS10|81794	54.1872	ADAMTS10|81794	270.6311
ADAMTS12|81792	278.677	ADAMTS12|81792	379.4498
ADAMTS13|11093	65.4469	ADAMTS13|11093	17.7994
ADAMTS14|140766	28.8529	removed	removed
ADAMTS15|170689	763.1949	ADAMTS15|170689	302.9935
ADAMTS16|170690	46.798	ADAMTS16|170690	117.3139
ADAMTS17|170691	38.3533	ADAMTS17|170691	28.3172
removed	removed	ADAMTS18|170692	304.2071
ADAMTS1|9510	243.1386	ADAMTS1|9510	2845.4693
ADAMTS2|9509	242.4349	ADAMTS2|9509	763.754
ADAMTS3|9508	14.7783	ADAMTS3|9508	497.1683
ADAMTS4|9507	67.5581	ADAMTS4|9507	173.1392
ADAMTS5|11096	46.0943	ADAMTS5|11096	3957.5243
ADAMTS6|11174	44.335	ADAMTS6|11174	56.6343
ADAMTS7|11173	38.0014	ADAMTS7|11173	97.8964
removed	removed	ADAMTS8|11095	21.8447
ADAMTS9|56999	133.0049	ADAMTS9|56999	716.8285
ADAMTSL1|92949	54.8909	ADAMTSL1|92949	627.4272
ADAMTSL2|9719	37.6495	ADAMTSL2|9719	73.6246
ADAMTSL3|57188	35.5384	ADAMTSL3|57188	795.3074
ADAMTSL4|54507	19.3526	ADAMTSL4|54507	1234.6278
ADAMTSL5|339366	122.449	ADAMTSL5|339366	31.9579
ADAP1|11033	294.9824	ADAP1|11033	92.8236
ADAP2|55803	82.6882	ADAP2|55803	484.2233
ADARB1|104	609.0781	ADARB1|104	1085.7605
ADAR|103	8898.311	ADAR|103	6055.0162
ADAT1|23536	447.2203	ADAT1|23536	377.4272
ADAT2|134637	84.0957	ADAT2|134637	154.5307
ADAT3|113179	43.2794	ADAT3|113179	8.8997
ADA|100	26.3899	ADA|100	142.7994
ADCK1|57143	131.5975	ADCK1|57143	134.7087
ADCK2|90956	680.5067	ADCK2|90956	437.7023
ADCK4|79934	237.8607	ADCK4|79934	248.3819
ADCK5|203054	72.836	ADCK5|203054	28.7217
ADCY10|55811	260.0281	removed	removed
ADCY1|107	14368.0507	ADCY1|107	378.6408
ADCY2|108	6.6854	ADCY2|108	92.233
ADCY3|109	463.9409	ADCY3|109	1548.3859
ADCY4|196883	67.9099	ADCY4|196883	609.2233
ADCY5|111	1112.5968	ADCY5|111	575.2427
ADCY6|112	1355.7354	ADCY6|112	2726.5372
ADCY7|113	218.1562	ADCY7|113	1375
ADCY9|115	854.6798	ADCY9|115	796.521
removed	removed	ADCYAP1R1|117	57.4434
ADC|113451	108.7262	ADC|113451	92.6375
ADD1|118	2789.9367	ADD1|118	8221.2783
ADD2|119	34.1309	ADD2|119	110.0324
ADD3|120	1078.8177	ADD3|120	5300.1618
removed	removed	ADH1A|124	404.4984
ADH1B|125	337.4384	ADH1B|125	52702.6699
removed	removed	ADH1C|126	467.233
removed	removed	ADH4|127	40.4531
ADH5|128	1672.7657	ADH5|128	5497.5728
ADHFE1|137872	70.0211	ADHFE1|137872	471.2783
ADI1|55256	968.3322	ADI1|55256	2241.1003
ADIPOQ|9370	372.6249	ADIPOQ|9370	68913.0259
ADIPOR1|51094	8869.1063	ADIPOR1|51094	2140.3722
ADIPOR2|79602	2624.2083	ADIPOR2|79602	4090.6149
ADK|132	390.2182	ADK|132	385.1133
ADM2|79924	255.8058	ADM2|79924	16.5858
ADM|133	20.0563	ADM|133	1878.2362
ADNP2|22850	907.4595	ADNP2|22850	528.3172
ADNP|23394	5665.7284	ADNP|23394	2593.0421
ADORA1|134	56.2984	ADORA1|134	186.4887
ADORA2A|135	40.8163	ADORA2A|135	45.712
ADORA2B|136	11.6115	ADORA2B|136	46.1165
ADORA3|140	39.7607	ADORA3|140	188.9159
ADO|84890	1679.803	ADO|84890	677.589
ADPGK|83440	1165.9887	ADPGK|83440	762.9167
ADPRHL1|113622	151.3019	ADPRHL1|113622	72.0065
ADPRHL2|54936	242.083	ADPRHL2|54936	360.0324
ADPRH|141	108.3744	ADPRH|141	697.411
removed	removed	ADRA1A|148	152.5081
removed	removed	ADRA1B|147	71.1974
removed	removed	ADRA1D|146	5.6634
ADRA2A|150	29.9085	ADRA2A|150	2245.9547
removed	removed	ADRA2B|151	44.0939
