gene_id	TCGA-E9-A1R7-01A-11R-A14M-07	gene_id	TCGA-E9-A1R7-11A-42R-A14M-07
NDE1|54820	1010.658	NDE1|54820	337.7144
NDEL1|81565	452.1464	NDEL1|81565	1097.4919
NDFIP1|80762	1591.8367	NDFIP1|80762	4383.0906
NDFIP2|54602	2065.095	NDFIP2|54602	624.5955
NDNL2|56160	429.9789	NDNL2|56160	366.1003
NDN|4692	114.0042	NDN|4692	1212.7832
NDOR1|27158	329.6974	NDOR1|27158	186.4887
removed	removed	NDP|4693	27.9126
NDRG1|10397	3874.7361	NDRG1|10397	11572.8155
NDRG2|57447	1851.8649	NDRG2|57447	4695.7929
NDRG3|57446	1933.8494	NDRG3|57446	1103.9644
NDRG4|65009	2507.3892	NDRG4|65009	220.0647
NDST1|3340	3228.0084	NDST1|3340	4968.0421
NDST2|8509	697.7481	NDST2|8509	496.7638
NDUFA10|4705	1406.4039	NDUFA10|4705	1457.9288
NDUFA11|126328	979.9437	NDUFA11|126328	550.5663
NDUFA12|55967	646.3758	NDUFA12|55967	606.3916
NDUFA13|51079	2149.1063	NDUFA13|51079	1082.2411
NDUFA1|4694	796.9739999999999	NDUFA1|4694	1020.6311
NDUFA2|4695	738.2125	NDUFA2|4695	461.9741
NDUFA3|4696	155.1724	NDUFA3|4696	266.9903
NDUFA4L2|56901	45.0387	NDUFA4L2|56901	216.0194
NDUFA4|4697	2446.1647	NDUFA4|4697	1988.2686
NDUFA5|4698	1578.4659	NDUFA5|4698	1228.1553
NDUFA6|4700	849.4018	NDUFA6|4700	887.5405
NDUFA7|4701	577.7621	NDUFA7|4701	193.3657
NDUFA8|4702	574.9472	NDUFA8|4702	654.5307
NDUFA9|4704	1024.2787	NDUFA9|4704	903.7217
NDUFAB1|4706	1078.4659	NDUFAB1|4706	647.6537
NDUFAF1|51103	485.9254	NDUFAF1|51103	309.8706
NDUFAF2|91942	102.7445	NDUFAF2|91942	131.877
NDUFAF3|25915	295.5665	NDUFAF3|25915	626.2136
NDUFAF4|29078	178.7474	NDUFAF4|29078	277.1036
NDUFB10|4716	1252.2871	NDUFB10|4716	841.8285
NDUFB11|54539	726.6010000000001	NDUFB11|54539	567.5566
NDUFB1|4707	257.2132	NDUFB1|4707	497.9773
NDUFB2|4708	880.3624	NDUFB2|4708	674.7573
NDUFB3|4709	656.2280000000001	NDUFB3|4709	575.6472
NDUFB4|4710	1692.4701	NDUFB4|4710	1196.6019
NDUFB5|4711	1185.7847	NDUFB5|4711	1487.055
NDUFB6|4712	275.8621	NDUFB6|4712	485.4369
NDUFB7|4713	465.5172	NDUFB7|4713	520.2265
NDUFB8|4714	247.727	NDUFB8|4714	759.8058
NDUFB9|4715	2413.0894	NDUFB9|4715	1392.3948
NDUFC1|4717	578.114	NDUFC1|4717	469.6602
NDUFC2|4718	1564.0394	NDUFC2|4718	1429.6117
NDUFS1|4719	1814.5672	NDUFS1|4719	1758.0906
NDUFS2|4720	3844.1239	NDUFS2|4720	1457.5243
NDUFS3|4722	1131.608	NDUFS3|4722	841.5453
NDUFS4|4724	434.905	NDUFS4|4724	654.5307
NDUFS5|4725	3834.2716	NDUFS5|4725	1550.9709
NDUFS6|4726	794.8628	NDUFS6|4726	436.8932
NDUFS7|374291	321.5588	NDUFS7|374291	272.2492
NDUFS8|4728	476.0732	NDUFS8|4728	408.5761
NDUFV1|4723	610.8374	NDUFV1|4723	1132.2816
NDUFV2|4729	2269.5285	NDUFV2|4729	1324.4337
NDUFV3|4731	763.5468	NDUFV3|4731	624.1909
NEAT1|283131	849.4018	NEAT1|283131	9205.0971
NEBL|10529	1496.1295	NEBL|10529	1262.5405
NEB|4703	12.6671	NEB|4703	17.7994
NECAB1|64168	23.2231	NECAB1|64168	297.7346
removed	removed	NECAB2|54550	6.4725
NECAB3|63941	995.7776	NECAB3|63941	178.3981
NECAP1|25977	1592.8923	NECAP1|25977	682.8479
NECAP2|55707	544.6868	NECAP2|55707	1302.589
NEDD1|121441	820.9008	NEDD1|121441	591.4239
NEDD4L|23327	6485.2217	NEDD4L|23327	1658.9806
NEDD4|4734	619.6341	NEDD4|4734	833.3333
NEDD8|4738	1480.9993	NEDD8|4738	1405.7443
NEDD9|4739	272.3434	NEDD9|4739	1676.3754
NEFH|4744	46.4462	NEFH|4744	39.644
removed	removed	NEFL|4747	10.5178
removed	removed	NEFM|4741	12.945
NEGR1|257194	184.3772	NEGR1|257194	1531.1489
NEIL1|79661	83.0401	NEIL1|79661	65.9385
NEIL2|252969	219.5637	NEIL2|252969	462.3786
NEIL3|55247	72.1323	removed	removed
NEK10|152110	313.8635	NEK10|152110	85.35600000000001
NEK11|79858	349.05	NEK11|79858	224.9191
NEK1|4750	713.9338	NEK1|4750	710.3560000000001
NEK2|4751	1386.6995	NEK2|4751	5.6634
NEK3|4752	301.1963	NEK3|4752	288.0259
NEK4|6787	553.8353	NEK4|6787	483.8188
NEK5|341676	129.4863	NEK5|341676	8.0906
NEK6|10783	596.7628	NEK6|10783	872.9773
NEK7|140609	3935.2569	NEK7|140609	6621.3592
NEK8|284086	116.8191	NEK8|284086	28.7217
NEK9|91754	1206.8966	NEK9|91754	3705.9061
NELF|26012	398.6629	NELF|26012	449.0291
NELL2|4753	21.4638	NELL2|4753	62.2977
NENF|29937	1362.069	NENF|29937	766.1812
NEO1|4756	2795.9184	NEO1|4756	1446.6019
NES|10763	1299.0852	NES|10763	3412.2168
NET1|10276	4489.0922	NET1|10276	4368.5275
NETO2|81831	20.4082	NETO2|81831	75.2427
NEU1|4758	1439.4792	NEU1|4758	866.9094
NEU3|10825	241.0274	NEU3|10825	82.5243
NEURL1B|54492	1468.3322	NEURL1B|54492	1968.0421
NEURL2|140825	6.4673	NEURL2|140825	11.0113
removed	removed	NEURL3|93082	16.1812
NEURL4|84461	301.5482	NEURL4|84461	312.7023
NEURL|9148	113.6524	removed	removed
NEUROD4|58158	8.4448	removed	removed
NEXN|91624	95.7072	NEXN|91624	1235.4369
NF1|4763	6650.5982	NF1|4763	3183.2524
NF2|4771	857.1429	NF2|4771	747.9773
NFAM1|150372	57.354	NFAM1|150372	288.0259
NFASC|23114	2862.8255	NFASC|23114	559.6561
NFAT5|10725	1142.5053	NFAT5|10725	3343.4466
NFATC1|4772	285.3624	NFATC1|4772	571.6019
NFATC2IP|84901	1320.9008	NFATC2IP|84901	709.1424
NFATC2|4773	53.1316	NFATC2|4773	136.7314
NFATC3|4775	629.4863	NFATC3|4775	1360.0324
NFATC4|4776	440.8867	NFATC4|4776	509.3042
NFE2L1|4779	10317.734	NFE2L1|4779	16011.3269
NFE2L2|4780	3913.0507	NFE2L2|4780	3741.6424
NFE2L3|9603	312.45599999999996	NFE2L3|9603	287.6214
NFE2|4778	102.3927	NFE2|4778	16.5858
NFIA|4774	1197.7481	NFIA|4774	3665.8576
NFIB|4781	402.1816	NFIB|4781	7176.3754
NFIC|4782	2083.0401	NFIC|4782	1185.6796
NFIL3|4783	89.3737	NFIL3|4783	752.0227
NFIX|4784	4174.525	NFIX|4784	5927.9935
NFKB1|4790	1251.5834	NFKB1|4790	1630.2589
NFKB2|4791	372.6249	NFKB2|4791	396.0356
NFKBIA|4792	1157.6355	NFKBIA|4792	1770.2265
NFKBIB|4793	153.0612	NFKBIB|4793	184.46599999999998
NFKBID|84807	5.278	NFKBID|84807	16.9903
NFKBIE|4794	204.0816	NFKBIE|4794	125.8091
NFKBIL1|4795	238.2125	NFKBIL1|4795	233.8188
NFKBIL2|4796	222.3786	NFKBIL2|4796	30.6877
NFKBIZ|64332	5338.0788	NFKBIZ|64332	543.2848
NFRKB|4798	432.4419	NFRKB|4798	607.6052
NFS1|9054	599.5778	NFS1|9054	390.7767
NFU1|27247	771.9916	NFU1|27247	861.6505
NFX1|4799	722.3786	NFX1|4799	1334.9515
NFXL1|152518	204.3983	NFXL1|152518	264.1586
NFYA|4800	1811.4004	NFYA|4800	814.7249
NFYB|4801	729.4159	NFYB|4801	1207.9288
NFYC|4802	1546.316	NFYC|4802	680.2872
NGDN|25983	514.7783	NGDN|25983	411.8123
NGEF|25791	241.7312	NGEF|25791	35.1942
NGFRAP1|27018	1595.7072	NGFRAP1|27018	1085.356
NGFR|4804	50.6685	NGFR|4804	444.1748
removed	removed	NGF|4803	14.9676
NGLY1|55768	366.6432	NGLY1|55768	645.6311
NGRN|51335	2318.8811	NGRN|51335	2488.5113
NHEDC1|150159	7.0373	NHEDC1|150159	9.7087
NHEDC2|133308	37.6495	NHEDC2|133308	330.5016
NHEJ1|79840	344.4757	NHEJ1|79840	321.3552
NHLRC1|378884	62.2801	NHLRC1|378884	68.3657
NHLRC2|374354	243.1386	NHLRC2|374354	354.3689
NHLRC3|387921	1133.7087	NHLRC3|387921	1408.9806
NHLRC4|283948	26.7417	NHLRC4|283948	25.0809
NHP2L1|4809	1989.7959	NHP2L1|4809	1485.0324
NHP2|55651	1042.2238	NHP2|55651	574.8382
NHSL1|57224	281.4919	NHSL1|57224	440.1294
NHSL2|340527	127.0232	NHSL2|340527	193.7702
NHS|4810	250.5278	NHS|4810	550.1618
NICN1|84276	136.1717	NICN1|84276	366.0073
NID1|4811	1794.145	NID1|4811	6373.2565
NID2|22795	471.8508	NID2|22795	869.7411
NIF3L1|60491	656.2280000000001	NIF3L1|60491	384.7087
NINJ1|4814	483.8142	NINJ1|4814	1247.9773
NINJ2|4815	96.7628	NINJ2|4815	146.0356
NINL|22981	197.7481	NINL|22981	201.0518
NIN|51199	1454.6094	NIN|51199	2066.7476
NIP7|51388	444.0535	NIP7|51388	455.5016
NIPA1|123606	1080.2252	NIPA1|123606	591.4239
NIPA2|81614	1633.0049	NIPA2|81614	820.7929
NIPAL1|152519	40.8163	NIPAL1|152519	23.0583
NIPAL2|79815	684.3772	NIPAL2|79815	405.7443
NIPAL3|57185	1483.1105	NIPAL3|57185	1010.9223
NIPBL|25836	5852.5686	NIPBL|25836	3217.6375
NIPSNAP1|8508	2401.126	NIPSNAP1|8508	452.2654
NIPSNAP3A|25934	652.3575	NIPSNAP3A|25934	673.1392
NIPSNAP3B|55335	13.7403	NIPSNAP3B|55335	241.5534
NISCH|11188	958.4799	NISCH|11188	1988.6731
NIT1|4817	634.7185	NIT1|4817	459.4296
NIT2|56954	1065.7987	NIT2|56954	544.9029
NKAIN1|79570	2128.7825	NKAIN1|79570	8.0906
NKAIN2|154215	5.9817	NKAIN2|154215	21.0356
removed	removed	NKAPL|222698	64.7249
NKAP|79576	479.24	NKAP|79576	330.5016
NKD1|85407	11.9634	NKD1|85407	21.0356
NKD2|85409	178.7474	NKD2|85409	8.8997
NKG7|4818	9.8522	NKG7|4818	61.4887
NKIRAS1|28512	38.7051	NKIRAS1|28512	343.8511
NKIRAS2|28511	1172.0619	NKIRAS2|28511	605.9871
removed	removed	NKPD1|284353	12.1359
NKRF|55922	468.3322	NKRF|55922	276.2945
NKTR|4820	1097.4666	NKTR|4820	2694.5793
NKX2-2|4821	104.152	removed	removed
NKX3-1|4824	88.67	NKX3-1|4824	103.1553
NKX6-1|4825	5.9817	NKX6-1|4825	5.6634
NLE1|54475	385.6439	NLE1|54475	315.1294
removed	removed	NLGN1|22871	156.1489
NLGN2|57555	361.3652	NLGN2|57555	492.7184
NLGN3|54413	35.1865	NLGN3|54413	47.7346
NLGN4X|57502	16.1858	NLGN4X|57502	171.521
NLK|51701	1727.3047	NLK|51701	408.5761
NLN|57486	959.8874	NLN|57486	475.3236
NLRC3|197358	55.2428	NLRC3|197358	93.0421
NLRC4|58484	8.7966	NLRC4|58484	107.2006
NLRC5|84166	137.5792	NLRC5|84166	429.6117
removed	removed	NLRP12|91662	13.754000000000001
NLRP1|22861	114.0042	NLRP1|22861	935.6796
NLRP2|55655	6.6854	NLRP2|55655	93.0421
NLRP3|114548	14.4265	NLRP3|114548	150.0809
NLRX1|79671	221.32299999999998	NLRX1|79671	516.1812
NMB|4828	11.2597	NMB|4828	494.3366
NMD3|51068	2038.3533	NMD3|51068	1211.165
NME1-NME2|654364	153.3392	NME1-NME2|654364	40.4895
NME1|4830	1775.2604	NME1|4830	512.6375
NME2P1|283458	100.2815	NME2P1|283458	63.1068
NME2|4831	5277.9451	NME2|4831	3490.1537
NME3|4832	566.1506	NME3|4832	180.8252
NME4|4833	2223.4342	NME4|4833	1167.8803
NME5|8382	160.4504	NME5|8382	30.7443
NME6|10201	125.9676	NME6|10201	156.1489
NME7|29922	431.7875	NME7|29922	193.305
NMI|9111	366.9951	NMI|9111	415.4531
NMNAT1|64802	459.8874	NMNAT1|64802	349.9191
NMNAT2|23057	938.0718	NMNAT2|23057	489.0777
NMNAT3|349565	347.2906	NMNAT3|349565	243.5275
NMRAL1|57407	894.4405	NMRAL1|57407	236.6505
NMT1|4836	4108.0225	NMT1|4836	3250.8091
NMT2|9397	78.4659	NMT2|9397	3468.4466
removed	removed	NMUR1|10316	138.754
removed	removed	NNAT|4826	225.3236
NNMT|4837	379.6622	NNMT|4837	2617.7184
NNT|23530	1016.1858	NNT|23530	1995.9547
NOB1|28987	502.8149	NOB1|28987	747.9773
NOC2L|26155	3248.5468	NOC2L|26155	779.3649
NOC3L|64318	386.3476	NOC3L|64318	555.8252
NOC4L|79050	226.601	NOC4L|79050	102.3463
NOD1|10392	76.0028	NOD1|10392	510.9223
NOD2|64127	213.582	NOD2|64127	60.2751
removed	removed	NODAL|4838	10.9223
removed	removed	NOG|9241	8.0906
NOL10|79954	1104.152	NOL10|79954	686.8932
NOL11|25926	2266.3617	NOL11|25926	945.7929
NOL12|79159	184.3772	NOL12|79159	118.932
NOL3|8996	361.3652	NOL3|8996	366.1003
NOL6|65083	747.7129	NOL6|65083	757.2816
NOL7|51406	916.9599	NOL7|51406	572.411
NOL8|55035	918.7192	NOL8|55035	947.4110000000001
NOL9|79707	243.4905	NOL9|79707	220.8738
NOLC1|9221	3380.3659	NOLC1|9221	1506.068
NOM1|64434	571.0767	NOM1|64434	503.6408
NOMO1|23420	5289.5848	NOMO1|23420	3530.3398
NOMO2|283820	1637.2273	NOMO2|283820	924.3528
NOMO3|408050	2119.9859	NOMO3|408050	1760.5178
NONO|4841	9417.6636	NONO|4841	4491.1003
NOP10|55505	702.3223	NOP10|55505	656.5534
NOP14|8602	713.0049	NOP14|8602	830.4652
NOP16|51491	180.1548	NOP16|51491	119.7411
NOP2|4839	773.0471	NOP2|4839	364.4822
NOP56|10528	1653.4131	NOP56|10528	1116.5049
NOP58|51602	1675.2287	NOP58|51602	700.2427
NOS1AP|9722	214.9894	NOS1AP|9722	74.4337
NOS3|4846	81.0274	NOS3|4846	339.907
NOSIP|51070	224.8417	NOSIP|51070	353.1553
NOSTRIN|115677	426.8121	NOSTRIN|115677	1078.0744
NOTCH1|4851	459.8874	NOTCH1|4851	1640.7767
NOTCH2NL|388677	1041.0626	NOTCH2NL|388677	475.9668
NOTCH2|4853	11278.3251	NOTCH2|4853	11179.2071
NOTCH3|4854	1685.4328	NOTCH3|4854	4519.822
NOTCH4|4855	207.6003	NOTCH4|4855	1741.9094
NOVA1|4857	20.4082	NOVA1|4857	1176.3754
NOVA2|4858	15.8339	NOVA2|4858	94.2557
NOV|4856	64.3913	NOV|4856	686.8932
NOX4|50507	139.6904	NOX4|50507	876.6181
NOX5|79400	44.6868	NOX5|79400	5.267
NOXA1|10811	25.6861	NOXA1|10811	19.0129
NOXO1|124056	5.278	removed	removed
NPAS2|4862	550.6685	NPAS2|4862	160.1942
NPAS3|64067	13.3709	NPAS3|64067	103.1553
NPAT|4863	435.9606	NPAT|4863	569.5793
NPC1L1|29881	13.019	NPC1L1|29881	14.9676
NPC1|4864	700.5947	NPC1|4864	1157.8519
NPC2|10577	583.0401	NPC2|10577	4287.6214
NPDC1|56654	746.3054	NPDC1|56654	824.8382
NPEPL1|79716	435.9606	NPEPL1|79716	429.2071
NPEPPS|9520	5762.8431	NPEPPS|9520	2402.1036
removed	removed	NPFFR2|10886	6.068
removed	removed	NPFF|8620	10.1133
NPHP1|4867	197.3962	NPHP1|4867	138.754
NPHP3|27031	198.4518	NPHP3|27031	790.8576
NPHP4|261734	325.1232	NPHP4|261734	180.0162
NPIPL3|23117	306.2562	NPIPL3|23117	606.3916
NPIP|9284	313.6594	NPIP|9284	809.2921
NPLOC4|55666	4881.4215	NPLOC4|55666	2636.7314
NPL|80896	106.6151	NPL|80896	354.7735
NPM1|4869	13239.9719	NPM1|4869	7048.1392
NPM3|10360	262.8431	NPM3|10360	90.2104
NPNT|255743	4085.5032	NPNT|255743	516.1812
NPR1|4881	97.1147	NPR1|4881	3873.3819
NPR2|4882	62.2801	NPR2|4882	948.6246
NPR3|4883	38.3533	NPR3|4883	1199.8382
NPRL2|10641	146.0239	NPRL2|10641	191.4968
NPRL3|8131	776.5658	NPRL3|8131	562.7023
NPTN|27020	2853.6242	NPTN|27020	2279.9353
NPTX2|4885	10.9078	NPTX2|4885	6.4725
NPTXR|23467	1075.2991	NPTXR|23467	388.754
NPY1R|4886	40.4645	NPY1R|4886	2902.1036
removed	removed	NPY2R|4887	45.3074
removed	removed	NPY5R|4889	270.2265
NQO1|1728	8139.3385	NQO1|1728	7111.246
NQO2|4835	571.4286	NQO2|4835	669.0939
NR1D1|9572	463.5644	NR1D1|9572	992.3382
NR1D2|9975	1267.4173	NR1D2|9975	3173.9482
NR1H2|7376	380.3659	NR1H2|7376	958.3333
NR1H3|10062	140.746	NR1H3|10062	737.4595
NR1I2|8856	5.9817	removed	removed
NR1I3|9970	24.5496	NR1I3|9970	5.0283
NR2C1|7181	170.3026	NR2C1|7181	516.1812
NR2C2AP|126382	461.3089	NR2C2AP|126382	209.1707
NR2C2|7182	1471.5623	NR2C2|7182	1804.1989999999998
NR2F1|7025	132.6531	NR2F1|7025	319.9838
NR2F2|7026	814.5672	NR2F2|7026	2223.301
NR2F6|2063	2881.7734	NR2F6|2063	309.0615
NR3C1|2908	495.0739	NR3C1|2908	6173.9482
NR3C2|4306	225.1935	NR3C2|4306	681.6343
NR4A1|3164	96.411	NR4A1|3164	388.754
NR4A2|4929	129.8381	NR4A2|4929	180.4207
NR4A3|8013	9.8522	NR4A3|8013	54.6117
NR5A2|2494	163.2653	NR5A2|2494	332.1197
NRARP|441478	181.2104	NRARP|441478	298.1392
NRAS|4893	1231.1752	NRAS|4893	1218.8511
NRBF2|29982	709.0077	NRBF2|29982	552.589
NRBP1|29959	1826.5306	NRBP1|29959	1822.0065
NRBP2|340371	395.848	NRBP2|340371	1036.4078
NRCAM|4897	92.5405	NRCAM|4897	322.0065
NRD1|4898	8114.7080000000005	NRD1|4898	3494.3366
NRF1|4899	282.5475	NRF1|4899	312.7023
removed	removed	NRG1|3084	39.2395
removed	removed	NRG2|9542	43.2848
removed	removed	NRG3|10718	6.877000000000001
NRGN|4900	9.8522	NRGN|4900	65.53399999999999
NRIP1|8204	9187.544	NRIP1|8204	3032.7670000000003
NRIP2|83714	105.9113	NRIP2|83714	165.4531
NRIP3|56675	9.8522	NRIP3|56675	53.3981
NRK|203447	46.0943	NRK|203447	70.7929
NRL|4901	26.4215	NRL|4901	11.7354
NRM|11270	79.1696	NRM|11270	211.9741
NRN1|51299	78.8177	NRN1|51299	2008.4951
NRP1|8829	1174.8768	removed	removed
NRP2|8828	312.1042	NRP2|8828	2570.7929
NRSN2|80023	405.7002	NRSN2|80023	379.0453
removed	removed	NRXN1|9378	26.2945
NRXN2|9379	53.1316	NRXN2|9379	67.5566
NRXN3|9369	24.9824	NRXN3|9369	48.5437
NSA2|10412	2076.7065	NSA2|10412	2390.7767
NSD1|64324	4707.2484	NSD1|64324	2318.3657
NSDHL|50814	372.6249	NSDHL|50814	405.3398
NSFL1C|55968	1899.7185	NSFL1C|55968	1387.5405
NSF|4905	6865.5876	NSF|4905	995.5502
NSL1|25936	1837.4384	NSL1|25936	681.2298
NSMAF|8439	1051.7241	NSMAF|8439	1179.6117
NSMCE1|197370	800.4926	NSMCE1|197370	688.1068
NSMCE2|286053	288.1773	NSMCE2|286053	249.1909
NSMCE4A|54780	233.9901	NSMCE4A|54780	742.3139
NSUN2|54888	2827.2343	NSUN2|54888	939.7249
NSUN3|63899	197.7481	NSUN3|63899	126.2136
NSUN4|387338	596.411	NSUN4|387338	511.3269
NSUN5P1|155400	27.7973	NSUN5P1|155400	40.0485
NSUN5P2|260294	96.1752	NSUN5P2|260294	147.9814
NSUN5|55695	275.5102	NSUN5|55695	189.7249
NSUN6|221078	189.6552	NSUN6|221078	197.0065
removed	removed	NSUN7|79730	64.3204
NT5C2|22978	1248.7685	NT5C2|22978	1255.6634
NT5C3L|115024	606.2632	NT5C3L|115024	498.7864
NT5C3|51251	801.9001	NT5C3|51251	453.8835
NT5C|30833	262.1393	NT5C|30833	194.5793
NT5DC1|221294	1347.6425	NT5DC1|221294	896.0356
NT5DC2|64943	297.9627	NT5DC2|64943	470.5259
NT5DC3|51559	414.145	NT5DC3|51559	573.6246
NT5E|4907	178.0436	NT5E|4907	2167.8803
NT5M|56953	15.1302	NT5M|56953	19.822
NTAN1|123803	503.5186	NTAN1|123803	1256.068
NTF3|4908	8.0929	NTF3|4908	21.0356
removed	removed	NTF4|4909	10.9223
NTHL1|4913	256.1576	NTHL1|4913	101.1327
NTM|50863	271.6397	NTM|50863	733.0097
NTN1|9423	45.7424	NTN1|9423	819.1748
NTN4|59277	862.4208	NTN4|59277	3704.288
removed	removed	NTN5|126147	5.6634
removed	removed	NTNG1|22854	6.877000000000001
removed	removed	NTNG2|84628	12.1359
NTRK1|4914	22.1675	removed	removed
NTRK2|4915	206.8966	NTRK2|4915	8400.0809
NTRK3|4916	6.3336	NTRK3|4916	188.1068
removed	removed	NTS|4922	20.2265
NUAK1|9891	932.0901	NUAK1|9891	1983.8188
NUAK2|81788	299.437	NUAK2|81788	58.657
NUB1|51667	1012.6038	NUB1|51667	2233.301
NUBP1|4682	393.01199999999994	NUBP1|4682	318.3657
NUBP2|10101	456.3688	NUBP2|10101	279.5307
NUBPL|80224	358.1985	NUBPL|80224	627.0227
NUCB1|4924	1578.8177	NUCB1|4924	6785.5987
NUCB2|4925	3763.7087	NUCB2|4925	1845.1537
NUCKS1|64710	21400.4222	NUCKS1|64710	10555.8252
NUDCD1|84955	1022.1675	NUDCD1|84955	448.2201
NUDCD2|134492	390.2182	NUDCD2|134492	364.0777
NUDCD3|23386	2436.3125	NUDCD3|23386	2205.0971
NUDC|10726	1155.1724	NUDC|10726	1331.7152
NUDT10|170685	135.8198	NUDT10|170685	29.9353
NUDT11|55190	11.9634	NUDT11|55190	61.4887
NUDT12|83594	1372.9768	NUDT12|83594	483.0097
NUDT13|25961	73.8424	NUDT13|25961	64.7249
NUDT14|256281	240.6756	NUDT14|256281	191.7476
NUDT15|55270	641.9106	NUDT15|55270	502.2573
NUDT16L1|84309	608.0225	NUDT16L1|84309	194.5793
NUDT16P1|152195	79.8733	NUDT16P1|152195	72.411
NUDT16|131870	711.1189	NUDT16|131870	1144.4175
NUDT17|200035	43.6312	NUDT17|200035	27.1036
NUDT18|79873	161.1541	NUDT18|79873	84.5469
NUDT19|390916	490.8515	NUDT19|390916	308.2524
NUDT1|4521	104.5039	NUDT1|4521	108.4142
NUDT21|11051	1974.3139	NUDT21|11051	2666.6667
NUDT22|84304	138.8881	NUDT22|84304	124.0129
NUDT2|318	242.083	NUDT2|318	272.6537
NUDT3|11165	506.3336	NUDT3|11165	433.657
NUDT4|11163	887.0514	NUDT4|11163	1454.6926
NUDT5|11164	747.4595	NUDT5|11164	555.2023
NUDT6|11162	43.9901	NUDT6|11162	77.2006
NUDT7|283927	49.9648	NUDT7|283927	212.7832
NUDT8|254552	10.2041	NUDT8|254552	39.2395
NUDT9|53343	915.5524	NUDT9|53343	633.8997
NUF2|83540	419.7748	NUF2|83540	5.2589
NUFIP1|26747	274.8065	NUFIP1|26747	202.6699
NUFIP2|57532	8947.5721	NUFIP2|57532	3211.5696
NUMA1|4926	11618.7509	NUMA1|4926	8522.6335
NUMBL|9253	135.1161	NUMBL|9253	677.1845
NUMB|8650	1003.8705	NUMB|8650	2029.1262
NUP107|57122	1039.4089	NUP107|57122	1010.5178
NUP133|55746	4908.1633	NUP133|55746	1494.3366
NUP153|9972	2473.2583	NUP153|9972	1805.8252
NUP155|9631	1672.0619	NUP155|9631	640.7767
NUP160|23279	1798.7333	NUP160|23279	1352.7508
NUP188|23511	1813.1597	NUP188|23511	1183.661
NUP205|23165	2135.468	NUP205|23165	1187.2977
NUP210|23225	3041.8719	NUP210|23225	197.8155
NUP214|8021	1353.2723	NUP214|8021	1565.5339999999999
NUP35|129401	230.8234	NUP35|129401	187.7023
NUP37|79023	430.6826	NUP37|79023	252.0227
NUP43|348995	3744.8979999999997	NUP43|348995	586.5696
NUP50|10762	2668.1914	NUP50|10762	1298.1392
NUP54|53371	897.2555	NUP54|53371	925.5663
NUP62CL|54830	86.5588	NUP62CL|54830	6.068
NUP62|23636	812.6144	NUP62|23636	797.2532
NUP85|79902	967.2766	NUP85|79902	476.5372
NUP88|4927	599.9472	NUP88|4927	772.5283
NUP93|9688	533.779	NUP93|9688	571.1974
NUP98|4928	3933.1457	NUP98|4928	2571.1974
NUPL1|9818	3346.9388	NUPL1|9818	755.6634
NUPL2|11097	547.1499	NUPL2|11097	293.2848
NUPR1|26471	1295.5665	NUPR1|26471	1563.5113
NUS1|116150	2021.8156	NUS1|116150	1335.7605
NUSAP1|51203	942.9979	NUSAP1|51203	41.6667
NUTF2|10204	775.5102	NUTF2|10204	980.9871
NVL|4931	1614.7079999999999	NVL|4931	330.9061
NWD1|284434	9.1485	NWD1|284434	12.5405
NXF1|10482	722.7305	NXF1|10482	1299.3528
removed	removed	NXF3|56000	5.6634
removed	removed	NXNL1|115861	7.6861
NXNL2|158046	13.7227	NXNL2|158046	5.6634
NXN|64359	117.8747	NXN|64359	431.6343
NXPH1|30010	51.7241	removed	removed
NXPH3|11248	343.772	NXPH3|11248	293.6893
NXPH4|11247	29.9085	NXPH4|11247	6.068
NXT1|29107	244.1942	NXT1|29107	132.6861
NXT2|55916	600.9852	NXT2|55916	384.3042
NYNRIN|57523	311.7523	NYNRIN|57523	1271.0356
OAF|220323	195.6369	OAF|220323	1344.6602
OAS1|4938	391.6256	OAS1|4938	474.9191
OAS2|4939	226.9529	OAS2|4939	761.7314
OAS3|4940	1210.7671	OAS3|4940	852.3463
OASL|8638	43.9831	OASL|8638	41.6667
OAT|4942	1071.7804	OAT|4942	2944.1748
OAZ1|4946	7802.9557	OAZ1|4946	5300.1618
OAZ2|4947	2065.095	OAZ2|4947	1849.9191
OAZ3|51686	70.2709	OAZ3|51686	11.3956
OBFC1|79991	271.6397	OBFC1|79991	825.2427
OBFC2A|64859	132.3012	OBFC2A|64859	392.3948
OBFC2B|79035	682.9697	OBFC2B|79035	337.3786
OBSCN|84033	767.544	OBSCN|84033	263.2969
OBSL1|23363	711.8227	OBSL1|23363	946.6019
OCEL1|79629	690.7108	OCEL1|79629	222.8964
OCIAD1|54940	2112.2449	OCIAD1|54940	2389.9676
OCIAD2|132299	404.9965	OCIAD2|132299	220.8738
OCLM|10896	8.0929	removed	removed
OCLN|4950	1875.4398	OCLN|4950	133.4951
OCRL|4952	2338.494	OCRL|4952	1472.8964
ODC1|4953	461.2949	ODC1|4953	1013.3495
ODF2L|57489	257.2132	ODF2L|57489	492.7184
ODF2|4957	925.4046	ODF2|4957	548.5437
ODF3B|440836	47.1499	ODF3B|440836	78.479
removed	removed	ODF3L1|161753	8.0906
removed	removed	ODZ1|10178	175.5663
ODZ2|57451	14.4265	ODZ2|57451	245.5502
ODZ3|55714	117.8747	ODZ3|55714	1211.165
ODZ4|26011	245.2498	ODZ4|26011	788.0259
OFD1|8481	615.7635	OFD1|8481	586.5696
