gene_id	TCGA-BH-A18V-06A-11R-A213-07	gene_id	TCGA-BH-A18V-11A-52R-A12D-07
ADRB1|153	5.5169	ADRB1|153	63.6096
ADRB2|154	30.1977	ADRB2|154	282.3286
ADRBK1|156	4775.5933	ADRBK1|156	1419.9614
ADRBK2|157	648.9604	ADRBK2|157	729.0636
ADRM1|11047	1960.2377	ADRM1|11047	1998.8085
ADSL|158	982.8773	ADSL|158	1050.0473
ADSSL1|122622	46.1676	ADSSL1|122622	59.2058
ADSS|159	1217.7806	ADSS|159	866.0688
AEBP1|165	3827.8498	AEBP1|165	12333.8964
AEBP2|121536	1055.468	AEBP2|121536	460.9248
AEN|64782	380.375	AEN|64782	518.6627
AES|166	5876.9385	AES|166	10331.1735
AFAP1L1|134265	121.6619	AFAP1L1|134265	255.9062
AFAP1L2|84632	334.2073	AFAP1L2|84632	771.1438
AFAP1|60312	1780.573	AFAP1|60312	708.0235
AFF1|4299	573.4661	AFF1|4299	1075.4911
AFF2|2334	106.8534	AFF2|2334	47.9518
AFF3|3899	208.19	AFF3|3899	536.7669
AFF4|27125	1667.5523	AFF4|27125	1263.8733
AFG3L1|172	412.3149	AFG3L1|172	397.3152
AFG3L2|10939	1173.8604	AFG3L2|10939	1471.6075
AFMID|125061	324.335	AFMID|125061	1018.7318
lowly_expressed	lowly_expressed	AFP|174	212.3581
AFTPH|54812	1263.3676	AFTPH|54812	973.7158
AG2|387763	62.7183	AG2|387763	1702.7794
AGAP11|119385	14.8085	AGAP11|119385	56.7593
AGAP1|116987	686.7075	AGAP1|116987	164.4063
AGAP2|116986	346.4432	AGAP2|116986	88.2363
AGAP3|116988	1678.0053	AGAP3|116988	2682.3668
AGAP4|119016	270.3276	AGAP4|119016	356.7029
AGAP5|729092	42.2652	AGAP5|729092	29.8476
AGAP6|414189	200.6405	AGAP6|414189	149.2378
AGAP7|653268	14.8085	AGAP7|653268	16.147
AGAP8|728404	57.4918	AGAP8|728404	48.9304
AGA|175	282.2324	AGA|175	498.6012
AGBL2|79841	19.7447	AGBL2|79841	21.0401
AGBL3|340351	6.9687	lowly_expressed	lowly_expressed
AGBL5|60509	2731.5017	AGBL5|60509	837.2194
AGER|177	79.8497	AGER|177	128.6871
AGFG1|3267	2098.16	AGFG1|3267	1236.9616
AGFG2|3268	926.547	AGFG2|3268	719.2775
AGGF1|55109	504.3598	AGGF1|55109	535.299
AGK|55750	597.8565	AGK|55750	455.0531
AGL|178	693.9666	AGL|178	462.3927
AGMAT|79814	69.1063	AGMAT|79814	8.3182
AGPAT1|10554	2684.5269	AGPAT1|10554	1819.6889
AGPAT2|10555	1407.6778	AGPAT2|10555	2705.8534
AGPAT3|56894	2278.4751	AGPAT3|56894	1558.9239
AGPAT4|56895	77.2364	AGPAT4|56895	337.1307
AGPAT5|55326	532.8153	AGPAT5|55326	414.4408
AGPAT6|137964	1004.9449	AGPAT6|137964	2174.4688
AGPAT9|84803	20.035	AGPAT9|84803	115.4758
AGPHD1|123688	20.9061	AGPHD1|123688	64.0989
AGPS|8540	994.7822	AGPS|8540	694.323
AGR2|10551	918.1265	AGR2|10551	3504.3982
AGR3|155465	35.7146	AGR3|155465	1307.4214
AGRN|375790	29393.1132	AGRN|375790	3621.342
AGTPBP1|23287	464.2898	AGTPBP1|23287	237.3126
lowly_expressed	lowly_expressed	AGTR1|185	180.5533
AGTRAP|57085	1048.7896	AGTRAP|57085	1174.8199
AGT|183	60.6858	AGT|183	134.5587
AGXT2L2|85007	791.5139	AGXT2L2|85007	872.557
lowly_expressed	lowly_expressed	AGXT|189	6.8503
AHCTF1|25909	1693.1042	AHCTF1|25909	574.4434
AHCYL1|10768	2828.4219	AHCYL1|10768	2340.8323
AHCYL2|23382	481.7115	AHCYL2|23382	358.6601
AHCY|191	2505.2483	AHCY|191	3456.4464
AHDC1|27245	737.5209	AHDC1|27245	879.7693
AHI1|54806	220.3852	AHI1|54806	335.1735
AHNAK2|113146	4345.5663	AHNAK2|113146	616.5236
AHNAK|79026	26667.1893	AHNAK|79026	29914.1148
AHRR|57491	23.229	AHRR|57491	12.7219
AHR|196	1771.5021	AHR|196	1760.5173
AHSA1|10598	2868.2015	AHSA1|10598	2222.4207
AHSA2|130872	969.2303	AHSA2|130872	828.8817
AICDA|57379	9.0012	lowly_expressed	lowly_expressed
AIDA|64853	1498.0067	AIDA|64853	1339.7449
AIF1L|83543	1457.6201	AIF1L|83543	2033.0599
AIF1|199	1080.1488	AIF1|199	632.1813
AIFM1|9131	991.5882	AIFM1|9131	732.4887
AIFM2|84883	400.1196	AIFM2|84883	1242.3439
AIFM3|150209	68.5982	AIFM3|150209	33.2727
AIG1|51390	223.8695	AIG1|51390	869.9833
AIM1L|55057	12.4856	lowly_expressed	lowly_expressed
AIM1|202	993.04	AIM1|202	1584.857
AIM2|9447	217.7719	AIM2|9447	5.3823
AIMP1|9255	1305.7344	AIMP1|9255	1142.2958
AIMP2|7965	515.4952	AIMP2|7965	421.0416
AIP|9049	1391.4175	AIP|9049	1904.8621
lowly_expressed	lowly_expressed	AJAP1|55966	14.1898
AK1|203	757.556	AK1|203	949.2506
AK2|204	4715.1921	AK2|204	2500.3456
AK3L1|205	299.0735	AK3L1|205	193.2752
AK3|50808	2021.7946	AK3|50808	1309.3786
AK5|26289	89.4317	AK5|26289	2201.8699
AK7|122481	16.2603	AK7|122481	9.7861
AKAP10|11216	393.1509	AKAP10|11216	159.0239
AKAP11|11215	1685.8451	AKAP11|11215	516.7055
AKAP12|9590	283.6842	AKAP12|9590	1406.2609
AKAP13|11214	2591.7764	AKAP13|11214	2306.0917
AKAP1|8165	1070.5668	AKAP1|8165	2039.9101
AKAP2|11217	851.3344	AKAP2|11217	109.5602
AKAP3|10566	33.1013	AKAP3|10566	77.7994
AKAP5|9495	279.6192	AKAP5|9495	45.9946
AKAP6|9472	44.4255	AKAP6|9472	118.4117
AKAP7|9465	131.2439	AKAP7|9465	218.7191
AKAP8L|26993	1121.3803	AKAP8L|26993	1161.6087
AKAP8|10270	952.0989	AKAP8|10270	665.9433
AKAP9|10142	2753.2179	lowly_expressed	lowly_expressed
AKD1|221264	46.458	AKD1|221264	72.9064
AKIRIN1|79647	1254.9471	AKIRIN1|79647	886.6196
AKIRIN2|55122	500.5851	AKIRIN2|55122	1292.253
lowly_expressed	lowly_expressed	AKNAD1|254268	9.7861
AKNA|80709	2518.0243	AKNA|80709	650.7749
AKR1A1|10327	2026.4404	AKR1A1|10327	2482.7306
AKR1B10|57016	62.7183	lowly_expressed	lowly_expressed
AKR1B15|441282	10.7434	AKR1B15|441282	164.8956
AKR1B1|231	924.5144	AKR1B1|231	967.3548
AKR1C1|1645	137.7683	AKR1C1|1645	3247.5134
AKR1C2|1646	86.8184	AKR1C2|1646	2263.5222
AKR1C3|8644	2157.3939	AKR1C3|8644	1684.6751
lowly_expressed	lowly_expressed	AKR1D1|6718	30.8262
AKR1E2|83592	176.40400000000002	AKR1E2|83592	44.5267
AKR7A2|8574	828.1141	AKR7A2|8574	1459.1058
AKR7A3|22977	7.5494	AKR7A3|22977	149.2378
AKR7L|246181	8.1302	AKR7L|246181	41.1016
AKT1S1|84335	910.8674	AKT1S1|84335	1436.5978
AKT1|207	5688.4932	AKT1|207	3048.8558
AKT2|208	3252.3512	AKT2|208	2378.0195
AKT3|10000	269.7468	AKT3|10000	359.1494
AKTIP|64400	407.0274	AKTIP|64400	587.5323
ALAD|210	1652.1631	ALAD|210	1906.33
ALAS1|211	1327.5377	ALAS1|211	962.4618
lowly_expressed	lowly_expressed	ALB|213	1584.8570000000002
ALCAM|214	513.9418	lowly_expressed	lowly_expressed
ALDH16A1|126133	805.7561	ALDH16A1|126133	788.7587
ALDH18A1|5832	2020.9235	ALDH18A1|5832	1259.9589
ALDH1A1|216	509.8767	ALDH1A1|216	1908.2872
ALDH1A2|8854	52.5556	ALDH1A2|8854	317.5586
