gene_id	TCGA-BH-A0DK-01A-21R-A056-07	gene_id	TCGA-BH-A0DK-11A-13R-A089-07
ADRBK2|157	1018.0018	ADRBK2|157	854.6236
ADRM1|11047	2299.2799	ADRM1|11047	1168.2577
ADSL|158	811.8812	lowly_expressed	lowly_expressed
ADSSL1|122622	118.8119	ADSSL1|122622	146.9067
ADSS|159	1399.1899	ADSS|159	1555.0536
AEBP1|165	19806.4806	AEBP1|165	2914.5231
AEBP2|121536	464.8965	AEBP2|121536	761.3496
AEN|64782	588.6589	AEN|64782	631.6403
AES|166	9541.4041	AES|166	5527.3628
AFAP1L1|134265	426.6427	AFAP1L1|134265	146.9067
AFAP1L2|84632	2690.369	AFAP1L2|84632	1174.9617
AFAP1|60312	2112.0567	AFAP1|60312	1439.3063
AFF1|4299	1839.3339	AFF1|4299	3266.6327
AFF2|2334	37.3537	AFF2|2334	37.0181
AFF3|3899	3372.6373	AFF3|3899	4591.9988
AFF4|27125	2600.8101	AFF4|27125	4796.6188
AFG3L1|172	163.3663	AFG3L1|172	213.0729
AFG3L2|10939	1216.3906	AFG3L2|10939	1583.9131
AFMID|125061	401.8902	AFMID|125061	4244.2615
lowly_expressed	lowly_expressed	AFP|174	9.9104
AFTPH|54812	2682.7183	AFTPH|54812	2148.8013
AG2|387763	337.5338	AG2|387763	290.024
AGAP11|119385	20.252	AGAP11|119385	64.7497
AGAP1|116987	234.0234	AGAP1|116987	501.6396
AGAP2|116986	237.1242	AGAP2|116986	67.5421
AGAP3|116988	1357.3357	AGAP3|116988	1123.661
AGAP4|119016	76.0576	AGAP4|119016	116.3011
AGAP5|729092	34.505	AGAP5|729092	81.2126
AGAP6|414189	67.5068	AGAP6|414189	72.5789
AGAP7|653268	25.2025	AGAP7|653268	22.4441
AGAP8|728404	31.9532	AGAP8|728404	17.4889
AGA|175	421.6922	AGA|175	905.9244
AGBL2|79841	11.7012	AGBL2|79841	11.0763
AGBL4|84871	5.8506	lowly_expressed	lowly_expressed
AGBL5|60509	482.0027	AGBL5|60509	622.6248
AGER|177	18.0018	AGER|177	20.6952
