gene_id	TCGA-E9-A1RH-01A-21R-A169-07	gene_id	TCGA-E9-A1RH-11A-34R-A169-07
AFTPH|54812	3289.8263	AFTPH|54812	1129.8157
AG2|387763	30.7668	AG2|387763	105.1089
AGAP11|119385	9.8359	AGAP11|119385	433.4171
AGAP1|116987	657.204	AGAP1|116987	422.1106
AGAP2|116986	43.3019	AGAP2|116986	82.8643
AGAP3|116988	643.8823	AGAP3|116988	955.1926
AGAP4|119016	58.3617	AGAP4|119016	135.6784
AGAP5|729092	28.7495	AGAP5|729092	31.428
AGAP6|414189	39.9651	AGAP6|414189	97.9899
lowly_expressed	lowly_expressed	AGAP7|653268	6.2814
lowly_expressed	lowly_expressed	AGAP8|728404	23.4506
AGA|175	803.1084	AGA|175	392.3786
lowly_expressed	lowly_expressed	AGBL3|340351	5.8626
lowly_expressed	lowly_expressed	AGBL4|84871	14.2379
AGBL5|60509	964.8846	AGBL5|60509	683.8526
lowly_expressed	lowly_expressed	AGER|177	25.1256
AGFG1|3267	4054.5555	AGFG1|3267	2234.5059
AGFG2|3268	319.0865	AGFG2|3268	318.6767
AGGF1|55109	831.3377	AGGF1|55109	860.134
AGK|55750	523.987	AGK|55750	506.2814
AGL|178	2494.3303	AGL|178	1713.1491
AGMAT|79814	21.2513	AGMAT|79814	12.5628
AGPAT1|10554	1084.6467	AGPAT1|10554	1926.4447
AGPAT2|10555	373.3249	AGPAT2|10555	9563.2328
AGPAT3|56894	1279.2007	AGPAT3|56894	2607.6214
AGPAT4|56895	106.2564	AGPAT4|56895	275.1256
AGPAT5|55326	588.6924	AGPAT5|55326	383.5846
AGPAT6|137964	926.8099	AGPAT6|137964	1414.1541
AGPAT9|84803	16.4935	AGPAT9|84803	476.9682
AGPHD1|123688	43.1369	AGPHD1|123688	79.1457
AGPS|8540	1163.4288	AGPS|8540	1818.258
AGR2|10551	418.6821	AGR2|10551	464.4054
lowly_expressed	lowly_expressed	AGR3|155465	50.2513
AGRN|375790	985.1717	AGRN|375790	1442.6298
AGTPBP1|23287	340.0206	AGTPBP1|23287	643.2161
AGTR1|185	49.1634	AGTR1|185	1535.1759
AGTRAP|57085	481.1672	AGTRAP|57085	467.3367
