gene_id	TCGA-BH-A0DQ-01A-11R-A084-07	gene_id	TCGA-BH-A0DQ-11A-12R-A089-07
AFAP1L2|84632	619.1255	AFAP1L2|84632	1414.3759
AFAP1|60312	1565.1819	AFAP1|60312	1696.9232
AFF1|4299	1769.105	AFF1|4299	3272.9383
AFF2|2334	34.7364	AFF2|2334	41.1982
AFF3|3899	4092.7667	AFF3|3899	3432.5089
AFF4|27125	2945.2391	AFF4|27125	4539.3487
AFG3L1|172	273.396	AFG3L1|172	248.0598
AFG3L2|10939	1286.7634	AFG3L2|10939	1284.8016
AFMID|125061	305.2718	AFMID|125061	533.8362
AFP|174	6.13	AFP|174	44.6798
AFTPH|54812	1602.3702	AFTPH|54812	2172.7715
AG2|387763	353.9027	AG2|387763	58.0257
AGAP11|119385	40.5149	AGAP11|119385	159.5938
AGAP1|116987	278.7086	AGAP1|116987	499.3109
AGAP2|116986	73.7434	AGAP2|116986	122.9419
AGAP3|116988	1237.4336	AGAP3|116988	1216.2182
AGAP4|119016	99.7139	AGAP4|119016	206.8615
AGAP5|729092	16.7552	AGAP5|729092	80.0667
AGAP6|414189	76.4201	AGAP6|414189	122.7243
AGAP7|653268	7.3559	AGAP7|653268	16.5373
AGAP8|728404	17.9812	AGAP8|728404	31.624
AGA|175	559.4606	AGA|175	655.6901
AGBL2|79841	36.7797	AGBL2|79841	19.7287
AGBL3|340351	13.0772	AGBL3|340351	5.5124
AGBL4|84871	10.6253	AGBL4|84871	9.2841
AGBL5|60509	434.009	AGBL5|60509	843.4757
AGER|177	49.4483	AGER|177	31.3339
AGFG1|3267	1519.0029	AGFG1|3267	1551.3165
AGFG2|3268	320.801	AGFG2|3268	458.693
AGGF1|55109	849.6118	AGGF1|55109	1016.0296
AGK|55750	512.0556	AGK|55750	541.9598
AGL|178	1138.1283	AGL|178	1262.0585
AGMAT|79814	15.1206	AGMAT|79814	18.5682
AGPAT1|10554	3268.5206	AGPAT1|10554	1560.5977
AGPAT2|10555	1443.8087	AGPAT2|10555	521.0706
AGPAT3|56894	1540.2534	AGPAT3|56894	2040.4729
AGPAT4|56895	252.9628	AGPAT4|56895	257.0537
AGPAT5|55326	574.5811	AGPAT5|55326	720.0986
AGPAT6|137964	2040.8664	AGPAT6|137964	2073.8377
AGPAT9|84803	54.3523	AGPAT9|84803	91.3904
AGPHD1|123688	47.405	AGPHD1|123688	58.8961
AGPS|8540	1280.3433	AGPS|8540	1445.4196
AGR2|10551	9996.322	AGR2|10551	9903.5323
AGR3|155465	1944.0131	AGR3|155465	1200.5512
AGRN|375790	6217.0004	AGRN|375790	5305.8678
AGTPBP1|23287	239.8856	AGTPBP1|23287	365.2716
AGTR1|185	857.785	AGTR1|185	156.9595
lowly_expressed	lowly_expressed	AGTR2|186	27.5622
AGTRAP|57085	1590.1103	AGTRAP|57085	1023.8631
AGT|183	354.7201	AGT|183	223.689
AGXT2L2|85007	292.17	AGXT2L2|85007	441.0677
AGXT|189	8.5819	lowly_expressed	lowly_expressed
AHCTF1|25909	1447.0781	AHCTF1|25909	1541.162
AHCYL1|10768	3622.8034	AHCYL1|10768	5819.6852
AHCYL2|23382	469.1459	AHCYL2|23382	774.6428
AHCY|191	3492.4397	AHCY|191	3422.3544
AHDC1|27245	870.045	AHDC1|27245	1234.2061
AHI1|54806	221.4957	AHI1|54806	465.9462
AHNAK2|113146	1073.9681	AHNAK2|113146	841.3723
AHNAK|79026	34615.0388	AHNAK|79026	99915.2825
AHRR|57491	85.8194	AHRR|57491	32.2043
AHR|196	1616.2648	AHR|196	2279.2486
AHSA1|10598	2109.1132	AHSA1|10598	1349.097
AHSA2|130872	241.9289	AHSA2|130872	746.2102
AIDA|64853	1413.5758	AIDA|64853	930.1951
AIF1L|83543	1290.9685	AIF1L|83543	1265.54
AIF1|199	414.385	AIF1|199	286.0666
AIFM1|9131	2142.215	AIFM1|9131	756.6548
AIFM2|84883	621.9861	AIFM2|84883	340.6107
AIFM3|150209	8.2264	AIFM3|150209	15.3884
AIG1|51390	598.6923	AIG1|51390	993.6897
AIM1L|55057	6.9473	lowly_expressed	lowly_expressed
AIM1|202	1674.7037	AIM1|202	2931.7473
AIM2|9447	11.0339	AIM2|9447	14.2163
AIMP1|9255	1142.877	AIMP1|9255	1070.7478
AIMP2|7965	412.6236	AIMP2|7965	202.9071
AIP|9049	993.4614	AIP|9049	729.963
AJAP1|55966	21.6592	AJAP1|55966	24.0807
AK1|203	868.819	AK1|203	330.1661
AK2|204	2042.501	AK2|204	1851.3092
AK3L1|205	107.0699	AK3L1|205	481.6131
AK3|50808	1002.452	AK3|50808	1958.6567
AK5|26289	174.9081	AK5|26289	1563.2117
AK7|122481	27.3805	AK7|122481	56.2849
AKAP10|11216	450.3474	AKAP10|11216	639.443
AKAP11|11215	1395.1778	AKAP11|11215	2543.8457
AKAP12|9590	2213.7311	AKAP12|9590	1947.3417
AKAP13|11214	3464.6506	AKAP13|11214	4489.7367
AKAP1|8165	1062.9342	AKAP1|8165	2591.1366
AKAP2|11217	752.6359	AKAP2|11217	910.1124
AKAP3|10566	5.7213	AKAP3|10566	48.4514
AKAP5|9495	221.4957	AKAP5|9495	152.0273
AKAP6|9472	48.631	AKAP6|9472	181.3302
AKAP7|9465	76.0114	AKAP7|9465	177.5586
AKAP8L|26993	509.6036	AKAP8L|26993	718.3579
AKAP8|10270	538.6187	AKAP8|10270	671.3571
AKAP9|10142	2498.5697	AKAP9|10142	4402.1179
AKD1|221264	136.085	AKD1|221264	213.5345
