gene_id	TCGA-BH-A0BV-01A-11R-A00Z-07	gene_id	TCGA-BH-A0BV-11A-31R-A089-07
ACTG1|71	78069.0714	ACTG1|71	57461.3033
ACTG2|72	26.8611	ACTG2|72	6384.3854
ACTL6A|86	1511.8956	ACTL6A|86	730.0983
ACTN1|87	5917.1144	ACTN1|87	8245.4023
ACTN4|81	8443.4612	ACTN4|81	10183.5197
ACTR10|55860	1150.4221	ACTR10|55860	940.7506
ACTR1A|10121	2600.921	ACTR1A|10121	1944.1771
ACTR1B|10120	775.1343	ACTR1B|10120	1314.3604
ACTR2|10097	4942.4405	ACTR2|10097	4497.0753
ACTR3B|57180	139.2939	ACTR3B|57180	432.3111
ACTR3C|653857	17.6516	ACTR3C|653857	43.4146
ACTR3|10096	4344.5894	ACTR3|10096	2708.5179
ACTR5|79913	186.4927	ACTR5|79913	189.5565
ACTR6|64431	556.4083	ACTR6|64431	651.5241
ACTR8|93973	576.3622	ACTR8|93973	562.2491
ACVR1B|91	1622.4098	ACVR1B|91	1299.685
ACVR1C|130399	8.0583	ACVR1C|130399	425.8907
ACVR1|90	951.65	ACVR1|90	1186.2568
ACVR2A|92	145.0499	ACVR2A|92	717.2574
ACVR2B|93	381.4275	ACVR2B|93	420.9989
ACVRL1|94	378.7414	ACVRL1|94	643.8806
ACY1|95	827.6132	ACY1|95	605.1928
lowly_expressed	lowly_expressed	ACY3|91703	5.5033
ACYP1|97	31.0821	ACYP1|97	54.4211
ACYP2|98	55.2571	ACYP2|98	187.1106
ADAL|161823	166.155	ADAL|161823	195.6712
ADAM10|102	1468.1504	ADAM10|102	2238.6012
ADAM11|4185	5.3722	ADAM11|4185	21.0958
ADAM12|8038	2916.3469	ADAM12|8038	3987.1071
ADAM15|8751	4381.8611	ADAM15|8751	2011.3443
ADAM17|6868	429.7774	ADAM17|6868	1056.6247
ADAM19|8728	451.2663	ADAM19|8728	162.346
ADAM22|53616	157.713	ADAM22|53616	61.453
ADAM23|8745	44.5127	ADAM23|8745	60.5358
ADAM28|10863	165.0038	ADAM28|10863	86.5234
ADAM32|203102	6.9071	ADAM32|203102	31.7966
ADAM33|80332	16.8841	ADAM33|80332	490.1503
ADAM6|8755	24660.802	ADAM6|8755	24738.1667
ADAM8|101	521.4889	ADAM8|101	33.9367
ADAM9|8754	1086.3392	ADAM9|8754	1626.5171
ADAMDEC1|27299	205.6792	lowly_expressed	lowly_expressed
ADAMTS10|81794	91.3277	ADAMTS10|81794	160.5116
ADAMTS12|81792	661.5503	ADAMTS12|81792	582.1219
ADAMTS13|11093	61.013	ADAMTS13|11093	122.6003
ADAMTS14|140766	177.6669	ADAMTS14|140766	46.7777
ADAMTS15|170689	518.0353	ADAMTS15|170689	541.1533
ADAMTS16|170690	179.9693	ADAMTS16|170690	220.7416
ADAMTS17|170691	9.977	ADAMTS17|170691	44.6375
ADAMTS18|170692	73.2924	ADAMTS18|170692	131.4666
ADAMTS19|171019	9.2095	ADAMTS19|171019	21.7073
ADAMTS1|9510	425.1727	ADAMTS1|9510	6110.14
ADAMTS2|9509	1121.2586	ADAMTS2|9509	828.2396
ADAMTS3|9508	14.198	ADAMTS3|9508	132.3838
ADAMTS4|9507	391.4045	ADAMTS4|9507	783.2964
ADAMTS5|11096	192.6324	ADAMTS5|11096	2572.4652
ADAMTS6|11174	130.8519	ADAMTS6|11174	25.3761
ADAMTS7|11173	205.6792	ADAMTS7|11173	175.7984
lowly_expressed	lowly_expressed	ADAMTS8|11095	345.1763
ADAMTS9|56999	174.5971	ADAMTS9|56999	1055.4017
ADAMTSL1|92949	91.3277	ADAMTSL1|92949	299.0101
ADAMTSL2|9719	247.5058	ADAMTSL2|9719	46.7777
ADAMTSL3|57188	148.5035	ADAMTSL3|57188	239.0858
ADAMTSL4|54507	81.7345	ADAMTSL4|54507	433.2283
ADAMTSL5|339366	90.5602	ADAMTSL5|339366	91.4152
ADAP1|11033	232.0261	ADAP1|11033	126.0367
ADAP2|55803	418.2655	ADAP2|55803	130.5494
ADARB1|104	544.1289	ADARB1|104	753.0285
lowly_expressed	lowly_expressed	ADARB2|105	8.5606
ADAR|103	19619.7237	ADAR|103	6363.9011
ADAT1|23536	488.4881	ADAT1|23536	289.5323
ADAT2|134637	28.396	ADAT2|134637	164.7919
ADAT3|113179	30.6984	ADAT3|113179	48.0006
ADA|100	120.1074	ADA|100	75.5169
ADCK1|57143	178.4344	ADCK1|57143	160.2058
ADCK2|90956	1440.5219	ADCK2|90956	754.8629
ADCK4|79934	536.8381	ADCK4|79934	504.7706
ADCK5|203054	133.9217	ADCK5|203054	80.7144
ADCY10|55811	5.7559	lowly_expressed	lowly_expressed
ADCY1|107	3166.155	ADCY1|107	1295.7104
ADCY2|108	26.8611	ADCY2|108	54.7268
ADCY3|109	826.6961	ADCY3|109	1219.7869
ADCY4|196883	129.7007	ADCY4|196883	292.5896
ADCY5|111	34.9194	ADCY5|111	324.9977
ADCY6|112	1048.7337	ADCY6|112	2894.4056
ADCY7|113	643.8987	ADCY7|113	394.0941
ADCY9|115	1676.132	ADCY9|115	827.6282
lowly_expressed	lowly_expressed	ADCYAP1R1|117	36.0769
ADC|113451	188.0276	ADC|113451	111.8995
ADD1|118	5628.5495	ADD1|118	5912.6343
ADD2|119	19.954	ADD2|119	38.217
ADD3|120	627.3983	ADD3|120	3512.2986
lowly_expressed	lowly_expressed	ADH1A|124	81.0201
ADH1B|125	94.7813	ADH1B|125	6358.0921
lowly_expressed	lowly_expressed	ADH1C|126	129.9379
ADH5|128	1432.4635	ADH5|128	3053.3884
lowly_expressed	lowly_expressed	ADH7|131	12.2295
ADHFE1|137872	28.0123	ADHFE1|137872	240.6145
ADI1|55256	1957.7897	ADI1|55256	1324.4497
ADIPOQ|9370	37.6055	ADIPOQ|9370	5580.299
ADIPOR1|51094	9372.218	ADIPOR1|51094	2211.0849
ADIPOR2|79602	2410.2072	ADIPOR2|79602	2238.2955
ADK|132	166.9225	ADK|132	330.1952
ADM2|79924	82.1182	ADM2|79924	146.7534
ADM|133	28.0123	ADM|133	356.7943
ADNP2|22850	636.9916	ADNP2|22850	895.8074
ADNP|23394	3377.2064	ADNP|23394	3415.0745
ADORA1|134	699.5395	ADORA1|134	979.8848
ADORA2A|135	127.782	ADORA2A|135	39.7365
ADORA2B|136	31.0821	ADORA2B|136	126.2691
ADORA3|140	386.0322	ADORA3|140	51.058
ADO|84890	576.746	ADO|84890	827.0167
ADPGK|83440	1198.3346	ADPGK|83440	854.4871
ADPRHL1|113622	78.2809	ADPRHL1|113622	77.3513
ADPRHL2|54936	550.6523	ADPRHL2|54936	533.8156
ADPRH|141	227.1681	ADPRH|141	361.3803
ADRA1A|148	10.3607	ADRA1A|148	31.1851
ADRA1B|147	10.7444	ADRA1B|147	24.4589
lowly_expressed	lowly_expressed	ADRA1D|146	5.5033
ADRA2A|150	471.9877	ADRA2A|150	583.3449
ADRA2B|151	8.8258	ADRA2B|151	25.3761
ADRA2C|152	7.2909	ADRA2C|152	43.1088
ADRB1|153	265.9248	ADRB1|153	27.5163
ADRB2|154	17.6516	ADRB2|154	180.6902
lowly_expressed	lowly_expressed	ADRB3|155	5.1975
ADRBK1|156	6198.0046	ADRBK1|156	1559.2551
ADRBK2|157	572.5249	ADRBK2|157	1482.5153
ADRM1|11047	1472.7552	ADRM1|11047	816.9274
ADSL|158	565.2341	ADSL|158	851.1699
ADSSL1|122622	134.6892	ADSSL1|122622	115.8741
ADSS|159	2358.4037	ADSS|159	1353.1889
AEBP1|165	21497.6976	AEBP1|165	4885.3604
AEBP2|121536	540.6754	AEBP2|121536	1038.2805
AEN|64782	418.2655	AEN|64782	591.294
AES|166	6603.2233	AES|166	5951.7686
AFAP1L1|134265	248.6569	AFAP1L1|134265	288.9208
AFAP1L2|84632	411.3584	AFAP1L2|84632	1396.6034
AFAP1|60312	1623.5533	AFAP1|60312	2122.079
AFF1|4299	1462.7782	AFF1|4299	2869.9467
AFF2|2334	12.2794	AFF2|2334	57.4784
AFF3|3899	2902.9163	AFF3|3899	2592.3381
AFF4|27125	4665.3876	AFF4|27125	4875.2711
AFG3L1|172	249.0407	AFG3L1|172	264.1562
AFG3L2|10939	1352.2602	AFG3L2|10939	1415.0913
AFMID|125061	552.9547	AFMID|125061	500.1846
AFP|174	11.5119	AFP|174	26.2933
AFTPH|54812	1402.9163	AFTPH|54812	1874.4693
AG2|387763	116.6539	AG2|387763	571.1154
AGAP11|119385	20.3377	AGAP11|119385	89.3881
AGAP1|116987	285.495	AGAP1|116987	546.3508
AGAP2|116986	103.02	AGAP2|116986	170.4266
AGAP3|116988	1261.32	AGAP3|116988	1409.7501
AGAP4|119016	126.2471	AGAP4|119016	315.2141
AGAP5|729092	44.1097	AGAP5|729092	98.4379
AGAP6|414189	52.1873	AGAP6|414189	136.0527
AGAP7|653268	6.9071	AGAP7|653268	5.1975
AGAP8|728404	6.9071	AGAP8|728404	15.2868
AGA|175	662.3177	AGA|175	364.7434
AGBL2|79841	14.9655	AGBL2|79841	19.5671
lowly_expressed	lowly_expressed	AGBL3|340351	8.2549
AGBL5|60509	401.0015	AGBL5|60509	791.5971
AGER|177	15.3492	AGER|177	30.5736
AGFG1|3267	1072.5249	AGFG1|3267	1708.7602
AGFG2|3268	284.7276	AGFG2|3268	422.2218
AGGF1|55109	1082.8856	AGGF1|55109	933.7187
AGK|55750	553.7222	AGK|55750	505.6878
AGL|178	1132.0031	AGL|178	1181.9765
AGMAT|79814	44.1289	AGMAT|79814	17.427
AGPAT1|10554	2961.5963	AGPAT1|10554	1678.0765
AGPAT2|10555	919.8005	AGPAT2|10555	1211.9387
AGPAT3|56894	2165.3876	AGPAT3|56894	2145.6574
AGPAT4|56895	122.0261	AGPAT4|56895	332.6411
AGPAT5|55326	325.0192	AGPAT5|55326	845.0551
AGPAT6|137964	8381.0437	AGPAT6|137964	2012.6621
AGPAT9|84803	25.7099	AGPAT9|84803	89.275
AGPHD1|123688	30.3147	AGPHD1|123688	52.8924
AGPS|8540	2064.4666	AGPS|8540	1168.8299
AGR2|10551	37416.3469	AGR2|10551	4410.5519
AGR3|155465	4241.3661	AGR3|155465	624.925
AGRN|375790	2773.2157	AGRN|375790	5908.6598
AGTPBP1|23287	358.02	AGTPBP1|23287	376.9729
AGTR1|185	24.9424	AGTR1|185	462.2733
AGTRAP|57085	1038.373	AGTRAP|57085	507.2165
AGT|183	1507.6746	AGT|183	312.4625
AGXT2L1|64850	49.8849	AGXT2L1|64850	10.0893
AGXT2L2|85007	223.7913	AGXT2L2|85007	438.8203
AHCTF1|25909	3015.3492	AHCTF1|25909	1568.4272
AHCYL1|10768	5461.2433	AHCYL1|10768	4224.0527
AHCYL2|23382	928.6262	AHCYL2|23382	825.7937
AHCY|191	3257.8665	AHCY|191	3365.8509
AHDC1|27245	525.7099	AHDC1|27245	1771.4361
AHI1|54806	366.462	AHI1|54806	432.9226
AHNAK2|113146	1146.5848	AHNAK2|113146	814.1758
AHNAK|79026	36064.0829	AHNAK|79026	81644.4333
AHRR|57491	13.0468	AHRR|57491	27.2105
AHR|196	950.1151	AHR|196	4071.1846
AHSA1|10598	2016.5004	AHSA1|10598	1384.374
AHSA2|130872	107.0606	AHSA2|130872	367.495
AIDA|64853	2161.9724	AIDA|64853	832.309
AIF1L|83543	208.749	AIF1L|83543	2751.321
AIF1|199	461.627	AIF1|199	228.0793
AIFM1|9131	1508.4421	AIFM1|9131	630.4283
AIFM2|84883	127.3983	AIFM2|84883	716.9516
AIFM3|150209	10.3607	AIFM3|150209	13.7704
AIG1|51390	942.0568	AIG1|51390	851.1699
AIM1L|55057	64.0829	lowly_expressed	lowly_expressed
AIM1|202	380.66	AIM1|202	3917.705
AIM2|9447	31.8496	lowly_expressed	lowly_expressed
AIMP1|9255	914.9808	AIMP1|9255	1060.4219
AIMP2|7965	381.7959	AIMP2|7965	209.6036
AIP|9049	1903.6838	AIP|9049	685.1551
lowly_expressed	lowly_expressed	AJAP1|55966	25.9876
AK1|203	940.9056	AK1|203	403.8777
AK2|204	1514.9655	AK2|204	1633.8548
AK3L1|205	14.5817	AK3L1|205	614.2242
AK3|50808	866.0783	AK3|50808	1777.2451
AK5|26289	35.6869	AK5|26289	1047.1468
AK7|122481	16.8841	AK7|122481	46.4719
AKAP10|11216	514.5817	AKAP10|11216	599.2431
AKAP11|11215	1162.3177	AKAP11|11215	2260.0027
AKAP12|9590	956.2548	AKAP12|9590	2918.5587
AKAP13|11214	3634.6892	AKAP13|11214	5956.0489
AKAP1|8165	1971.2203	AKAP1|8165	2774.8627
AKAP2|11217	1338.8872	AKAP2|11217	1650.6642
AKAP3|10566	28.7797	AKAP3|10566	68.7907
AKAP5|9495	294.7045	AKAP5|9495	148.2821
AKAP6|9472	42.594	AKAP6|9472	293.2011
AKAP7|9465	111.2817	AKAP7|9465	213.0982
AKAP8L|26993	793.9371	AKAP8L|26993	783.2964
AKAP8|10270	643.515	AKAP8|10270	694.3271
AKAP9|10142	7021.1051	AKAP9|10142	3482.3365
AKD1|221264	148.8872	AKD1|221264	181.9131
AKIRIN1|79647	858.4037	AKIRIN1|79647	1407.3042
AKIRIN2|55122	604.3745	AKIRIN2|55122	773.5128
AKNA|80709	635.4566	AKNA|80709	530.4525
AKR1A1|10327	1981.1972	AKR1A1|10327	1494.439
lowly_expressed	lowly_expressed	AKR1B10|57016	109.4536
