gene_id	TCGA-BH-A1FH-01A-12R-A13Q-07	gene_id	TCGA-BH-A1FH-11B-42R-A13Q-07
ACPL2|92370	618.9334	ACPL2|92370	325.6646
ACPP|55	39.6316	ACPP|55	19.9387
ACRBP|84519	27.2467	ACRBP|84519	17.3824
ACRC|93953	10.2175	ACRC|93953	22.4949
lowly_expressed	lowly_expressed	ACR|49	16.3599
ACSBG1|23205	9.9079	ACSBG1|23205	18.4049
ACSF2|80221	1120.2105	ACSF2|80221	672.2904
ACSF3|197322	359.4705	ACSF3|197322	281.1861
ACSL1|2180	3012.9267	ACSL1|2180	5381.9018
ACSL3|2181	3924.4524	ACSL3|2181	2187.1166
ACSL4|2182	1578.76	ACSL4|2182	1700.409
ACSL5|51703	559.486	ACSL5|51703	904.908
lowly_expressed	lowly_expressed	ACSL6|23305	10.2249
ACSM1|116285	13.0041	ACSM1|116285	9.2025
ACSM3|6296	88.8892	ACSM3|6296	93.18
ACSM5|54988	32.5103	ACSM5|54988	224.9489
ACSS1|84532	957.3496	ACSS1|84532	539.3661
ACSS2|55902	595.0925	ACSS2|55902	1633.9468
ACSS3|79611	275.8727	ACSS3|79611	342.5358
lowly_expressed	lowly_expressed	ACTA1|58	18.4049
ACTA2|59	19743.7511	ACTA2|59	23710.7924
ACTBL2|345651	10.5271	ACTBL2|345651	6.6462
ACTB|60	78762.1333	ACTB|60	111613.4969
ACTG1|71	46789.6896	ACTG1|71	76558.2822
ACTG2|72	623.5777	ACTG2|72	6071.0634
ACTL6A|86	893.258	ACTL6A|86	666.1554
ACTL8|81569	5.8828	lowly_expressed	lowly_expressed
ACTN1|87	6318.7553	ACTN1|87	7233.6401
ACTN2|88	9.9079	ACTN2|88	5.1125
ACTN4|81	9566.7033	ACTN4|81	9969.4018
ACTR10|55860	964.1613	ACTR10|55860	1382.9243
ACTR1A|10121	2189.9528	ACTR1A|10121	2415.1329
ACTR1B|10120	1149.0053	ACTR1B|10120	1362.9857
ACTR2|10097	7803.0807	ACTR2|10097	5501.0225
ACTR3B|57180	158.5262	ACTR3B|57180	180.9816
ACTR3C|653857	36.845	ACTR3C|653857	24.0286
ACTR3|10096	5162.9383	ACTR3|10096	3418.2004
ACTR5|79913	164.409	ACTR5|79913	174.8466
ACTR6|64431	518.9256	ACTR6|64431	605.8282
ACTR8|93973	478.3652	ACTR8|93973	379.8569
ACVR1B|91	1913.7704	ACVR1B|91	903.3742
ACVR1C|130399	75.8573	ACVR1C|130399	653.8855
ACVR1|90	1571.6387	ACVR1|90	1426.8916
ACVR2A|92	623.2681	ACVR2A|92	476.4826
ACVR2B|93	354.5166	ACVR2B|93	135.4806
ACVRL1|94	795.4176	ACVRL1|94	1194.7853
ACY1|95	279.8978	ACY1|95	526.2321
lowly_expressed	lowly_expressed	ACY3|91703	7.1575
ACYP1|97	47.6817	ACYP1|97	68.5072
ACYP2|98	113.6311	ACYP2|98	208.589
ADAL|161823	182.9863	ADAL|161823	210.6339
ADAM10|102	2145.9865	ADAM10|102	1741.3088
ADAM11|4185	18.5773	ADAM11|4185	11.7587
ADAM12|8038	11694.094	ADAM12|8038	244.3763
ADAM15|8751	2085.0344	ADAM15|8751	3903.4816
ADAM17|6868	909.6679	ADAM17|6868	935.5828
ADAM19|8728	459.4783	ADAM19|8728	106.3395
ADAM22|53616	168.4341	ADAM22|53616	31.6973
ADAM23|8745	166.2667	ADAM23|8745	63.3947
ADAM28|10863	119.2043	ADAM28|10863	101.227
ADAM2|2515	15.1715	lowly_expressed	lowly_expressed
ADAM32|203102	29.7237	ADAM32|203102	44.4785
