gene_id	TCGA-BH-A18R-01A-11R-A12D-07	gene_id	TCGA-BH-A18R-11A-42R-A12D-07
ACTR6|64431	1042.4963	ACTR6|64431	619.9683
ACTR8|93973	448.4398	ACTR8|93973	628.8431
ACVR1B|91	1432.3923	ACVR1B|91	1300.7924
ACVR1C|130399	54.9777	ACVR1C|130399	2882.0919
ACVR1|90	549.4799	ACVR1|90	1219.0174
ACVR2A|92	366.419	ACVR2A|92	621.87
ACVR2B|93	687.0728	ACVR2B|93	625.0396
ACVRL1|94	323.3284	ACVRL1|94	1121.0777
ACY1|95	663.893	ACY1|95	633.5975
ACY3|91703	5.6464	ACY3|91703	19.9683
ACYP1|97	48.737	ACYP1|97	60.8558
ACYP2|98	67.162	ACYP2|98	118.225
ADAL|161823	131.055	ADAL|161823	250.3962
ADAM10|102	1885.2897	ADAM10|102	2289.065
ADAM11|4185	11.5899	ADAM11|4185	22.504
ADAM12|8038	1468.945	ADAM12|8038	395.8796
ADAM15|8751	2773.5513	ADAM15|8751	2160.0634
ADAM17|6868	769.688	ADAM17|6868	583.2013
ADAM19|8728	923.3284	ADAM19|8728	159.1125
ADAM21|8747	5.052	lowly_expressed	lowly_expressed
ADAM22|53616	64.1902	ADAM22|53616	86.8463
ADAM23|8745	10.4012	ADAM23|8745	52.2979
ADAM28|10863	76.3744	ADAM28|10863	99.2076
ADAM2|2515	6.5379	lowly_expressed	lowly_expressed
ADAM32|203102	95.6909	ADAM32|203102	43.7401
ADAM33|80332	32.0951	ADAM33|80332	972.3233
ADAM6|8755	20360.4339	ADAM6|8755	126713.4929
ADAM8|101	1658.5438	ADAM8|101	68.4628
ADAM9|8754	3459.1382	ADAM9|8754	1436.1331
ADAMDEC1|27299	77.266	lowly_expressed	lowly_expressed
ADAMTS10|81794	29.4205	ADAMTS10|81794	122.0285
ADAMTS12|81792	512.0357	ADAMTS12|81792	329.9525
ADAMTS13|11093	37.1471	ADAMTS13|11093	82.4089
ADAMTS14|140766	45.1709	lowly_expressed	lowly_expressed
ADAMTS15|170689	260.3269	ADAMTS15|170689	281.458
ADAMTS16|170690	9.5097	ADAMTS16|170690	46.9097
ADAMTS17|170691	15.7504	ADAMTS17|170691	52.2979
ADAMTS18|170692	105.4978	ADAMTS18|170692	42.4723
ADAMTS19|171019	44.8737	ADAMTS19|171019	5.7052
ADAMTS1|9510	657.6523	ADAMTS1|9510	3305.5468
ADAMTS2|9509	268.6478	ADAMTS2|9509	348.9699
ADAMTS3|9508	138.7816	ADAMTS3|9508	78.2884
ADAMTS4|9507	150.0743	ADAMTS4|9507	70.6815
ADAMTS5|11096	260.9212	ADAMTS5|11096	3878.6054
ADAMTS6|11174	24.0713	ADAMTS6|11174	12.3613
ADAMTS7|11173	60.0297	ADAMTS7|11173	55.1506
lowly_expressed	lowly_expressed	ADAMTS8|11095	20.2853
ADAMTS9|56999	160.4755	ADAMTS9|56999	593.9778
ADAMTSL1|92949	42.7935	ADAMTSL1|92949	550.8716
ADAMTSL2|9719	43.9822	ADAMTSL2|9719	52.2979
ADAMTSL3|57188	558.3952	ADAMTSL3|57188	330.9033
ADAMTSL4|54507	161.0698	ADAMTSL4|54507	999.3661
ADAMTSL5|339366	28.529	ADAMTSL5|339366	24.0887
ADAP1|11033	324.7192	ADAP1|11033	67.2742
ADAP2|55803	226.1516	ADAP2|55803	106.4976
ADARB1|104	352.1545	ADARB1|104	704.5959
ADAR|103	14551.8574	ADAR|103	7316.6403
ADAT1|23536	373.5513	ADAT1|23536	296.6719
ADAT2|134637	201.4859	ADAT2|134637	212.9952
ADAT3|113179	12.1842	ADAT3|113179	10.1426
ADA|100	79.049	ADA|100	105.2298
ADCK1|57143	108.4695	ADCK1|57143	142.9477
