gene_id	TCGA-BH-A1ET-01A-11R-A137-07	gene_id	TCGA-BH-A1ET-11B-23R-A137-07
ACSL6|23305	6.0277	ACSL6|23305	9.684
ACSM1|116285	142.0806	ACSM1|116285	37.2069
lowly_expressed	lowly_expressed	ACSM2A|123876	8.1549
lowly_expressed	lowly_expressed	ACSM2B|348158	5.3517
ACSM3|6296	44.8566	ACSM3|6296	89.9235
ACSM5|54988	20.8815	ACSM5|54988	153.6697
ACSS1|84532	1574.2963	ACSS1|84532	901.3761
ACSS2|55902	796.2973	ACSS2|55902	1487.7676
ACSS3|79611	115.1714	ACSS3|79611	510.4485
ACTA2|59	4160.9666	ACTA2|59	13938.8405
ACTB|60	59775.039	ACTB|60	49871.8145
lowly_expressed	lowly_expressed	ACTC1|70	12.9969
ACTG1|71	57149.1308	ACTG1|71	34249.2355
ACTG2|72	35.9507	ACTG2|72	1333.843
ACTL6A|86	1085.6251	ACTL6A|86	804.5362
ACTL8|81569	69.5334	lowly_expressed	lowly_expressed
ACTN1|87	3084.0105	ACTN1|87	6002.0387
ACTN4|81	5352.0069	ACTN4|81	8618.0607
ACTR10|55860	1123.0827	ACTR10|55860	1064.475
ACTR1A|10121	3197.2445	ACTR1A|10121	2091.7431
ACTR1B|10120	1025.1332	ACTR1B|10120	1225.0255
ACTR2|10097	9534.0401	ACTR2|10097	5654.4343
ACTR3B|57180	152.1985	ACTR3B|57180	171.7635
ACTR3C|653857	17.0066	ACTR3C|653857	20.6422
ACTR3|10096	3818.7396	ACTR3|10096	2908.2569
ACTR5|79913	167.6982	ACTR5|79913	240.5708
ACTR6|64431	635.4879	ACTR6|64431	591.2334
ACTR8|93973	698.1325	ACTR8|93973	664.6279
ACVR1B|91	1156.0196	ACVR1B|91	1265.5454
ACVR1C|130399	30.1383	ACVR1C|130399	820.5912
ACVR1|90	1276.5728	ACVR1|90	1176.6055
ACVR2A|92	373.4998	ACVR2A|92	621.5596
ACVR2B|93	328.2923	ACVR2B|93	740.5708
ACVRL1|94	329.1534	ACVRL1|94	1271.1519
ACY1|95	855.3361	ACY1|95	304.5362
ACY3|91703	38.9645	ACY3|91703	6.1162
ACYP1|97	37.4576	ACYP1|97	58.3588
ACYP2|98	170.4967	ACYP2|98	128.6952
ADAL|161823	232.2803	ADAL|161823	182.7217
ADAM10|102	2435.1757	ADAM10|102	2468.6544
lowly_expressed	lowly_expressed	ADAM11|4185	20.897
ADAM12|8038	2481.8901	ADAM12|8038	568.0428
ADAM15|8751	4515.3931	ADAM15|8751	2751.0856
ADAM17|6868	751.7356	ADAM17|6868	926.3507
ADAM19|8728	230.1275	ADAM19|8728	143.7309
ADAM21|8747	6.8888	ADAM21|8747	5.6065
ADAM22|53616	153.0596	ADAM22|53616	103.211
ADAM23|8745	41.9784	ADAM23|8745	50.4587
ADAM28|10863	140.789	ADAM28|10863	110.3466
